PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;2v;Allemande;Graf Bergen;;;Conc_1241;C;",,d/4 ,a ,c | \
[aVda{,a}/] ,,d [,,'a] ([,,a{a}/4] ,,b/8 ,,d) \
[,,,aVda3/2] [,,d,,a/] | \
[,a{d}/4] ,,b ,,d ,a ,,,,f f [e{a}] f [,,d,,a] ,,a ,,b ,,d \
,,,a e [c{,a}] e | "
2;F dur;3v;Courente;Graf Bergen;;;Conc_1242;3;",,d/ ,a ,c | \
[aVda{,a}1] (,,a/ ,,b/4 ,,d) ,,,a/ ,,d | \
[,ad,,b1] [,,'d,,a2] | \
[,,b{a}/] (c/4 a) [c{,,a}/] ,,b ([,,a{,a}] ,,b/4 ,,a) | \
[,,,'c{4}2] [,,d,,a1] | \
{d}/ ,a ,,,f f ,f ,c | "
3;F dur;4v;Boure;Graf Bergen;;;Conc_1243;C;",,d/ (,a/4 ,c) | \
[aVda{,a}1] (,c/ ,d) [,,d{,,a}1] ([,,b{4}/] ,,d) | \
[,,'a{,a}1] ,,,c/ ,,a ,,,a1 [,,,#c{,,a}] | \
[,,'a{,a}1] ,,,c/ (,,a/4 ,,b) [,,'b{a}3/2] (,,a/4 ,,b) | \
V[,,d,,a3] [,,d,,a1] | "
4;F dur;5r;Menuet;Graf Bergen;;;Conc_1244;3;"[a{,a}/] (,,d ,,a) ,,,a (,,a ,,b/4 ,,d) | \
[,,,c{,,a}1] [,,'b/] ,,a ,,b1 | \
[,,,c{,,a}/] ,,b c ,,d ([,,b{4}] ,,d) | \
[,,'a{,a}1] ,,,c/ ,,a ,,,a1 | \
([,,a{,a}/] ,,d) a ,,a [,,b{a}1] | "
5;F dur;5v;Sarabande;Graf Bergen;;;Conc_1245;3;"[aVd/] a | \
[ada{,a}3/2] (,f/4 ,h/8) f h/ a | \
[,'c,,,d1] ,,d/ ,,,,,b [a,,,,a] ,,d | \
[,ad,,b1] {4}/ ,,,,c ,,d ,,b | \
[,,'a{,a}/] ,,,c ,,,a ,a (,,a ,,c/4 ,,d) | "
6;F dur;6r;Gavotte;Graf Bergen;;;Conc_1246;C;"[aVd/] a/4 [,(c] | \
[ad)1] ,,d ([,,a{,a}/] ,,b) [,,'b{a}] (,,a/4 ,,b) | \
V[,,d,,a1] ,,,a [,ad,,b] ,,,,,a/ ,,d | \
[,,'b{a}1] [,,a{,a}/] a [,c{4}] a ['a{,,,a}] ,c/4 a | "
7;F dur;6v;Gigue;Graf Bergen;;;Conc_1247;6/8;",,d/4 (,a ,c) | \
[a{,a}/] ,c a (,,a ,,b) [,,d{,,a}] | \
[,,,aVd{,a}3/2] ,1 [,,d,,a/] | \
([,a{d}/] ,b) ,a [,,b{a}] c ,,b | \
[,,d,,a/] ,a ,,d [,,a{,a}] a ,,a | "
8;a moll;7v;Allemande;Graf Bergen;;;Conc_1248;C;",c/4 ,e ,g | \
([,h,,,a/4] ,g) ,h ,,h [g,,,g] ,h g ,,h V[h,,,,a/] \
g/4 h ,h/ [,g,g] | \
([,h,h/4] ,g) ,h ,,h [g,,,g] ,h g ,,h V[h,,,,a/] \
(g/4 h) ,h/ [,c,,,d] | "
9;a moll;8v;Courente;Graf Bergen;;;Conc_1249;3;",c/ ,e d | \
V[e,,,,a1] ([,c{b}/] ,a) (,,d ,,c) | \
V[,,d,,a/] ,,c ,,a1 [,#c,,,d] | \
[ac,,a1] {a}/ ,,c [,a,,,c] a | \
[,'c,,,d1] {,a}/ ,,,e [,,d,,a] ,c | "
10;a moll;9v;Menuet;Graf Bergen;;;Conc_1250;3;"[ecd,,a1] ,,d/ ,c [a,,,a] ,a | \
([,c,,,a/] ,a) (,,d ,,c) [,,a,,d1] | \
([,d,,a/] ,c) ,a ,,d [,,c{,,,a}] ,,a | \
[,,,'d{,,a}1] ,,,,e/ ,,,d ,,,,c1 | \
{,,a}/ ,,c ,,,d ,,,,c ,c ,a | "
11;a moll;10r;La Tournée;Graf Bergen;;;Conc_1251;2/4;"[ecd,,a1] [,cc{b}] | \
[,,#d,,a/] ,c/4 ,,d ,,,e/ [,c,,,d] | \
([,d,,a/4] ,c ,a) ,,d ,,c/ [,,a,,d] | \
[,,,c,c/] a a ([,c{a}/4] ,a) | \
([,c,,,d/4] ,a) (,,d ,,c) ,,a/ [,,,c,c] | \
[,,,a,a/] ,c ([,c{b}] ,a) | "
12;a moll;10v;Gigue;Graf Bergen;;;Conc_1252;6/8;"[,(c/4] ,e/8 [dy)] | \
([e,,,,a/] d) e ([,c{b}] ,a) [,c{,,a}] | \
([,,d,,a/] ,,c) ,,d [,,'a1] V[,c,,,d/] | \
[a,,,a/] ,c a ,,c ,a [c,,,,c] | "
13;B dur;11v;Allemande;Prince Lobkowitz;;;Conc_1253;C;"a/4 [,a{d}] ,,b | \
[c,b{,,a}/] (c/4 e/8 f) ['a,,,,a/] {,a}/4 ,b [,'a{d}/] \
,,d/4 ,a ,,b ,a a ,a | \
[c{,,a}/4] ,,d ,a ,b ([,,a{,a}] ,,b) \
(,,a/8 ,,b) V[,,d{,a}/] ,,,a1 [,,de{,a}/] | "
14;B dur;12v;Courente;Prince Lobkowitz;;;Conc_1254;3;",,b/ | \
[,,baa{d}3/2] ,,,a/ [,,,c,a] ,,a | \
([,,b{a}/] ,,a) (,,b/4 ,,d) ,a/ [,,d,,a] ,b | \
[,'a{d}/] ,,d ,a ,b [a{,,,a}] ,,b | \
V[c{,,a}1] ['a{,,,a}/] ,b ,a ,,d | \
[,ad{d}1] a/ ,a ,,d ,,b | "
15;B dur;13v;Rondeau;Prince Lobkowitz;;;Conc_1255;3;"[,ab1] V[,bd] | \
[,,'de1] ,,,,,a [,a,,,Vb] | \
[,,'aa{,a}1] ,,,a {a} | \
([,,d,,a/] ,,b) ([,,a{,a}] ,,b) [,,'b{a}] (,,a/4 ,,b) | \
[,,d,,a/] ,a ,b1 [,'a{d}] | \
[,,'d,,a1] ,a V[,b{a}] | \
[,,'d,,a1] [,a{,a}] [,,'b{a}/] (,,a/4 ,,b) | "
16;B dur;14r;Bourée;Prince Lobkowitz;;;Conc_1256;C;",,,a1 | \
[,,baa{d}1] (a/ c) ['a,d,,a1] ,b/ a | \
[,'a{d}1] ,,d/ ,a ,,b1 [,,d{,a}] | \
[,ab{d}1] V,b/ a [,b,,,d1] [,'a{,a}/] ,,d | \
[,a{d}1] [,,d,,a2] [,a{d}1] | "
17;B dur;14v;Menuet;Prince Lobkowitz;;;Conc_1257;3;"[,,,aa{d}1] [,,#b] V[,,d{,,a}/] ,a | \
[,,'a{,a}3/2] ,,,c/4 ,,a V[,,b{a}1] | \
[,,de{,a}1] ,,a/ ,,,a (,,a ,,b/4 ,,d) | \
[,ad{d}1] ,,d/ ,a ,,b1 | \
[a,,,a1] [,a{d}/] ,,b [c{,,a}1] | "
18;g moll;15r;Menuet;Prince Lobkowitz;;;Conc_1258;3;"[,ab{a}1] V[,b,,,d2] | \
[,'a{d}1] ([,,,c,a/] ,,,b) V[,,,c{a}1] | \
[,,d,,a/] ,b [,a,b] ,,d [,,b,a] ,,a | \
V[,,b{a}1] (,,a/ ,,b) ,,,c1 | \
[,a,,,b1] ([c,,,,a/] b) [c{a}] ,a | "
19;B dur;15v;Gigue;Prince Lobkowitz;;;Conc_1259;6/8;"a/ | \
[,a,a{d}1] f/ ([e{,a}] f) [c{,,a}] | \
([a{,,,a}/] c) [,b{4}] [,'a{d}1] c/ | \
([,d,,,a/] ,b) [,a{d}] [,,d,,a] ,a [,,b{a}] | \
([,,a{,a}/] ,,b ,,d) ,,,a1 ,,d/ | "
20;B dur;16v;Allemande;Graf Bergen;;;Conc_1260;C;"a/4 [,#b] a | \
[,,baa{d}/] ,a/4 a ,b/ c/4 ,,b [,aba{d}/] a/4 ,a \
,,b/ ([f{,,,a}/4] a) | \
[c{,,a}/4] (,b ,a) ,,d ([,d{,,a}] ,a) (,,d ,,b)"
21;B dur;17v;Courente;Graf Bergen;;;Conc_1261;3;",,b/ ,a a | \
[,,baa{d}1] ,a/ a (f a) | \
{,,a}/ c ['a,b{,,,a}3/2] a/ | \
[,b{4}/] c ,,d ,,b [,,a{,a}] [,,b{a}] | \
V[,,d{,a}1] ,,,a/ ,,a ,,b ,a | "
22;B dur;18v;Fantasie;Graf Bergen;;;Conc_1262;2;"[aab{d}1] (,a/4 ,b) a ,a | \
[,,baa{d}/] ,,,,,d ,,,,a (,d/4 ,a) | \
[#c{,,a}/] ['a{,,,a}] [,#b{4}] [,'a{d}] | \
([,,d{,a}/] ,,a) (,,a/4 ,,b/8 ,,d) ,,,a1 | \
[,a{d}/] ,,d/4 ,a ,,b/ ,a | "
23;B dur;19r;Menuet;Graf Bergen;;;Conc_1263;3;"[aa{d}1] ,a/ {d} ,b c | \
[aa{d}1] ,a/ {d} c ,b | \
[aa{d}1] ,a/ ,,b ([,,a,,d] ,,b) | \
V[,,d{,a}1] ,,,a ,,,a | \
[,,d,,a1] ,c/ ,,d ([a{,a}] e) | "
