PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;g moll;1v;Prél. p. du Faut;F.Dufault;;;Conc_1153;none;"[,abc/] {a}1 [,abc2] [,,'a3/4] ,,,c/4 {,,,a}1 ,,,,,f ,,,,e \
,,,e ,a1 [,,,,,'d/] {a} ,,,,,b1 ,a ,,,c {,b} ,,,,,a ,,d ,,,,a"
2;g moll;2v;Prél. p. du Faut;F.Dufault;;;Conc_1154;none;"[,abc{a}1] [cabc2] {,,,a}1 ,,,,a ,,,c ,,a ,a e1 ,,,,e/ \
,,,,c ,,,,e3/2 ,a/ e3/2 f/ h1 {a}/4 ,h f ,f ,h1 [,eh{,,,a}2]"
3;g moll;3v;Prél. p. du Faut;F.Dufault;;;Conc_1155;none;",,b/ ,,,c3/2 ,,,,a/ ,,b1 {a} ,,,,a ,,,c ,,b3/2 ,,,,e/4 ,,,,c \
,,,,e3/4 ,,,c/4 ,,a1 ,,,,,d [,,,,,'b3/2] ,,,,a/ ,,,c1 \
,,,,,d {c} ,,,,,d ,,,,e"
4;g moll;4v;P. par du Faut;F.Dufault;;;Conc_1156;none;",a/ c1 {a} ,,,,a ,,,c ,,b ,a c3/2 e/ f3/2 ,,,,,f {,,,a}1 \
,,,,e ,a e ,,d {a}3/2 c/ ,a1 ,,b [,,d,,a] a1 ,,,a"
5;g moll;5v;Prél. p. du Faut;F.Dufault;;;Conc_1157;none;",a/ ,,b3/2 ,,,c/ ,a1 {a} ,,,,a ,,,c1 ,,b/ ,a3/2 ,,,,,a/ \
,,,,,b1 ,,,c {,b}3/2 ,,,,a/ ,,a3/2 ,,b/ ,,d1 ,,a"
6;a moll;9v;Prél. p. du Faut;F.Dufault;;;Conc_1158;none;",,d/ ,,,e3/2 ,,,,c/ ,,d1 ,,,,,a ,,,,c ,,,e ,,d2 [,,'d3] \
,,d/ {,,a} ,,c ,,,d ,,,,c ,c3/2 ,,,,,f/ ,,,,,d1 ,c ,,,e ,e"
7;a moll;10v;Prél. p. du Faut;F.Dufault;;;Conc_1159;none;"[,,ae2] ,,,,,a1 ,,,,c [,,,'d2] ,,,,a1 ,,,,,d ,,a ,,,,,c \
,,c ,,,,,a ,,d ,,,e ,c [,,,'d2] ,,,,e/ {,,a}1 ,,,d ,,c ,c3/2"
8;a moll;11v;Prél. du Faut;F.Dufault;;;Conc_1160;none;"[,cde/] ,,,,,a1 ,,,,c ,,,e ,,d ,c3/2 ,,f/ {,,a}1 ,,,,c3/2 \
,,,d/ ,,c1 ,,,,,f [,,,,,'c] {4}1 ,,,,,d ,,a ,,,,c {,,,a}3/2"
9;a moll;12v;Prél. p. du Faut;F.Dufault;;;Conc_1161;none;",c/ e1 ,,,,,a ,,,,c ,,,e ,,d ,c e3/2 g/ h3/2 ,,,,h/ ,,,,g1 \
,,h g ,,f ,,,e1 ,,d ,c e3/2 ,,,c/"
10;a moll;13v;Prél. p. du Faut;F.Dufault;;;Conc_1162;none;"e/ ,c3/2 ,,a/ e3/2 ,,,,,a/ ,c1 'c2 c1 ,,,e3/2 a/ ,,,e1 \
,,,,c [,,,'c] ,c3/2 ,,,c/ [,,,a,a1] ,a ,,,,c3/2"
11;A dur;14v;sans titre;V.Gaultier;;;Conc_1163;3;",c1 | \
[,c,e1] [,,'e3/2] ,,e/ | \
[,ac1] [,'ac3/2] ,,,e/ | \
[,a,d1] [,,'c1] [,'c/] ,a | \
[,,ee1] [,,cdc3/2] ,,e/ | \
[,,a,e3/2] ,,,,,e/ [,,,,ef1] | \
,,c1 [,,c,ce3/2] ,,,f/ | "
12;a moll;15v;Cour: Gault.;V.Gaultier or D.Gaultier / Mouton;La Belle Homicide;;Conc_8;3;"e/ ,c ,d | \
[,'c,,,a1] ,,a3/2 ,e/ | \
[c,,c1] ,,,a/ ,,a e3/4 e/4 | \
['d,,,c1] {,,a}3/2 e/ | \
[e,,,,a1] ,,,e/ ,,d ,c ,e | "
13;a moll;16v;Cour. du Vx Gault.;V.Gaultier;Les Larmes de Boisset;;Conc_3;3;"[,,a,cd1] ,,,,,c/ ,,,,a [,,'a] ,,,d | \
,,a/ ,,,,,a ,c ,,,,,a {b} ,,c | \
,,,,,a/ ,,,,c ,,d {a} [,a{,a}] ,a | \
{,,a}/ ,c ,,,,c1 [,,cd/] ,,c | "
14;f# moll;17v;Allemande;;;;;C;",e/ | \
[,eee/{,a}] ,,,,e1 [,'g/] e/4 ,g e/ ,,,g ,,e | \
,,,g/ [,,,'e] ,,,,g ,,,,e ,e {,a}1 ,,e/ | \
{,,a}/ {,,,a}/4 ,,e ,e/ ,,,g3/4 ,e/4 [,d,d{4}/] ,,,,,e1 | "
15;f# moll;18v;Gigue Gotier;Gaultier;;;Conc_27;C;"[,eee{,a}3/2] ,g/ ,h ,,e ,,f ,,,g | \
[,,ee/] ,,,,e ,,,,g ,,,,e ,,,,d/4 ,,e ,,,d/ [,,'c] ,,e | \
[,,a,e/] 'd e [,,c] [,ce] [,,'c] [,e,e] ,,,d | "
16;f# moll;19v;A: But Favorite;Du But;Allemande Favorite;;;C;"[,eee{,a}3/2] [,'c/4] ,a ,,e/ ,,,,e/4 ,,e ,a/ [,,'c/4] ,a | \
,,e/ {4}/4 ,b [,d,,,e/] ,,,,,c [,,,,,'a] [,ee] [de{a}] [,'d] | \
[e{,a}/] [,e,,e3/2] [da{,a}/] [e,e] [eac] 'd | "
17;f# moll;20v;T.F.;Du Fresneau;Allemande Le Tombeau;;Conc_1164;C;",,e/ ,,e | \
[,,eee1] {,a}/ ,,,g/4 ,,e [,,,,'g/] ,,,e/4 ,,,,g ,,,e/ ,,,,e | \
[,,edd1] {4}3/4 ,,d/4 [,,'a/] ,,,d [,,a,e] ,a | \
,,,,c/4 ,,f ,c ,,e [,e,,a1] {,,,a}/ [,,,,'c] ,,,,e ,e | "
18;f# moll;21v;A. Fresn;Du Fresneau;Allemande;;;C;",,e/ | \
[,,eee{,a}3/2] [,,'c/] ,,e ,,,,e ,,,,d/4 ,,,d ,,e ,,c | \
[,,'a,e/] ,,,d/4 ,,a [,,,d,e] ,,a ,,,d ,,,,e [,,,,'d{4}/] \
,,,,,c ,,,,,a/4 ,,,,e ,,,d ,,a | "
19;A dur;22v;C. Fresn;Du Fresneau;Courante;;Conc_1165;3;"e1 ,a1 ,,e/ ,c | \
,,f/ ,e [,,'e1] [,,'c/] ,a | \
e/ d [e,a1] ,,,,,a/ ,c | \
,,e/ ,e ,,,,,c/ ,a ,,,,e1 | \
,,,d/ ,,c ,c [,,,,'c] ,,,e ,,e | "
20;A dur;23v;S: Fresneau;Du Fresneau;Sarabande;;;3;",,a/ | \
[,,aeca1] [,,aec3/2] ,,c/4 ,,,e | \
[,,dc{,,a}1] [,,,dc3/2] ,,,,a/ | \
[,,a,,e1] [,,'c,c{a}3/2] ,,c/ | \
[,,e,,a1] [,,eec3/2] ,,,c/ | \
[,a,,e1] {,,,a}3/2 ,a/ | "
21;f# moll;24v;Les Larmes de Fresneau;Du Fresneau;;;;C;",,a/ | [,,aee{,a}3/2] [,,'cd/] [,,ee] ,,,,e [,,e,d] \
,,,d/4 ,,c | \
[,,aee/] ,,,,,c ,,,,,e/4 ,,,,d ,,,,e ,,a [,,,'d{4}/] \
,,,,e/4 ,,,d [,,,,e{,a}/] [,,,'d] ,,a/4 ,,,d | "
22;f# moll;25v;Prélude par du But;Du But;;;Conc_1167;none;"{,a} ,,,,e ,,,d ,,a ,,,,e [,,,,'d] ,,e ,,,d ,,c {,a} [,,'a] \
,,,,,e ,,,d ,,,,,c [,,,,,'a] ,,,,e {a} [,,,,'d] ,,c {,a} \
,,,,a ,,a {,,a} ,,,,,e ,,a ,c"
23;f# moll;26v;Allem.;;;;;C;",,e/ | \
[,,eee{a}2] [,,edd{4}1] ,,e/4 ,,,g/8 ,,e | \
[,,,'d/] V,,,,e {,a} ,,e [,,#edd1] {4}/ ,,,g | \
[,,,'eee1] ,,,,g/ ,,a [,,c,e{a}] V,,e [,,'a{,a}1] | "
24;f# moll;27v;Cour. d'Aymon;Emond;Courante Le Beuf;;Conc_1168;3;",e1 | \
[,eee{,a}1] ,,,,e [,'g/] e/4 ,g | \
e/ ,,,g ,,e3/4 ,,,g/4 [,,,'e3/4] ,,,,g/4 | \
,,,,e/ ,e {,a}1 i/ ,,,,g | \
V,,,,g/ i ['g,,g1] ,,e/ e | "
25;f# moll;28v;Cour. d'Aymon;Emond;;;;3;",e1 | \
[,e{,a}1] ,,,,e3/2 ,e/ | \
[,'c{a}3/4] ,a/4 [,,'e,,a/] ,a/4 ,,e ,a/ ,,,,,c | \
,,,,,e1 ,,a/ ,,,d [,,,'ba1] | \
,,c/ ,,c {4} ,,e ,,,,,e [,,'a] | "
26;f# moll;29v;Sarab.;Gaultier;#26;;Conc_1169;3;"[,,aee{,a}1] [,,aee/] [,,aee] {4}1 | \
[,,,d,e3/2] ,c/ ,,,,c1 | \
[,a,,e1] ,,,d [,,ee,a] | \
[,,'cd{,,a}3/2] ,,,e/4 ,,c [,,,e,a1] | \
,,e3/2 ,,,e/ [,,'cd1] | \
[,,ee1] {,a} ,b | "
