PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;f# moll;1v;Gigue du Faux;F.Dufault;;;Conc_1171;C;"[,,,,#e3/2] [,,,,'d/] V,,,,e ,,,,,e ,,,,d [,,,('d] | \
[,,ae)/] {,a} ,,e [,,'c] V,,e ,,,e [,,'cd] ,,,,d | \
[,,ade/] {,a} ,,e ,a [,,e,c] [,,e,a] [,,'c] [,,a,,e] | "
2;A dur;2v;sans titre;D.Gaultier;Courante;;Conc_19;3;"e/ 'd ,e | \
[,'c,,,a1] ,,,e2 | \
,,,d/ ,c [,'a1] ,,,e/ ,,e | \
[,,,c{,,a}3/2] ,,e/ ,a ,,,d | \
,,,e/ ,,e ,c1 ,,,d/ ,c | \
,,,,e/ ,e {,a} d Ve1 | "
3;A dur;3r;Menuet;;;;Conc_3840;3;"[e,,,,a1] V[g{a}] {,,a}/ d | \
V[e{,a}1] [,c,,,e] [,e,,a] | \
[,c,,c1] [,c,d/] ,a [,,ee] ,a | \
[,,'cd1] [,c,,c] [,,e,,a] | \
,,a/ {a} [e{,a}1] [g{,,,a}/] d | "
4;g moll;3v;Allemande Du Près;L.Dupré;La Triste;;Conc_1238;C;",,,c/ | \
[,,,ca{a}1] [,,'a3/4] ,,,c/8 ,,a V,,b/ ,,,c ,,,b/4 ,,a ,a ,,d | \
[,,'bc1] [,,,'a/] ,,,,a ,,,,b/ ,,,c/4 ,,d ,,,,,d/ [,,'b] | \
[,,aba/] {,,,a} V[,,bc{a}3/4] ,,b/ {4} \
,,,,b ,,,c ,,b [,,'a3/4] ,,,c/4 | "
5;g moll;4v;Courente;L.Dupré;;;Conc_1236;3;",a/ c b | \
V[c{a}1] ,a [,'a/] ,,d | \
,a1 ,,,c [,,'a/] ,,,c/4 ,,a | \
V,,b1 ,,,,a ,,a/ ,,,,,a | \
,,,,,b/ ,,,c ,,,,,d (,,b ,,a) ,,,c | "
6;g moll;5v;Gigue;F.Dufault;;;Conc_1609;C;"[,abc{a}/] [,abc] [,abc] [,c,,,d] ,,,,a [,'e] | \
V[,f{a}/] ,,,,f V,,,f ,,d ,a ,,,,d | \
[,,d,b/] [,a,,a] V[,b,,,d] [a,,,a] [ca,,b] ,,d | \
[,a{,,,a}/] ,c V[,e,,a] [c,,,c] [e,,,e] ,a | "
7;g moll;6v;Courante C.L.;Losy;;;;3;"c/ | \
[cab{a}3/2] e/ Vf1 | \
'd/ ,f [,'d,,,a3/2] ,b/ | \
[,'a{d}3/2] ,,d/ ,,b1 | \
[,,dc,a1] [,,,'b3/2] ,a/ | \
[,,'b{a}3/2] ,,a/ ,,,c1 | \
V[,,b{4}1] [,,'a3/2] ,,,c/ | "
8;g moll;7v;sans titre;Losy;Gavotte;;Conc_2869;C;"[,,f{a}1] f | \
['e,d,,a3/2] ,f/ [,e,e] ,e ,f e | \
[,a,,,b/] ,,,,,b ,,,,,d ,,,,a {,b} ,,a ,a ,,d | \
[,,'b{a}/] ,,a ,,,c {,a} [,,'d,f{,,a}3/2] ,a/ | \
[,aab1] ,,,,a :| "
9;g moll;8r;Sarabande C.L.;Losy;;;Conc_3423;3;",a/ ,,a | \
V[,,b{a}1] ,,,c c/ ,a | \
V[,b{4}1] ,,d h/ ,c | \
[,'e{,,,a}1] ,,f/ ,f [,e,e] [,f,,f] | \
[ef,,e1] ,,f V[f,,,f/] ,,,,a | \
[ca,,Vb1] ,,,,,d [aVd,,a/] ,,,,,b | "
10;g moll;8v;Menuet C.L.;Losy;;;;3;"V[,,bc{a}1] [,,'d,,a3/2] ,a/4 ,,d | \
[,a,,,b3/2] ,a/ V[,b,,,d1] | \
[,a,,a1] [,,,cb] ,,d | \
([,aa{,,,a}/] ,b ,a) (,,d ,,b ,,a) | \
V[,,b{a}1] [,,'d,,a3/2] ,a/4 ,,d | "
11;g moll;9r;Gavotte;;;;;C;"[c,b{a}1] ['a,d,,a/] ,b [,aba{d}3/2] ,a/ | \
V[,b,,,d/] ,,,c ,,,,a a [,aba{d}2] | \
[,,dcb3/2] ,,d/ [,,dba1] [,,'bc] | \
[,,'ac{,,,a}1] [,,a'b/] ,a [,,'b{a}] ,,a ,,,c1 :| "
12;d moll;9v;Rondeau;;p.10r empty;;;C;"[aVda{,,,a}3/2] c/ V[e{4}1] ,c | \
[,c,,,d1] 'a/ ,c/4 a V[c{d}1] ,a/ ,c | \
[,,e,,a/] ,,,c [,a,a1] [,ce,c1] [aa,,a] | \
[,,ee,a1] [,ae,,b] [,cee,a2] :| "
13;d moll;10v;Guigue;Losy;Carillon de cloches de Vienne;;Conc_1723;3;",a/ | \
,,f/ ,a ,,e ,,f ,a ,,a ,,f ,a ,c ,d a c | \
,d/ e ,c ,d e ,a ,c c ,a ,,e e c | "
14;g moll;11v;Canarie;;;;Conc_3934;3;"c/ b1 | \
[c{a}3/2] ,a/ ,,b1 | \
,,,c3/2 ,a/ ,,d1 | \
,a3/2 ,,,b/ ,,d1 | \
[,,'b{a}2] [,,a{,a}1] | \
[,,,c{,,a}2] c1 | \
[,,'d3/2] ,,,f/ ,,d1 | \
[,a{,,,a}3/2] ,,a/ ,,,b1 | \
,,,,a3/2 :| "
15;g moll;12r;Courente;;;;;3;",a/ | \
[,abc3/2] ,b/ ,a ,,,,,a | \
,,,,,b/ ,a V,c1 ,,,,,d/ ,c | \
,,,,a/ a ,,a [,ab] ,,,,,d ,c | \
,,d/ ,,,,,b ,,,,,a ,,d [,'e] c/4 ,e | "
16;c moll;12v;sans titre;Dufault;pp. 13v-43v empty;;Conc_532;C;",,d/ | [,,dcbd1] ,a/ V,b ,,d [#c3/4] c/4 | \
[cbd3/2] [,,'b/] ,,,d/4 c ,,d c 'a3/4 a/4 | \
[aacc3/2] (c/4 a) ,b/ ,,,c ,a [,,,'a] | "
17;a moll;44r;Prelude;;;;;none;",c ,,d ,,,e ,,,,c ,,,,,a ,,,e [,,,'d] ,c [,'a] V,,d ,a ,,d \
,,,,,a {a} {,a} e [,'a] e {,,a} d ,,,,,c ,,,,,d ,,a \
,,,,,c ,,,e ,,c [,,,'d]"
18;a moll;44v;Allemande;;;;;C;",,a/ | \
[,,aeca3/4] ,,c/4 ,,d ,,,e ,,,d ,c ,,,,,a ,,d ,,,e \
(,d/8 ,c ,a/4) ,c/ ,,a/4 ,e | \
,,,c/4 c ,c ,,,,c ,,,,d/4 e (,,,,d/8 ,,,,c ,,,,a/4) \
,,,,,d/4 ,c e ,,,,a ,,,,c ,,c e d | "
19;a moll;45v;Courante;;;;;3;",,a/ | \
[,,ae,a3/2] ,,c/ ,,d ,a | \
,c/ ,,,c [,,,'a3/2] ,a/ | \
,c1 ,,,,c [d(y/] ,e/4 [dy)] | \
e1 ,,,,a/ e ['c,,,,c] ,d | \
,,,,,d/ ,c ,,d ,,,,a ,,,,c c | "
20;a moll;46r;Sarabande;Losy;;;Conc_3401;3;"[e,,,,a1] (e/ d) e1 | \
[d,,,c1] (,,,,c/ ,,,,a) ,,,,c1 | \
[e,,,,d1] (,,,,d/ ,,,,c) ,,,,d ,,,,a | \
[g,,,g1] g/ e g1 | \
[h,,,,a1] (h/ g ,h ,f) | \
['a,,,a3/2] a/ [,c,,c1] | "
21;a moll;46v;Menuet;;;;;3;"[,,a,,a1] ,c2 | \
[,a,,,c2] [,c,,,d1] | \
[,a,,a/] (,c ,d ,c ,a) ,,d | \
[,,c{,,a}1] ,,,,c ,,c | \
[,,'a,,a1] ,c2 | \
[,a,,,c2] [,c,,,d1] | \
([,,c{,,a}/] ,,d) [,,'c{,,a}3/2] ,,a/ | "
22;a moll;46v;Gigue;;;;;3;",c3 | \
,,a2 e1 | \
['c,c2] ,d1 [,cd2] h1 | \
['g,f2] ,h1 [,gh3] | \
,,,h2 ,h1 [,hfg3] | \
[,'f2] ,,,g1"
23;a moll;47v;Menuet;;;;;3;"[,c(y/] ,a ,,d ,,c [,,a)] e | \
[d,,,(c/] ,,,,a ,,,,,d ,,,,,c [,,,,,a)1] | \
(,,a/ ,,c ,,d) ,c {,a} ,a | \
([,c{,,a}/] ,a ,c ,d) ,c1 | "
24;a moll;47v;Gavotte;;;;;C;"[,c,,,a1] (,,a/ ,,c ,,d1) [,,c{a}] | \
[,,a{,a}/] (,,c ,,d) ,a [,c{,,a}1] ,,,,c | \
[a{,,,a}1] ,,a/ ,a [,,,d{,,a}1] [,,de] | \
[,,cdc1] ,,d/ ,a [,,d,,a1] ,,,e | "
25;a moll;48r;Menuett;;;;;3;"([e,,,,a/] d e) g e1 | \
{a}1 {,a} (e | \
[g{,,a}2]) g1 | \
[,cd{4}2] ,c1 | \
[,ea{,,,a}3/2] d/ e1 | \
g1 ['d{,,a}3/2] e/ | \
[e,,,,a3] | | "
26;a moll;48v;Gavotte;;;;Conc_1976;C;",c1 (,c/ ,a) ,,d1 ,,,,,a | \
e1 [e,,a] ['d,,,c] ,c | \
[e,,a1] (e/ c 'a) ,c [,'a] ,,d | \
{a}/ ,,,,a ,,d (,,c ,,d1) {4} :| "
27;a moll;48v;Menuett;;;;;3;",,d1 (,,d/ ,,c ,,a1) | \
,c1 ,,,,,a ,,,,c | \
[,c,,,d1] [,,,,'c] ,,,,,a | \
[,a,,,c1] ,,,,,a ,,,,,c | \
[,,c{b}1] (,,d/ ,,a) ,,c1 | \
[,,d,,a1] (,,d/ ,,c ,,d1) | \
([,,c{,,,a}/] ,,d) [,,'c{,,a}3/2] ,,a/ | "
28;a moll;49v;Gigue d'Angleterr;;;;;3;",c1 | \
[,,a,,a2] ([,,c{b}1] | \
[,,d,,a3/2]) ,a/ [,c{a}1] | \
[,ca{,a}3/2] ,d/ [,'a1] | \
[,c{,,a}2] c1 | \
[,,d,,a3/2] a/ [,a,,,c1] | \
[,c,,,d3/2] e/ [,a{,a}1] | \
[,'a{a}3/2] ,,d/ ,,c1 | "
29;a moll;49v;sans titre;;;;;3;"(,,a/ ,,c) [,,d,,a1] [,a,a] | \
[,#c,,c1] (,,,,c/ ,,,,a) (,,,,,d ,,,,,c) | \
,,,,,d1 ,,,,,a (e | \
[d,,,c1]) {,,a}2 | \
,,c1 ,,,,c/ (,,d ,,c1) | \
[,,a,d2] (,,,,a/ ,,,,c) | "
30;f# moll;50v;Caprice;;;;;C;"V[ee{,a}1] {a} V[ee,,,a] ,,,,,c | \
['de{4}1] ,e/ (d e1) {,a} | \
V[ee{,a}1] {a} V[ee,,,a] ,,,,,c | \
['de{4}1] ,e/ (d e1) {,a} | \
{4}/ e (,c1 [,ea{,,,a}/] ,c [,'a] ,,e | "
31;f# moll;51v;Menuet;;pp.52r-52v empty;;Conc_4162;3;"[,,,,(e1] ,,,d [,,,,d)] | \
,,,,e1 ,,a [,,e,c] | \
,,,,a1 ,,e [,,'c] | \
{4}1 (,,e/ ,,c ,,a) ,,,d | \
[,,,,(e1] ,,,d [,,,,d)] | \
,,,,e1 ,,a [,,e,c] | \
,,,,a1 ,,e ([,,'c] | "
32;g moll;53r;Prelude;;;;;none;"{a}/ ,,,,a ,,,c3/4 ,,a/4 ,,b3/4 ,,,c/4 ,a1 \
#f/ ,,,,e ,,,e ,,d (,a/4 ,b [,'a3/2]) ,,d/ [,,'b/] \
{a}3/4 {,a}/4 {,,a}/ ,,,c ,a [,,'d3/4] ,a/4 ,,e [,af/]"
33;g moll;53v;Allemade;;;;;C;"c/ | \
[cab{a}3/2] (a/4 ,b) ,a/ ,,,d ,,,b/4 ,,d ,a ,,d | \
,,b/ {a}1 ,,,a/4 (,,,,b ,,,,a) ,,,a ,,b ,,a ,,,,b ,,,c \
,,,,,d ,,a | "
34;g moll;54v;Corente;;;;;3;",a1 | \
[,abc{a}3/2] ,a/ ,,,c ,,a | \
,,b/ ,,d [,,'d{,,a}3/2] ,a/4 ,,e | \
[,aVf1] {,,,a} (,c | \
,e1) (,a/ ,c ,e) c | \
,,,,e/ e ,a1 ,,,,c | \
,,,,e/ ,,a ,,,,a (,,,,c ,,,,e ,,,,a) | "
