PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;[Ensemble in d];;;;;;
1;d moll;1v;'1:';;;;Conc_5175;C;{,,,a}/ ,,a ,a ',c (,d/4 ,c) ,a/ ,,,,,e [,c,,,a] | ([,d,,a/4] ,c) ,a/ ,,,,,e [,c,,,a] ([,d{,,,a}] ,c) (,a/ ,c) a 'c |
2;d moll;2v;'2:';;;;Conc_5176;2;[,a,,a2] ,a1 V,c | [aVd{,,,a}1] {,,a} {,a} ([,c{a}] ,a) | [,,e,,a2] ,,e1 [,a,a] [,Vc,,c1] ,,,,a ,,,,,e [,c,,,a] | 
3;d moll;3v;'3:';;;;Conc_5177;3/4;[,,a,a1] [,,a,,e] ,,,,,a | [,,a,a1] [,a{,,,a}] ([,,e{,,a}/] ,,c) | [,,a{,a}1] V,,b {a} | [,,a,ca3] | Z7 |
4;d moll;4v;'4:';;;;Conc_5178;2;[e{,,,a}1] (e/ c) (,d ,c) ,a V,c | ,,e1 ,,,,,a {,a} [,a{,,,a}] | [,c,,,e1] ,c/ a Vc1 [,c,,,a] |
5;d moll;5v;'5:';;;;Conc_5179;2/4;,,,,a1 ,,,,c | [,c,,,e1] [aVd,,a/] V,,,,c | [,a,a1] ([,c,c/] ,a) | [,,e,c1] ,,,,a/ a | ([,c,,,e/4] ,a) ,c a ,c/ [a,,,a] |
6;d moll;6v;'6:';;;;Conc_5180;3/8;Z10 | [e,,,a/] [f{d}1] | [c,,,,d/] [Ve,,,,a1] | [,a,,,b/] [Vc{a}1] | [,c,,,a/] ,a/4 ,,e ,c a | ([,c,,,a/4] ,a) ,c c a e |
7;d moll;7v;'7:';;;;Conc_5181;C;z1 ,,,,a/ ,,,,a ,,,,a {,,,a} [ad{,,,a}] [ad,,a] | [ad,,a/] [,,,,a{,,,a}] [,,,,a{,,,a}] a [a,,,a/] (,c/4 ,a) ,,d/ ,,b | [,,,'a{,a}/] [,,,c{,,a}] [,,,a{,,,a}] ,,,a ,,,a {,a} {,a} [e,,a] |
8;d moll;8v;'8:';;;;Conc_5182;3/4;Z6 | z1 z1 [,,a,ca1] | [,,aaa}1] {,,,a} z1 | z1 z1 [,c,,,e1] | [,a,,a1] ,a/ ,,e ,a V,c | [,,'e,,a3] | [a{,,,a}1] {,a} [c{,,a}] |  
9;d moll;9v;'9:';;;;Conc_5183;6/8;,,,,,a/ | ,,,,a1 ,,,,a/ ,,,,a/ ,,,,,e ,,,,a | V,,,,c1 ,,,,,a/ ,,,,,a1 ,,a/ | ,,,a/ ,,,,,a ,,,a ,,,a/ ,,,,,a ,,,a | ,,,,c/ ,,,,,a ,,,,c ,,,,c/ ,,,,,a ,,a |
;;;[Ensemble in C];;;;;;
14;C dur;10v;'14:';;;;Conc_5188;1/2;[,c,,,d/] [a,,,a] [Vc,,,c1] | [c,,,c3/2] [a,,,a/] | ([,c,,,d/] ,a) (3[,,d{4}/] ,a V,c | [,'a{a}2] | [,a,,,c1] [,Vc,,,d] |  [,a,,,c3/2] [,,d,,a/] |   
;;;[Aria in der Hand von Bohr];[Aria written in Bohr's hand];;;;;
15;C dur;11v;Aria La di Cerbero etc. ;Antonio Caldara;;;Conc_5196;C;[,,,a{,a}/4] ,,d ,,,c ,,d ,,,e ,,d ,,,c ,,d ,,,a (,,,,,d ,,,,,a ,,,,,d) ,,,a ,,,,,d ,,,,,c ,,,,,d | [,,a{,a}/4] c ,,b c ,,d c ,,b c [,,aa]  (,,,,,d ,,,,,a ,,,,,d) ,,,a ,,,,,d ,,,,,c ,,,,,d |
