PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;G dur;1r;Prelude;;;;;none;"{a} ,,,,a ,,,c ,,c ,a c ,,c V,,d ,a V,c ,,,e [,,,'c] ,,,e \
,,,,e ,,,e ,,d ,a #e ,a [,,'d]"
2;G dur;1v;Gavotte;;;;;C;"c/ ,e | \
[ce{a}1] [,'a/] ,,d [,,'cc1] ,,,c/ ,,,,a | \
[,,d,c1] [,a,,,c] V[,c,,,d] [,a,,,c] | \
V[,c,,,d1] [,,c{a}] [,,d,,a] [,,'c{a}] | \
[,,ab{,,,a}1] ,,,,a [,,ab] 'c/ ,e | "
3;G dur;2v;Menuet;G.Porsile or Bohr;;;Conc_3424;3;"[,,c{a}1] [,,'a{,a}2] | \
V[,,c{a}2] ,,c1 | \
[,,,c{,,a}1] [,,,'b{,,,a}2] | \
V[,,,c{,,a}2] ,,,c1 | \
[,,,,c{4}1] [,,,,ac2] | \
V[,,,,cd3/2] ,a/ [,,d{4}1] | \
(,,d/ ,,c) [,,'a{,,,a}3/2] (,,,c/4 ,,a | ,,,c1)"
4;G dur;3r;Sarab:;;;;;3;"([,,cc{a}/] ,,d) [,,'cca3/2] ,,a/ | \
[,,ab{,,,a}1] [,,aba1] ,,,,a/ ,,,,,d | \
[,a,c,c1] [,,'de,a3/2] ,,c/ | \
[,,cc{a}1] [,,'cca2] | \
V[ea{,a}1] ['c{,,a}3/2] c/ | \
[,ea{,,,a}1] [,'cc{a}3/2] ,e/ | "
5;G dur;3v;Allemande;G.Porsile or Bohr;;;Conc_3767;C;",a1 | \
[,acc{a}3/4] c/4 'b ,c [,'a] ,,d [,,'c] ,a {a}/ \
{,a}/4 ,,a ,a {,a} | \
{,,a}/ ,,,c/4 ,a [,,'e3/4] ,a/4 [,aab{,,,a}3/4] ,,,b/4 \
V,,,c/ ,,,e/4 ,,d | "
6;G dur;4v;Courante;;;;;3;",a/ ,c3/4 ,e/4 | \
c1 {a}/ c 'b ,c | \
,,,,,c/ ,a ,,,c1 ,,,,,d/ ,c | \
,,,,a/ ,a [,,'d{,a}3/2] ,,c/ | \
[,,cc{a}1] [,,cc/] ,,c V,,d ,a | "
7;G dur;5v;Menuet;;;;;3;"[,,(c/] ,,d [,ay)1] [,,a{,a}] | \
V[,,c{a}2] [,,d,,a1] | \
[,a,,,c3/2] ,c/ [,,d,,a1] | \
[,,'c{a}3/2] ,,a/ ,,,c1 | \
[,,(c/] ,,d [,ay)1] [,,a{,a}] | \
V[,,c{a}2] [,,d,,a1] | \
[,,'a{,a}3/2] ,,c/ [,,,c{,,a}1] | "
8;G dur;5v;Gigue;;;;;3;",,c1 | \
[,,cc{a}1] [,aa{,a}/] V[,,dc{,,a}1] [,,cb{,,,a}/] | \
[,,'a{4}1] ,,,c/ [,,,'b{,,,a}1] ,,,,,c/ | \
,,,c1 [,,,c,c/] [,,,,,'a1] {a}/ | \
{,a}/ ,,a ,a [,,'c{a}1] c/ | \
[,'c1] ,a/ [,,ee,a1] ,,,,,c/ | "
9;G dur;6v;Menuet;;;;;3;",a1 [,,,c{a}] ,,a | \
[,,'cc3/2] ,,c/ ,,,,a ,,a | \
[,,,'cc3/2] ,,,c/ ,,,,,e ,,a | \
[,,,'ba3/2] (,,,,c/4 ,,,b ,,,,a1) | \
,a1 ,,c V[,,d,,a] | \
[,ad,,c3/2] ,a/ [,,d{4}1] | "
10;G dur;7r;Gavotte;G.Porsile or Bohr;;;Conc_2426;C;",,,c/ ,,a | \
[,,,c{a}/] ,,a ,,c ,,d [,,'a{,a}1] ,,,,a | \
V[,,,c{,,a}1] [,,a,,e/] ,,,c [,,,'b{,,,a}1] ,,,c/ ,,a | \
[,,,c{a}/] ,,a ,,c ,,d [,a{,a}] ,,d [,,c{a}] ,,d | "
