PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;Parthia 1;;;;;;;
1;F dur;1r;Aria;;;Mandora;;2/4;"[,bc{,a}1] [bb{,a}] | \
(3[,b,,a/] ,,d ,,c) (3,,c/ ,,a ,,,d) | \
[,bc{,a}1] [bb{,a}] | \
(3[f{,a}/] ,,f ,,f) ,,f/ ,,f | \
'[,,d,,a1] d | \
(3[d{,,a}/] ,,d ,,d) ,,d/ ,,d |"
2;F dur;1v;All[egr]o;;;Mandora;;2/4;"[bb,d/] ,b ,,c ,,,d | \
[,b,,d/] (,b/4 ,d) a/ ,b | \
[bb,d/] ,b ,,c ,,,d | \
[,ba,d1] [,ba,d] | \
[i,,h/4] ,g ,f ,g i/4 ,g ,f ,g |"
3;F dur;2r;Menuet;;;Mandora;;3/4;"[bb{,a}1] ,b [,,d,,a] | \
[,,c{,a}1] ,,a/ ,,c ,,,d1 | \
[,b,,a1] [,d,,b] [a,,,d] | \
[bb{,a}2] [f,,d1] | \
'[d{,,a}1] ,,f [d,,c] | \
'[b,,a1] ,d b |"
4;C dur;2r;Trio;;;Mandora;;3/4;"[,ba,d1] ,,,c ,,a | \
i1 ,i ,,k | \
[,d,,c/] b [a,,,d1] '[,d,,,a] | \
,,f1 ,,,,d d | \
[c,,a1] d ,d | \
'[,d,,,a2] [,b,,a1] | \
[,aa,,a/] ,,c ,,a1 ',,,e |"
5;F dur;2v;Vivace;;;Mandora;;3/8;"[bb{,a}/] [il] [gi] | \
[fg/] [d,,,b] [b,,,a] | \
[b,c/] [d,d] [ab,,d] | \
[bb{,a}3/2] | \
[,bc/] [,,cd] [,bc] | \
[,bc/] [,,cd] [,d,,b] | \
[,b,,a/] [,,d,,a] [,,c{,a}] | \
'[,,a,d3/2] |"
;;Parthia 2;;;;;;;
6;F dur;3r;Introd[uzione];;;Mandora;;2/4;",b/ | \
[bb{,a}/] (i/4 g) (f/4 d) (b a) | \
[bb,,a/] ,,,,,a {,a} b | \
[db,c/4] b a ,d ,b/ d | \
[f,,d/] d/4 f ,g/ [,b,,a] |"
7;F dur;3v;Andante;;;Mandora;;C;"[bbc{,a}1] [,b{,a}] [,,c{,a}] [,,,d{,a}] | \
[,dd{,a}1] [,bb{,a}] [,bc{,a}] b | \
[d,,,b/] b a ,d ,b1 [,,d{,,a}] | \
',,c1 ,,,d {,a} [f,,d] | \
[d,,c/] b a ,d ,b1 [d,,c] |"
8;F dur;4r;Menuet;;;Mandora;;3/4;"{,a}/ ,,c ,b1 ,,c | \
[,,d,,a1] (,,c/ ,,a) [,,c{,a}1] | \
[b,,,a1] [d,,,b] '[a,,,d] | \
[bb,d1] ,,c {,a} | \
[f,,d1] (d/ b) a ,d | \
[d,,c1] [,a,,,a] [,bc{,,a}] |"
9;F dur;4v;Gigue;;;Mandora;;6/8;",b/ | \
([b{,a}/] a) b (,b/ ,a) ,b | \
(,,c/ ,,a) ,,c (,,,d/ ,,,c) ,,,d | \
[db,c/] a ,b ,,,,d/ a g | \
[f{,a}/] d f ,g1"
;;Parthia 3;;;;;;;
10;F dur;5r;Capricio;;;Mandora;;2/4;"[bb{a}/] ,,,,,a ,,,,a {,a} | \
[ab,,d/] ,,,a ,,,c ,,,,d | \
[bb{,a}/] ,,,,,a ,,,,a {,a} | \
[ab,,d1] ,b | \
[,dd,b/] [,dd,b] [,dd,b] [,dd,b] | \
[gf,f/] ,f [,f,f1] |"
11;F dur;5v;Andante;;;Mandora;;3/4;"{,a}/ ,,c ,b b ,b ,,c | \
[,dd,b3/4] (a/4 b1) ,,,d | \
[,,d{,,a}3/4] (,,c/4 ,,d/) ,d ,b ,,d | \
'[,,c{,a}1] ,,,d2 | \
[f,,d/] ,,f ,,f f f ,,f |"
12;F dur;6r;Menuet;;;Mandora;;3/4;"{,a}/ ,b 'b1 b | \
{,,a}/ ,,f 'd1 d | \
,,,d/ f ,,,c d ,,,a b | \
'[a,,,d1] ,d/ a ,b1 | \
[i,,h/] ,g ,g i i ,g |"
13;d moll;6r;Trio;;;Mandora;;3/4;",,,a1 ,,,d ,,c | \
[,dca1] (b/ a) ,d1 | \
[f,,d1] ,d ,f | \
'[,c,,a2] ,,c1 | \
[,,d,,a1] [,,c{,a}2] | \
[,,c{,a}1] [,,a{,,a}2] | \
[,d,d1] [d,,c] [b,,a] | \
'[,a,,a3] |"
14;F dur;6v;Vivace;;;Mandora;;3/8;"{,a}/ [,b,,a] [,b,,a] | \
{,a}/ [,d,,b] [,d,,b] | \
{,a}/ [a,,,d] [a,,,d] | \
[b,,,a3/4] d/4 b/ | \
[il,,a/] ,,l ,,l | \
[l,,i/] ,,l ,,l | \
[i,,h/] [g,,f] [f,,d] |"
;;Parthia 4;;;;;;;
15;C dur;7r;All[egr]o;;;Mandora;;2/4;"[,ba,d/] ,,a [,ba,d] ,,a | \
,,,,d/4 ,b ,a ,,c ,,a/4 ,,,d ,,,c ,,,a | \
[ab,,d/] ,b [ab,,d] ,b | \
,,,,d/4 d b a (,d/4 ,b ,a) ,d |"
16;C dur;7v;Menuet;;;Mandora;;3/4;"[,ba,d1] ,,a ,,,c | \
,,,,d1 (d/ a) [b,,a] ,d | \
[ab,,d1] ,,a ,,,c | \
,,,,d1 (d/ a) [b,,a] ,d | \
{,a}1 f [d{,,a}] | \
,,,a1 b [a,,,d] |"
17;C dur;7v;Capricio;;;Mandora;;2/4;"[,ba,d/] ,,,,d/4 ,,,a ,,,c/ ,,,,d | \
[,da,c/] ,,,,,a/4 ,,,,a ,,,,c/ ,,,,,a | \
[,ab,,d/] b/4 d [b,,a/] [a,,,d] | \
([,d,,c/4] ,b ,a) ,,c ,,a/ d |"
18;C dur;8r;Menuet;;;Mandora;;3/4;"[,ba,d1] i i | \
'[h,,,,a2] ,i1 | \
{,a}1 f f | \
'[d{,,a}2] ,f1 | \
,,,a1 b [b,,,c] | \
[a,,,d/] ,d a b d1 | \
([f{,a}/] d) (b a) ,d ,b |"
19;C dur;8v;Finale;;;Mandora;;2/4;"[,ba,d1] [,ba,d] | \
,,,,,a/4 ,,a ,,c ,a ,b1 | \
,,,,,a/4 ,,a ,,c ,a ,b1 | \
[ab,,d/] ,b d a | \
i1 [d,,c] | \
[f,,d1] [b,,a] |"
;;Parthia 5;;;;;;;
20;C dur;9r;Capricio;;;Mandora;;2/4;"[,ba,d/] ,a/4 ,,c ,,a/ ,,,d | \
,,,c/ (,,,a/4 ,,,c) ,,,,d/ a/4 b | \
[d,,c/] b/4 a) [,d{,a}/] [,b{,,a}] | \
'[,a,,,a/] ,,c/4 ,a ,,a/ ,b |"
21;a moll;9v;Andante;;;Mandora;;3/4;"[,,c,a1] [,bc,a] [ab,,a] | \
[f,,,a/] a ,b a ,,c1 | \
[bd,a1] [ab,,d2] | \
[,db,c/] ,a ,,b ,,,c [,a{,,a}] ,d | \
'[,b,,c1] ,,c2 | \
[,,c,a/4] ,,b ,,c ,,b ,,c2 |"
