PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;3r;sans titre [prelude];;;;;none;"[,c,,,d3/4] ,,,,,c/4 ,,,,,a/ ,,d a ,c [,a,,,c3/4] ,,,,,a/4 \
{a}/ ,,c ,c ,a [,,d,,a3/4] {a}/4 {,a}/ ,,a ,a ,,d [,,c{a}3/4] \
{,a}/4 {,,a}/ ,,,c"
2;c moll;3v;sans titre;;;;;3;"[,,d{4}/] ,a ,b1 [,'a] | \
,,d1 ,,,,b [,,,,'a] | \
[,,d,,d1] (c/ a) (,b ,a) | \
V,b1 ,,,,,d ,,,,,b | \
[,,d{b}1] a ['c{a}] | \
[d,d{,a}1] (d/ c a) ,b | "
3;c moll;4r;sans titre;;;;;C;"[,,dcb{4}1] [,,dc/] ,,d | \
[,ad,,c1] ,,,c/ ,a V[,b,,,d1] [,'a/] ,,d | \
[,,'c{a}3/2] (,,,c/4 ,,,a) ,,,,b/ ,,,c ,,d ,,b | \
{,a}/ ,,,d {a} ,,,c [,,,'a{b}3/2] ,,,,b/4 ,,,a | "
4;c moll;4v;Air de l'Opera d'Atys;Lully;Entrée des Nymphes;;Conc_1278;3;"[c{4}1] [,,dcbd3/2] c/ | \
['a,,,,d1] [,'a,,,c3/2] c/ | \
[,'b,,,d1] [,,d{4}3/2] ,b/ | \
[,'a,,,c1] [,'a,c,b1] c/ c | \
[,,d,,a1] [,,da{b}1] [,,'c/] ,,d | \
[,,'c{a}2] :| "
5;c moll;5r;Gavotte du Jeune Gallot;Gallot le Jeune;La Resolue;;Conc_1279;C;",,d/ | \
[,,dcbd1] {4}/ ,a [,,cc{a}3/2] ,,,a/ | \
[,,d,b1] [,,,,'a/] ,,,,,d [,a,c,'c3/2] ,a/ | \
V[,bd,,d3/2] ,,d/ [,a,,,b1] ,a/ {a} | \
[,,d{b}1] [,a{,a}] [,,'cc{a}2] :| "
6;c moll;5v;Allemande d'Emon;Du But or Emond;;;Conc_50;C;"[cbd{4}1] ,,,c3/4 c/4 [cbd1] [ca,,,c3/4] ,d/4 | \
[,'b,,,d/] ,,,c ,,d3/4 a/4 ,b/ {,a} [,'a,d3/4] ,,d/4 | \
[,,'c{a}/] ,,,c1 [,,,'a/4] ,,,,a V,,,,b/ ,,,c/4 ,,d [,,,,'a/] \
,a/4 ,,,,,d | "
7;C dur;6v;Sarabande d'Emon;Emond;;;Conc_180;3;"[ccVd,,d/] c [ccdc1] ,,,,,d/ [,,,,,'c] | \
[c,d,,a1] 'a/ ,c a ,,a | \
[,,'c{a}/] a [aacc1] V[,cd] | \
[,acc1] [,acc] ,a/ ,,,,d | \
[,,d{a}1] [,,dc'c3/2] ,,,,d/ | "
8;C dur;7v;Allemande d'Emon;Emond;;;Conc_765;C;",,d/ | \
[,,dcc{4}3/2] ,,,c/ V,,,e3/4 ,,,,c/4 V,,,,d3/4 [,,,'c/4] | \
[,,,,'c/] ,,,,,d ,,,,c [,,,,a'c] [,,,#c3/4] ,,,c/4 [,,,,cd/] \
[,,db,a] | \
[,,'c{a}/] ,,,c [,,dc{a}3/4] ,,d/4 [,,d{,a}/] ,,,e \
{,,a} [a,c{,,,a}] | "
9;C dur;8v;Courante d'Emon;Emond;;;Conc_767;3;",,,c1 | \
[,,,'cc{4}3] | \
[,,aaVd{,a}3/2] ,,a/ [,a{,,,a}1] | \
[,,'cc{a}3/2] ,,,,a/ [,,d,c1] | \
[,a,a1] [,,cc1] [,cd1] | \
[,'a{a}3/2] ,,d/ [,,dcc{4}1] | \
c3/2 e/ ['a{,,,a}1] | \
[a,a1] ,,c/ c [,cd,,a1] | "
10;C dur;9r;Sarabande d'Emon;Emond or Pinel;;;Conc_1281;3;"[ccd,,d1] [ccd/] c [c{a}1] | \
[cacca3/2] a/ [,'c,,,a] ,a | \
,c/ ,c [,cde1] {,,a}/ ,c | \
[,cVdccd3/2] ,a/ [,,d{,a}1] | \
[,,ded1] [,ac] [,cdc] | \
[a,,,a1] ,,c/ c [,c,,,d1] | "
11;C dur;9v;Gavotte;Lully;Phaeton;;Conc_1282;C;"[,,d,,d1] [,a,,,c] | \
[,'c,,,d1] {4}3/4 a/4 ['a{,a}3/2] c/ | \
[c,,,,d1] [,'c] [e,,a] (c/ a) | \
[c,,,,d1] [,'c] V,d [,ac] | \
[,'cd1] a/ ,c [,a,c] ,c [,,d,,a] ,a | "
12;C dur;10r;Gigue;Robert de Visée;;;;3;",,,c1 | \
[,,dccd3/2] ,,c/ [,,#d1] | \
[,aa,,c1] [,,,#b,a] [,aa{a}] | \
[,acc3/2] ,c/ ,d1 | \
[,'c,,,d3/2] [,,#d/] [,c{4}1] | \
[,,'a{,a}3/2] ,,a/ ,,c1 | \
V[,,d{,,a}1] ,,,c [,,a,,d] | "
13;a moll;10v;"L'Amant Malheureux
Allemande du V. Gallot";Jacques Gallot;;;Conc_151;C;"[,,#h2] [,,,#h3/2] ,,h/ | \
[,,'fg1] ,,,,h [,,,,'g3/4] ,,h/4 [,,'f1] | \
,,,,h3/4 ,,,h/4 ,,,,,a1 [,,,'g{,,a}3/2] ,,,,f/ | \
[,,a{,a}1] (,,,,,h3/4 ,,,a/4 [,,,,,'f3/2]) ,,,g/ | "
14;C dur;11v;Courante d'Emon;Emond;;;;3;",,,c/4 ,,a/ ,,c/4 | \
V[,,d{4}1] ,,,a/ ,a [,#c,,,d1] | \
[a,,,a1] [,'a,,,c3/2] c/ | \
[,c,,,d1] ,,d [ca,,,c3/2] | \
e/ [e'e,,,a3/2] g/ | \
[g,f{a}3/2] ,,,,,a/ {a} {,a} | "
15;C dur;12r;Marche;;;;;C;"[,cdc{4}3/2] ,a/ [,c,,,d1] [,'a{a}] | \
[,,dcc{4}2] [,,d,,d1] [,,'c{a}] | \
[,,d,,d/] ,a ,c a V[c{a}1] [c{,,a}1] | \
[ccd{4}2] [ccd1] :||: c3/4 c/4 | "
16;C dur;12v;Jeunes Zephirs Sarabande;Champion de Chambonnieres;NOT Aimable Vainqueur!;;;3;"[,,,'cc{4}3/2] ,,,c/ ,,d1 | \
[,,'a{,a}3/2] ,,a/ [,a{,,,a}1] | \
[,,'cc{a}1] V[,,d,c1] ,,,a3/4 ,a/4 | \
[,'ac{a}1] (,,d/ ,a [,,d{4}1]) | \
[,'c,c,d1] (a/4 ,c) a/ ,,,,a [ccccc/4] c | "
17;C dur;13v;"La Venetienne du
Carneval de Venise";André Campra;;;;3;",,,c1 | \
V[,,dcc{4}2] ,,d1 | \
[,acc{a}2] ,a1 | \
[,c,,,d3/2] ,d/ ,c1 | \
[,'a{a}2] ,,,c1 | \
V[,,d{4}2] ,,d1 | \
[,a{a}2] ,a1 | \
[,'c,,,d3/2] ,d/ ,c1 | "
18;C dur;14v;Nopces de Village;Jacques Gallot;;;Conc_186;C;"[,,#d/] ,a | \
V[,c{4}1] ,,,,,d/ ,c [,cdc1] ,,,,a3/4 a/4 | \
[c,,,c1] ,,d c [aaaa] | \
[aacc1] ,,d/ ,c [,ad{a}1] ,,d | \
V[,,d{4}1] ,,,,,d [,,dcc] :| "
19;C dur;15r;Aux Armes Camerades - Air a boire;;;;;C;",,,c1 | \
[,,#d{4}3/2] ,a/ [,,d,,d1] [,,,c,c] | \
[,,#d,,a2] [,,d{,,a}1] [,a{,a}/] ,c | \
[,a{a}1] [,#c/] a [,c,,,d1] [,'a/] ,,d | \
[,a{a}/] ,,d ,a ,c ,a1 [,,,c{,,a}] | "
