PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concordances taken from Pietro Prosser's thesis (1996);;;;;;
1;;1r;Ballett;;;Mandora;;C;"[,b,,d1] d '[b,,a] a | [,b,,d1] d '[b,,a] a | [,b,,d1] d '[b,,a] a | \
[,d,,,a1] ,,a [,ba,d2] :||: [,b,,d1] a [,d,,c] a |"
2;;1r;Caplan ;;;Mandora;;3;",,a/ ,,c [,aa1] '[,,ca] | ,,a1 ,,,a ,,a | [,da,c1] [d,,c] c/ a | \
[,da1] ,b/ ,a ,,c ,,a | [,dacc1] [d,,c] c/ a |"
3;;1v;Menuet;;;Mandora;Conc_4932;3;"[,ba,d1] ,b/ ,d ,b ,d | [,ba,d1] ,,a ,,,,,a | [,da,c1] ,d/ a ,d a | \
[,d,,c1] ,a ,,a | [db,c1] (b/ a) ,d ,b |"
4;;1v;Marche;;;Mandora;;C;",,c1 | [,d,a1] ,,,c ,,,e [,d,a] | '[a,,,a1] ,,,,c ,,,,e [a,,,a] | \
V[c,,a1] ,,,c ,,,e [c,,a] | '[a,,,a1] ,,,,c ,,,,e [a,,,a] |"
5;;2r;Menuet;;;Mandora;;3;"[,ba,d1] ,,a/ ,,a ,,a ,,a | [,da,c1] ,,a/ ,,a ,,a ,,a | \
[,d,,c/] a V[b,,a1] [a,,,d] | '[,da,,a2] ,,a1 | \
[,ba,d1] ,,a/ ,,a ,,a ,,a |"
6;;2r;Menuet;;cont'd at f.2v (bottom);Mandora;Conc_5261;3/4;",,c/ ,a | [,d,a1] [ac,,a] [cd,a] | [ac,,a1] (,d/ ,a) ,a1 | \
'[,,a,,a1] ,,,e ,,,c | ,,,a2 ,,c/ ,a | [,d,a3/2] ,,c/ ,c ,,c |"
7;;2v;Menuet;;;Mandora;;3;"d1 | [db,c1] (b/ a) ,d ,b | '[,aa,,a1] ,,a (,b/ ,a) | \
[,,cd1] [b,,a] [a,,,d] | '[,da,,a2] d1 | \
,,,c/ d ([b,,a] a) ,d ,b |"
8;;3r;Gig[ue];;;Mandora;;6/8;"(3,,a/4 ,,c ,a) | [,b,,d/] ,,a ,b [,b,,d] ,,a ,b | \
[,b,,d/] ,,a ,b [,b,,d] ,,a ,b | \
'[,a,,,a3/4] ,b/4 ,d/ [,d,,c3/4] a/4 b/ |"
9;;3v;Menuet;;;Mandora;;3;"[,b,,d/] a [,d,,c] a [,d,,,a] a | V[bd,a1] (b/ a) ,d1 | \
[db,c1] (b/ a) ,d ,b | '[,aa,,a1] ,,c/ ,a ,,a1 |"
10;;4r;Aria;;;Mandora;;3;"[,ba,d1] ,,a ,b | [,da,c1] ,,a [,d,,c] | [ab,,d1] ([b,,a/] a) ,d ,b | \
'[,a,,,a1] ,,c/ ,a ,,a1 | [db,c1] (b/ a) ,d ,b |"
11;;4v;Marche;;;Mandora;;C;"(,,a/4 ,,c) ,a/ | [,ba,d1] ,b/ ,b ,b1 ,b | [ab,,d1] (a/4 b d/) '[b,,a2] | \
[a,,,d1] a/ ,b V[,d,,,a1] (,d/ ,a) |"
12;;5r;Menuet;;;Mandora;;3/4;"[,ba,d1] ,,a ,b | [,da,c1] ,,a ,d/ b | [ab,,d1] ([b,,a/] a) [,d,,,a] b | \
'[a,,,d1] (,d/ ,b) ,d b |"
13;;5v;Payssanne;;;Mandora;;2/4;"[,ba,d3/4] ,d/4 a/ [b,,a] | [db,c1] [a,,,d] | [b,,a3/4] a/4 ,d/ b | \
'[a,,,d1] ,b | [db,c3/4] b/4 a/ [b,,a] | [db,c3/4] b/4 a/ b |"
14;;5v;And:;;Cont'd on f. 6r (bottom);Mandora;;3/4;"[ac,,a1] ,,,a/ ,c ,a ,,c | [c,,a/] ,d [a,,,a1] z1 | \
[,a,,,a/] ,,b [,,c,a1] z1 | ,,,,c1 ,d [,c,,a] | \
[,a,,,a1] ,,b/ ,a ,,,,,a1 |"
15;;6r;Menuet;;;Mandora;;3;"[,ba,d1] a d/ ,b | '[,a,,,a2] ,b1 | ([b,,a/] a) b1 ,d/ b | \
'[a,,,d1] ,d/ a ,b1 | [,b,,d/] ,d a b d1 |"
16;;6v;Menuet;;;Mandora;;3;"[,da,c1] ,,a ',,,e | [,,a,,a/] ,,c ,a ,b ,d ,a | \
V[,b,,a1] [,a,,,a] '[,,ca] | [,,a,,a3] | \
[,d,,c/] ,,a [a,,,d] ,,a [,d,,c] ,,a |"
17;;7r;Menuet;;;Mandora;Conc_4918;3;"[da,,,a1] (,d/ ,b) ,a ,,c | [,,a,,a1] [a,,,d] [,d,,c] | \
[a,,,d1] [,d,,c] (a/4 c d/) | '[,b,,a2] ,a1 | \
[,da,c1] (,b/ ,a) ,,c ,,a |"
18;;7r;Menuet;;;Mandora;;3/4;"[,,c,a1] ,,c [,a,,,a] | [,c,,a1] ,c V,c | a1 ,,,,,a ,,b | \
V[,,c,a2] [,a,,,a1] | [,c,,a] ,c V,c | [,d,a1] ,d V,d | \
a1 ,a ,,b |"
19;;7v;Menuet;;;Mandora;;3/4;"[,ba,d1] a [d,,c] | ,,,,d1 ,,,c ,,a | [,b,,d1] [f,,d] [d,,c] | \
'[b,,a/] a [,d,,,a] b [a,,,d1] | [,b,,d1] [f,,d] [d,,c] |"
20;;7v;Menuet;;;Mandora;;3/4;"[,d,a1] ,,c ,,,e | ,,,a1 ,,,,a ,,,,,c | [,d,a1] c [a,,,a] | \
'[c,,a1] a/ c [,d,a1] | ,,,a1 ,,,,c ,,,,,e | \
,,,,,a/ c a1 '[,c,,,a] |"
21;;8r;Menuet;;;Mandora;;3/4;"[,ba,d1] ,,a/ ,b ,,,c ,,a | ,,,,d1 a d | 'a1 (d/ b) a ,d | \
[,b,,d1] [d,,c] [b,,a] | [,,a,,a1] [b,,a] [a,,,d] |"
22;;8v;Menuet;;;Mandora;Conc_4834;3/4;"[,b,,d/] ,,a ,b ,,a ,b ,,a | [,d,,c/] ,,a ,d ,,a ,d ,,a | \
[ab,,d1] ([b,,a/] a) ,d ,b | '[,a,,,a1] ,,c/ ,a ,,a1 |"
23;;9r;Prelude;;;Mandora;;none;"[ab,,d/] [ab,,d] [dd,,c] [dd,,c] [db,,a] [db,,a] [bb,,a] [bb,,a] \
[aa,,,a] [aa,,,a] [,dcd] [,dcd] [,bac] [,bac] [ba,a] [ba,a] \
[ab,,d] [,b,c] [,d,d] [,a,,,a] [,ba,d2] ||"
24;;9r;Menuet;;;Mandora;;3/4;"[,,c,a1] [,d,a] [a,,,e] | ,,,a/ c d c a1 | ,,,a/ c ,,a c a1 | \
'[,c,,a1] ,c/ ,a [,,c,a1] | [ac,,a3] :||:"
25;;9v;Aria;;;Mandora;;C;"[ab,,d1] '[b,,a] [db,c] [f,,d] | [b,,a/] a [,d,d] ,b '[,aa,,a1] ,,a | \
[,bac1] ,b [dcd] [a,,,d] | \
V[b,,a1] [a,,,d] [,da,,a/] ,,,,a ,,,,c ,,,,,a |"
26;;10r;Boureè;;;Mandora;Conc_681;C;"d/ b | '[a,,,d1] ,d/ ,b '[,a,,,a1] ,,c/ ,,a | \
[,ba,d2] [,da,c] | [a,,,d1] [d,,c] '[b,,a] [a,,,d] | \
([,d,,,a/] ,b) ,a ,,d ,,a1 d/ b |"
27;;10v;Gavotte;;;Mandora;;C;"[,ba,d1] [,da,c] | [a,,,d1] ,b/ ,d a1 [a,,,d] | \
[a,,,d1] [b,,a] [d,,c] a/ b | [db,c1] [f,,d] '[b,,a] [a,,,d] | \
[bd,a1] [db,c] '[a,,,d] [,da,c] |"
28;;10v;Menuet;;;Mandora;Conc_4889;3/4;"[,d,a1] ,,c ,,,e | X,,,a3 |  [f,,e1] c ,d | [,,c,a3] | \
[,d,a/] a c1 ,a | [,c,,a/] ,d a1 [,,c,a] | ,a1 ,,,,,a/ a ,,c1 | \
V[,,c,a3] :||:"
29;;11r;Menuet;;;Mandora;;3;"[,ba,d1] ,,a ,,,c | ,,,,d1 a d | [,da,c1] ,a ,,a | \
,,,,,a1 ,d b | [ab,,d1] ( b/ a) ,d ,b |"
30;;11v;Gig[ue];;;Mandora;Conc_5033;6/8;",,a/ | [,b,,d/] ,,a ,b [,d,,c] ,,a ,d | \
[a,,,d/] ,,a a [b,,a] ,,a b | \
[db,c3/4] b/4 a/ [,d,d3/4] a/4 ,b/ |"
31;;12v;Marche;;;Mandora;;C;",d/4 a c | V[da,,,a1] d/ d d1 d | [d,,,,a1] '[c,,,a/] a [,d,,c1] [,b,,a] | \
([,a,,,a/] ,d) ,a ,,a [,,ca1] ',,,,e |"
32;;13r;Boureè;;;Mandora;;C;",,a/ ,,c | [,a,,,a1] ,,c/ ,,a [,a,,,a1] [,b,,a] | \
[,da,c2] [,bc,a] | [,a,,,a1] [,d,,c] '[,b,,a] [,a,,,a] | \
(,,c/ ,,a) (,,,e ,,,c) ,,,a1 ,,a/ ,,c |"
33;;13v;Menuet;;;Mandora;;3/4;"[,aa,,a2] '[,b,,a1] | [,d,,c1] ,,a [a,,,d] | \
[,d,,c1] ,,a (a/4 c d/) | '[,b,,a2] ,a1 | [,aa,,a2] '[,b,,a1] | \
[,da,c1] ,,a [a,,,d] |"
