PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
1;C;dur;1r;Aria;;;;;C;"[,,dcc{4}1] [,,dcc{,,,a}] [,,dcc{,,a}] [,,dcc{4}] | \
[,,'aa{,a}1] [,,a/] ,a [,,'c{a}] ,,,,,a {a} {,a} | [,,dc{,,a}1] \
[,ad{,,,a}] [,cd{4}] [,'a{,a}/] ,,d | {a}/ ,,d ,a ,,d/4 ,,c \
[,,d{4}1] ,,,,,d :| ";;;;;;;;;;
2;C;dur;1v;Courant;;;;Conc_502;3;",,,e/ ,,,c ,,,a | [,,,,c{4}1] ,,,,,d [,,,cc] | [,,dc{,,a}1] \
{4}/ ,a ,,d ,,c | [,,aa{,a}1] [,,cc] [,,dc{,,a}] | {,,,a}/ \
,,d ,d ,,c ,,d ,a | ";;;;;;;;;;
3;C;dur;2r;Sarabanda;;;;;3;"c/ a ,c1 ,,d | [,,c{a}1] {,a} [,,d{,,a}] | [,ad,,c1] ,a/ ,c \
a c | [,c,,,d1] ,c/ ,a ,,d1 | [,ad,,c1] ,a/ ,c ,a1 | ";;;;;;;;;;
4;C;dur;2v;Menuet;;;;;3;"[,,dc{4}1] (,c/ ,a) ,,d1 | [c,,,,c1] c/ e c1 | [a,,,,a1] \
c [,a,,,c] | [,c,,,d1] (,c/ ,a) ,,d1 | [,ad,,c1] ,a/ ,c ,a1 | ";;;;;;;;;;
5;C;dur;3r;Ciaccone;;;;;3;"[,cd{4}1] 'a/ {,,,a} ,c a | {,,a}/ c ,,d c a c | [e{,a}/] \
c a ,c ,a ,,d | [,,c{a}1] ,,,c/ {,a} {,,a} ,,d | ";;;;;;;;;;
6;C;dur;3v;Guigue;;;;Conc_4552;3;"[,,d{4}2] ,a1 | ,c2 ,,d1 | ,,c1 c ,,a | ,,c1 c ,,,c | ,,a1 \
a ,,c | ,,d1 ,c ,,,c | [,'a1]> ,,d ,,c1 | [,c,,,d2] [a,,,a1] | ";;;;;;;;;;
7;d;moll;4v;Aria;;;;Conc_4158;C;"[,aa{,,,a}1] ,,a [,aaaa] [,c,,,e] | [ad,,a1] [,'c/] ,a \
[,,'e,,a1] ,,a | [ad,,a1] [,cd,,d] [,ab,,b] [,'c{a}/] ,a | \
[,,'e,,a1]> ,,e [,af,a1] {,,,a} :| ";;;;;;;;;;
8;d;moll;4v;Menuet;;;;Conc_4636;3;"{,,,a}1 e [,ca,,e] | ['aa,,a1] a [,c,,,d] | [,aa,,b1] (c/ \
a) (,c ,a) | ,,,,,a/ ,,e ,,,e1 {a} | {,a}1 [,aa] [,,ec{,,a}] \
 | [,aa{,,,a}1] ,a [,ca,,e] | ";;;;;;;;;;
9;d;moll;5r;Treza;;;;Conc_3930;3;"e | ['aaa{,,,a}1]> ,c a1 | {,,a}1 c ,,d | [c,d1] e f | \
[ea{,a}2] [aa1] | [,ca,,e2] [a,,,a1] | [,,e,,a2] [,a,,,c1] | \
[,ca,,e2] ,c1 | ,,a2 :| ";;;;;;;;;;
10;d;moll;5v;Sarabanda;;;;Conc_4023;3;"[ed{,,,a}1] ['cc] [aa] | [ca{,,a}1] [,,'e] [aaf{,,,a}] | \
['aaa,a1] c [ec,,,d] | [,aa{d}1] ['cc] [e,e,,a] | [ea,,e1] \
,,,,a/ e [fa{a}1] | [c,d,c1] ,,,,,d/ c [e,,,d1] | ";;;;;;;;;;
11;d;moll;5v;Menuet;;;;Conc_3417;3;"[,,aa{,,,a}1] ,,,,a [,aa] | [,,'e,,a1] ,a ,c | [aa,,a1] \
([c{a}/] a ,c ,a) | [,,e,,a1] (,a/ ,c) ,,a1 | [,,aa{,,,a}1] \
,,,,a [,aa] | [,,'e,,a1] ,a ,c | ";;;;;;;;;;
12;d;moll;6r;Menuet;;;;Conc_3908;3;"[,aaa{,,,a}1] [,aaa] [,,ec{,,a}] | [,aa{,a}1] [,aa] [,ca,,e] | \
[aa,,a1] ([c{a}/] a ,c ,a) | [,c,,,a/] ,a ,c ,d ,c1 | \
[,aaa{,,,a}1] [,aaa] [,,ec{,,a}] | [,aa{,a}1] [,aa] [,ca,,e] | ";;;;;;;;;;
13;d;moll;6v;Menuet;;;;Conc_4075;3;"[,aa{,,,a}1] [,aa] [,aa,a] | [,ca,,e1] ,c/ a c1 | [ac,,a1] \
[,c,,,d] [,a,,,b] | [ece,,a1] [ece] [ece] | [,,a{,a}1] [,,aa] \
,a/ ,,d | [,,c{a}1] ,,c [,,e,,a] | ";;;;;;;;;;
14;d;moll;6v;Guigue;;;;Conc_1496;3;",,a1 | ,,,,a1 ,a ,,a | ,,,,,e1 ,a ,c | ,,,,a1 a ,a | ,,,,,b1 \
,a [,,,,,'a] | {a}1 ,c ,a | ,,,,,a1 ,,e {a} | {,a}1 e ,a | ";;;;;;;;;;
15;d;moll;7r;Praeludium;;;;;;"[,aa{,,,a}] [,,ec{,,a}] [,aa{,a}] [,ca,,e] | [,da,a] \
[,ca,,d] [,aa,,b] [,bc{a}] | [,,'ee,a] [,aa{,a}] [,,cb{a}] \
[,,cc{a}] | [,,'e,,a] [,aa,d] [,'aa,,a] ,,e | [,aaaa] {,,,a} :| ";;;;;;;;;;
16;d;moll;7v;Aria;;;;;C;",a/ | [,aaa{,,,a}1] [,,'e{,,a}] [,,f{,a}] ,,a/ [,,bc{a}] | \
[,,aa,a/] ,,,c [,,,'a] ,,,,c ,,,,d ,,,,c ,,,,a {,,,a} | \
[,aaa{,,,a}1] ,,a/ {4} [,,'b1] ,,d | ";;;;;;;;;;
17;d;moll;7v;Menuet;Losy;;;Conc_1973;3;"[,a,,a1] k [i,,,,a] | [k,,,a1] ,a [,c,,,e] | [ad,,a1] \
[c{a}/] a [,c,,,a] ,d | [,aaaa/] ,,e ,a ,c ,a1 | [,a,,a1] \
k ['i,,,,a] | [k,,,a1] ,a [,c,,,e] | ";;;;;;;;;;
