PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;*1r;1. [sans titre];;;;Conc_1680;C;"[ada{,a}1] a/> c [a,d,,a1]> [,,d,,a] | [,a,,,b/]> ,,f \
[,,'d,,a/] [,,b{a}] [,,aa{,a}1]> [,,a{,a}] | \
[,,,c{,,a}/] ,,d [,ac{,,,a}/]> ,a [,cd{4}1]> [a{,,,a}] | "
2;F dur;*1v;2. [sans titre];;;;Conc_1681;3;"[e,d{,a}1] | [c,d{,,a}1] {4} [c,d{,,a}] | [e,d{,a}2] \
[c,d{,,a}1] | [a,d{,,,a}1] ,c [,ac{a}] | [,cd{4}1] ,,d \
[e,d{,a}] | [c,d{,,a}1] {4} :||: [,ce,,a1] | [aa,,a1] \
,,,,,d [ca,,,b] | [ece,,a1] {a} [,,d{,a}] | "
3;F dur;*2r;3. [sans titre];;;;Conc_1682;3;"[ad{,a}/] c | [a,,,,a1] ,,d [,a,,,b] | [,,d,,a1] {,a} \
[,,,c{,,a}] | [,,a{,a}/] ,,c [,,d{,,,a}] ,a [,,c{a}1] | \
[,,dcc{4}1] [,,dcc] [ad{,a}/] c | [a,,,,a1] ,,d [,a,,,b] | "
4;F dur;*2v;4. [sans titre];;;;Conc_1683;C;"[ad{,a}1] [,,d,,a] [,ad,,b] [,,d,,a] | \
[,,b{a}1] [,,a{4}/] ,,,c [,,ac{,a}1] ,,,a | \
[,,a{,a}1] [,,b{,,,a}] [,,,c{,,a}] [,,d{4}] | \
[,ad{,a}1] [,,d{a}/] ,,c [,,da,a1] [,,da] | "
5;F dur;*3r;5. [sans titre];;;;Conc_1684;3;"[,,de{,a}1] | [,,dc{,,a}1]> ,,d [,,de{,a}1] | \
[,aaa{,,,a}1]> ,a [,ca,,e1] | [aaa,a1]> a [ccb{a}1] | \
[,cee,a2] [,,dc{,,a}1] | [,,de{,a}1]> ,,d [,aa,,b1] | \
[,cc{d}1]> ,c [,dc,,a1] | [,'dd{4}1]> ,c V,d1 | "
6;F dur;*3v;6. [sans titre];;;;Conc_1685;6/4;"[ad{,a}1]> c a1 [a,,,,a] ,,d [,a,,,b] | [,,d,,a1] ,,a \
[,,b{a}] [,,a{,a}] ,,,a2 :||: [,,a{,a}1]> ,,b [,,a{,,,a}1] \
[,,,c{,,a}] ,,d {4} | {,,,a}1 ,a [,,c{a}] [,,dcc{4}3] :| "
7;F dur;*4v;7. [sans titre];;;;Conc_1686;3;"[,,,ad{,a}1]> ,,,a [,,,c{,,a}1] | [,,aa{,a}1]> ,,b [,,d,,a1] | \
[,a,,,b1]> ,a [,c{a}1] | [ad{,a}] ,,,a2 | [ada{,a}1]> \
a [c,d{,,a}1] | [e,d{,a}1]> c a/ ,c | [,aa{,b}/] ,c [,'a,,a1]> \
,,d | [,,cc1]"
8;F dur;*5r;8. [sans titre];;;;Conc_1687;C;"[,h{,a}1] [,'f/] a [,fhh{,,a}1] [h,h{4}/] f | \
[,h{,a}1] [,'f{,,,a}/] a [,fhh{4}1] [,fhh] | \
[aaa{,,,a}1] ,c/ ,a [c,d{,,a}1] [,,de{,a}] | \
[,,'d,a{a}1]> ,,c [,,dcc{a}2] :| "
9;F dur;*5v;9. [sans titre];;;;Conc_1688;6/4;"[,,de{,a}1] [ad] [c,d{,,a}] [e,d{,a}1]> c [,d{,,,a}1] | \
V[ff{a}1]> e [,f{,,a}1] [hh,,,a1]> f [,h{,a}] ,f | \
a/ ,c [,'a{a}3/2] ,,d/4 ,a [,,d{4}1] ,,,,,d ,,,,,b | "
10;F dur;*6v;10. [sans titre];;;;Conc_1689;C;"[ad/] c | [a{,a}1] ,,d [aa{,,,a}] [c,d{,,a}] | \
[e,d{,a}1] 'c/ a [ccd{4}1] [e{,a}/] c | ['a{,,,a}1]> \
,c [,a,,,c/] e [c{a}] ,d | [,'c{4}1]> ,a ,,d1 [ad{,a}/] c | "
