PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;2r;sans titre;;N°1;;Conc_1720;3;"[,,,a{,,,a}1]> ,,,c ,,a1 | ,,,,a2 ,a1 | \
[,,ee,a2] [,ac1] [,ce2] ,,,e1 | [,,,a{,,,a}1]> ,,,c ,,a1 | \
,,,,a3/2 ,a/ ,,a1 | "
2;d moll;2r;sans titre;;N°2;;Conc_1721;3;"[,aaaa1]> ,c a1 | V[,c,,,d2] ,,a1 | [,a,,,b1]> ,c a c | \
e1 ,,,,,a {a} | [,,aa{,a}1]> ,c [,d{,,,a}1] | "
3;d moll;2v;sans titre;;N°3;;;C;"[,aaa{,,,a}/] {a}/4 ,c ,,,,,a ,,e ,,,e {a} [,aa{,a}/] \
[,ce{,,a}] [aaa{,,,a}1] | [c{,,a}/] ,,d/4 ,,b [,,a{,a}/] \
[,a,,,b] [,,,'c{4}/]> ,,,,d ,,,c [,,,,d{,a}1] :| "
4;F dur;2v;sans titre;;N°4;;;3;"[e{,a}1] | [c{,,a}] {4} [h,,,,a] | [f{a}1] {,,a} [e{,a}] | \
['c{a}1]> a ,c/ ,a [,Vce,,a2] :||: [e{,a}1] | \
[c{,,a}] {4} [h,,,,a] | "
5;d moll;3r;sans titre;;N°5;;;C;"[,aaaa1] [,,ecc] [,aaa] [,ca,,e] | [aa,,a1] [,cb{a}/] \
,a [,,e,,a] ,,c ,,,e ,,,c | [,aaa1] [,,ecc] [,aaaa] [,ca,,e] | "
6a;d moll;3v;sans titre;;N°6;;Conc_1722;3;"[,a,a{,,,a}1] [,c,c] [a,a] | [,cbc{a}1]> ,a [,,ee,a1] | \
[,a,a{,,,a}1] [,c,c] [a,a] | [,ce,,a1] ,,,e2 | \
[,,b{a}1] ,,d [,aa{,a}] | [,,dc{,,a}3/2]"
7;C dur;4r;sans titre;;N°7;;;3;"{4}1 [cc2] | [ed1] [cc] [aa] | [cc{4}1] ,,d [cc] | \
[ed1] [cc] [aa] | [cc{4}1] ,,d [cc] |: [aa{,,,a}1]"
6b;d moll;4v;Variation of nr.6;;;;;3;"{,,,a}/ ,a ,,,c ,c ,,a a | {a}/ ,,b ,c ,a ,,,,,a ,,e | \
{,,,a}1 ,a ,,,c ,c ,,a a | ,,,,,a/ ,c ,,e ,c ,,,e1 | "
8;C dur;5r;sans titre;;N°8;;;3;"[hfh{4}2] [g{,,,a}1] | [hf{,,a}1] g/ ,h ,f a | \
[,c,,,d1] [a{,a}] [,a{a}] [,,dcc{4}3] :||: \
[,c,,,d1]> ,c ,a/ ,,d | [,a,,,c1] ,,,c c | "
9;C dur;5v;sans titre;;N°9;;;3;"[h{4}1] | [,f,h{,,a}1]> ,h f1 | [ed{,a}1]> c a/ ,c | \
[,a{a}1] ,c [,,d,,a] [,ac{a}] ,,,c :||: [h{4}1] | \
[,fh{,,a}1]> ,f f1 |"
10;C dur;5v;sans titre;;N°10;;;3;"[,,dcc{4}1] [,,dcc/] ,a [,,da{,,,a}] ,,c | \
[,,dcc{,,a}1] [,,dc/] ,a [,,de,a] ,,c | \
[,,dea{,a}1] [,,dea/] a [,,d,a{a}] ,,c | [,,dcc{4}2] ,,,,,d1 :| "
11;C dur;6r;sans titre;;N°11;;;3;"[,,d,c{4}1] [,a,a] ,,,,,c | [,cdc{4}1]> a ,,d1 | \
,c1 [baa,,d] ,,,,,a | [cfcc,c1]> [e,,,,a] [g{a}1] | \
[h,h{4}/] g ['ee{,,,a}3/2] ,f/4 e [,f{a}3] :| "
12;C dur;6v;sans titre;;N°12;;;3;"[hfh{4}1]> {,,,a} [,f{,,a}1] | [,h{,a}1]> ,f [a,,,a1] | \
[,c,,,d1]> ,d [c,,,c1] | [,a,,,'c1]> ,,,,,a {a}1 | \
[,c{4}/] {,,,a} {,,a} {,a} [,,c{a}1] | "
13;C dur;6v;sans titre;;N°13;;;C;"[,c,,,d1] [ca,,,c/]> a [,c,,,d1] [,a,,,c/] [,c{a}/4] ,,c | \
[,,d,,a/] [,ac] [,cd] [,ea] [c,c{a}] b/4 ,c ,a/ ,,,,,a | "
14;C dur;7v;sans titre;;N°14;;;3;"[h,h{4}1] [g{,,,a}/] ,h [,f{,,a}1] | \
[ed{,a}/] {a} ,,,,,a ,,,,,c [cc,,,d1] | \
[,,,c{,,a}1] [,,d,,a/] ,a [,c{,a}] a | \
[,'a{a}3/2] ,,d/4 ,a ,,d1 | "
15;C dur;8r;sans titre;;N°15;;;C;",,d/ ,a | [,c,,,d1] [,a,,,c] [c,,,,c] | \
[,c,,,d1] [e,,,d] [d,,,c] ,h/ g | \
[h,,,,a1] ,k/ h [k{a}1] [,f{,,a}/] e | "
16;C dur;8v;sans titre;;N°16;;;3;"[hfh{4}1] h/ [,f{,,a}1] | [,h{,a}1]> g [h,,,,a1] | \
[c,d{,,a}1]> e [a{,a}/] ,c | [,'a{a}3/2] ,,d/4 ,a [,,d{4}1] | "
17;C dur;9r;sans titre;;N°17;;;3;"[cc,,,d/] ,d ,c ,a ,,d1 | [,,fc,c/] ,,d ,,c ,,,e ,,,c1 | \
[,,d,,a/] ,a ,c a [,a{,a}] ,,d | [,,'d{a}1]> ,,c [,,d{4}1] :| "
18;C dur;9v;sans titre;;N°18;;;C;",,d3/4 ,a/4 ,c3/4 a/4 c1 ,c | [ed,a/]> ,,,c ,,,e3/4 ,,c/4 \
[ccd1] ,,,,,d | [aa,,a/]> ,,,,c ,,,,d3/4 ,,,c/4 [,cde1] [,ccc] | "
19;C dur;10v;sans titre;;N°19;;;3;"[,c,,,d1] | a1 ,a [c,,,,c] | [,,d,,a1]> ,a ,c1 | \
[a{,a}1] [,a{a}] [,,d,,a] | [,ad{a}2] [,c,,,d1] | \
a ,a [c,,,,c] | [,,d,,a1]> ,a ,c1 | "
20a;C dur;11r;sans titre;;N°20;;;3;"[cc,,,d1] [cc{4}] [aa{,,,a}] | [,cd{,,a}1] [,cd{,a}] [,ac{a}] | \
[,,dc,a1] [,,de{a}] [,aa{,a}] | [,ccd{,,a}1] ,,,,c ,,,,a | \
[cc,,,d1] [cc{4}] [aa{,,,a}] | "
20b;C dur;11v;Double;;;;;3;"[cc,,,d1] [cc{4}/] e [a{,,,a}] c | \
[,c{,,a}/] ,a [,c{,a}] a [,ac{a}] ,c | \
[,,d,,a/] ,,c ,,a [,,c{a}] [,,d{,a}] ,a | "
21;C dur;12v;sans titre;;N°21;;;3;"[,c,,,d1] [,a,,,'c] {a} | [,c,,,d1]> a [c{,,a}1] | \
[,,d,,a1] [,a,,,c] [,c,,,d] | [,a{a}/] ,,d ,,c ,,a ,,,c1 | \
[,c,,,d1] [,a,,,'c] {a} | "
22;C dur;12v;sans titre;;N°22;;;3;"[,,dcc{4}1]> ,a ,c/ a | c1 ,c [e{,a}] | \
[c{,,a}1] ,c [a{,,,a}] | [,c{4}1] ,,d [e{,a}] | \
[c{,,a}1] ,c [a{,,,a}] | [,c{4}1] ,,d [,a,,,c] | "
23;C dur;13r;sans titre;;N°23;;;C;"[,,dcc{4}/]> ,,d [,,'ca{,,,a}/] ,,a [,,,c{,,a}] [,,d{4}] \
[,,a{,a}] [,a{,,,a}] | [,,c{a}/] [,,d,,a/4] ,a \
[,c{,a}/] [,'a{a}/4] ,,d [,,dcc1] ,,,,,d | "
24;d moll;13v;sans titre;;N°24;;;C;"[eaaaa1] [,aa{d}/] ,,,c/4 ,c [,,ee,a1] [aaa{,,,a}] | \
[c,d{,,a}1] ,,'d3/4 ,,b/4 [,,aad{,a}1]> ,,,a | \
[eaaaa1] [,aa{d}/] ,,,c/4 ,c [,,d,,a/] a/4 ,c [ad/] {,,,a} | "
25;d moll;14r;sans titre;;N°25;;;3;"[,aaaa1] [,ca,,e1]> ,c | [aaa,a1]> a [cab{a}1] | \
[ea,,e1] ['fa{a}1]> e [eefee{,,,a}3] | [h,,,,a1] \
['ff{,,a}1]> e | [ed{,a}1]> e [c,d{,,a}1] | "
26;d moll;14v;sans titre;;N°26;;;3;"e1 | [aaaaa3] [,c,,,d2] ,,a1 | \
[,aa,,b1] [,c,c] a [,ce,,a2] e1 | \
[aa{,,,a}1] ,,a ,,c [,cd{4}1]> ,a [,,d{,,,a}1] | \
[,,'c{,,a}1]> ,,a ,,,d1 [,,ae,a2] :| "
27;d moll;14v;Double;;;;;3;",d/ e | ,,,,a/ ,,,a ,,a ,a a ,a | \
,,,,,d/ ,c ,,a ,c a ,,,,,a | \
,,,,,b/ ,a ,,a ,,,c ,c ,a | "
28;d moll;15v;sans titre;;N°26;;;6/4;"[,aaaa2] [,c,,,e1] [aaa,a] [cc] [ed] | \
[ff{a}1] h ['f{,,a}] [,h{,a}1]> f [h{,,a}1] | \
[e{,a}1] ['c{,,a}] [a{,,,a}] [,c{4}] ,,d/ ,,,,,b [a,d,,a1] | "
29;d moll;16v;sans titre;;N°27;;;3;"[,,aaa{,,,a}1] ,,,a/ ,,f [,,'e{,,a}1] | \
[,af{,a}] ,,a ,d [,'c{a}] ,a | \
[,,e,,a1] e/ ,,e [,ae{d}1] | [,'a,,,a1]> ,,e [,af{,,,a}1] | 
"
30;d moll;17r;Double;;;;;3;"{,,,a}/ ,,a ,,,a ,a [,,,c{,,a}] ,,e | \
{,a}/ ,a ,,a e ['c{a}] a | ,,,,,a/ ,c ,,e ,,,,,a ,,,,,b ,a | "
31;d moll;17v;Finale;;N°28;;;C;"[,aaa{,,,a}1]> a [,,'e{,,a}/] ,a [,c)e/]> ,c | \
[,,aa{,a}1]> ,a [,,b{a}/]> f ['e,,,,a/] c | \
[aa{d}1] [cc/] ,a [c,e,,a1] [a,de] | "
32;F dur;18r;sans titre;;N°29;;;3;"[ad{,a}/]> ,d [,'c{a}/] ,a [,,d,,a1] | \
[,a,,,b/] ,a [,,d,cd] ,,b [,,aaa1] | \
[,,da,a/] ,,d [,a,,,b] ,,d [,,b{a}] ,,,e | "
33;F dur;18v;sans titre;;N°30;;;3;"[ad{,a}1]> c e1 | ['c{,,a}/] a ,c ,a ,,d1 | \
[aa{,,,a}1]> ,f ,h/ g | [h{4}1] ,c/ c ,,d1 | "
34;F dur;19r;sans titre;;N°31;;;3;"[ad{,a}1]> ,d [,c{a}] ,a | [,,d,,a1]> ,,d [,a,,,b1] | \
[,,da,a1]> ,,d [,,b,,b/] ,,,e | [,,,c{4}3/2] ,,,,d/4 ,,,c [,,,,d{,a}1] | "
35;F dur;19v;sans titre;;N°32;;;3;"[ad{,a}1] [ed/] f ['e{,,a}] ,f | \
[ef{,a}1] ,d [f{a}] | [e{,a}1] ['c{a}1]> a | \
[,c,,,a/] ,a ,,e ,,c ,,a1 | "
36;F dur;20r;sans titre;;N°33;;ConcR1224;C;"[,h{,a}1]> f h1 [,c{4}] | [aaa{,,,a}1]> c e1 [,,d,,a] | \
[,a,,,b1] ,c/ a [c{a}] a ,c ,a | "
37;F dur;20v;sans titre;;N°34;;Conc_1624;3;"[,aaaa1] [,ca,,e/] [,ca] e1 | [aaa,a1] [,fhh{,,a}/] [,fh] h1 | \
[eda{,a}1] [ed/] [ed] [cc{a}] a | "
38;F dur;21v;sans titre;;N°35;;Conc_1625;3;"[,hik{,,,a}1] k/ {,,a} [,h{,a}1] | [,i{a}/] {,a} \
[hi{,,a}] ,i [,h{,a}1] | [,fff{a}/] ,h f e c ,d | "
39;F dur;22v;sans titre;;N°36;;Conc_1680;C;"[ada{,a}1] [ad/]> c [add,,a1]> [,,d,,a] | \
[,a,,,b/]> ,,f [,,'d,,a/] [,,b{a}] [,,aa{,a}1]> [,,a{,a}] | \
[,,,c{,,a}/] ,,d [,ac{,,,a}/]> ,a [,cd{4}1]> [a,c{,,,a}] | "
40;F dur;23v;sans titre;;N°37;;Conc_1681;3;"[e,d{,a}1] | [c,d{,,a}1] {4} [c,d{,,a}] | \
[e,d{,a}2][c,d{,,a}1] | [a,d{,,,a}1] ,c [,ac{a}] | \
[,cd{4}1] ,,d [e,d{,a}] | [c,d{,,a}] {4} [c,d{,,a}] | "
41;F dur;24r;sans titre;;N°38;;Conc_1682;3;"[ad{,a}/] c | [a,,,,a1] ,,d [,a,,,b] | \
[,,d,,a1] {,a} [,,,c{,,a}] | [,,a{,a}/] ,,c [,,d{,,,a}] ,a \
[,,c{a}1] | [,,dcc{4}1] [,,dcc] [ad{,a}/] c | "
42;F dur;24v;sans titre;;N°39;;Conc_1683;C;"[ad{,a}1] [,,d,,a] [,a,,,b] [,,d,,a] | \
[,,b{a}1] [,,'a{4}/] ,,,c [,,ac{,a}1] ,,,a | \
[,,a{,a}1] [,,b{,,,a}] [,,,c{,,a}] [,,d{4}] | \
[,ad{,a}1] [,,d{a}/] ,,c [,,da,a1] [,,da] | "
