PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2r;Menuet;Chr.-Franz von Wolkenstein-Rodenegg;;Guitar;Conc_3413;3;"!strumdown![,b,cd1] '[b,,a3/2] a/ | [,d,,c1] [a,,,d] [b,,a] | \
[d,,c1] '[b,,a] a | !strumdown![,b,cd/] ,d a b a1 | \
!strumdown![,b,cd1] '[b,,a] a |";french5tab
2;;2v;Menuet;Lully;Phaeton (1683);Guitar;Conc_5101;3;"!strumdown![db,cd1] (b/ a) (,d ,b) | !strumdown![bbcdd1] ,,,,c ,,a | \
[a,,,d/] b [d,,c1] [f,,d] | '[,d,f1] (,b/ ,a) (,,c ,,a) |";french5tab
3;;3r;Menuet;;;Guitar;;3;"!strumdown![,b,cd1] [d,,c2] | !strumdown![fgfdd1] g/ f d ,g | \
'[a,,,d/] b '[b,,a2] | !strumdown![dbacd1] b/ d f d | \
!strumdown![,b,cd1] [d,,c2] |";french5tab
4;;3v;Gavotte;;;Guitar;Conc_2763;C;"[,dca1] ,,c '[b,,a] ,d | f1 [f,,,d] [f,,d] ,d | [d,a1] ,a ,c (f/ d) | \
'[b,,a3/2] a/ !strumdown![aaaa2] ||";french5tab
5;;4r;Menuet;Lully;;Guitar;Conc_2762;3;",,c1 ,,,a ,,c | ,,d1 (,,d/ ,,c) [,,ac1] | [,,cd1] ,d '[,c,c] | \
[,d,a/] ,c ,d a ,d1 | [a,,,e1] ,,c f |";french5tab
;;;Parth. Allemande;;;;;;;
6;;4v;Allemande;Médard;;Guitar;Conc_5102;C;"!strumdown![dd,,b/] !strumup![dd,,b/] !strumdown![aaaa2] ,,a1 ,,,,a | \
[,,a,(b/] [,,,,d)] ,,a1 !strumdown![ddcb] ,b | \
!strumdown![cdc1] !strumup![cdc] 'd f | \
[gda1] ,,c !strumdown![dbdcb2] |";french5tab
7;;5r;Courante;Médard;Sarabande;Guitar;Conc_5103;3;"!strumup![dd,,b/] | !strumdown!['cdc1] !strumdown![cdc3/2] d/ | \
,,,,b1 (,,a/ ,,c ,,d) ,b | \
!strumdown![,dd,b1] !strumdown![dbbb3/2] f/ | \
!strumdown!'[cdc1] !strumup![cdc3/2] f/ |";french5tab
8;;5v;Gigue;Médard;;Guitar;Conc_5104;3;"!strumup![dd,,c1] | !strumdown![dd,,c1] ,b/ '[,,ca3/2] | \
,,a/ f g2 | !strumdown![fgf3/2] d/ [c,,a1] | \
!strumdown![cdc1] a !strumdown![bbcdd] | \
[,b,,a1] ,d !strumdown![becdb] |";french5tab
9;;6r;Courante;;Bourrée;Guitar;Conc_1420;C;"f/ | !strumdown![fgh1] b/ a [,d,d1] [a,a] | \
!strumdown!'[,ccc1] ,,c/ ,,a [,dcd1] [aa,c] | \
!strumdown![bdc1] ,,,a/ ,,,,d '[d,,,e3/2] b/ |";french5tab
10;;6v;Sarabande;Lully;Entrée des Espagnols;Guitar;Conc_768;3;"[,b,,d1] [,d,,c] | !strumdown![,b,cd1] [,d,,c] [,b,,a] | \
[dd,,c1] [,da] [a,,c] | [b,,a1] '[a,,,d3/2] b/ | '[,da2] || \
[d,,,c1] [,d,a] | !strumdown![,b,cd1] ([b,,a/] a) (,d ,b) |";french5tab
11;;7r;Menuet;;;Guitar;;3;"[,b,,d2] [,d,,c1] | [a,,,d1] ,b d | [f,,d1] (f/ d) (,g ,f) | \
[,d,,c1] a [,b,,a] | '[,aa2] [,b,,a1] | \
([,d,,c/] ,b) ,d a ,d1 |";french5tab
12;;7v;Gavotte;Lully;;Guitar;Conc_1433;C;"[f,,,a3/2] d/ | '[b,,a1] [a,,,d] [,d,,c] a/ ,d | \
'[,b,,a1] ,,c [b,,a] ,,a/ b | [ad,,d1] (3a/ c e) [f,,,a1] |";french5tab
