PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;All taken from Pietro Prosser's thesis (1996);Alles Pietro Prossers Thesis entnommen;;;;;;
1;;2r;Praeludium. Mandora;;;Mandora;;3;",,,,d/4 ,,a ,b ,,a ,,,,d ,,a ,b ,,a ,,,,d ,,a ,b ,,a | \
,,,,d/4 ,b a ,b ,,,,d ,b a ,b ,,,,d ,b a ,b |";french5tab
2;;2v;Marche. Andante;;;Mandora;;2;",,a/ | ,,,,d/4 ,b ,,,a ,b ,,,c ,b ,,,a ,b | \
,,,,d/4 ,b ,,,a ,b ,,,c ,b ,,,,d ,b |";french5tab
3a;;3v;Menuetto;;;Mandora;Conc_5043;3;,,,,d/ ,b ,,,a ,b ,,,c ,b | ,,,,d/ ,b ,,,a ,b ,,,c ,b |;french5tab
3b;;4r;Variatio;;;Mandora;;3;[,ba,d1] ,,,a ,,,c | [,ba,d1] ,,,a ,,,c | y y y;french5tab
4;;4v;Men:;;;Mandora;;3;,,,,,d/ ,,a ,a ,,a ,,,,c ,d | [,b,,a1] ,,,,,c ,,,a |;french5tab
5;;5r;Men:;;;Mandora;;3;V[,,c,a1] ,c [,d,,c] | X[a,,,a2] [,,c,e1] | y y y;french5tab
6;;5v;Arioso;;;Mandora;;2;a/ | [ac/] ,,,,a ,,,,e ,,,,a | [,de/] ,,,,,a ,,,,,e ,,,,,a |;french5tab
7;;6v;Favoritto. Tempo com[m]odo;;;Mandora;Conc_5044;3;,,,e/ f ,,,a f ,,,e f | ,,,f/ h ,,,a h ,,,f h |;french5tab
8;;7v;Faber. Moderato;;;Mandora;Conc_5064;6/8;",,a/ | ,,,,d/ ,b ,,a ,,,,d ,b ,,a | \
,,,,d/ ,b ,,a [,b,,d1] [,d,,c/] |";french5tab
