PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;27;Ballet;;;OT;ConcR696;C;",,d/ ,a | [,cdca1] [,dda] [,cdca] [,acc,a] | \
[,,dea1] {10} [,,de] ,d/ a | [cdda1] {a}/ d c d [a,,,a] ,c |"
2;d moll;27;Poll: Ballett;;;OT;;C;"X[ca{9}2] | h1 ,,h3/2 h/ g1 | [ha{9}1] f/ e c e f ,,a | \
e/ a [ccd1] ,,c/ c b ,c |"
3;c moll;27;Ballett;;;OT;Conc_275;C;"a1 | [abdca1] {10}/ ,d ,b ,,,a ,a ,,d | \
[,,ccca1] ,,,,c ,,,c ,,d/ ,a | \
,b/ ,,,,a ,a ,b ,,,,,d [,b,c] '[,a,a1] |"
4;F dur;28;Ballet del grand du duka;;;OT;ConcR1224;C;"[cdda1] {a}/ d '[c,,a1] [acd,a] | \
[,da,c1] {9}/ ,c [,da,c1] [,,da,c] | \
[,aba,d/] ,c ,d ,,,,c [acd,a1] ,,b | \
[,dda2] {a}1 [,dd] |"
5;F dur;28;Ballet del grand Duka;;;OT;ConcR1224;C;"[cdda1] {a}/ d '[c,,a1] [acd,a] | \
[,da,c1] {9}/ ,c [,da,c1] [,,da,c] | \
[,aba,d/] ,c ,d ,,,,c [acd,a] | \
[,dda{a}1] ,c/4 ,a ,,d ,,b ,,a1 {a} |"
6;F dur;29;Balleto di duca Florenz;;;OT;ConcR1224;C;"[cdda1] a c d [cdda2] [acd,a] | \
[,da,c1] ,c ,d a [,da,c2] [,,,a,c] | \
[,aba,d1] ,c ,d ,a [,cd,a] ,d a ,c |"
7;F dur;29;Suus modus Balleto duca di Florenz;;;OT;ConcR1224;C;"[cdda1] {a}/ d [cdda] [acd,a] | \
[,da,c1] ,a/ ,c [,da,c1] [,,da,c] | \
[,ab,,d/] ,c ,d ,a [,c,,a] ,d a ,c |"
8;;30;sans titre;;;Staff;;;
9;f moll;37;Galliarda Zas.;;;OT;ConcR1256;C;"[,dda3/2] a/ b ,d [a,,,a] ,c | \
[,dda2] {a} | [bbdd1] d/ f b a | \
[bbd,,b2] ,,,d | [,bd,a/] ,d a ,b ,d a |"
10;F dur;37;Fin de Gaillarde;;;OT;ConcR623;3;"[fdaa2] {a}1 d [cdda2] | \
[a,d,e2] [,da,c1] ,,c/ ,,a ,,c ,d | \
[,cdca2] {10}1 ,d [,cdca2] | \
[,dd,,c2] [a,,,,d1] ,d [,cdca2] |"
11;F dur;41;Volte;;;OT;;none;"[fa{a}/4] d c a [,dda{a}] a ,d [acd,a] ,d a [cdd{a}] \
a ,d ,,,,c [acd,a] [cdd{a}] a [,da,c] ,,,,,d [,cdcd] \
[,dda{a}] :||:"
12;F dur;41;Volte;;;OT;ConcR30;none;"f/4 d [cdda] [a,,,e] [,d,,c] [,c,,a] [,a,,,d] [,,d,,c] \
[,a,,,d] ,c ,d [,d,ca] ,c [,ddaa] [,dd] ,,,a | \
c/4 d [f,,a] d c a"
13;C dur;49;La Moresgue;;;OT;ConcR591;3;",c1 [,cdca2] | ,d1 [,dda{a}2] | a1 [acd,a2] | \
c1 [cdd,,a] a/ ,d | c1 '[a,,,a] ,d/ a | ,d1 ,,,a {a} :||:"
14;F dur;49;Angloise;;;OT;;3;"[,dda3/2] a/ c1 ,d c d | [fdaa2] {a}1 d [cdda2] | \
[a,d,e2] [,da,c1] ,,c/ ,,a ,,c1 ,d | \
[,cdca2] {,,,a}1 ,d [,cdca2] :||:"
15;C dur;49;La Rogalle;;;OT;Conc_1666;3;"f1 | '[ffh,a3] | [e,f{a}3/2] f/ [h,,,,a1] | \
'[a{8}1] ,,d [,d{9}/] a | [,c{10}1] [,a,,,a3/2] ,,d/4 ,a | \
',c1 ,,,,a ,c | [,da{9}3/2] a/ [,c,,a] ,d |"
16;F dur;49;sans titre;;;OT;;none;"[,dda/4] a c ,d c d f/ d c a/4 ,d ,c ,a ,,d ,,b ,,a \
,,,c ,,,a ,,,,e ,,,,c ,,,,a ,,,,,d ,,,,,c ,,,,,a {a} ||"
17;C dur;50;Possa Morir;;;OT;ConcR1014;3;"[acda1] [acda] [acda] | [cdd2] [cdd1] | \
[acd,a2] [acd1] | [acd,a1] [cdd{a}] [acd,a1] | \
[,daac2] [,cd,e1] | [,ac,,e] [,cd,a] [,ea,c] | \
[aacc2] [aacc1] |"
