PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1a;;1;1a [sans titre];;;Mandora;;3;"[abc1] [abc] [abc] | [aab1] [aab] [aab] | [abc1] [abc] [abc] | \
[aa,c3] :||: [ab,,d1] [ab,,d] [ab,,d] | [bd,a1] [bd,a] [bd,a] | \
[aa,c1] [aa,c] [aa,c] | V[,,c,a3] :||"
1b;;1;1b. Variatio;;;Mandora;;3;",,c/ ,b a ,b ,,c a | ,,b/ ,a a ,a ,,b a | ,,c/ ,b a ,b ,,c a | \
[aa,c3] :||:"
2;;1;2. D[er] Bauer gibt d[er] Beÿr[i]n ein Khäs;;;Mandora;;C;",,a1 | V[,b,,d1] ,,a [,d,,,a] ,,a | \
M:3/4
[ab,,d1] ,b [b,,a] | [,d,,,a2] ,,a1 | \
M:C
V[,b,,d1] ,,a [,d,,,a] ,,a | [ab,,d1] [,b,c] [,b,c] [,a,,,a] |"
;;;Ex C.;;;;;;
3;;2;3. Marche;;;Mandora;Conc_4740;C;",,a1 | ,,,,d/ ,b ,,,a ,b ,,,c ,b ,,,,d ,b | \
,,,,,a/ ,d ,,,,a ,d ,,,,c ,d ,,,,,a ,d |"
4;;3;4. Menuet;;Segue Trio [4b missing]: p.4 vacat;Mandora;Conc_4798;3/4;"V[,b,,d1] ,,a ,,a | V[,d,,,a1] ,,a ,,a | [ab,,d1] ([b,,a/] a) ,d1 | \
'[,a,,,a1] ,,c/ ,a ,,a1 | V[,b,,d1] ,,a ,,a | \
V[,d,,,a1] ,,a ,,a |"
5;;6;5. Menuet;;;Mandora;;3/4;"V[,b,,d1] a V[,d,,,a] | V[,b,,d1] a V[,d,,,a] | \
V[,b,,d1] ([b,,a/] a) ,d1 | '[,a,,,a1] ,,c/ ,a ,,a1 | \
V[,b,,d1] a V[,d,,,a] | V[,b,,d1] a V[,d,,,a] |"
6;;7;6. Guige;;;Mandora;Conc_4743;6/8;",,a1 | [,b,,d/] ,,a ,b [,b,,d] ,,a ,b | \
[,d,,c/] ,,a ,d [,d,,c] ,,a ,d | \
[ab,,d/] ([b,,a] a) [,d,,,a] a ,b |"
7a;;8;7a. [sans titre];;;Mandora;;3/4;",,,,d/ ,b a ,b ,,,,c ,b | ,,,,a/ ,b a ,b ,,,,,a ,b | \
,,,c/ ,b a ,b ,,,d ,d |"
7b;;8;7b. [sans titre];;;Mandora;;3/4;",,,,d1 [ab] [bd] | ,,,a/ ,,a ,d b [ab1] | ,,,c/ ,b ,,,,d ,b ,,,d ,d | \
,,,c/ ,b ,,a ,a [ab,,d1] :||:"
8;;9;8. [sans titre];;pp.10-11 vacant;Mandora;;3/4;"[bb,c1] [,b,,d] [,d,,c] | [ab,,d1] ,d/ a [ab,,d1] | \
,,,d/ f ,,,c d ,,,d f | [d,,c1] [b,,a] [ab,,d] | \
,,,,d/ a ,,,,c ,d ,,,,a ,b |"
9;;12;9. [sans titre];;;Mandora;;3/4;",,,,d/ ,b ,a ,b ,,,a ,b | ,,,c/ d b d ,,,d f | \
,,,c/ d ,,,a b ,,,,d a |"
10;;13;10. [sans titre];;;Mandora;;3/4;"d/ b a | ,,,,d/ ,b  a ,,,,d ,,,,c ,,,,a | ,,,,c/ ,d b ,d ,b ,a | \
[ab,,d1] [db,c] b/ a |"
11;;13;11. Praeludium;;;Mandora;;none;"[ab,c] [ab,d] [ab,c] [ab,d] [ab,a] [ab,c] [ab,a] [ab,c] [ab,,d] \
[ab,a] [ab,,d] [ab,a] [ab,,c] [ab,,d] [ab,,c] [ab,,d] \
[ab,a] [ab,c] [ab,d] ,,a"
;;;Parthia Ex G;;;;;;
12;;14;12. Marche;;;Mandora;Conc_4819;C;",d/ a | V[d,,,,a1] d V[d,,,,a] ,d | '[,a,,,a1] ,,c/ ,a ,,a1 [,,ca] | \
,,,,,a/ ,,a ,,,,a ,,a ,,,,c ,,a ([,b,,a] ,a) |"
13;;15;13. Menuet;;;Mandora;Conc_4810;3/4;",d/ a | V[d,,,,a1] ,,a [,,ca] | '[,a,,,a1] ,,c/ ,a ,,a1 | \
[ab,,d1] ([b,,a/] a) ,d1 | X[,a,,,a2] [,,ca1] | \
,,,,,a/ ,,a ,a ,,a [,,ca1] |"
14;;16;14. Trio;;;Mandora;;3/4;",,,,,a/ ,,a ,a ,,a [,,ca1] | '[,a,,,a1] [,b,,a] [,d,,c] | \
V[,b,,a1] [,d,a] '[,a,,,a] | [,,ca1] ,a/ ,,a [,,ca1] | \
,,,,,a/ ,,a ,a ,,a [,,ca1] |"
15;;17;15. Gavotte;;;Mandora;Conc_5120;C;"d/ | ,,,,c/ ,d ,,,,d a ,,,,c ,d ,,,,a1 | '[,a,,,a1] [,,ca] ,,,,,a/ ,a ,,,,a ,b | \
,,,,c/ ,d ,,,,d a ,,,,a ,b ,,,,,a ,a |"
16;;18;16. Aria;;;Mandora;Conc_5121;3/4;",d1 | '[,a,,,a1] ([,b,,a/] ,a) [,,ca1] | ,,,,,a/ ,,a ,a ,,a [,,ca1] | \
'[,a,,,a1] ([,b,,a/] ,a) [,,ca1] | '[,,a,,a2] [,d,,c1] | \
,,,,d/ a ,,,,c ,d ,,,,a1 |"
17;;19;17. Menuet;;;Mandora;;3/4;",d/ a | V[,d,,,,a1] ,,,,c/ d ,,,,,a1 | '[c,,a1] (c/ a) ,d1 | \
[d,,,,a1] (c/ a) ,d1 | '[,a,,,a1] ,,c/ ,a ,,a1 |"
