PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Faszikel 1;Fascicle 1;;;;;
1;G dur;1-1v;Intrada adagio;;;;;3/4;"{a}/ c ,,,,,c c ,,,,a c | {a}/ c ,,,,,c c ,,,,a c | {a}/ c ,,,,,c c ,,,,a c | \ 
[cac{a}1]  [cac,,c] [cac,a] | [cac{a}1]  [cac,,c] [cac,a] | "
;;;Faszikel 2;Fascicle 2;;;;;
2;G dur;2-1r;Allem:;;;;;C;"[,ac/] | [,ac{a}/] [,cd{a}] [,cd{a}] [,ac{a}] [,ac{a}] [,,de{a}] [,,de{a}] [,,cc{a}] | \ 
[,,cc{a}/] ,a ,f [e{,a}/4] ,f/8 e [g{a}/] '[ea{a}] [,f{,,a}/4] g [e{4}] ,f/8 e | "
3;G dur;2-1v;Cour:;;;;Conc_3336;3/4;",a/ ,c b | [c{a}/] ,a ,,c ,,,c ,,c ,,d | [,a{,a}/] ,,a ,a ,e e ,a | \ 
'[c{,,a}/] ,e ,c ,a [,,e,,a] c |"
4;G dur;2-2r;Bouree;;;;;C;",a1 | [ca{a}1] ,a/ c [e{,a}1] ,a/ e | [g{a}1] e/ g ,f1 [g{a}] | \ 
'[e{4}1] (e/ g) (h g) e ,f | '[,e{,,,a}1] ,,h/ ,e ,,f1 ,a |"
5;G dur;2-2v;Menuet en Rondeau;;;;;3/4;"[,ac{a}2] c1 | [,ac{a}/] ,c ,,d ,a ,,c1 | [,,d,,a2] [,,d{a}1] | \ 
[,,d{,a}/] ,a ,,a ,,d '[,,c{a}1] |"
6;G dur;2-3r;Fantasie;;;;;3/8;"(,a/8 ,c ,e/4) | c ,a ,,c | ,,,c1 (,,,,a/8 ,,,,c ,,,,e/4) | ,,,c/ ,,,,a ,,,,,c | \ 
{a}1 [e{,a}/4] ,f/8 e |"
;;;Faszikel 3;Fascicle 3;;;;;
7;c moll;3-1r;Intrada;;;;Conc_821;C;"[cbd{4}3/2] (c/4 a) ,b/4 ,a ,,d [,,'ca{,,,a}3/2] ,,d/ | \
[,,dcb{,,a}2] z2 | [dac{,a}3/2] d/ ([cac{a}] a) ([,b] ,a) | \
([,bd{4}/] ,a) (,,d ,,c) ,,d2 | "
8;c moll;3-1v;Tourneé;;;;Conc_822;2;" c/4 a) | ([,b{4}/4] ,a) ,,d/ {,,,a} [,,'c] | \
[,,d{,,a}/] ,,,c ,,d (c/4 a) | ([,b{4}/4] ,a) ,,d/ {,,,a} [,,c] | \
[,,d{,,a}/] ,,,c ,,d (,,d/4 ,,b) | "
9;c moll;3-2r;Men:;;;;Conc_823;3/4;"[h{4}1] ,f ',b/ ,a | ,,d1 ,,,c ,,d | [,,d{4}1] ,,,c [,,,,'b/] ,,,,a | ,,,,,d1 [,,,,,'c] ,,,,,d | \
[,bd{4}1] [,'a{,a}] ,,d | [,,'c{a}1] ,,a ,,,c | "
10;c moll;3-2v;Capricio Allegro;;;;Conc_825;C;"{4}2 ,,d | [,ad{a}1] [,,'c/] ,,a ,,,c1 {,a} | \
{,,a}1 {4} ,,d2 | [,ad{a}1] [,,'c/] ,,a ,,,c1 {,a} | \
{,,a}1 {4} [cbd2] | "
;;;Faszikel 4;Fascicle 4;;;;;
11;D dur;4-1r;[15. Menuet];;Anfang fehlt / beginning is missing;;;3/4;
12;D dur;4-1r;16. [Menuet];;;;;3/4;"([,,,,a{,,,a}/] ,,,,c) (,,,,e ,,,,c) ,,,,a1 | (,,a/ ,,c) ([,,e,,a] ,,c) ,,a1 | \
[,a{,,,a}1] ([,e{,,,a}/] ,c) (,e ,a) | [,c,,,a1] ,,a ,,a |"
13;D dur;4-1r;17. [Menuet];;;;;3/4;"[,,a{,,,a}1] ,a [,,e{,,a}] | V[,af1] {,a} [,,,c,c] | ([,,,,ea/] ,,,,c) (,,,,e ,,,,a) [,,e,,a1] | \ 
 V[,af1] {,a} ,,a | "
14;D dur;4-1v;18. [Menuet];;;;;3/4;"[,e{,,,a}1] (g/ e) [,f{,,a}1] | e {,a} [,e{,,,a}/] ,,a | \ 
[c{,,a}1] c [,c{4}/] ,,e | [,e{,,,a}1] ,e [,,a{,a}/] ,,,b | "
15;D dur;4-1v;19. [Menuet];;;;;3/4;"(,,,b/ ,,,c) | [,,a{,,,a}1] [,,a{,a}] [,,c{a}] | [,,a{,a}1] ,,a (,,,b/ ,,,c) | \ 
[,,a{,,,a}1] [,,a{,a}] [,a,,,c] | [,,e,,a1] ,,e [,a{,a}] |    "
16;D dur;4-1v;20. [Menuet];;;;;3/4;"[,a{,,,a}/] ,,a ,,,b ,,,,a [,,c{a}1] | [,,cc{,,,a}1] [,,ab] [,,ab] | \ 
[,a{,,,a}/] ,,a ,,,b ,,,,a [,,,c{,,a}1] | [,,,cc{4}1] [,,ab{,,,a}] [,,ab] |"
17;D dur;4-2r;21. [Menuet];;;;;3/4;"([,,,,a{,,,a}/] ,,,,c) (,,,,e ,,,,a) ,,a1 | ([,,,,a{,,,a}/] ,,,,c) (,,,,e ,,,,a) ,a1 | \  
([,,,,a{,,,a}/] ,,,,c) (,,,,e ,,,,a) e1 | '[c{,,a}1] ,,,,,a [,e{,,,a}] | "
18;D dur;4-2r;25. [Menuet];;;;;3/4;"[e{,,,a}1] (e/ c) (,e ,c) | [,a{,a}/] ,,e ,a ,c ,e c | V[e{,,,a}1] [,,,c{,,a}] [,,,c{,,,a}] | \ 
 [,,,c{4}1] (,,,,e/ ,,,,c) V[,,,,e{,,,a}1] | "
19;D dur;4-2v;26. [Menuet];;;;;3/4;",a1 ,,,,a ,,a/ ,a | ,e1 {,,,a} (,a/ ,e) | [e{,a}1] [c{,,a}] [,e{,,,a}] | \ 
',c1 ,,,,,a ,,a | [,,c{a}1] [,,a{,a}] [,,,c{,,a}] | "
20;D dur;4-2v;28. [Menuet];;;;;3/4;"[,e{,,,a}1] (,e/ ,c) (,e ,a) | [c{,,a}1] c [,e{,,,a}] | \  
[,c{a}1] ,c (,a/ ,c) | ,,e ,,,,,a [,a{,a}1] |"
