PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;;Premier Partie;;;;;
1;d moll;1r;1. Gavotte de l'opera appelle Roland;;;;Conc_1284;C|;[V:S] d1 A1 | d1 e1 Te3/2 d/ | ^c1 c1 e1 f1 | d1 e1 ^c3/2 d/ | d2 :|
2;d moll;1r;2. Sarabande;;;;Conc_4075;3;[V:S] d1 d1 d1 | Te3/2 f/ g1 | f1 e1 d1 | a2 a | A A A | 
3;d moll;1r;3. Menuet de gallot le jeune;;;;;3;[V:S] f/e/f/g/ f1 | Te2 f1 | d1 e1 ^c1 | d/^c/d/e/ d1 | f/e/f/g/ f1 |
;;;;Seconde Partie;;;;;
4;g moll;1r;1. Entree de Monsieur Le Comte Losgi;;;;Conc_3376;C|;[V:S] g/^f/ | g a b a/g/ | ^f g =f e/>d/ | e d g3/2 a/ | ^f2 d :| 
5;g moll;1r;2. Sarabande;;;;Conc_3561;3;[V:S] d3/2 d/ d1 | Td3/2 c/ B1 | e3/2 f/ d | Tc3/2 B/ B1 | f1 f1 ^f1 |
6;g moll;1v;3. Treza;;;;;3;[V:S] g3/2 a/ b1 | a2 d1 | g3/2 a/ g1 | ^f2 d1 | g3/2 f/ g1 |
7;g moll;1v;4. Menuet;;;;;3;[V:S] G1 A/B/c/B/ | A1 B1 G1 | d2 d1 | G1 A/B/c/B/ | 
;;;;Troisieme Partie;;;;;
8;F dur;1v;1. Gavotte;;;;Conc_2858;C|;[V:S] f1 f1 f1 f1 | f1 g1 e1 e1 | f1 e1 d1 g1 | e3/2 f/ f2 :| 
9;F dur;1v;2. Menuet;;;;Conc_1872;3;[V:S] A1 A/B/ c1 | d1 d/e/ f1 | e1 e/f/ g1 | a2 a1 | g1 a/g/ f1 | 
10;F dur;2r;3. Sarabande de Bithner;;Gavotte;;;C|;[V:S] c1 d/e/ f1 f1  | g3/2 g/ a2 | g3/2 g/ a/g/f/e/ | Td3/2 B/ c2 :|: c1 c/B/ A1 a | 
11;F dur;2r;4. Menuet;;;;Conc_3781;3;[V:S] f/g/a/g/f/e/ | f1 c1 d1 | TA1 A1 =B1 | c/B/c/d/ c1 | f/g/a/g/f/e/ | 
12;F dur;2r;5. Gigue Angloise;;;;Conc_1740;3;[V:S] f1 | f3/2 g/ f1 Te3/2 d/ e1 | f3 d3 c3/2 A/ d1 | B3/2 G/ c1 | 
;;;;Quatrieme Partie;;;;;
13;a moll;2r;1. Sarabande, Gallot le jeune;;;;;3;[V:S] A1 B1 c1 TB3/2 A/ ^G1 | A1 B1 B/c/ TB3/2 A/ A1 |  
14;a moll;2r;2. Bourree la Charmante;;;;Conc_3411;C|;[V:S] e/d/ | c1 d1 e1 B1 |  c B/>A/ ^G a/=g/ | ^f/g/ e1  ^d1 e1 | e3/2 ^d/ e1 :|   
15;a moll;2v;3. La jolie. Sarabande;;;;;3;[V:S] e1 e1 a1 | T^g3/2 ^f/ e1 | f1 g/f/ e1 | Td3/2 c/ c1 | c1 d1 e1 c1 B1 A1 | 
;;;;Cinqieme Partie;;;;;
16;d moll;2v;1. Les folies d'Espagne, variatio 1ma, 2da, …;;theme + ? Variations;;Conc_525;3;[V:S] d1 Td3/2 d/ | ^c1 c2  | d1 Td3/2 d/ e1 e2 | f1 Tf3/2 f/ e1 e3/2 f/ |  
17;d moll;3r;2. Sarabande;;Gavotte;;Conc_2763;C|;[V:S] d1 A1 f1 d1 | a1 a1 a1 d1 | g1 g1 g1 a1 | f3/2 e/ e2 :||: e1 a/g/ f3/2 e/ |
18;d moll;3r;3. Cherchons bergeres. Air compose par Monsieur du Buisson;;;;;3;[V:S] f1 (e/d/) f1 | e1 e1 a1 d1 (g/f/)(e/d/) | ^c3 | f1 (e/d/) f1 e1 e1 a1 
19;d moll;3r;4. Sarabande de gallot le Vieux;;;;Conc_12;3;[V:S] f1 g1 a1 e3/2 e/ f1 | d1 e1 f1 f3/2 e/ f1 | A1 B1 c1 | G3/2 A/ B1
20;d moll;3v;5. Ah! Qu'une trop longue plainte, de l'opera Galatheé;;;;;3;[V:S] f3/2 e/ d1 ^c1 d1 e1 | ^c3/2 B/ A1 d1 d1 A1 | B1 G1 c1 |  
;;;;Sixieme Partie;;;;;
21;G dur;3v;1. La victoire;;;;;C|;[V:S] d1 g1 Tf3/2 e/ | Td3/2 d/ c1 B1 | TA3/2 d/ B1 G1 | d1 g/>a/ f3/2 e/  | 
22;G dur;3v;2. Gavotte;;;;Conc_3923;C|;[V:S] g/f/ | g1 d1 e1 d/>c/ | TB3/2 A/ G1 c/>B/ | A1 d1 Td3/2 ^c/ | d2 d1 :|
;;;;Septieme Partie;;;;;
23;g moll;3v;1. Bourree de Mr. Bittner;;;;Conc_4329;C|;[V:S] g/ | g1 f/e/ d1 d1 | A1 d/c//d// B/G/ G/G//A// | B/ f/ g1 z1 c//B// A1 | 
24;g moll;3v;2. Les songes aggreables du Vieux Gallot;;;;Conc_885;3;[V:S] B1 c1 | d1 c1 B1 | A3 | B1 c1 d1 | e1 c3/2 f/ | d1 d1 d/e/ f1 g/f/ e/d/ | 
25;g moll;4r;3. Menuet;;;;Conc_3566;3;[V:S] g2 a1 | b3/2 a/ g1 f3/2 e/ d1 | Tc3/2 B/ B1 | g2 a1 b3/2 a/ g1 | 
;;;;Toutes Sortes;;;;;
26;d moll;4r;Menuet;;;;;3;[V:S] a1 g/f/e/d/ ^c2 c1 | d2 e1 | f3/2 e/ d1 | a1 g/f/e/d/ c1 f1 d1 |
27;d moll;4r;Ballet de Bithner;;;;Conc_831;C|;[V:S] d1 e1 f1 f1 | g/a/Tg/>f/ e1 a1 | a3/2 ^g/ a2 :||: d1 e1 f1 f1 |
28;C dur;4r;Gavotte de je ne say qui;;;;;C|;[V:S] c/d/ e/d/ g1 d1 | e/e/d/c/ TB/>A/ G1 | e3/2 e/ c1 g1 | Tg3/2 ^f/ g1 g1 :|
29;C dur;4r;Sarabande;;;;Conc_3913;3;[V:S] c1 g1 g1 | a3/2 g/ f1 e1 d1 c1 d2 d1 | c1 e1 e1 | c3/2 d/ B1 | A1 TA3/2 G/ | G3 :| 
30;C dur;4v;Sarabande;;;;Conc_4008;3;[V:S] c1 | Te3/2 f/ g1 c1 c1 c1 | Td3/2 c/ d1 e1 e1 e1 | ^f3/2 g/ a1 Td3/2 c/ B1 | TA3/2 G/ ^F1 | G2 :|  
31;C dur;4v;Menuet des plue nouveaux, compre desuis quatre vint dix ans;;;;;3;[V:S] g1 g1 a1 | Tg3/2 f/ e1 f1 e1 d1 | e/f/e/d/ c1 | g1 g1 a1 Tg3/2 f/ e1 |  
32;G dur;4v;Bourree de l'opera de Galathee;;;;Conc_1294;C|;[V:S] d1 | g1 d1 e1 d/c/ | d1 B1 g1 g1 | g1 ^f1 Te3/2 e/ | d1 d2 :|
