PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;3v;Menuet;;;Guitar;;3/4;"[,ba,d1] ,b ,,a | [,b,,d/] ,a ,b ,d a1 | [,ba,d1] [,d,,c] ,,a | \
[,b,,d/] ,a ,b ,d ,b1 | [,ba,d1] ,b ,,a |";french5tab
2;;3v;Sarabande;;;Guitar;;3/4;"[b,,a1] a [b,,a] | [d,a1] b [d,a] | [f,,,a1] d [f,,,a] | \
'[b,,a1] a [,d,a] | '[b,,a1] a [b,,a] | [d,a1] b [d,a] |";french5tab
3;;4r;Salome;;;Guitar;;3/4;"[,ba,d1] a d | [,d,,c2] (,b/ ,a) | ,,c/ ',,a3/2 ,,a1 | \
[,,cd1] ,,c/ ,,a [,,cd1] | [,aa1] ,a/ ,,c [,aa1] | \
[,b,cd2] ,,a1 |";french5tab
4;;4r;Aria;;;Guitar;;3/4;;french5tab
5;;4v;Menuet;;;Guitar;;3/4;",,a1 | [,ba,d3/2] a/ [,d,,c1] | [ab,,d1] ,,a ,,,c | \
[,bcd3/2] ,d/ '[,aa1] | [,b,cd2] :||: [,da,c1] | \
[,da,c1] ,,c/ ,a ,b ,d | '[,aa1] ,,a [,b,cd] |";french5tab
6;;4v;Entrée;;;Guitar;;3/4;"[ab,,d1] d/ ,b [,d,,c1] ,,a | [,bc1] ,d/ ,,c ,a ,,a | \
[,b,c3/4] ,a/4 ,,c/ b 'a ,d | '[,da3/2] ,b/ [,b,,d1] :||:";french5tab
7;;5r;Menuet;;;Guitar;;3/4;"[ab,,d1] ,b [d,,c] | [ab,,d1] (b/ a) (,d ,b) | [,d,,c1] '[,aa2] | \
[,b,,d/] ,a ,b ,d ,b1 | [ab,,d1] ,b [d,,c] |";french5tab
8a;;5r;Gavotte;;;Guitar;;C;"[,b,,d1] [,b,,d/] ,,,,c [,b,,a1] [,ba/] ,,,d | [,b,c1] [,d,a] [a,,,d] ,b | \
[,d,,c1] d/ b [a,,,d1] [,d,,c] | [,b,,a1] ,d/ ,b '[,aa1] ,,a |";french5tab
8b;;5v;Double;;;Guitar;;C;",,,,d/ a ,,,,d ,,,,c ,,,,a ,b ',,a ,,,d | \
,,,c/ ,b ,,,a ,d ,,,,d a ,d ,b | \
,,,,c/ ,d d b ,,,,d a ,,,,c ,d |";french5tab
9;;6r;Menuet;;;Guitar;;3/4;",,a1 ,,a/ ,,a ,,a ,,a | ,,,c1 ,,,,d ,,,c | ,,a1 ,,a/ ,,a ,,a ,,a | \
,,,c1 ,,,,d ,,,c | [,b,,d1] ,b/ ,a ,b ,d |";french5tab
