PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;A1v;Pass'e mezo;;;OT;ConcR2130;C;"z1 [aac,,a/] ,,d [aac,,a] ,,a ,,c ,,d | \
,a/ ,,d ,,c ,,a [aac,,a] c e c | \
a/ ,d ,c ,a [,cdca1] [acc,e] |";italian7tab
2;;A2v;Gagliarda Venetiana;;;OT;ConcR2131;C;"z1 [,efec1] [aabc] ,,,,,a/ c | \
[dabc1] [dabc] [fd,ef/] ,,,,d ,,,,c ,,,,a | \
[hd,f1] ,,,,,d [hd,f] [hd,f] | \
,,,,,d1 [hiif] [hiif/] i/4 h i h f ,i |";italian7tab
3;;A3r;El Traditor Gagliarda;;;OT;ConcR2132;C;"z1 [cdda1] [cdd] [cdda] | \
[cdda1] ,,,,,c/ d c a [cdda1] | \
,,,,,c1 [cdda] a/ c [dab,,d1] | \
[cdda1] [ab,,d] ,,b/ ,d ,b ,a |";italian7tab
4;;A3v;La meza notte;;;OT;ConcR2133;C;"z1 [ddf,,d1] [cdda] [aabc] | \
,,,,,a/ ,d [acd,a] d c a [,efec] ,f | \
c/ ,e [aa,c] ,,,,,a [aa] ,,,b [aa,c1] | \
d/ f [ddf,,d1]";italian7tab
5;;A4r;El ciel turchino Gagliarda;;;OT;ConcR2134;C;"z1 [,acc,a1] ,,d/ ,a [,cdda1] | \
[,cdc1] [,aabc] [,acc,a] [,a,,ec] | \
,,e1 [,aabc/] ,,,c ,,,b ,,,,e [,aabc1] | \
[aaab1] [aac,,a] [aac,,a] [aac,,a] | \
,,,c/ ,,d ,,c ,,a";italian7tab
6;;A4v;L'Herba fresca;;;OT;ConcR2135;C;"z1 [ddf,,d3/2] f/ [ddf,,d1] | \
[ddf,,d1] [cdda] [cdda] [aab,,a/] d | \
c/ a [,efec1] [,efe] [aabc] | \
[cdda1] [ddf,,d] [ddf] [cdda/] a | d/ c [aab,,a]";italian7tab
7;;B1r;El pouerin;;;OT;ConcR2136;C;"z1 [hd,,,d1] ,,,f/ d f h | \
[fd,ef1] d/ f d c [dabc] c | \
f/ d c a [,ef,c1] ,,,e/ ,f |";italian7tab
8;;B1v;Pass'e mezo;;;OT;ConcR2137;C;"z1 [aabc/] c [dabc1] ,,,,,a | \
[dabc1] [dabc/] c [aabc1] ,,,,,a/ ,,d | \
,a/ ,c ,d a [cdd1] ,a/ ,c | \
,d/ a c d [cdda1] ,,,,,c |";italian7tab
9;;B2v;La Traditora;;;OT;ConcR1453;C;"z1 [aab] ,,a/ ,e a c d f | \
[hd,f,d1] [hd,f] [fd,ef] [dabc/] ,b | \
[cdda1] [aabc] [,efec/] ,f ,e ,c | \
[,efec1] [ddf,,d] [ddf] [ddf,,d] |";italian7tab
10;;B3v;El pichardo Gagliarda;;;OT;ConcR2138;C;"z1 [,efec1] [aabc] [cdda] | \
[ddf,,d1] f/ d [cdda1] [dabc] | \
[cdda/] a d c [ddf,,d] ,,g ,,f ,,d | \
[ddf,,d1] [cdda] [cdd] [cdda] |";italian7tab
