PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
1;;2v;Fantasia Prima;;;OT;;C;"h2 h1 a/ c | d/ f h1 ,a/ f d c | \
[da1] [d,,c/] ,,a ,,b ,,d [da] ,c |";
2;;3v;Fantasia 2.;;;OT;;C;"c2 c1 ,d | a1 c ,,f/ ,c ,d a | [ca1] [d,b] [c,d/] a [,df] ,c | \
[,a,c/] ,,a ,,b [,cd]";
3;;4r;Fantasia 3.;;;OT;ConcR851;C;"f2 f1 c | d1 f ,d/ d c a | [cd1] [da] [ac] [cd] | \
[acd/] ,d ,c ,a [,cd1] [,da] |";
4;;4v;Fantasia 4.;;;OT;;C;"f2 c3/2 d/ | f1 c h d | [fd/] d c a [ca1] d/ ,b | \
[cd/] a/4 c [da1] ,f/ c [ab1] |";
5;;5r;Fantasia;Emanuel Adriaenssen;;OT;ConcR226;C;"[caa,c3/4] a/4 c/8 a c a c a ,d ,c \
[,da,c/4] ,a/8 ,c ,d a c d c/4 ,a c e |";
;;;Chansons a Quatre;;;;;;;
6;;5v;Io mi son giouenetta;;;OT;Conc_3995;C;"[cdf,c2] [ccee1] [cdf,c] | \
[effc/4] c e f e/ [ca,a] [,ghge/4] \
,h/8 ,g ,h ,g ,e ,g [ccd,,c1] |";
7;;7r;Poich'el mio largo pianto;;;OT;;C;"[ccde2] | [cdda1] [c,def/] [,dfec1] [aa,,cd/] [cce,,c1] | \
[cce,,c1] ,,,e/ ,,d [,ccd] [,,de] [,aaa] [,cc,e] | \
[,,def/] [ca] [,cc,e] [a,d] [,cd] [cd,a] [,dff] [aa,c/4] ,d |";
8;;7v;Anchor che col partire;;;OT;ConcR492;C;",,a1 c ,,d a/ ,,c | ,,d/ ,c [,df1] [acd] [ccd,,c] | \
[,cc,e1] a/ [,,d,e] [,,aa1] [,,cc/] ,,a/4 ,,c |";
9;;9r;D'un coeur loyal;;;OT;;C;"a2 [ha1] ,,,,c/ f | \
[ef,,,a/] c [e,,c] ,e [,c,,,a] [f,a] [ha,g/4] ,,,,h [e,a] ,,c | \
[fca,a/] ,,,c ,,,c ,,,b/4 ,,,c";
10;;9v;La terre les eaux;;;OT;;C;",,d1 ,,d/ ,,d [,d,a1] [,d,a/] ,,,a | \
[abd1] [aab/] a [f,dd] ,,f [fb,d] ,,d | \
[da,c/] ,b [bd,a] ,,,a [add,a] ,c/4 ,a [,c,,a/] [,,d,a] |";
11;;11r;Appariran per me;;;OT;ConcR3613;C;",a1 [,a,c/] ,a [,,cc] ,,,c [,,d,e1] | \
[,a,b/] ,,d [,acc] ,,a [,acc] ,a [,,cce] ,,,c | \
[,,dce1] [,aabc] [,acc/] ,,d [aa,c] ,c |";
12;;11v;Quel lamp'esser vorei;;;OT;;C;"a1 [f,d] [,f,c/] d [c,f,c] [cd] | \
[ab,c/] [,bd] [,ab] [,aaa] [a,,cd] [,,dcd] [,ab,c] ,d/4 [,,de] | \
[,,bc,a/] ,b [,,aa,c] [,a,,,d]";
13;;13r;O s'io potessi donna;;;OT;ConcR868;C;"[hd,f,d2] [hd,f,d/] ,,,,a ,,,,c ,,,,e | \
[fdaa1] [fdaa] [da,c] [ca,bc] | \
[aa,cd/] ,,d/4 ,,b [a,d] ,,a ,,b/8 ,,a ,,b ,,d [,efec1] c |";
14;;13v;Madonna mia pieta;;;OT;ConcR2844;C;"[,cdca1] [,cdca/] [,cdca] [aab,,a] [aabc] [,efec/4] ,c ,e ,f | \
,e/ [,efec] [acd,a] [cdda] [aabc] [aab,,a] [,efec3/4] ,f/4 |";
15;;15r;Tant vous allez douce Guillemette;;;OT;ConcR2352;C;"a/ a a a [c,f/4] ,f [,ef] ,c [,ef/] ,,f | \
[ac/4] ,a [a,d] ,,c [,cd/] [,ea] [a,cc] \
[,a,c] ,,,c [,,cc/4] ,,d |";
