PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;3;All'apparir dell'alba la mia diva;;;OT;;C|;"z/ [,dff] [,dff] [,dff] | [ab,,d/] [ab,,d] [b,da1] | [ab,,d1] [,bdd/] [,dda] | \
[,abc/] ,,c [,cd,a1] :||: z/ [,,def] [,,def1] | [,bd,a1] [,bd,a/] [,bd,a] | \
[,bcc1] [ab,,d] |";italiantab
2;;4;S'io dormo haggio gran male;;;OT;;C|;"[,cdd1] [,bd,a1/] ,,,,c | ,,,,d/ ,,,a [,acc1] | z/ [aa,c] [abd1] | \
[aab/] [,ddd1] [,bbc/] | [bb,a/] ,a [ab,,d1] | \
z/ [,dff] [,dff3/4] [,a,c/4] |";italiantab
3;;5;Poiche pietà non trov'al mio gran male;;;OT;;C|;"[,acc2] [df,c3/2] [,cde/] | [,cde1] [cd,a] | [acd1] [,dda/] [,dff1] | \
[,dde/] [ca,c1] | [c,da/] [,df,c] [,cde] [,ab] | \
[,ca/] ,,e [,ea,c] :||:";italiantab
4;;6;Sospira core che ragione n'hai;;;OT;;C|;"z/ [,dff] [,dff] [ab,,d] | [,dff1] [,abc/] [ab,,d] | \
[ab,,d/] [ab,,d] [,dff1] | [,bb,d/] [,dff1] [,abc/] | \
[,bdd/] [,dda] [,adc] ,,c [,cd,a1] :||:";italiantab
5;;7;Da poi ch'io viddi la tua gran bellezza;;;OT;;C|;"z/ [ab,,d] [,dff] [,bd,a] | [,acc1] [,bd,a/] [,,def1] | \
[,,bcd/] [,,def] [,abc] | [,bd,a/4] ,,,,c ,,,,d ,,,a [,acc1] :||: \
[ab,,d/] [ab,,d/4] [,dff] [,bdd/] [,dda] |";italiantab
6;;8;Correte tutti quanti O sventurati amanti;;;OT;ConR2408;C|;"z/ [acd] [acd] [acd] | [cd,a/] [cd,a] [acd1] | \
[,cd,a/] [ac,,a] [ac,,a] [ac,,a] | [,da,c/] [,cd,a] [,adc] ,,c [,cd,a1] :||: \
z/ [,,def] |";italiantab
7;;9;Andand'un giorn'a spasso;;;OT;;C|;"[,acc1] [,acc/] [,acc] | [,acc3/2] [,acc/] | \
[,bd,a/] [,acc] [,bdd] [,dff] | [ab,,d1] [,ab,,d] :||: \
[df,,d1] [cd,a/] [cd,a] | [abd1] [,dff] | \
[,bdd3/4] [,bdd/4] [,abc/] [,abc] |";italiantab
8;;10;Date la strad'o voi che cosi armati;;;OT;;C|;"[,dff/] [,dff/4] [,dff] [,dff/] [ddff] | [ab,,d3/2] [ab,,d/] | \
[ab,,d/] [ab,,d] [,dff1] | [,abc/] [,dff] [,bdd] [,abc] | \
[,dda/] ,,a [,ab,,d1] :||:";italiantab
9;;11;Gioia ch'avanzi tanto di bellezza;;;OT;;C|;"z/ [abd] [abd] [abd] | [abd/] [abd] [abd1] | [bd,a1] [abd/] [abd] | \
[,dff1] [,bb,d] | [,dff1] [,bdd/] [,abc] | \
[,dda/] ,,a [,ab,,d1] :||:";italiantab
10;;12;Come farò cor mio quando mi parto;;;OT;;C|;"z/ [,,def] [,,def] [,,def] | [,acc/] [,bdd] [,a,c] ,,c | \
[,,d,a/] [ab,,d] [ab,,d] [ab,,d] | [,db/] ,a [,bd] [,bdd] | \
[,cda/] [,,da/4] ,b [,a,c/] ,,c [,cdca] :||:";italiantab
11;;13;Tutta sei bella donna mia gentile;;;OT;;C|;"[ab,,d1] [,df,,d/] [,df,,d] | [,bd,a1] [,abc/] [ab,,d1] [ab,,d/] | \
[b,da/] [ab,,d] [,db,,d] ,a [,bb,d1] :||: z/ [ab,,d] [ab,,d] [ab,,d] | \
[ab,,d/] [ab,,d] [ab,,d1] |";italiantab
12;;14;Io vo cercando o belle donn'il core;;;OT;;C|;"z1 [db,,d] | [bd,a1] [ab,,d] | [,db,,d1] [ab,,d] | z/ [bb,d] [,dda] ,,,a/4 ,b | \
[,acc/] [,bdd] [,acc1] [acdca/] :||:";italiantab
13;;15;Così vuol mia chiara stella;;;OT;;C|;"z/ [,abc/4] [,,fdf] [,,bcd3/2] [,,bc/] [,,def] [,,def] | \
[,ab,,d1] [,ab,,d] | [,bdd/] [,bdd] [,bdd3/2] | \
[,bd/] [,dff] [,dff] | [ab,,d1] [ab,,d] :||:";italiantab
14;;16;Le donne belle ch'a Venetia stanno;;;OT;;C|;"[abd/] [abd/4] [bde] [dfg/] [bde] | [abd/] [b,dd] [,dff] [,dff] | \
[ab,,d1] [ab,,d] :||: [,dff/] [,dff/4] [abd] [bde/] [dab] | \
[abd/] [bbdd] [,dff] [ab,,d] |";italiantab
15;;17;Dolci colli fioriti a me si cari;;;OT;;C|;"[dd,f3/2] [bd,a/] | [abd1] [,dff/] [,dff] | \
[f,gd1] [df,,d] | [b,da/] [ab,,d] [,df,,d1] | \
[ab,,d2] :||: \
M:3
[b,da1] [b,da] [b,da] | [abd1] [,f,gd2] | \
[,dfg3/2] [bde/] [,fg,d1] |";italiantab
16;;18;Tanto v'ha fatt'il ciel cortesa e bella;;;OT;;C|;"[ab,,d2] | [,dff/] [,bdd] [,acc3/2] [,bdd/] [,dff] [,dff] | \
[,dff/] [,dff] [,bdd1] | [,abc/] [,,def] [,,def] [,,def] | \
[,,def/] [,,def] [,,def1] | [,acc1] [,cd,a] :||:";italiantab
17;;19;Quando mirò i capelli Inane;;;OT;;C|;"z/ [df,,d] [df,,d] [df,,d] | [bd,a/] [bd,a] [add] ,c | \
[,dda/] [,bdd] [,bdd] [,acc] | [,bdd/] [,dff] [ab,,d2] | \
[ab,,d/] [dfg] [dfg3/4] [bde/4] |";italiantab
18;;20;Amor sia benedetto;;;OT;;C|;"z/ [,bdd] [,bdd] [ab,,d] | [,dff/] [bd,a] [add] ,c | \
[,add/] [,bdd3/4] [,bdd/4] [,bbc/] | [,bdd/] [,bd] [,dff] ,,f | \
[ab,,d1] :||:";italiantab
19;;21;Bella che tieni li capigli d'oro;;;OT;;C|;"z1 [,abc] | [,dff3/2] [,dff/] | [ab,,d/] [ab,,d] [,dff1] | \
[,,ff/] [,bdd1] [,ab/] | [,,def/] ,,a [,ab,,d1] :||: \
z1 [,bdd2] [,dff1] | [,ab,,d/] [,,def1] [,ab,,d/] |";italiantab
20;;22;Gli occhi la bocc'e la tua leggiadria;;;OT;;C|;"[acd/] [acd/4] [acd] [bd,a/] [bd,a] | [acd/] [fg,d] [dfg] [,d,f/4] ,g | \
[add/] ,c [cd,a1] :||: z/ [fg,d] [fg,d] [df,,d] | \
[bd,a3/4] [bd,a/4] [bd,a/] [abd] |";italiantab
21;;23;Non mi date tormento ne piu doglia;;;OT;;C;"z1 [abd3/2] [aa,c/] [,dff1] | [,dda/] [,acc] [,bdd1] [,bb,d/] [a,b,d1] [,df,,d/] | \
[,bd,a/4] ,,,,c ,,,,d ,,,a [,acc1] :||: \
z/ [,bb,d] [,bd,a] [,df,,d] [,bd,a] [,bdd] [,acc1] |";italiantab
