PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2v;Prelude;;;OT;ConcR3562;C;"[,aa,c2] [,aa,c] | [,abc2] [,aaa1] ,,,,c | \
[a,,,e1] ,,e/ ,,c [a,e,e1] ,a | \
[da,,c1] c ,,a/ a ,d ,c | [,ab/] ,c ,d a [c,a1] [d,,c] |";
2;;3v;Prelude;;;OT;;C;",d/ ,c ,d a [b,,a1] d/ ,,,c [f,dd1] ,,b/ ,a [abd1] ,d/ ,,f \
[,fg1] f [,df] f [ffd/] d b a";
3;;4v;Prelude;;;OT;;C;"[,a,,,d1] [,,d,,c] [,c,,a] [,d,,c] [,a,,,d] [a,,,d] [,,a,c] ,e \
[d,,,,a] c/ d f d c a [c,,a3/2] a/ c a";
4;;5v;Prelude;;;OT;;C;",,d2 [a,d1] ,,b/ ,,a ,,,c a ,d ,b [,a,c1] ,,,a/ ,,,,d \
[,aa,c] ,,d ,a ,b [,d,,c] ,,,,a ,,,,c ,,,,d [,d,a1]";
5;;6v;Alsovver de mont / A toy me rends;;;OT;;none;"[fd,a2] [fd1] ,,,a [f,gd3/2] ,,,c/ [fd,d] ,,,c/4 ,,,d \
,,,c/ ,,,a [df,,d1] g/4 f d f g d ,g d";
6;;7v;Dulcis amica;;;OT;;C;",,b/ ,,,a ,,,c ,,,d ,,b ,,d/4 ,a ,b ,d a b | \
[d,,c/] ,d a b [d,,c] ,,,a ,,,,d ,,,,c |";
7;;8v;Cest boucane;;;OT;;none;"[d,,c2] [a,b1] [c,,a] [,d,,c] ,d [a,b] [c,d] [da] c/ a \
,d a c ,d a c d a [c,,,a]";
8;;9r;Prelude;;;OT;;none;[a,,c,a1] c/ d f d f/4 d c a ,d/ ,b ,d/4 ,b ,a ,,d ,b/ ,a;
9;;9v;Fortune laisse;;;OT;;none;"[,daa2] [,daa/] ,,,,e ,,,,c ,,,,a [,ab,,d3/2] ,,a/ [,c,ca1] \
,d/4 ,c ,a ,c [,d,a/] ,,,c [,,aa] [,,bc] [,,de1] [,dff]";
10;;10v;Or tu ne laisse moy;;;OT;;C;"[,,aa2] ,,a1 ,,,a | [,,b,,d/] ,,a ,,b1 [,,,ca] ,,,c | \
,,,a/ ,,,c [,,aa] [,,bc] [,,de1] [,ab] | \
[,ab/] [,,de] [,,bc] [,,aa] [,,bc] ,,,c ,,a ,,b |";
11;;11v;Amy souffres;;;OT;ConcR2010;none;"[c,da1] [c,da] [a,bc] [c,da3/2] ,,,,e/ [c,da] ,,,c [f,de] \
[da,c1] [c,,a] ,,d/ a/4 c [a,,,e1] [,d,,c] [,cd,a] \
[a,b,d/] ,,a ,,,c [,d,,c]";
12;;12v;My souffres que ie vo'ayme;;;OT;;C;"[,,da1] [,,da] [,,bc] | [,,da1] ,,,a/ ,,,,e [,,da] ,,,c [,,de1] | \
[,a,c1] ,,,a ,,d ,,,,e/ ,,,,c | \
[,,d,a1] [,,b,d/] ,,a [,,,cd] ,,,,c ,,b ,,,,a |";
13;;13v;J'ay trop aime;;;OT;ConcR3563;none;"[c,da2] [c,da/] a/4 c d c a c [,df,c1] ,c/4 ,d a c [da,c1] \
[da,c/] c/4 d [ac,,a1] [a,d]";
14;;14v;J'ay trop aime vray / le confesse;;;OT;;C;"[,,da2] [,,da1] [,,da] | [,a,,c1] [,a,,c] [,a,c] [,a,c] | \
[,c,,a1] ,,d ,c/ ,,c [,,de] ,,,c | \
[,a,a/] ,,,,e ,,,,c ,,d ,,b ,,a ,,b ,,,a |";
15;;15v;Si vostre cueur;;;OT;;none;"[c,da3/2] ,,b/ [c,da] ,,a ,,b ,,d [ca,,c] ,,,,a ,,,,,d ,,,,,c \1
[d,bc] ,,d ,a ,,b [c,da] a c/4 a ,d ,c";
16;;16v;Si vostre cueur prent;;;OT;;C;"[,dda3/2] ,,b/ [,dda] ,,a ,,b ,,d | \
[,df,c/] ,,,,a ,,,,,d ,,,,,c [,abc] ,,d ,a ,,b | \
[,dda/] ,,,c ,,a ,,b [,dda1] [,cd,a] |";
17;;17v;De retourner;;;OT;;none;"[,d,a2] [,daa/] [,c,c] [,da] [a,b] [c,da] ,,a [a,b,d3/2] \
[,da/] [,d,c] ,,,a [,d,ca] ,c ,d/4 ,c ,a ,c [,d,a1] \
,,,a ,,,,c";
18;;18v;De retourner mon amy;;;OT;;C;"[,,da2] [,,def/] ,,,c [,,de] ,,b | \
[,,da/] ,,a [,bb,d3/2] [,aa/] [,,dc] [,,ba] | \
[,,dca1] [,,dca] [,,aa] [,,da] | \
[,a,,c1] [,a,a/] ,,,,e [,,def1] [,aa,c] |";
19;;19v;Languir me fais;;;OT;ConcR200;none;"[,daa/] ,,,,e ,,,a ,,,c [,daa] ,,,,e ,,,,d ,,,,a [,a,a,d] \
,,,,,c ,,,,,d ,,,,a [,a,ac] ,,d/4 ,,c ,,d ,,c ,,d ,a";
20;;20v;Languir me fais sans tauaoir offense;;;OT;ConcR200;C;"[,,def/] ,,,,e ,,,a ,,,c [,,def] ,,,,e ,,,,c ,,,,a | \
[,,b,ad/] ,,,,,c ,,,,,d ,,,,a [,,aac1] ,,,c/ ,,a ,,b | \
[,,dca/] ,,b ,,d ,a";
21;;21v;Viuray ie tous iours en soucy;;;OT;;none;"[c,da1] [c,de] [c,de] [da,c/] ,,d ,a ,c [cd,,c1] ,,,a \
[ac,,a] [fa/] ,,d [,a,c1] e [f,d,a3/2] d/ c a";
22;;22v;Viuray ie tous iours en soucy pour vous;;;OT;;C;"[,dda1] [,cde] [,dde] | [aa,c/] ,,d ,a ,c [,d,,c1] [,,d,a] | \
[,c,,a1] [aa/] ,,d [,a,c] [,d,a] [,a,c] | \
[,cd,a3/2] ,,b/ ,,d ,a [,dda] ,,,,e |";
23;;23v;J'atens secours;;;OT;;none;"[,daa2] [,daa/] ,c [,db] a [c,da] a/4 ,d ,c ,d a c [da,,c1] \
[c,d] [c,,,c/] ,,b [a,b] [,da] [,cd,a]";
24;;24v;J'atens secours de ma seulle;;;OT;;C;"[,,def2] [,,def1] ,,,f | [,,def/] ,,,,e ,,,,c ,,,,a [,a,ac1] ,,d | \
[,,,ac/] ,,d ,,b ,,a [,,dca3/2] ,,b/ | \
,,a/ ,,b [,aa,c1] [,abc3/2] ,,,a/ |";
25;;25v;Les fascheux sotz;;;OT;ConcR1680;none;"[,,da1] ,d [cd,a/] a [c,,a] [d,,c] [fda1] [h,,f] [,cd/] f \
[fa,c] ,,d [fa,c] e f/4 e c e";ConcR1558: Attaingnant1529 / 25 ???
26;;26v;Les fascheux sotz qui mes disent;;;OT;ConcR1680;C;"[,d,a2] [,d,a1] ,,,a/ ,,,c | [,da1] ,,b [,cd] [,aa/] ,,d | \
[,a,c/] ,,,a [,a,c1] [,,d,a3/2] ,,d/ | \
,,,,a1 [,,da] [,,da/] ,,d ,,b ,a |";
27;;27v;Dolent depart;;;OT;ConcR1679;none;"[c,da3/2] ,,b/ [c,da] ,,b ,,a ,,,c [,daa] ,c ,d ,a \
[da,,,d] c d a [c,da] a c d [c,da1]";
28;;28v;Dolent depart de lieu;;;OT;ConcR1679;C;"[,,da3/2] ,,b/ [,,da] ,,b ,,a ,,,c | \
[,,aa/] ,c ,d ,a [,a,,,d] ,,,,a ,,,,c ,,,,d | \
[,,da/] ,,,,d ,,,a ,,,c [,,da1] ,,b/ ,,a |";
