PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;d moll;2;Allemande;;;;;C;,a/ | [,aa{,,,a}1] ,,a ,,,,a/ a (,c ,a) | V[,c,,,a1] [,,'e] ,,a/ c ['a,,,,a] ,c | {,,,a}/ a {4} ,c
2;d moll;3;Courente;;;;;3/4;",,a/ ,a ,c | [aa{,,,a}1]> {,,a} {,a} ,a | \
{a}/ ,c ,,,,,a c a ,c | ,,,,a/ a ,a ,,e ,a ,,a | "
3;d moll;4;Aria;;;;;C;"{,,,a}/ ,a {,,a} ,,e {,a} ,a ,,a1 | ,,,,,e/ ,c ,,,,a a ,,,,,a ,c ,,a1 | \
{,a}/ e {,,a} ,,e {,a}/ ,a {a} ,c | "
4;d moll;4;Menuet;;;;Conc_3964;3/4;"[e{,,,a}1] ['c{,,a}2] | V[e{,a}1] ,a ,a | [f{a}1] ['e{,a}2] | V[f{a}1] ,a ,a | \
[e{,a}1] ['c{,,a}2] | V[e{,a}1] ,a [e{,a}] | "
5;d moll;5;Spagnoletta;;;;;3/4;"[,a{,,,a}/]> a ,c/ | [a{,,,a}/]> e [c{,,a}/] | [e{,a}/]> c [a{a}/] | [,c,,,a/]> \
,,e ,,a/ | [a,,,,a/]> ,a ,,a/ | "
6;d moll;6;Menuet;;;;;3/4;"[a{,,,a}1] ,c ,a | [,,'e,,a1] {a} [e{,a}] | \
[c{,,a}1] (e/ c) [a,,,,a] ,c | [a,,,a1] ,c/ a ,a1 | "
7;F dur;7;Aria;;;;;3/4;"[a,a{,a}1] V[c,d{,,a}] ,,d | [fa{,,,a}1] ['e,d{,,a}/] \
,f [ed{,a}1] | [,,da,a1] [,ad,,b] [a,d,,a] | \
[,,'b,c{a}1] {4} [,,aa{,a}] | [,,aa1] [,,ca] [,,dc{,,a}] | "
8;F dur;8;Menuet;;;;;3/4;"[a{,a}1] ,,d ,,d | [a{,a}1] (e/ c) a1 | [c{,,a}1] ,,d ,,d | [c{,,a}1] (f/ e) c1 | \
[e{,a}1] [c{,,a}] [a{,,,a}] | "
9;F dur;9;Marche;;;;;C;"(a/ c) | [a{,a}1] ,,d ,,d (c/ e) | \
[c{,,a}] ,,d ,,d ,,,a | [,,a{,a}1] [,,d{,,a}] [a{,,,a}] e | "
10;F dur;10;Bouree;;;;;C;",,,a1 | [,,'a{,a}1] (,,b/ ,,d) [,,b{a}1] ,,d/ ,a | \
[,,d{,,a}1] [,,b{4}] [,,'a{,a}] [a{,,,a}] | [c{,,a}1] (a/ c) [e{a}1] (c/ a) | "
