PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Some concordances taken from Pietro Prosser's thesis (1996);;;;;;;
1;C dur;2r;Prelude;;;Mandora;;C;"[,,,a/4] ,d (,c ,a) ,,c ,,a ,,,e ,,,c ,,,a ,,,,e ,,,a ,,,c ,,,,a/ d | \ 
[c,,a/4] d f c [h,a] ,i h ,i [a,,,a] c d a [f,,a] ,h f ,h |  ";french5tab
2;C dur;2v;Praelude;;;Mandora;;C;",,,a/4 a c d [f,,e] d c a [,d,,c] ,d a c \ 
[d,,c] c a ,d [,c,,a] ,c ,d a [c,,a] a ,d ,c |";french5tab
3;C dur;3r;Harpeggio;;;Mandora;;C;",,,a/4 ,d c ,d ,,,a/4 ,d c ,d  ,,,a/4 ,d c ,d  ,,,a/4 ,d c ,d  \
{,a}/4 ,c d ,c ";french5tab
4;G dur;3v;Praelude;;;Mandora;;;"a/ ,,,,a/4 f e c a ,d ,,,,a ,c ,d a c c ,,,a c | \
,,,,,e/ ,c ,c ,d a a ,,,,,e a ,,,,,c ,,c ,a ,c ,d ,d";frenchtab
5;g moll;4r;Praelude;;;Mandora;;C;",,,,a/ f ,f f ,b a ,,c ,b | ,,,,,a ,,c ,,,,a ,b ,,,,c ,d ,,,,d a | \
,,,a/ b ,,c ,a ,,,d a ,,b ,,c | ";frenchtab
6;G dur;4v;Harpeggio;;;Mandora;;;"a/4 ,c | ,,,a/4 ,c a ,c ,,,a/4 ,c a ,c ,,,a/4 ,c a ,c \
,,,a/4 ,d a ,d ,,,a/4 ,d a ,d ,,,a/4 ,d a ,d |";french5tab
7;D dur;5v;Harpeggio;;;Mandora;;;",,,c/4 a ,a a ,,,c a ,a a ,,,c a ,a a ,,,b ,a c ,a \ 
,,,b ,a c ,a ,,,b ,a c ,a |";french5tab
8;G dur;7r;1. Marche;;;Mandora;;C;"a/ c e | [f,,,a1] f/ f f a c e | [f,,,a1] a/ ,c ,,c1 ,,,,a | \ 
[,,c,a1] ,c ,,c [,ab,,a1] (,a/4 ,c ,d/) |";french5tab
9;G dur;7v;2. Menuet;;;Mandora;;3;"[ac,,a1] (,d/ ,c) ,a ,,c | V[c,,a1] [a,,,e] f | (e/4 f h/) a1 [,c,,a] | \ 
{,a}/ ,d (,c ,a) [,c,,a1] | ";french5tab
10;G dur;7v;3. Gavotta;;;Mandora;Conc_4731;C;"f/ e | 'f1 a/ ',d ',c ,a ',,c ,,b | [,,c,a1] ,,,,c ,,,e [,La,c] | \ 
[,Lc,,a1] [,Ld,,c] [aLy,,e] [,Ld,,c] |";french5tab
