PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Gagliarda;;;OT;;3;"[cdda2] ,,,,,,a [cdd] | [aac,,a2] ,,,c [aac] | \
[aac,,a2] [aac,,a] ,,,c | [acd,a2] ,,,c [acd] :||: \
[cdda2] ,,,,,,a [cdd] | [aac,,a2] ,,,c ,,,,e |";italian7tab
2;;1r;Pass'e Mezo;;;OT;ConcR2819;C;"[aac,,a2] ,,,c | [aac2] [aac,,a] | [aac,,a2] ,,,a | \
,,,,e2 ,,,,c | [acd,a2] ,,,c | [acd2] [acd,a] | \
[acd,a2] [aa,,,e] | [aa,,,c2] ,,,b | [aac,,a2] ,,,c |";italian7tab
3;;1v;[Romanesca];;;OT;;C;"[,aba,d2] [,aba1] ,,,,,d | [,aba2] [,aba,d] | [,aba,d2] ,,,,,c1 ,,,,,a | \
[,daa,,d2] [,dda1] ,,,,,,d | [,daa2] [,daa,,d] | \
[,daa,,d2] ,,,a | [aab,,a2] [aab1] ,,,,,a |";italian7tab
4;;2r;Ruggiero;;;OT;Conc_3638;none;",,,c1 ,,a [aac,,a2] ,,,c [acd,a] [,aabc] [aac,,a] ,,,c [aac] ,,a1 ,,c \
[,,d,,c2] [,,c,,a] [,,a,a] ,,,c [,aabc] ,,,,,,a [,aab] ,a1 ,c";italian7tab
5;;2r;Favorita;;;OT;;3;"[,aba,d2] [,aba] [,aba,d] | [cdda2] ,d1 a [cdda2] | \
[aabc2] ,,,,,a1 d c a | [,ea,c2] ,a ,,,,,,a || \
[,aba,d2] [,aba1] ,,,,a ,,,,c ,,,,e |";italian7tab
6;;2v;Quest'e quel luogo;;;OT;ConcR2723;none;"[,,d,a2] ,,c [,,d,a] ,a [abb,d] ,,,c [abb] a [,d,,c] [,b,,a] \
[,b,,,d] ,a [abb,d] ,,,c [aab] :||: a [,d,,c] ,b [,a,,,d] ,d";italian7tab
7;;2v;[Spagnoletta];;ff.3r-27r empty (?);OT;Conc_4501;none;",,d1 ,a [,b,,a3] ,a1 ,b2 [,d,,c3] ,b1 ,d2 [abb,d4] ,,,c2 \
[abb4] ,d1 a [bbdd4] [bbd2] [,a,,,d3] ,b1 ,d2 [abb,d4] \
,,,c2 [abb4]";italian7tab
8;;27v;Monacha;;;OT;Conc_4438;none;"[,bdda1] ,,,,,,a/ a b ,,,a ,,,,d ,,,,c [,b,,a] ,d ,b ,a ,b ,,,,a ,,,,,b ,d \
[dab,,d] ,,,,a ,,,,c ,,,,,d";italian7tab
9;;28r;Passagio;;;OT;ConcR1622;none;a1 c d c a c d f h f d c a ,d ,c ,a ,,d ,,b ,,a ,,,c ,,,a ,,,,e;italian7tab
10;;28v;Saltarello;;;OT;;none;"[cdda2] [cdd1] [cdda] [d,,c2] [c,,a1] a ,d [,c,,a] ,d a | \
z [c,,a2] a1 c [d,,c1] c1 d [f,,a2] d1 c";italian7tab
