PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Die meiste Konkordanzen sind durch John Robinson zu Verfügung gestellt;Most Concordances supplied by John Robinson;;;;
1;;1r;Tenore di pass emezo;;;OT;;none;"[aabc1] ,,,,,a [aabc] [aabc] [aabc] ,,,,,a [aabc] \
[abbc] [cdda] ,,,a [cdda] [cdda] [cdda] ,,,,c ,,,,e ,,,a \
[aabc] ,,,,,a [aabc] [aabc] [aabc]";italian7tab
2;;1r;Romanesca;;;OT;;none;"[aabc3/2] [aab/] ,,,c1 [aabc] [aabc] [aabc] \
[cdda3/2] [cdd/] ,,,a1 [cdda] [cdda] [cdda] \
[aabc3/2] [aab/] ,,,c1 ,,,,,c ,,,,,d ,,,,a \
[aabc3/2] [,aab/] ,,,,c1";italian7tab
3;;1v;Tenore di pass e mezo / in chiaue;;;OT;;none;"[acdca1] ,,c/ ,d [acdca1] [acdca] [acdca/] ,a ,c ,d a ,c ,d a \
[cdda1] ,d/ a [cdda1] [cdda] [cdda] d/ c a";italian7tab
4;;1v;Romanesca / in chiaue;;;OT;;none;"[acdca3/2] [acd/] ,,,c1 [acdca] [acdca] [acdca] \
[cdda3/2] [cdd/] ,,,a1 [cdda] [cdda] [cdda] \
[acdca3/2] [acd/] ,,,c1 ,,,,c ,,,,e ,,,a \
[aacc,a3/2] [aac/] ,,,c1";italian7tab
5;;2r;Ballo della Torcia;;;OT;;none;"[abb,d/] ,a ,b ,d [abb,d1] [,aba,d/] ,,a ,,b ,,d \
[,aba,d1] [,b,,a] [,a,,,d] [,,d,,c] [aacc,a] \
,,,c/ ,,d [aacc,a1] | [abb,d] [,da,c] [,b,,a] [,aba,d] ,,,a";italian7tab
6;;2r;Contra Passo;;;OT;;none;"[acdca/] ,d [acdca1] [acdca] [aacc,a] [acdca/] ,d a ,d ,c ,a \
[acdca1] ,a/ ,,d [aacc,a1] [acdca] ,,d :||: \
[acdca/] ,d [acdca1]";italian7tab
7;;2r;Furioso. B;;;OT;;none;",d/ a [cdda1] [cdda] [cdda] [dabc] [cdda] ,d/ a [adda1] a/ c \
[dabc1] [cdda] [abb,d] [,d,,c] [acdca] ,,d/ ,d [acdca1]";italian7tab
8;;2v;Treccia di b.f;;;OT;;none;"[cdda1] [cdda3/2] a/ [cdda1] [dabc2] [acdca1] [cdda3/2] a/ \
[cdda1] [cdda3/2] a/ [cdda1] [dabc2] [cdda1] [abb,d2] \
[,daac1] [acdca2] ,,d1 [acdca2]";italian7tab
9;;2v;Contra punto di pas e m a due tasti il Conto;;;OT;;none;"[c,,a/] a ,d ,c ,d a c d [c,,a] a ,d ,b ,a ,,d ,,b ,,a \
[,,b,,d] ,,a ,,b ,,d";italian7tab
10;;2v;Contra punto di passo e mezo / chiaue;;;OT;;none;"[acdca/] ,,a/4 ,,c ,,d ,a ,c ,d a c d c a ,d ,c ,a \
[acdca/] ,,a/4 ,,c ,,d ,a ,c ,d a ,d ,c ,d a";italian7tab
11;;3r;gagliarda di Frantino da Parma;;;OT;ConcR1409;none;"[aacc1] [,ea,c] [a,,,e] [cdda/] a c d [cdda1] [a,,,e] \
[aaa,c] ,e/ ,,d [aacc,a1] ,,,c/ ,,d [aacc,a1] :||: \
,,,,a/ ,c ,d ,c ,d a";italian7tab
12;;3v;Contra punto di passo e mezzo / in quilio;;;OT;;none;"[cdda3/4] a/4 c/ d f e c a [cdda] ,a/4 ,c ,d a c d \
[cdda/] [abb,d] [,da,c] [,b,,a] [,aba,d3/4] ,,a/4 ,,b/ ,,d";italian7tab
13;;3v;Caterina / da V(ignon);;;OT;;none;",d/ ,d ,c ,d a c ,d :||: ,d/ ,d ,c ,d a ,c ,d :||: \
d/ c a ,d ,b ,a2";italian7tab
14;;3v;Caterina aria / milanese;;;OT;;none;"[aacc/] [acc] [,ea,c] [a,,,e] [c,,a] [e,,c] [aacc,a1] :||: \
[aacc/] [aacc] [,,ab] [,,cc] [,,de] [,,,bc] [aacc,a1] :||: \
f/ e c [a,,,e1] [,ba,c/] [,c,,a] ,,d ,c1 [,a,,,e/] [,a,,,e]";italian7tab
15;;4r;Contra puntto di passo in Mezo in quilio / a pilato Col quilio;;;OT;;none;"c/4 a c d c a ,d ,c ,d ,c ,a ,,d \
,a ,c ,d a c a ,d a c a c d f/";italian7tab
16;;4v;Contrapunto di passo in mezo in quilio / pilatto Col pisopra?;;;OT;;none;"c/ ,d f/4 d c a c/ ,d ,,d/4 ,,b ,,a ,,,c ,,a/ ,,,a \
,,,,a/4 ,,,,,d ,,,,,c ,,,,,a ,,,,,c/ ,,,a";italian7tab
17;;5r;Contrapuntto di passo i mezzo in hiaue / a pilatto Col?;;;OT;;none;",,d/4 ,a ,c ,d a ,c ,d ,a ,c ,,d ,a ,,d ,,c ,,d \
,a ,,c ,,d ,,a ,,c ,,d ,a";italian7tab
18;;5v;Contrapunto di passo in mezo in chiaue apilato Col Pisopra?;;;OT;;none;",,,,a3/4 ,,d/4 ,a ,c ,d a c a c d c a ,d ,c ,a ,c/ \
,a/4 ,c ,d/ ,c/4 ,d a/ ,,d/4 ,a";italian7tab
19;;6r;Romanescha diminuita in chiaue / a pilato Coi p?;;;OT;;none;"[acdca1] [acd/] ,d a/4 ,d ,c ,a [acdca/] ,d a ,c ,d/4 ,c ,d a \
[cdda/] ,a/4 ,c ,d ,c ,d";italian7tab
20;;6v;Romanescha diminuita in quilio / a piluta Col pa in quilio;;;OT;;none;"[,d,a3/4] ,c/4 ,a ,c ,d ,c ,d a c d \
[c,,a] a ,d a c a ,d ,b ,a ,,d ,,b ,,a [,aba,d/]";italian7tab
21;;7r;Salterelo gagliarda;;;OT;;none;"[acdca1] ,,d/ ,d [acdca1] [cdda] [dab,,d] [acdca] [cdda] \
,d/ a [cdda1] [a,,,e] [,da,c] a/ ,d [acdca] ,d a c d c a ,d";italian7tab
22;;7r;ghierometta;;;OT;ConcR1584;none;",c/ ,d a1 c/ a ,d1 ,c ,a/ ,,d a ,d ,c1 ,a ,,d/ :||: \
,c ,d a c/4 a ,d/ ,c ,a";italian7tab
23;;7r;Ghierometta;;;OT;ConcR1584;none;"z1 [e,,,,a/] f [h,,,,a1] [h,,,,a/] h [f,,,,a1] [e,,,,a] \
[c,,,,a/] a [h,,,,a] f [e,,,,a1] [c,,,,a] [a,,,,a] \
[e,,,,a/] f [h,,,,a] k";italian7tab
24;;7v;Contrapunto di Paso in mes in Quilio;;;OT;;none;"[cdda1] [cdd/] d [cdda1] [acdda] [cdda/] d c [a,,,d] [,d,,c] \
,b/4 ,a [,b,,a/] ,d/4 ,b [,aba,d3/4] ,,a/4 \
,,b1 ,,d ,a ,,d ,,b ,,a";italian7tab
25;;8r;Pauaniglia baletto;;;OT;;none;"d/ c a [,ea,c1] [,ea] ,,,a/ [,ea,c2] [aabc/] ,,a ,,b ,,d \
,a ,c ,d a [cdda1] ,,d [cdda] [cdda] [cdda] [,da,c] [aa,,e]";italian7tab
26;;8r;Rosse e uiole;;;OT;ConcR2743;none;"[,,d,a3/2] ,,c/ ,,d1 [,aba,d] [abb,d2] [abb1] [abb,d] \
[,da,c] [,b,,a] [,aba,d/] ,b ,d ,a [abb,d2] [abb,d1] :||: \
[abb,d] [,da,c3/2] ,b/ ,a1 [,da,c] [,b,,a]";italian7tab
27;;8r;Canario;;;OT;;none;",,,,a3/2 ,d/ ,c ,a ,,d3/2 ,,,c/ ,,,a ,a ,,d ,,,,c \
,,,,a3/2 ,d/ ,c ,a ,,d ,,,c3/2 ,,,a/ ,a ,,d ,,,,c ,,,,a/ :||:";italian7tab
28;;8v;Gagliarda di santino da Parma;;detta Cesarina;OT;ConcR990;none;",,,c/ [,,aa1] [,,cc] [acdca] ,,d/ ,d [acdca1] \
,,,,a/ ,d [acdca1] [,ea,c,a] [aacc,a] ,,,c/ ,,d \
[aacc,a1] a/ ,d [,c,,a1] [,a,,,e] [,,e,,c] ,a/ ,c";italian7tab
