PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;Faszikel 1,2,3;Fascicle 1,2,3;Concerto / â / Due Liuti Obligati (Fasc.1,2) / & / Basso (Fasc.3) / Corigniani;;;;;;
1;B dur;01-1v;Introduzzione allegro;Corigniani;Liuto 1mo;;;3/4;"[f{5}/] ,,b (,,b/4 ,,a ,,b/) (,,b/4 ,,d) (a ,b) | \
[a,,,,a/] ,,,a [,,,'a/4] ,,,,c ,,,a/ (,,,a/4 ,,,c) (,,a ,,b) | \
[,,d,,a/] ,,,,b (,,,,b/4 ,,,,a) ,,,,b/ ([,,,,b{6}/4] \
,,,,a ,,,,b ,,,a | "
2;B dur;01-2v;Allegretto;Corigniani;Liuto 1mo;;;2/4;"[a{5}/] c [c{,,,a}] ,,b | \
([,,a{,,a}/8] ,,b ,,d/4) ,,b/ z/ [,a{d}/] | \
[,,d,,a/4] ,a ,b/ [,b{,a}] ,a/4 ,,d | \
[,a{d}/4] ,,d ,,b/ [c{,,a}] ,,d | \
[,,'a{,a}1] [,,,a,b/] ,a | "
3;B dur;01-3r;Adagio;Corigniani;Liuto 1mo;;;C;"[,a{a}3/8] ,,b/8 ([,,b{a}/8] ,,a) ,,,c/4 [,a{a}/] [,b{a}] \
[,b{,a}/] [,a{a}] z/ [c{a}/] | \
([c,,,a/8] b3/8) e/ [e{,,,a}3/8] ,,d/8 [,,'b/4] ,,a \
[,,b{a}/4] ,,,c ,b3/8 [,a{,a}/8] [,,'d{,,a}1] | "
4;B dur;01-3v;Alla Breve;Corigniani;Liuto 1mo;;;C;"Z6 | \
[a{,a}1] {a} ,,,,,a [a,,,,b] | \
[,c,,,d1] (,a/ ,c) ,,d1 (,a/ ,c) | \
a1 c e a | \
f1 f (f/ c) ,c c | "
5;B dur;02-1v;Introduzzione allegro;Corigniani;Liuto 2do;;;3/4;"[,a{5}1] ,a [,a{d}] | \
[,,d,,a1] [,,d,,a] [,,d,,a] | \
[,,,a,a/] ,,d (,,d3/8 ,,b/8) ,,d/ ([,,d{6}/4] ,,b) ,,d ,a | \
[,,b{5}1] {5} {4} | \
[a{,,,a}/] ,,b ,,b ,,b ([,,,d{,,,a}/4] ,,,c ,,,d ,,b | "
6;B dur;02-2v;Allegretto;Corigniani;Liuto 2do;;;2/4;"Z4 | \
[,,d{,a}/] ,a [,a,,,b] ,,,a | \
([,,,,c{5}/8] ,,,,d) ,,,c/4 [,,,a{6}/] z/ [,,a{,a}/] | \
[,,,c,d/4] ,,a ,,b/ [,,b{4}/] ,,a/4 ,,,c | \
[,,a{,a}/4] ,,,c ,,,a3/8 {,,a}/8 {,,,a}/ [,a{5}] | "
7;B dur;02-3r;Adagio;Corigniani;Liuto 2do;;;C;"[,,b{a}/] [,,b{a}] [,,b{a}] [,,c{a}] [,,d{,b}/] \
[,,b{a}] z/ [,,b{a}/] | \
([,,b,a/8] ,,a3/8) [,,d,a/] ([,,d,a/4] ,,a) ([,,,c{,,,a}] ,,,b) \
[,,,c{a}/] {a}/4 {,a} {,,a}1 | "
8;B dur;02-3v;Alla Breve;Corigniani;Liuto 2do;;;C;"[,,b{5}1] {4} {,,,a} [,,b{,,a}] | \
[,,'a{,a}1] ,,,c/ ,,a ,,,a1 [,,,c{,,a}/] ,,a | \
[,,b{,,,a}1] [,,d{4}] [,a{5}] [,,b{,,,a}] | \
[,b{4}1] ,b [,b{,a}/] (,,d ,,a) ,,d | \
[,a{5}1] ,a [,a{,,a}/] ,,b ,,,c ,,b | "
;Faszikel 4;Fascicle 4;Concerto à 4 Liuto, / Traverso, / Viola di Gamba, / e / Basso / del Sgre: Meussel;;;;;;
