PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;c moll;6;Allemande Tombeau de Mr. Fco Corbetta;De Visée;;Guitar;Conc_1166;;;french5tab
2;g moll;7;Allemande;De Visée;;Staff;Conc_1166;;;french5tab
3;a moll;10;Prelude;De Visée;;Guitar;Conc_5529;;;french5tab
4;a moll;11;Allemande;De Visée;;Guitar;Conc_5530;;;french5tab
5;a moll;12;Courante;De Visée;;Guitar;Conc_5531;;;french5tab
6;a moll;12;Sarabande;De Visée;;Guitar;Conc_5532;;;french5tab
7;a moll;13;Gigue;De Visée;;Guitar;Conc_5533;;;french5tab
8;a moll;14;Passacaille;De Visée;;Guitar;Conc_5534;;;french5tab
9;a moll;15;Gavotte;De Visée;;Guitar;Conc_5535;;;french5tab
10;a moll;16;Gavotte;De Visée;;Guitar;Conc_5536;;;french5tab
11;a moll;16;Bourée;De Visée;;Guitar;Conc_5537;;;french5tab
12;a moll;17;GIgue;M. Perez;;Guitar;;;;french5tab
13;g moll;18;Allemande;;;Guitar;Conc_5577;;;french5tab
14;g moll;19;Sarabande;F. Corbetta;;Guitar;Conc_5578;;;french5tab
15;g moll;20;Allemande;Lelio;;Guitar;;;;french5tab
16;g moll;20;Courante;Lelio;;Guitar;;;;french5tab
17;G dur;21;Sarabande;De Visée;;Guitar;Conc_5538;;;french5tab
18;d moll;22;Allemande;Lelio;;Guitar;;;;french5tab
19;d moll;23;Sarabande;Lelio;;Guitar;;;;french5tab
20;e moll;23;Gigue;M. Perez;;Guitar;;;;french5tab
21;G dur;24;Gigue;De Visée;;Guitar;;;;french5tab
22;C dur;24;Rondeau;F. Corbetta;;Guitar;;;;french5tab
23;C dur;25;Gigue;F. Corbetta;;Guitar;;;;french5tab
24;d moll;25;Sarabande;De Visée;;Guitar;Conc_5539;;;french5tab
25;d moll;26;Sarabande;De Visée;;Guitar;Conc_5540;;;french5tab
26;g moll;26;Gigue;De Visée;;Guitar;Conc_5541;;;french5tab
27;g moll;27;Menuet;De Visée;;Guitar;Conc_5542;;;french5tab
28;d moll;28;Gigue;De Visée;;Guitar;Conc_5543;;;french5tab
29;d moll;29;Passacaille;De Visée;;Guitar;Conc_5544;;;french5tab
30;d moll;30;Gavotte;De Visée;;Guitar;Conc_5545;;;french5tab
31;d moll;30;Gavotte;De Visée;;Guitar;Conc_5546;;;french5tab
32;d moll;31;Menuet rondeau;De Visée;;Guitar;Conc_5547;;;french5tab
33;d moll;31;Menuet rondeau;De Visée;;Guitar;Conc_5548;;;french5tab
34;d moll;32;Bourée;De Visée;;Guitar;Conc_5549;;;french5tab
