PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;2r;Fantasie;;;OT;ConcR1846;C;",,,,c4 | \
,,,a3 ,,,,e1 | \
[,,a,c3/2] ,,,,d/ ,,,,c1 ,,,,a/ ,,,,,d | \
[,,d,,c1] ,,,,,a ,,,,,c [,,b,,d] | \
[,,a,a1] ,,,,,c ,,,,c ,,,c |"
2;;3v;Fantasie;;;OT;ConcR3619;C;",a4 | \
c3/2 a/ c a c d | \
c1 a ,d2 | \
a3/2 ,d/4 a c2 | \
[hi2] ,,,f1 ,,,h | \
[ha1] ,,,,h [df2] |"
3a;;6r;Aspice domine. A quatre N. Gombert;;;OT;ConcR3620;C;"c3 a1 | \
c1 d/ c d c d/4 c a ,d | \
a1 ,d/ a c a c/4 a ,d ,c |"
3b;;8v;Seconde partie;;;OT;ConcR3621;C;",a4 | \
,a4 | \
,a4 | \
,,,c4 | \
[ca4] | \
c2 ,,d | \
[ca1] ,c ,d2 | \
,,f1 ,c/ ,d ,c1 ,a | \
[c,d1] ,,b/ ,,d ,a1 ,,d |"
4a;;11r;Benedicta a six L. Pieton;;;OT;ConcR3622;C;",,,c4 | \
,,,c4 | \
[a,d3/2] ,,c/ ,,d1 ,a | \
[ac1] ,e [af] ,c | \
[ce2] ,f | \
c3/2 ,e/ ,f ,e ,f/4 ,e ,c ,e |"
4b;;13v;Secunda pars;;;OT;ConcR3623;C;"c4 | \
[c,a4] | \
[f,,,,c2] ,,c | \
[,d,,,c2] [,a,,,e] | \
[fc,,a2] [,d,,c] | \
[ef,,e2] ,,,a | \
[e,,c2] ,d/ ,c | \
[ea,c2] [ac,a1] ,,,,e | \
[cda,c2] [,c,,e] | \
[c,aa2] ,a |"
5;;15r;Le cors absent a quatre T. Crepuillon;;;OT;ConcR3624;C;",,,c4 | \
[,abc,a3] ,,a1 | \
[,abc,a1] ,,,a ,,,c2 | \
[,daac2] ,,a | \
[,cd,a1] ,,,c ,,,c ,,b | \
[,aa,c1] ,,,c [,,ab2] | \
[,abc2] ,,,,,a | \
[aab1] ,,,,,c ,,,,,d ,,,,a |"
6;;16r;Or vien ça vien C. Ianequin;;;OT;ConcR2307;C;",a4 | \
[a,d3] ,,b1 | \
[cda2] ,,,a1 ,c | \
[hff,h1] ,,a ,,,f ,d | \
[ffhh1] ,f [fh,hf] ,i | \
[cdf1] [ac] [cdf] [,dfec] | \
[aabc1] [c,ab] [da,c] [,ffc] |"
7;;17r;D'amour me plain. Roger;;;OT;ConcR1688;C;",d1 ,f/ ,d ,f ,d ,f/4 ,d ,c ,d | \
a1 ,,d/ ,,b ,,d1 a | \
[c,aa/] a c d [c,,a1] a |"
8;;20v;Si grande la pieta Archadet;;;OT;ConcR1837;C;"f4 | \
[ef4] | \
[cd4] | \
[acd3/2] ,e/4 a c2 | \
[,ac1] a a2 | \
[,,de1] ,e/ ,c ,f ,e ,f/4 ,e ,c ,e |"
9;;22r;Il ciel che rado, Archadet;;;OT;ConcR1836;C;"[ha4] | \
[fc2] [cd] | \
[df1] a/ c d a c d | \
[cdf,c1] ,c ,d ,,,,c | \
[acd,e2] [caaa] | \
[,abc1] ,,d [,abc] ,c |"
10;;23r;Che pui foc almio feco Arcadet;;;OT;ConcR3625;C;"[df4] | \
[fd2] [ha] | \
[h,g3/2] f/ h f h/4 f ,i f | \
[ha,fh2] [d,,c1] [d,,c] | \
[c,def2] [,dffc] | \
[a,,cd1] ,,d/ ,,b [a,d2] |"
