PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;D dur;2;Prelude / Ballard;Ballard;;2a;;C;"[aadca1] {,,,a}/ ,,,,a [aad2] | \
[,caa{a}2] [,cccca3/2] ,a/ | \
[,adca1] {,,,a} [aad] ,,,,,e | \
[baa,,c1] ,,,,,a/ {a} [,ad{,a}1] d | \
[faa{a}1] ,,a/ ,,c ,,d ,,a ,,f1 |"
2;D dur;3;Allemande / Ballard;Ballard;;2a;;C;"[aadca1] {,,,a}/ b d ,,,c '[baa3/4] ,,c/4 | \
[a,d/] ,,,,a ',,,c3/4 ,,,a/4 ,,,,e/ a [,c,a] ,,,c | \
[,,de/] ,,a a ,,,c [f,,a] ,,a ,,d3/4 ,c/4 |"
3;D dur;3;Ballet / Ballard;Ballard;;2a;;C;",a/ | \
[,adca1] {,,,a}/ ,c a ,a a b | \
[d,,,a/] ,a [f,,a] f [faa{a}1] [b,,a3/4] b/4 | \
[bcb,,d3/2] d/ [a,,,a] b d ,a |"
4;D dur;4;Courante / Ballard;Ballard;;2a;;3;"a1 | \
[aadca3] | \
[d,,c1] [b,a3/2] ,,c/ | \
[a,d1] ,,,,a ,,,c | \
[aad1] ,,,,,a ,c | \
[,,d,,c1] ,,,,e ,,c | \
[,,aa1] ,,,c/ ,,c [,,de1] | \
[,,cc1] ,,,,,a ,,d |"
5;G dur;6;Courante / Ballard;Ballard;;2a;;3;"f1 | \
[ffda2] f1 | \
[de,,a1] f g | \
[ffda1] {a}/ d b d | \
f1 ,,,,a [de] | \
[b,,,c1] ,,a [a,de] | \
b/ a '[,cb3/2] ,a/4 ,c |"
6;D dur;8;Rocantins / Ballard;Ballard;;2a;Conc_4453;C;"a/ b | \
[d,,,a1] [d,d] [d,d,,a] [,,cc/] b | \
[a,d,a1] ,,a/ ,,c ,,d1 b/ d | \
[f{a}/] ,,,a [f,a] [,,c,,a] [,,d,,c] a ,a c |"
7;G dur;9;Courante / Ballard;Ballard;;2a;;3;",,d1 | \
[,,aa{a}1] ,,,,,a/ ,,b [,,d,,c1] | \
[,,ba,d1] ,,d [,,aa{a}] | \
[,,,ca1] [,,,ac] [,a,,e] | \
,,,a1 [,cd,c] ,,c | \
[a,,,a1] ,,,,c/ b [d,,,e1] | \
[b,,a/] a [,c,c1] ,,,,,a |"
8;g moll;10;Alemande / Mezangeau;R. Mezangeau;;6a;Conc_850;C;"[,,aaa{a}3/2] ,,a/ [,,,ca] [,,,ab] [,,,,e{,,,a}3/4] ,,,a/4 | \
[,,,a{a}/] ,,,c ,,a ,,c ,a ,c ,d ,,,,a | \
[,b,,,d1] [,a,,,b] [,aa,b] ,,c | \
[,a,,a/] ,,,,c [,,,cd] ,,a [,,c,,d] ,,,,a ([,,,ab] ,,,c) |"
9;g moll;11;Alemande / Mezangeau;R. Mezangeau;;6a;Conc_851;C;"[,aaa{a}3/2] ,c/4 ,d ,f/ ,,,,,d ,,,,a ,e | \
,f/ ,,,a ,,a ,f [,,cc] ,d [,d,,d3/4] ,b/4 | \
,a/ ,,,d1 ,c/ ,d ,,,c ,,,a ,f |"
10;g moll;12;Courante / Mezangeau;R. Mezangeau;;6a;Conc_852;3;",a1 | \
[,aaa{a}3] | \
',,a1 ,,,a/ ,a ,c ,e | \
,f3/2 ,h/ i ,,,c | \
,,,d1 ,a ,,,,a/ ,c | \
,d3/2 ,,,,c/ ,,,,d1 | \
,,c/ ,a '[,,c{,a}3/2] ,,a/4 ,,,c | \
,,a3/2 ,a/ ,,,,,b1 |"
11;g moll;13;Courante / Mezangeau;R. Mezangeau;;6a;;3;",,a1 | \
[,,aaa{a}3] | \
'[,,,c{,,,a}3/2] ,,,d/ [,,,a{,,a}] ,,,,,d | \
{,,,a}/ ,,,,c ,,,,e ,,,a ,,,c ,,,,a | \
[,,,df1] ',,,c ,,,,e | \
,,,a1 {a}3/2 ,a/ | \
[,a,,d1] [,ce,c] ',,d |"
12;B dur;14;Courante / Mezangeau;R. Mezangeau;;6a;;3;",b1 | \
'[,aad3/2] ,b/ a {,,,a} | \
,a/ {,,a} '[,,c{,a}3/2] ,,a/4 ,,,c | \
,,a1 ,,,,,b ,,,,d | \
[,aad2] a1 | \
[aaad3/2] c/ '[b,,c1] | \
[c,,a1] [ea,,e2] | \
[fa,a1] {a}/ h f h |"
