PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;2r;Beati omnes qui timet;;;OT;;C;",d4 | ,d2 ,d | ,a2 ,,b | ,d4 | ,d2 ,,f | [,df2] [,df] | \
[ab2] [ab] | [df2] ,d1 ,b | [da1] ,b/ ,d [ab2] |";italiantab
_1b;;3v;2a Pars;;"print: ""quinto pars""";OT;;C;",,d4 | X[f,,d2] ,,d | X[f,,e2] [f,,a] | X[cXd2] ,d | \
X[fd2] ,b | [fa2] d | [c,Xd2] ,d | [aXb1] d/ c [da1] c/ d |";italiantab
2a;;5r;Ave Ancilla trinitatis;;;OT;;;",d4 | ,d4 | ,d1 f/ d f d c d | ,f1 ,c/ ,d ,f ,c ,c/8 ,d ,d ,f | \
X[cd4] |";italiantab
_2b;;7r;2a pars [Ave cuius conceptio];;"print: ""quinto pars""";OT;;;"X[f,d4] | [fd4] | [df4] | X[cXd2] [cd] | X,d1 a c ,d | \
[aXcXd,a2] [ac] | [,dd,f4] | \
[,,bXc1] ,,d/ ,,b ,,d ,,b ,,a ,,,c |";italiantab
3;;9r;Ave virgo singularis;;;OT;;;"a4 | a4 | [a,Xd4] ,,d2 c | [a,d1] ,,a/ ,,c ,,d ,,a ,,c/8 ,,a ,,c ,,d | \
[e,f1] c e f";italiantab
4;;11v;Postquam consumati sunt;;;OT;;;",,d4 | ,,d1 ,,a/ ,,b ,,d [ba] ,b ,d | \
[a,d1] ,,a/ ,,b ,,d ,,a ,,b ,,d | [a,b2] ,,b |";italiantab
5;;13r;Salve regina de Jusquino;;;OT;;;"X[ha3] ,c1 | [hd1] ,f ,d2 | X[fd2] ,c1 ,a | [fc1] ,d/ ,c ,d ,c ,a ,,d | \
[ha1] f/ d c a ,d ,c |";italiantab
6;;15r;Domine quis habitabit in tabernaculo tuo;;;OT;;;",,,a4 | ,,,a4 | ,,,a2 ,,,a | ,,,c2 ,,,e | X[,d,f4] | \
,,,a2 [,d,a] | X[,d,f2] ,d1 ,,,e | [a,,Xc1] c/ d [c,,a1] d/ c |";italiantab
7a;;16v;Michael arcangelle;;;OT;;;"[,a,,c3] ,,,,d1 | [,a,a2] ,,,c | X,b1 ,,,,a/ ,,,,c ,,,,d2 | \
[,a,a2] ,,,c | [,a,Xc1] ,b [,d,a1] ,b/ ,a | [,b,c2] [,ab] |";italiantab
_7b;;18v;2a pars [In conspectu angelorum];;"print: ""quinto pars""";OT;;;"X,,,c4 | [,,bXc1] ,,d/ ,,b ,,d ,,b ,,a ,,b | \
[,,da1] ,,a/ ,,b ,,d ,,a ,,b ,,d | \
[,ab,,a1] ,,a/ ,,,c ,,,a ,,,,d ,,,,c ,,,,a |";italiantab
8a;;20r;Inter natos mulierum;;;OT;;;",,d3/2 ,,b/ ,,d ,,b ,,a ,,,c | [,d,a1] ,c ,d/ ,c ,a ,,d | \
[,d,f1] ,a/ ,c ,d ,c ,d/8 ,c ,a ,,d |";italiantab
_8b;;21r;2a pars [Fuit homo missus a deo];;"print: ""quinto pars""";OT;;;"X,,d4 | [,,da1] ,,a/ ,,b ,,d ,,a ,,b ,,d | [,a,a1] ,d ,c ,a | \
[,c,Xc1] ,a/ ,c ,d ,c ,a ,c |";italiantab
9a;;22r;Dignare me laudare te;;;OT;;;",a4 | ,a4 | ,b4 | X[cXd4] | [cd1] ,b/ ,a ,,d2 | [db2] X,a | \
X[f,d2] ,,d | [db1] d/ c a2 | [da1] c/ d [cd2] |";italiantab
_9b;;23r;2a pars [O regina poli];;"print: ""quinto pars""";OT;;;",a4 | ,a4 | X,,d4 | [a,k2] ,,b | [aXb1] ,d/ ,b ,d ,b ,a ,,d | \
[,df2] ,,d | X[,da2] ,,b1 [,cd] | [c,d1] ,,b ,,a2 |";italiantab
10a;;24v;Elisabet Zacharie;;;OT;;;"[a,,Xc4] | [a,,c2] ,,a | [a,c2] ,,d | Xc2 ,,c1 ,,a | \
X[ea,Xc2] ,a | [ffa2] ,e1 ,c | [fda1] ,f/ ,e ,f ,e ,c ,e |";italiantab
_10b;;26r;2a pars [Inter natos mulierum];;"print: ""quinto pars""";OT;;;"X,,,c4 | [,,,ca1] ,,,e/ ,,,c ,,,e ,,,c ,,,a ,,,c | \
[,,,ea1] ,,,,c/ ,,,,a ,,,,c ,,,,a ,,,,,e ,,,,a | \
[,,c,Xc1] ,,d/ ,,c ,,d ,,c ,,a ,,c |";italiantab
11;;27v;Super flumina babilonis;;;OT;ConcR236;;"X,,,h4 | ,,,h2 ,,,f | ,,,e2 ,,,c | ,,,h4 | [a,d2] ,,b | \
[a,d2] [,df] | [,c,Xc2] ,a | ,f2 ,,,f | [,f,h2] [,df] | \
[acXd1] c/ d [cd2] |";italiantab
