PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Andate Canzonette;;;OT;;C|;"[,dff/] [,dff3/4] [,dde/4] | [a,bc/] [c,da] [d,ff3/4] [cd,a/4] | \
[acd/] [,df] [a,d] ,c | [,d,a1] z/ [,dff/] | \
[ab,,d/] [d,bc] [,,da] c | [d,f,,d/] ||";italian7tab
2;;2;Io mi Riuolgo indietro;;;OT;;C|;"[,dda1] [,dff/] ,d/4 [,,de] | [,cbc/] [,,bc/4] ,c [,daa1] | \
[,ab,,d/] [,bb,d1] [,ab,,d/] | [,,def1] [,,ff,d/] [,dff] | \
[,,de/] [,d,a] [d,,c] ,c | [cd,a1] ||";italian7tab
3;;3;S'io son tuo seruo Amor;;;OT;;C|;"[,dda1] [bd,a3/4] [bd,a/4] | [df,,d/] [df,,d] [fg,d3/4] [f,,,,b/4] | \
[df,,,d/] [bb,,a] [dd,,b1] | [f,,,a1] ,c/ [f,d,,b] | \
[df,,,d/] ,d [bd{a}1] | [a,,,a/] ,c/4 ,a ,c1 |";italian7tab
4;;4;Tu mi Robasti il cor;;;OT;;C|;",,d/ ,,b/4 ,,,d [a,,c/] [,d,d/4] ,b | [,abc/] [,b,a/4] ,,,,d [,db,c/] ,,,,d | \
[,,ddf/4] ,,,c ,,,d ,,,f [,bd,a/] ,,d/4 ,b |";italian7tab
5;;5;Ouunque moue'l passo;;;OT;;C|;"[,dff1] [,dff3/4] [,dde/4] | [da,c/4] ,c [cd,a/] [a,d] ,c | \
[,d,a/] [,dff3/4] [,dff/4] [a,ff/] | [c,da/] [df,c] [c,,,c] ,e | \
[af,c1] ||";italian7tab
6;;6;Tra mari e Monti;;;OT;;C|;"[,dff1] [ab,,d/] [da,c] | [cd,a1] [dd,f/] [,df,,d] | \
[ab,,d/] [ab,,a] [,ef,c1] | [a,cc/] [,cd,a1] [,dda/] | \
[,abc/] [,bb,d] [,,d,f] ,,,e | [,,ff,d1] ||";italian7tab
7;;7;Quel Pastorel;;;OT;;C|;"[,cee2] | [,df,c3/2] [,df,c/] | [,cee1] [ca,a] | \
[acd/] [acd] [c,aa/4] ,,c ,,e ,a | ,c/ [,dff3/4] [,dff/4] [aa,c/] | \
[,cee/] [,aff] [,cee1] | [,cee1] ||";italian7tab
8;;8;Dolorosi Marttr;;;OT;;C|;",,a2 | [,,a,c1] ,a/ ,,,,a | [,,b,,d/] ,a ,a1 | \
[,db,,d1] [,ed,,c] | [a,c,,a1] [,cd{a}] | \
[ac,,,a1] ,,,,,a/ [,df] | [,c,,,a/] ,,e/4 ,,c ,,e1 | \
[,af,c1] ||";italian7tab
9;;9;Fantastico Voler Madonn'el suo;;;OT;;C|;"[cd,a1] [ac,,a3/4] [ac,,a/4] | [,df,c/] [,df,c] [,cee1] | \
[cd,a1] [ac,c/] ,,,c/4 [,df] | [,cee/] [,af] ,c ,,e | \
[,af,c1] || z/ [,dff/] | [,dff/] [,dff] [a,cc] [a,cc] |";italian7tab
10;;10;S'io t'amo Amor;;;OT;;C|;",,,a1 ,,d | [f,,,e1] ,f | [f,,,c1] [ed] | [f,,,a1] ,c | \
[f,d1] ,,d/ [f,a{a}] | [d,b,,a1] [c,d,,c] | \
[a,b,,d1] ,,d/4 ,a ,c ,d f/ |";italian7tab
11;;11;Quando da te Cor mio;;;OT;;C|;"[abd/] [abd/4] [abd] [aab/] [,ddd] | [aa,c1] [df,,d] | \
[bd,a/] [a,,c/4] ,b [,a,d/] [,dd] | [aa,c1] [a,d,a] | \
[,d,a/4] ,,d [,bd,a/] [,a,c] ,,c | [,cd,a/] ||";italian7tab
12;;12;Staua sonando di liuto Amore;;;OT;;C|;"[ca,,c2] | [da,,,a1] [ac,,a] | [cd{a}3/4] [cd/4] {a}/ [ac,,a/4] [,df,c] | \
[ce,,c/] [,af,,d] [,c,,,c] ,,e | [,af,c/] || [,df,c/] [,df,c] [,df,c] | \
[,cd,,c/] [,cd,,c] [,ab,,d1] |";italian7tab
13;;13;B. Tardiueli. si sono i pensier miei;;;OT;;C|;"[abd2] | [aac3/2] [acd/] | [bd,a/] [a,d,e] [,dda1] | \
z/ [,ef,c3/4] [,ef,c/4] [,ef,c/] | [a,cc2] | \
[,acc1] z/ [,bd,a3/4] | [,a,c,e/4] [,,d,a/] [,a,c] ,,c | \
[,cd,a1] ||";italian7tab
14;;14;Sian tre gobi dal peru;;;OT;;C|;"[acd1] [cd,a] | [acd2] | [acd2] | [ac,,a/] [ac,,a] [cd,a1] | \
[ac,,a/] [aa,c1] [,ede/] | [aa,c2] || [ea,c/] [ea,c] [f,hh3/4] [f,hh/4] | \
[f,hh/] [ef,c] [cef1] |";italian7tab
