Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Prelude;;;guitar;;C;",,,,c/ ,,,c ,,a ,a a ,a ,,a a | ,,,c/4 a ,,a ,a a ,a ,,a a !strumup![,,,cc3/2] ,a/ | \
,f3/2 d/ c [,de] ,b ,,c |";italian5tab
2;;2;Allemande;;;guitar;;C;"!strumdown![,,,cc/4] !strumdown![,,,cc] | \
!strumup![,,,cc/] !strumup![,,,cc] !strumdown![,,,cc] ,,,,c/4 ,d [ad,,d/] (',b/4 ,a) !strumup![abc3/4] c/4 | \
!strumup![d,,,c/] X,d ,a ,,a/4 a '[,bc/] ,,,c ,,,e/4 \,,c ,a ,b |";italian5tab
3;;2;Gavot;;;guitar;;C;"!strumup![d,,c1] c/ a | Xh1 ,,,a/ ,h [hff1] [fh/] ,f | \
,,e/ [fe] 'd c ,,,c d ,a ,c |";italian5tab
4;;3;Courante;;;guitar;;3;"!strumdown![,,,cc/] | !strumup![,,,cc1] !strumdown![,,,cc] ,,,b/ c | \
!strumup![d,,c1] '[c,,,a] ,,,,a/ a | !strumup![bcddb1] ,,a/ ,a X,b ,d | \
'[,b,,a1] ,,,e/ ,,c ,a ,b |";italian5tab
5;;3;Sarabande;;;guitar;;3;"!strumdown![,,,cc/] | !strumup![,,,cc1] !strumup![,db,c3/2] !strumdown![,db,c/] | \
!strumup![,bcc1] !strumup![,,bcc3/2] [,eb,c/] | [afb,d1] !strumup![ceeec3/2] ,e/ | \
[aVd1] !strumup![,,,cc3/2] !strumdown![,d,,c/] | \
!strumup![,d,cd1] !strumup![,bcc3/2] !strumdown![,bcc/] | \
!strumup![cbc1] !strumup![daa] !strumdown![daa/] c/ |";italian5tab
6;;4;Gigue;;;guitar;;6/8;"h/ 'a1 c/ | [d,,c/] ,,a a ',a1 ,c/ | ,,,,c/ ,e ,,e [c,'c1] ,a/ | \
',,a1 a/ '[,e,e] a c |";italian5tab
7;;4;Brand;;;guitar;;6/8;"X,f1 c/ | ',e3/4 ,c/4 ,a/ | [cec1] ,,e/ | [a,'a3/4] ,,,e/4 ,,,c/ | \
[fh,,g1] h/ | [da,c3/4] 'c/4 a/ | [c,,,a1] ,c/ | [,ee,c3/2] ||";italian5tab
8;;5;Alleman;;;guitar;;C;"!strumdown![,,,cc3/4] !strumdown![,,,cc/4] | !strumup![,,,cc/] !strumup![,,,cc] !strumdown![,,,cc] \
('c/4 a) !strumup![,ece/] ',c/4 ,e [a,a3/4] ,,,c/4 | \
[ca,b1] 'a/4 c [d,,c/] ,,,e/4 f [h,a] ,,,,a ,f d \
!strumup![ceeec3/4] ,e/4 |";italian5tab
9;;6;Courante;;;guitar;;3;"c/ Xd ,e | a1 ,,,c/ ,a ,b ,,c | !strumup![c,cb3/2] d/ Xf c | \
!strumup![d,,c1] a3/2 [d,,c/] | [fd,e1] 'd3/2 f/ |";italian5tab
10;;7;Gigue;;;guitar;;6/8;",a/ a1 d/ | 'c1 Vf/ 'd1 c/ | ,f/ d ,,,c ,a c ,d | \
,b/ a ,f [cd1] ,b/ |";italian5tab
11;;8;Saraban;;;guitar;;3;"!strumdown![,,,cc/] | !strumup![,,,cc1] ,,c/ c ,,,b ,a | \
!strumup![d,,c1] a3/2 [d,e/] | [f,f1] ,,,a/ ,h f h | \
!strumup![haa1] !strumdown![haa3/2] d/ | \
[fd,e1] !strumup![c,cb3/2] !strumdown![c,cb/] |";italian5tab
12;;8;Passacaglie;;;guitar;;3/2;"!strumdown![,,,cc/] | !strumup![,,,cc2] !strumup![,db,c3] !strumdown![,db,c1] | \
!strumup![,bcc2] !strumup![cbc3] d1 | !strumup![afa2] !strumup![ceeec3] ,e1 | \
!strumup![,,,cc2] || !strumdown![,,,cc3] ,,,,c1 | \
[a,,,d2] !strumup![b,ca] !strumup![,,bc1] ,d | \
!strumup![,bcc2] !strumup![fhfh] ,h1 ,f |";italian5tab
13;;10;Prelude;;;guitar;;C;",,,,c/ d ,,,a d ,,d ,d1 d ,d !strumup![dd,,c/] ,,,a/ ,,a ,,c ,a ,,a ,d ,,,a | \
,,,c/ [,da] ',b ,a ,b ,,,,a ,,,,c ,,,,a |";italian5tab
14;;11;Allemande;;;guitar;;C;"(!strumdown![bbcdd/] !strumdown![bbcdd]) | \
!strumup![bbcdd1] !strumup![bbcdd3/4] ,d/4 '[,d,e/] ,,,a/4 ,f ',d3/4 ,b/4 | \
',a/ ,,a Xh3/4 h/4 !strumup![haa/] ,,,a '[hf3/4] ,i/8 f |";italian5tab
15;;12;Couran;;;guitar;;3;"!strumdown![bbcdd/] | !strumup![bbcdd1] !strumdown![bdddb3/2] !strumup![bdddb/] | \
!strumup![bdddb1] ,,,,e/ ,f f a | !strumup![cdc1] !strumup![cdc/] (,b ,a) d | \
(',,c/ ,,a) [fd,e3/2] h/ | !strumup![haa1] !strumdown![haa2] |";italian5tab
16;;12;Double;;;guitar;;3;",d/ a c | ,,a/ ,a d ,,,,a ,,,,c c | ,,,,d/ a ,,,,e ,f f a | \
[c,,a/] a ,d ,b ,a d |";italian5tab
17;;13;Sarabande;;;guitar;;3;"!strumup![dd,,b1] !strumdown![dd,,b] !strumup![dd,,b/] !strumdown![dd,,b] | \
!strumup![fdfe3/2] !strumdown![fdfe/] !strumup![fdfe1] | \
!strumup![haa1] !strumdown![haa] !strumup![fhh/] !strumdown![fhh] | \
!strumup!'[ffg3/2] d/ !strumup![cdc1] | !strumup![d,,c1] !strumdown![d,,c] !strumup![cdc/] !strumdown![cdc] | \
!strumup![ede3/2] f/ [fc,,a1] |";italian5tab
18;;13;Gavotte;;;guitar;;C;"!strumup![dd,,c3/2] !strumdown![dd,,c/] | !strumup![cdc1] !strumdown![cdc] !strumup![,b,cd3/2] a/ | \
!strumup![,d,,c3/2] !strumdown![,b,cd/] !strumup![,b,cd] !strumdown![,b,cd] !strumup![,d,,c] !strumdown![,d,,c] | \
!strumup![,bcc1] !strumup![daa/] !strumdown![daa] !strumup![dbc1] c | \
!strumup![daa2] !strumup![haa3/2] !strumdown![haa/] |";italian5tab
19;;13;Double;;;guitar;;C;"!strumup![daa/] a c d | [c,,a/] ,a ,b ,d [a,,,d] ,,,,c [c,,,a] a | \
,,,,c/ ,d ,,a ,d a ,,,,d ,d ,,,,c |";italian5tab
20;;14;Passac.;;;guitar;;C;"!strumup![dd,,c/] !strumdown![dd,,c] !strumup![cdc] !strumdown![cdc]  !strumup![caa] !strumdown!d/ | \
!strumup![,b,cd1] !strumup![dff/] f !strumup![fde] !strumdown!d [if,,a] ,h | !strumup![hia1] || \
[da/] ,c/4 f !strumup![cdc] !strumdown![cdc] [b,c/] ,a/4 d |";italian5tab
21;;15;Gigue;;;guitar;;C;"!strumdown![dd,,c/4] | !strumup![dd,,c1] !strumdown![dd,,c/] ('c/4 a) ,d3/4 a/4 ',b3/4 (3a/8 ,b ,d) | \
'[,a,a3/4] ,,a/4 a1 (,,,e/4 ,,,c) \
[c,,a3/4] ,,,c/4 [a,,,d3/4] ,,,a/4 |";italian5tab
22;;15;Alleman;;;guitar;;C;"(!strumdown![dd,,c/4] !strumdown![dd,,c]) | !strumup![dd,,c/] !strumup![dd,,c] !strumdown![dd,,c] ,i/4 f !strumup![haa/] (c d) '[d,,a3/4] c/4 | \
!strumup![daac/] ,a/4 ,b !strumup!'[,b,,c3/4] ,a/4 [a,,,d/] \
,,,a/4 ,d '[,b,c3/4] ,,,e/4 |";italian5tab
23;;16;Couran;;;guitar;;3;",d/ a ,b | ',a1 ,,a/ ,c [,d,e1] | !strumup![,d,c1] '[,b,,a3/2] a/ | \
[db,a1] 'a/ c !strumup![daa1] | ,,f/ f '[fh,a3/2] ,i/4 f |";italian5tab
24;;16;Saraban;;;guitar;;3;"!strumup![,d,,c1] !strumup![,d,,c/] ,d ,,,,d a | \
[,b,,a1] (,,e/ ,,f) [,d,e1] | [,a'ef1] a ,,,b/ c | \
!strumup![d,,c1] !strumup![d,,c3/2] ,f/ | c1 [,a,a3/2] d/ |";italian5tab
25;;17;Ciacona;;;guitar;;3;"!strumup![h,,,f1] !strumup![fhh] h | !strumup![,b,cd1] !strumup![,b,cd] c | \
!strumup![daa1] !strumup![cdc3/2] d/ | !strumup![dd,,c1] || \
X,d1 a | ',b1 ,,,,a (,a/4 ,b ,d/) | '[,aa1] ,,,a ,,a/ ,a |";italian5tab
26;;18;Allemande;;;guitar;;C;"(!strumdown![dd,,c/4] !strumdown![dd,,c]) | \
!strumup![dd,,c1] !strumup![dd,,c3/4] !strumdown![,b,cd/4] !strumup![,b,cd3/4] !strumup![e,,,c/4] !strumup![e,,,c3/4] d/4 | \
!strumup![cdc/] !strumup![fhh] !strumdown!h \
!strumup![iff] [la/] 'i/4 h [i,,,a3/4] ,h/4 |";italian5tab
27;;19;Cour.;;;guitar;;3;"!strumdown![dd,,c/] | !strumup![dd,,c1] !strumdown![dd,,c3/2] !strumdown![fiffh/] | \
!strumup![fiffh1] '[fh,a3/2] h/ | !strumup![haa3/2] i/ l i | \
'h1 ,i ,f/ i | '[fh1] ,,,a/ f Xh1 |";italian5tab
28;;19;Sarab.;;;guitar;;3;"(!strumup![dd,,c1] !strumup![cdc3/2] c/) | \
!strumup![c,,c1] !strumdown![aaac/] (,,,,c ,,,,d) c | \
[d,,,c1] a/ ,,,f f ,,,e | [h,a1] !strumup![h,,,f3/2] !strumdown![fhh/] | \
!strumup![fhh1] h 'f |";italian5tab
29;;20;Saraban;;;guitar;;3;"!strumup![dd,,c1] X,d/ a !strumup![cdc1] | '[baaa3/2] a/ !strumup![,b,cd1] | \
[,d,,c1] !strumup![,bcc/] (,a/4 ,b) ,,,a/ ,b | \
[,aa1] ',c/ ,,,,c/4 ,b ,,,a/ a |";italian5tab
30;;20;Brande;;;guitar;;6/8;"Xd1 ,d/ | a3/4 ,b/4 ,,,c/ [,d,e1] ,,c/ | ,a1 ,,a/ [d,,c1] ,,,,c/ | \
[df,,e3/4] ,,,a/4 c/ '[a,,,a1] ,d/4 a | ,d1 ,,,a/ ||";italian5tab
31;;21;Gigue;;;guitar;;C;"d3/2 d/ f (d/4 c) 'a3/4 d/4 | \
,d1 'c3/4 ,d/4 [df/] (,d/4 ,b) [ca3/4] ,d/4 | \
[a'b3/4] ,a/4 [f,c3/4] d/4 [cd3/4] ,b/4 [ha3/4] f/4 |";italian5tab
32;;22;Prelude;;;guitar;;C;",,,,c/4 ,,,a ,,a ,d d ,,,a ,,a ,d d ,d ,,a d !strumup![dd,,c3/4] !strumup![dd,,c/4] | \
!strumup![dd,,c2] ,i/4 h ,i l ,,h ,h ,,h |";italian5tab
33;;23;Allemande;;;guitar;;C;"!strumdown![dd,,c/] !strumdown![dd,,c] | \
!strumup![dd,,c1] !strumup![dd,,c] ',d3/2 ,,f/4 ,d | \
a1 ,,,,d '[c,,a3/2] (a/4 c) | \
!strumup![d,,c1] (,,,a/ ,,,c) ,,,e a ,,,a ,b |";italian5tab
34;;23;Courante;;;guitar;;3;"!strumdown![dd,,c/] | !strumup![dd,,c1] !strumdown![dd,,c3/2] !strumdown![,b,cd/] | \
!strumup![,b,cd1] ,,,,e/ ,f f d | !strumup!'[cdc3/2] d/ Vf1 | \
,,e/ ,d d1 [cbc] | !strumup![daa3/2] (a/ Xb) d |";italian5tab
35;;24;Sarabande;;;guitar;;3;"!strumdown![dd,,c/] | !strumup![dd,,c1] !strumup![dd,,c3/2] d/ | \
[fd,e1] !strumup![bcddb3/2] c/ | [dd,c1] [,c,,a/] c d f | \
'[c,,a1] !strumup![cdc3/2] ,,,,c/ | ,,,,d/ a ,,,,a3/2 ,b/ |";italian5tab
36;;24;Courante;;;guitar;;3;",d/ [dc,c1] | !strumup!'[cdc3/2] d/ f ,,f | \
,,e1 ,d/ d ,,,e f | !strumup![haa1] ',d/ a/4 ,d a/ ,,f | \
[,d,e1] '[,,ef3/2] a/ |";italian5tab
37;;25;Passaca.;;;guitar;;3/2;"!strumup![dd,,c2] !strumdown![dd,,c] | \
!strumup![cdc2] !strumup![cdc] !strumdown![cdc] | \
!strumup![c,,c2] !strumup![,b,cd] ,,c1 ,b | \
X[,d(c,c1] [,,a)] [,ba,a3] ,,,e1 | [,aa2] || \
'[,b,c2] ,,,,d1 ,a | [,,ce2] [,aXea] ,,,,c1 ,,c |";italian5tab
38;;26;Prelude;;;guitar;;C;"[,b,cd2] [,daac1] [adbac] | [adcca2] ',b3/2 ,a/ | \
[,bcd2] ',,a3/2 ,,,d/ | [abac3/2] ,,c/ [dbdc1] ',,c3/4 ,,a/4 | \
[bbcd1] [bdcd] [da,c3/4] [da,d/4] [da,d1] |";italian5tab
39;;27;Prelude;;;guitar;;C;"[,b,cd4] | !strumup![,b,cd3/4] ,,a/4 ,b a d/8 a d a \
,b3/4 ,,a/4 ,b a d/8 a d a |";italian5tab
40;;28;Allemande;;;guitar;;C;"(!strumdown![,b,cd/4] !strumdown![,b,cd]) | \
!strumup![,b,cd/] !strumup![,b,cd] ,,,a/4 (b !strumup![db,c/]) !strumup![db,c3/4] d/4 !strumup!'[bbcd3/4] a/4 | \
!strumup![,def/] !strumdown![,def] ,,f/4 a ,,e ,d \
[,bc/] ,,,c '[,ba3/4] ,a/4 |";italian5tab
41;;28;Couren;;;guitar;;3;"!strumdown![e,,,d/] | !strumup![e,,,d1] !strumup![e,,,d] (h/ i) | \
!strumup![dedbb1] ,,,,d/ ,f (,d ,f) | !strumup![bdc1] ('a/ b) !strumup![daa1] | \
[,b,,a1] '[b,c] ,,e/ ,d | [a,f1] ,,,,d3/2 d/ |";italian5tab
