PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;Enfin mon beau soleil qui rend des qu'ils s'absente;;;OT;;C;"[abd,a1] [aabc3] ,,,,,a1 [abd,a] [,db,c] [,bbcd2] [,aba,d1] \
[,bdca] [,bbc,a3/2] ,,,,,b/ ,,,,d1 [bdda] [aacc2] | \
[abd,a3/2] ,,,a/ [,db,c1] [,bbcd2] [,ba,a1]"
2;;2v;Nous n'auons garde ma chere ame;;;OT;;C;"[abd4] [bdda2] [db,c] [,bdd] ,,,,,b1 ,d [a,b,d2] [,dddf] \
[,cdca] [,dda{a}1] ,,,,,a ,,,,,b {a} [,cdca2] {,,a} | \
[,cdca2] [,dda1] ,,,,d [,d,ab2] [,d,da]"
3;;3v;Beautés qui residés dans ce lieux solitaire;;;OT;;C;"[aabc1] [aab(c/] [,,,a)] [abb,(d] [,,,,c)] [abd,a2] [abd,a1] \
[ddf,,d] [abb,d3/2] ,,,,a/ [,daac1] [,abc,(a3/2] [,,,,,c)/] \
[,aba,d1] [,bdca2] [,aabc] |"
4;;4v;Pourquoy quittois-tu ces ruisseaux Pallas nostre objét plus aymable?;;;OT;;C;"[abd3/2] ,,,d/ ,,,c1 [bdda] [abd,a2] [aabc1] [a,dd] ,d [aacc] \
,,,,,a | [abd,a3/2] ,,,,,d/ ,,,,a1 [bdda] [,dff,d1] [abb,d2] \
{,a}1 [bdd{a}] ,b [aaccca2] |"
5;;5v;Ces Ninfes pleines de mespris voyant tant de pauures espris;;;OT;;C;"[bdd{a}4] [bdda2] {a}4 [,de,,d2] [,de,,d4] [,dda{a}2] [,cdca4] | \
,,,,,b2 [bbd4] [bde,b] ,,,,,b2 [bbd4] [abb,d2] [bbd,,b] | \
,,,d1 ,,b ,,d2 ,,,,,b ,,,,,d [abd,a4]"
6;;6v;Nos esprits libres & contents viuent en ces doux passe-tempts;;;OT;Conc_1744;3;",,,a2 [bdd4] ,,,,,d2 [,de4] {a}2 ,,,a [,dd4] [,cdca] | \
,,,,,b2 [bbd4] ,,,,,d2 [,de4] {a}2 [,dda] [,cdca4] [,dda{a}] |"
7;;7v;Pleine de langues & de voix, O Roy le miracle des Roys;;;OT;;C;"[abb,d6] [abb,d3] {,a}1 [abb3] ,,,,,b1 [,bdd4] ,,,,,b2 \
[,bbcd] {,a} | [,dba,d3] ,,,,,d1 [,dba2] [,dda{a}] \
[bdda4] [,de,,d] [,cdca2] |"
8;;8v;Tout ce que le Soleil regarde;;;OT;;C;"[,bdca3/2] ,,,,a/ [,abc,a1] [,da,c] [,abc,a2] [,bdc(a3/2] \
[,,,,c)/] [,,dcd1] [,aacc] ,,,b/ ,,d [aaccca2] | \
[,bdca1] [,abc,d] [,bbc,a] [,aba,(d] [,,,,,b)]"
9;;9v;C'est assés soupiré pour vn sujét pipeur;;;OT;;C;"[,bbc{,a}2] [,bbcd1] [,dff,d] [cdda] [ddff] [dbb(c] \
,,,d/ [,,by)] [abd3/2] ,,,a/ [abd,a1] [,dd,(c] ,,b/ [,,,,d)] \
[,daa1] [,aba,d2] |"
10;;10v;C'est vn amant ouurés la porte;;;OT;;C;"b1 [,dda] [,cdca] [,dda{a}2] [,de,,d1] [,bbca] [,bdd,b] \
[,bbd(d] [,,,cy)] [,bdd,b2] | [,bbcd1] [,bdca] [,abc] \
[abb,(d1] [,,d,c/] [,,,,a)] [,a,c,e1] [,bdca] [aaccca2] \
[,cdc{,,a}] |"
