PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;C'en est fait je ne verray plus;;A la Reyne;OT;;3;"[abb,d4] [b,d2] \
M:2
[a,b{,a}1] b [dbbc] ,,,a ,,,c ,b [d,(y] [,,e)] \
[bbd,,b2] [,bdd] [,bbd(d] [,,,cy)] [,bdd,b] [,bdd] |"
2;;2v;Nostre Iunon dont la prudence se recognoist;;A la Reyne;OT;;C;"[,bbcd2] [,dff1] [,bbc] [,db,c3/2] ,,,,d/ [abdca1] ,,,c/ ,d \
[,bd(d1] b/ [,,,c)] [bdd(a1] [,dff)] [,bbcd] [,bdca2] ,,,,c1"
3;;3v;Ie voudrois bien chanter ta gloire & tes louanges;;A la Reyne;OT;;3;"[,bbc/d2] [,bbcy)] [,dbac] [,bbc(d] [,bbcy)] [,bdd,b] \
M:2
[,bdca2] ,,a [,dba,d] [,dba] [,dda({y}] [{a})] [,bdca] [,bbcd] \
M:3
[,bdd,b2] [,bdd] [,bb,da] \
M:2
[,bdddb] [,bdd] [,bbcd({y}] [{,a})] |"
4;;4v;Princesse dont la gloire Digne d'estonnement;;A la Reyne;OT;;C;"[bdda2] [a,d,e] [bdda(y3/2] [,,,,d)/] [,d,,(b] [,,,,a)] \
[,de,,d1] [bdda2] [abd1] [,bbc] [,bd(d/] [,,,c)] [bdda] \
,b [aacc,(y1] [,,,,,a)] [,cdca({y}2] [{,,a})] ||"
5;;5v;Cette Princesse dont le nom se va cachant;;Pour Madame;OT;;C;"[bdda1] {a} [,de,,d2] [,dda({y}1] [{a})] [,bdda] [,d,ab] \
[,de,,d] ,f [bdd{a}2] | [abd,a1] [abd] [,,ea,c] ,,,c \
[,bdd,b2] [,bdd1] b [bb,,d] a [,dda]"
6;;6v;Est-ce Mars le grand dieu des alarmes que je voy?;;Ballet pour Madame;OT;ConcR19;C;"[,cdca1] {,,a} [,cdca] ,,d/ ,,c [,ca1] ,,,c/ ,,,a ,,,,e1 [a,d] \
[cdda(y] [,,,,e)] [,d,,c] ,,c [,cdca({y}] [{,,a})] ||"
7;;7v;Vn jour l'amoureuse Siluie;;;OT;;3;"[cdda1] [cdd{a}] [ddf,,d] [cdda] [a,d,e3/2] ,,b/ [,daa(y3/2] \
[,,,,e)/] [,dc,c1] [,ddca] ,c {,,a} || ,,,a1 [cdd] [a,,,e] \
[,daa(c] [,,,,a)] [,aba,d] ,d"
8;;8v;Donc pour aymer d'un amour trop fidelle;;;OT;;3;"[cdda2] [a,d,e1] [,dda({y}] {a} [,b{y})] [,ab,,a3/2] ,,,,,c/ \
[,dda{a}1] [,cdca2] [,,d,,c1] [,abc,a] [,aa(c3/2] [,,,,a)/] | \
[,aba,d2] [,dd,,c1] [,dff,d2] [,dff1] [cdda(y3/2] [,,,,d)/] \
[,db,c1]"
9;;9v;D'ou me vient cette inquietude;;;OT;;C;"[,dd{a}2] [,,ef1] [,d,d{a}] ,,,a ,,d [,,e,,d] ,,,f [,dd,,b] \
[,db,,a] ,c [,dd{a}3/2] ,,b/ [,,dd1] [,,dca] ,,,,,d ,,e \
[,,d,,b/] [,,b,,a2]"
10;;10v;Ma bergere non legere en amours;;;OT;Conc_1753;C;"[,bdca/] ,,,,c ,,,,d ,,,,a [,bbcd] ,,,a [,abc1] [bdda] \
[a,b,d({y}] [{,a})] [,bd,,(b/] [,,,,,a)] {a}1 \
{,a} [,d,,c/] ,,,,a ,,,,,d1 [,dba] [,bbcd({y}2] [{,a})1] ||"
11;;11v;Pourquoy donc encore une fois;;;OT;;C;"[cdda1] [cdd] [a,d,e] [cdda2] {a}1 [,dda] [,dd,a] ,c/ ,,b [,da,c2] | \
[,cdca2] [,dda,c1] [,aba,d] [aab,,a2] [,da,c1] [a,d,e2] \
[cdda1] [acd,a] [aacc] [,cdca2] |"
12;;12v;Belle qu'on accuse par un bruit qui court;;;OT;;C;"[bdda({y}1] [{a})] [,dda] [,de,,d] [bdda(y] [,,,,d)] [,d,,b] ,,b | \
[,bd,a1] ,,,,,d [,bd,,b] [,bbcd] [,bdd,(y2] [,,,,,b)] || \
[,dda{a}1] [,b,,,a] [,,d,,b] ,,,,,d [,bd,a]"
13;;13v;Belles qui de peur d'une enflure;;Ballet;OT;;C;"[bdd{a}2] [bdda(y3/2] [,,,,d)/] [,d,,(b] [,,,,a)] \
[,de,,d1] [bdda2] [,def] [,dda1] [,cdca({y}] [{,,a})] \
[,dda{a}2] | [,dda{a}2] [,dda] [,bdca] [,d,,b1] ,,b [bbd,,b2] \
[,dba,d] [,dda{a}] |"
14;;14v;Change ma Cyprine ce coeur endurci;;;OT;;C;"[ab(d3/2] [,,b)/] [,,dd1] [aac(c3/2] [,,,a)/] [a,d,d1] \
[,ea,(c/] [,,,,a)] [,a,c,e1] [,bdca2] [,abc1] [,bdca] \
[,aacc] ,,,b/ ,,d [,accca4] ||"
15;;15v;Si je suis un jour sans te voir;;;OT;;C;"[,bbcd2] [,dbac1] [,bdca(y3/2] [,,,,,d)/] [,bdd,b2] \
[,b,c{,a}1] a [,,dd{a}] ,d [,bdca2] | [,dbac2] [,bbcd2] \
[,bd,a1] [,a,a,d] [,b,c] [,,d,,b] ,,,a [aaccca2]"
16;;16v;Qve jamais on ne me tourmente d'aymer auec fidelité;;;OT;;C;"[,bdca1] [,bdc] [,db,c] [,bbc(d] [,bbcy)] ,,,,c [,bdca] \
[,acc,a] [aac] [,cdca({y}] [{,,a})] | \
[aac(c/] [,,,a)] [a,d,d1] [,dc,c] [,bdca] [,bdc]"
17;;17v;Ie suis le desdain dont l'empire;;;OT;;C;"[,bbcd2] [abd,a4] [cdda(y1] [,,,,d)] [,db,(c] [,,,dy)] \
[,bbcd4] [,bdd,b] [,bb,,a2] [,b,d{a}] ,a [,bdca4] | \
[,bb,,a2] [,bdd,b] [,bb,,a] [,b,ca] ,,a"
18;;18v;Ie ne m'estonne pas si l'Amour pour la terre a peu quitter les Cieux;;;OT;;C;"[abb,d1] [,dff] [,bbcd] [,bdca2] [,aba,d1] [,bbc(d] [,bdca)] \
[,dda{a}] [,aba,d2] [,bbcd1] [,bdd,b2] ,,,,,a1 [,dda{a}] \
[,bdca2] [,db,c1] [,bbcd3] [,aba,d2] |"
19;;19v;A tous mes desirs allumés;;;OT;;C;"[aabc4] [acd,a2] [,dda] [,dba,d] [,bbc(d3] [,,,,c)1] \
[,bdca4] [,abc,a2] [,aabc({y}] [{,a})] | \
[,abc2] [,d,ac][,bbcd] [,dff,d] [,bdca] [,dff,d] \
[,db,,a] c [,daa{a}4] |"
