PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;Pvis que le silence en la violence de nos douleurs;Guedron;;OT;;3;"z1 [acd2] [,ac1] [,cde] [c,,(y/] [,,,c)] [cdda1] [a,,,e] [,d,,c] \
[,cde] [a,(c/] [,dy)] [,c(d] [,,c)] [c,a] a [,e(f] [,,d)] \
[a,(c] [,dy)]"
2;;2v;Ce petit monarque des coeurs;Guedron;;OT;;C;"[bdda2] {a} [bdda(y1] [abd,a] [,,,,d)2] [,bbc,(y1] [,de,,d] \
[,db,dy)2] [,dd,a1] ,b/ ,a [,bd,(y1] ,,,,a/ [,,,,c)] \
[a,,,(d] [,b,,y)] ,,b"
3;;3v;Ie ne puis m'entrenir plus de ces vaines attentes;Guedron;;OT;;3;"[cdda3] [cdda] [aabc] [,daa(c2] [,,,,a)1] [,aba,d3] [,aba,d2] \
,,,,,c1 [,abcca3] \
M:2
[,aac(c1] [,aaby)] [,accca2] ||"
4;;4v;Aux plaisirs, aux delices bergeres;Guedron;;OT;;3;"{a}1 [,dda2] ,,,,,d1 [,dba2] {,,a}1 [,cdca2] {a}1 [,dda2] \
{a}1 ,,,a [,dd] {a} ,,,a [,dd] [,ab,,d] ,c ,d ,,,,a [,ddc]"
5;;5v;Doncques par force tu pourchasse;Guedron;;OT;;3/2;"[,dba,(d2] [,db,,y)] [cdda(y1] [,,,,d)] [,db,c] ,,a [,bdca4] \
[,abc,(a2] ,b1 [,,,,,c)] [,aba,d2] [,bbcd] [,aba,d({y}] [{a})] \
[,daa] [,dba,d] [,bbcd1] ,,,a"
6;;6v;A la fin ce tiran des coeurs;Guedron;;OT;;3;"[,dda{a}3] [,dda{a}] [,dda1] [,ddca] ,c [,dda{a}3] ,,,,a/ ,,,,c \
,,,,d1 [,bbc] {,a} [,bbc] ,,,,d a [,dda({y}] [{a})] \
[,cd,a/] ,d [a,,,,(y] [,,,,,d)]"
7;;7v;O! Grands dieux que de charme, Amoureuses armes;Guedron;;OT;;3;"[,dda2] [,aba,d1] {a} [,daa] ,,,,c [,abc] ,c [,daa] {a} [,cdca] \
a [,daac] [,a,,(y/] [,,,,a)] [,aba,d1] [,d,,(y/] [,,,,a)]"
8;;8v;A ce coupt j'ay rompu les chaines dont la beauté;Guedron;;OT;;3;"[,dba,d2] [,dba1] [cdda3/2] d/ [cdda1] [,ab(c] [,,,a)] \
[a,d,d] [,,b,c] [,da] ,,,,a [abd] [ddf,,d2] [cdd{a}3] | \
[,dba,d2] [,dba1] [,dda{a}3/2] ,a/"
9;;9v;Vn berger soupiroit ses peines aupres de ces claires fontaines;Boysset;;OT;;3;"[cdda3] [aabc2] ,c1 [cdda(y] [,,,,e)] [,d,ac] [,cdca2] {,,a}1 | \
[cdda3] [aabc2] ,c1 [cdda(y] [,,,,e)] [,d,ac] [,cdca2] {,,a}1 \
[,daa] ,,,,c [,da]"
10;;10v;Seul objét de mon bien, mes amours;Boysset;;OT;;C;"[abd2] ,,,,a1 [a,bc] [,bd(d3/2] [,,,c)/] [,dda1] \
[,bdca2] [,abc1] [a,,,(y] [,,a,c)] ,e [aacc,(y] ,,,,,a/ \
[,d,,,y)] [,b,ca/] ,a [,,d,(y1] [,,dbc)]"
11;;11v;Qve ne laisse un bel oeil vainqueur;Boysset;;OT;;3;"[acdca3] [aacc2] ,,,a1 [,,d,(e] ,,c/ [,,,,c)] [,,d,a1] \
[,acc3] [,daac2] ,,c1 [,cde,(y1] [,,,,,c)] [,a,c,e] \
M:2
[,cdca2] [aaccca] |"
12;;12v;Sortés soupirs tesmoins de mon martire;Bataille;;OT;;C;"[,bdca2] {,,a} [,acc,a] [,bdc{,,a}] [,bdc(a3/2] [,,,,c)/] \
[,bbcd1] ,,,,,d [,aba] [,b,,a(y1] [,,d,,b)] ,,,,a \
[,acc,a({y}1] [,bd] [,ac,,a/] ,,d ,a [{a})]"
13;;13v;Ov faut il o dieux!;;;OT;;C;"z2 [,bdca4] {,,,a} [,bdca] [aac(c3] [,,,a)1] [a,d,e2] [a,d] \
[,dda({y}] [{a})] [,cdca4] | [,dda(y3] [,,,,d)1] [,dbac6] \
[,dba(c2] [,bd,a)]"
14;;14v;A Dieu volage empire dont les maux sembent doux;Bataille;;OT;;C;"z3 [aabc1] [,bdca2] [,a,c/] ,c ,a ,,,a [a,b,d1] [,db,,d] \1
[,daa{a}2] [,dba,d] [,dba/] ,,a ,,b ,,d [,bd,a1] a"
15;;15v;Cloris qui voit que je soupire;;;OT;;C;"[,dda{a}2] [,dda(y3/2] [,,,,d)/] [,d,,(b] [,,,,a)] [,dba,d1] \
[,dda,c2] [,,ea,d] [,bdda1] [,d,d(b] [,bbcd)] [,bdd,b2] | \
[ab,,d1] [b,d] [,dc,c] [,bd,a(y3/2] [,,,,,d)/] [,,d,,b1]"
16;;16v;Qvoy? Ne suis-je pas assés belle pour contenter un amoureux?;;;OT;;C;"[,ab1] ,,,c [cdda] [ddff2] [cdda1] [abd,a] [a,bc] [,dde2] \
[,dff1] [,dda] [,ab(c/] [,,,a)] [a,,,d1] [,db,c] ,,a \
[,bdca] ,,,,,d [,dba{a}]"
17;;17v;Vn Satire cornu qui n'est pas trop habile;Bataille;;OT;;C;"[,dda{a}2] [,dda(y/] [,,,,d)] [,d,,(b] [,,,,a)] [,def,d1] \
[,bbcd] [,bdd,b2] [,bdd] [,bd(d/] [,,,c)] ,,,a1 [,bbcd] \
[,bdd] [,bbcd] [,bdd,b] ||"
18;;18v;Ie n'estimois qu'en ces yeux plains d'attraits;;;OT;;C;"[bdda2] [abd,a1] [bbd,,b] [abb,d2] [abd,a1] [aabc] \
[a,b,(d/] ,,,a ,,,c [,,,dy)] [,dff1] [bdda] [aacc,(y] [,,,,,a)] | \
[a,d,e1] [,dda] [,db,b] [,bd,a(y3/2] [,,,,,d)/]"
19;;19v;I'ayme une fille de vilage;Vincent;;OT;;C;"[,dff,d2] [,dda1] [,db,c2] [,dd,,c1] [,dff,d] [a,d,d2] \
[,dda({y}1] [{a})] [,aba,d] | [,db,,d3/2] ,,,a/ [,d,,c1] \
[ab,,d3/2] ,a/ [,dda1] {a} [,ddca] ,c [,dda{a}2] |"
20;;20v;Qv'elle passion vous tourmente la ceruelle pauure grison?;;;OT;;C;"[,bdca2] [,bdca1] [,db,c] [,bbcd2] [,b,,a1] ,,,,,d [,,daab2] \
[,abc,a1] a [,d(y] [,bd)] [,abc] ,,,a [a,b,d] [,db,c] \
[,da] [abd,a] [aa,c,e]"
21;;21v;Ie pensois qu'Amour fut malade a le voir au lit arresté;;;OT;;3;"z2 [,dda3] ,,,c1 [,bdd] ,d [,dff] [bdda2] [a,d,e1] [bdda2] \
[acd,a1] [bdda3/2] ,,,,d/ [,d,,b1] [,bdca(y3/2] [,,,,,d)/] \
[,,d,,(b] [,,,,,a)] [,a,d{a}1]"
22;;22v;Au parauant que je vi ces beaux yeux qui m'ont raui;;;OT;ConcR3132;C;"[,dda{a}1] [,dda] ,,,,d [,d,,b] [,bbcd] [,bbc] [,bdd,b2] | \
[bbdd1] [bbd] [a,b,d] [,d,(a/] [,,,c)] [,bdd1] [,bbcd] \
[,bdd,b2] || \
M:3
[,bdd3] [,bbcd] a1 [,dda2]"
23;;23v;Ie ne veux plus estre amoureux;;;OT;;C;"[,bdca(y3/2] [,,,,,d)/] [,bdd,b1] [,aba,d] [,bbc,a2] [bbd,,b] \
[a,b{,a}1] [,d,d{a}] [acd{,,,a}2] | [,bdca2] [,bdc(a3/2] \
[,,,,c)/] [,bbcd2] {,a}1 [,bd,,b2] [,aba,d1] [,bbc{,a}2] |"
24;;24v;Svs, ma belle, que le silence des bois nous soit l'occasion;;;OT;;C;"[,b(d/] [,,b)] (,,,d ,,,c) [bdda1] [,abd2] ,,,,a1 [,d,,b] \
[bbd,,b] [abb,d2] [abd,a1] [,dda] ,,,,d [,db,c] [,bbcd2] \
[,bdca1] [,d,,b2] [,,e,,d1] [,bdd,b2] |"
