PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;Qv'ay-je fait contre vos beautés, Grand soleil;Bailly;Ballet de Madame - La Nuit;OT;;C;"[,bbcd4] [,bbc2] [,db,(d3] [,,,dy)1] [,bbcd2] [,bdca] [,bdc,a] \
,,b [,bdd,b] [,bbcd({y}] [{,a})] | [,bbcd4] [,df(f1] [,,,d)]"
2;;2v;A la fin je voy les beaux yeux qui jusqu'à nous viennent faire la guerre;Guedron;Le Soleil - Recit;OT;;C;"[bdda2] [,de,,d1] [,dda2] [a,d,e1] [,dda2] [,de,,d3] ,,,,a1 [,d,,(b] [,,,ay)] [,cdca2] | \
[,dda{a}4] [,dd2]"
3;;3v;Allons, n'atendons plus, mettons-nous au seruage d'un Monarque si doux;Guedron;Les Machlyennes - Recit;OT;;C;"[,bdca4] | [,bdc{,,,a}] [,ab,,a1] [,b({y}] [,ab{a})2] [,bbc{,a}] \
,,,,d1 ,,,,c [abd,a2] [cdda1] [,dba,d2] [,bbcd] [,bdca1]"
4;;4v;C'est trop courir les eaux, sortons ces roseaux;Guedron;Air des Tritonides;OT;;C;"[,bdca3] ,b1 [,b,,a] [,a,,c] [,,d,d] [,a,(a/] [,,dy)] [,,cc,(y1] \
[,,,,,a)] [,,d,a/] ,a (,b ,d) [,ab(c] [,,,a)] [a,,,d1]"
5;;5v;Cette Anne si belle, qu'on vante si fort;Guedron;;OT;;3;"[acd,(a3/2] [,,,,c)/] [a,c,e1] [,e,,(c/] [,,,,a)] [aa,c,e2] [acdca3/2] ,d/ \
[a,,,,e1] [c,d,,c2] [,acc,a] [,aa,c1] ,,,b/ ,,d [,acc,a3] ||"
6;;6v;Fvyés, Amants, loin de ces lieux;Guedron;Chaisne de Ballet;OT;;3;"y2 ,d1 ,,,,,d [,dba] ,,,,a ,,,,c [,db] [,bbcd] ,,,,c [,bb,a] ,,a ,,,,,d \
[,aba] ,d [,daa(y] [,,,,d)] [,d,,c]"
7;;7v;Monarque à nul autre pareil, dont le merite est un Soleil;Bailly;Ballet de M. Le Prince - La Nuit. Au Roy;OT;;C;"y2 [,dba,d4] [dba2] [cdda(y3] [,,,,d)1] [,d,,c2] ,,b [a,,,d] [,dba,d4] | \
[cdda3] [da1] [cdda] ,b [da,c2]"
8;;8v;Voyci mes cheres soeurs, voyci ces grands soleils;Guedron;;OT;;C;"[,aba,d3] ,d1 [,dba,d2] [,dda{a}] [,dba,d] [,daa(y1] [,,,,d)] \
[,d,,c] ,,b [a,,,d] ,,d"
9;;9v;Adorable Princesse, il est temps que je cesse de courirr dans les Cieux;Guedron;Le Soleil - A la Reyne;OT;;3;"[aabc2] [,f,f1] [,,de] [,,ab] c (,,,c [a,b] ,,,a) [,,,,(d] a \
[,,b,c)] [,da] [,c,c] [,daa(y1] [,,,,c)] [,db]"
10;;10v;Beautés pour qui le Ciel n'a Dieu qui ne se plaise;Guedron;L'Aurore - Aux Dames;OT;;C;"[,cde,c2] [,cde,c4] [,ccd(e1] [,,,,c)] [,ca,a(y] [,,,,,e)] [,cde,c2] [,cce(e] \
[,,,dy)] [,cde4] [,aa,(c1] [,,,,a)] [,a,c,e4] [,cdca2] [,cd]"
