PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;A2v;Fantasie;;;OT;;C;",a/ ,,e ,a ,c | ,e/ a c1 | [,a,c/] ,,a [a,c] ,,a | \
,,c/ ,,d [,ef1] | [a,,c/] ,e [acd] c |"
2;;A3v;Cantate Domino;;;OT;;C;"a2 | a1 ,a | a1 c | [e,,c1] ,f/ c | [e,,c/] f [h,,,,h1] | \
,,,,h1 [g,a] | [h,,gh1] ,,d/ f | [ea/] c [a,,c] ,,a |"
3;;A4v;Qui souhaittez;Gentian;;OT;ConcR2698;C;"[,aa,c/] ,,e ,a ,c | [,df/] ,,,,c [a,c,e1] | \
[c,aac/] ,,,,e [,,,ac] ,,,,a | [h,aa,h1] [,,cc,e] | \
[f,de,c/] e [caa,c] a |"
4;;B3r;Fantasie;;;OT;ConcR1849;C;",,a2 | ,a2 | ,a1 ,a | ,,d1 [,ac] | [c,a1] ,,,,c/ ,,,,e | \
[c,,a/] ,,,c [c,a] ,,c | [a,e1] [,df,c] | [,cde1] ,,a/ ,,c |"
5;;B4r;De mes ennuys;Archadelt;;OT;;C;"a/ ,e a c | [df/] f h d | [fd/] ,f/4 ,d [h,h/] ,,f | \
[h,h/] g/4 e h g h/8 g e g |"
6;;C2v;D'amour me plains;Rogier;;OT;ConcR1688;C;"a/ ,e/4 ,c ,a ,c ,e a | ,a/4 c a ,e ,c ,e ,f/8 ,e ,f c | \
[eacc/] f [ea] c |"
7;;D1r;Fantasie;;;OT;ConcR1850;C;"a2 | a1 ,e/ ,c | ,e1 a | c1 e | [,cd/] ,a ,c ,e | \
a/ ,,d [c,c] ,,a | [a,c1] ,,d/ c | [ea1] ,c |"
8;;D2r;En vous voyant;Rogier;;OT;;C;"[aa,c,a/] ,,,,c ,,,,e ,,,b | [aacc/] ,,a [,,c,,a] ,,d | \
[,ea,c/] ,,,c [,ea] ,,c | \
[,cdca/] [,a,b] [,c,c] [,ea,,e/4] ,,,,,c |"
9;;D3v;Fantasie;;;OT;ConcR1851;C;",,,,c2 | ,,,,c/ ,,,,e ,,,b ,,,c | ,,a1 ,,c | \
,a/ ,,a ,,,c ,,a | [,ac/] [,cd] [,ef] a | \
c/ ,,d [e,c] ,,a |"
10;;D4v;Trio;;;OT;ConcR1852;C;",a2 | ,d2 | ,d1 a | [,a,,c/] ,c ,d a | [c,,a1] [c,a] | \
,,d1 [a,cc] | [,da,c/] ,,,,e [,a,a] ,,,c | [,cde1] [f,a] |"
11;;E1r;Trio;;;OT;;C;",,a2 | ,a2 | ,a1 ,c | ,d1 ,,f/ ,c | [ca/] ,,d ,a1 | \
c1 [e,d/] ,,c | [f,a1] ,,d/ e | [ca,,c/] a [cd1] |"
12;;E2r;Fantasie;;;OT;ConcR1853;C;",a2 | ,,e1 ,a | c/ ,,d ,,a ,,c | [c,d1] ,a | [a,c1] ,,d | \
c/ ,,c ,,a ,,,c | [c,,a1] ,,,,c/ e | [f,a1] [eac/] c |"
13;;E3r;Les Bourguinons;;;OT;;C;"c1 [ca/] c | [,ef/] [,ef] [a,c] [a,c] | \
[c,de/] ,,d [,aa,c] ,,a | [,,,bc/] [,,,bc] [,,,c,e] [,,,c,e] | \
[c,a,a/] ,,,,a [ca,,c] c |"
14;;E3v;Elle voyant;Certon;;OT;ConcR1854;C;"[ea,c/] ,,a [a,c] ,,d | [eff,,a/] a [ca,c] e | \
[ccd/] ,,,e [cdda] ,c | [aacc/] [,,ab] [,,,ce] [,,,bc] | \
[a,,ce/] e [c,e] a |"
15;;F1v;Voulant honneur;Sandrin;;OT;ConcR2695;C;"[da,c/4] c a c d a [ca,c] d | \
,,,a/4 [fda] ,c ,a ,,d ,,b ,,d/8 ,,b ,,a ,,,c |"
