PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;F dur;1;Der Eigene Herr;;;;Conc_551;2/4;"([,,aa{,a}/] [,,cb]) [,,bc{,a}] [,ab] | [,,de{,a}/] a [,,aa{,a}] \
[,,de] | [,,de{4}1] (3[,,bc{4}/] ,,a ,,b) | \
([,,bc{,a}/] [,,aa]) {,a} [a,a] | "
2;F dur;2;Das Kartenhaus;;;;Conc_552;3/4;"[aVd{,a}1] (,,a/ ,,d) [,,b{a}] ,a | ([,,f,,a1] ,,d) [,,,a{6}] | \
[,,,,a{5}1] ,a [,,b{a}/] ,,,c | [,,,a{4}1] ,,,,c [,,,a{,a}] | \
[,,,c{,,a}1] (,,a/ ,,d) [,,c{,,,a}] ,a | "
3;F dur;3;Der Blinde und der Lahme;;;;Conc_553;2/4;",,,,a/ | (,,,a/ ,,,e) {,a} ,,,,a | (,,,,c/ ,,,,f) ,,,,,a \
,,,,c | ([,,,,d{,,,a}/] ,,,,a) ([,,,e{5}] ,,,d) | \
[,,aVe,a1] ,,,,,a/ ,,a | "
4;F dur;4;Der Liebenswürdige;;;;Conc_554;3/8;"[,,de{,a}/] [,,ff] [,,de] | [,,,ff{,a}/] [,,de] [,,aa] | \
([,,aa,d/] [,,bc]) [,,,cc{4}] | [,,aa{,a}/4] (,,,c ,,,a) \
{,a} (,,,,,a ,,,,,d) | [,,aa{,a}/] ,,,c [,,d,c{4}] | "
5;F dur;5;La Vertu del Vin;;;;Conc_555;C;",,a/ | ,a/ [a{,,,a}] [,,a,,a] [,,ee{a}] | [,aa{,a}1] \
[,ca,,e] | [a,a,a/] ,a ,,a [,,e{a}] | [,aa{,a}1] [a,a{,,,a}] | \
[,ca{4}/] ,,a [,,c{,,,a}] {,,a} | [,,aVe,a1] {6}/ :| "
6;F dur;6;L'Amante;;;;Conc_556;2/4;",,,a/ | [,,'a{,a}/] (,,,c/4 ,,,a) [,,d{,a}/] [a{,a}] | \
[,'a{,a}/] [,,d{,a}/4] {a} ,,,,,a/ a | ['a{5}/4] ,a ,a ,,d \
[,,d{4}/] ,,b | "
7;B dur;7;An Christianchen;;;;;2/4;",,,a/ | [,,b,a{d}1] {d}/ ,a | [,,,a,a1] [,,,,b{,a}] | \
[,,,,a{d}/] ,,,a [,,ba{,,,a}] ,a | [,,da{,,a}/] [,,'a] \
[,,ba{,,,a}] a | ([,d{,,a}1] ,e/) c | "
8;g moll;8;Die Affen und die Bären;;;;;2/4;"[,ab/] | [,ab{a}/] {a} [,,bc{a}] [,,de{a}] | \
[,ab{a}/] {a} V[,,,c{a}] {a} | [c,b{a}/] {a} [e,d{a}] \
[b,a{a}] | [c,b{a}/] {a} [,ab{a}] [,ab{a}] | "
9;B dur;9;Der Greis;;;;;C;",,,a/ | [,,baa{5}/] {,,,a} [,,baa{,a}] {d} ,,,a (,,,,b \
,,,,a) | [,,bcb{5}/] {,,a} [,,bcb{a}] ,,,,,b [,,b,b] \
,,,c ,,,a ,,,,b | "
10;B dur;10;Le pris des baisers;;;;;3/8;"[aab{5}/] ,,b [,,a,b{4}] | V[,,baa{,,,a}1] [,a,a{5}/] | \
[,,d,b{5}/] ,,d {6}/4 ,a/8 ,b | [,aba{5}/] [,,de{,a}] {,,a} | \
[,,ba{,,,a}/] [,,dc{,,a}] [,,ba{,,,a}] | "
11;c moll;11;Die schlauen Mädchen;;;;;C;"[,,,,b{4}/4] ,,d ,,d ,,d [,,d{4}] ,,d ,,d ,,d \
{4}/4 c ,b ,,d {4} c ,b ,,d | [,,,dd{4}/4] ,,,d ,,,d ,,,d"
12;C dur;15;Der Vergnügsamkeit;;;;;C;",,,c1 | [,,,c{4}1] ,,,c ,,,,c [,c{4}] | [,'a{5}1] ,,c ,,,c \
[a{5}/] ,a | [,c{4}/] ,,d [a{,a}] ,a [c{,,a}1] [a{,a}/] ,c | "
13;C dur;16;Die Weisheit;;;;;3/4;",,,c1 | [,,,cc{4}1] ,,d [,,dc{,,a}] | ([,,f{,a}1] \
[,,d{,,a}]) c | [,'c1] ,,d [,,,c{,,a}] | [,,,'a{,,,a}1] \
[,,,,c{4}] ,1 | [,,b,c{4}1] [,,aa{,,,a}] [,,,c{,,a}] | "
14;C dur;17;Die Wahrheit;;;;;2/4;",,,c/ | [,,,,c{4}/] ,,,c ([,,,ca{5}] ,,,a) | [,,,,c{4}/] \
,,,c ([,,,ca{5}] ,,,a) | [,,,,c{4}/] ,,d [,,cc{,a}] ,a | \
[,,d{,,a}/] (,,c/4 ,,a) [,,,c{,,a}/] ,c | "
15;a moll;18;La Satisfaction;;;;;2/4;"[,,ae,a/] ,,,,,a ,,,,,a ,,,,,a | ['a,a,,a/] ,,,,,a ,,,,,a \
,,,,,a | [,,a,,c/] ,,,,,c [,,,d,c] [,,a,,a] | \
[,,c,c{,d}/] {,d} [,ac{,a}] {,a} | "
16;G dur;19;Der Kanarienvogel und die Lerche;;;;;6/8;",a/ | ([,,c{a}/] ,,d) ,a (,,,,a ,,,,c) [,,,b{,a}] | \
[,,,c{5}/] {4} {,,a} {a}1 'c/ | [,c{4}/] ,,d [,cd] \
[,ac] [,,de] [,,cc,e] | "
17;G dur;20;Zween Wandrer;;;;;3/4;",a1 | (,,d1 [,,c{a}]) [,,a{,,,a}] | [,,,c1] [,c{4}] [,a{5}] | \
[,'a{6}1] (,,d/ ,,c) [,,d{,,,a}1] | [,,'c{a}2] ,a1 | \
(,,d1 [,,c{a}]) [,,a{,,,a}] | "
