PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;4;Fantasia de F. Bianchini;F. Bianchini;;OT;;2;"[cca] | [cca/] a/4 ,d ,c ,a ,,d ,,c | \
[cca/] e f [,ac] | [,cd/] [,ea] [aac] [ccd] | \
[ea,,c/] c [cc,,a1] |";italian7tab
2;;6;Qvant tv vovldras;Isaac Lheritier;;OT;;2;"[aabc/] ,,,b ,,,c ,,a | [dabc1] [dabc] | \
[cdf,c/] ,a ,c ,d | a/ ,,d [aabc] c | \
[d,bc/] ,,d [dabc] ,c | [ca,,c/] [a,,,e] [c,,a] [d,,c] |";italian7tab
3;;8;Est il regret;G. Bichenet;;OT;;C;",,,c2 | ,,,c1 ,,b ,,a | [,,bc1] ,,d [,ab] ,,a | \
[a,bc1] ,,d [,ab] [,bd] | [a,b1] [,da] [,b,c] [,a,a] | \
[abbc1] [,a,a] [,,,cd] [,,,ac] |";italian7tab
4;;10;Si Iay Lamovr;Croquillon;;OT;;2;"[,ddef/] ,c/4 ,a ,,d ,,b ,,a ,,,c | \
[,ddef/4] a c d f d c a | [cdda/] ,,,c ,,a ,,b |";italian7tab
5;;12;Vng Grand Desir;Maillard;;OT;;2;"[aab,,a2] | [aab,,a/] ,,,,,c [,a,,,d] ,,,,a | \
[,dfec/] ,,,,a [,dfec] ,,,,e | [cdda1] [da,,,d/] ,,b | \
[cdda/] a [da,c] ,c |";italian7tab
6;;14;Dame sante;Entaygues;;OT;;2;"[aabc/] ,,,,,c [aa,,,d] | [,dfec1] [a,bcd/] c | \
[ddf,,d1] [ddf] | [ddf1] [ddf,,d/] ,,d | \
[,dff,d1] [,dfec] | [acd,a1] [cab,,d/4] ,,,,a ,,,,c ,,,,e |";italian7tab
7;;16;Vovs Semblet il;G. de la Moeulle;;OT;;2;",,,a2 | ,,,a1 ,,,c | ,,,e1 [,d,e] | [,db1] a/ ,,,c | \
[c,,a1] [c,d] | [da1] [,,b,,d/4] ,d a c | \
[dab,,d1] [,,a,a/] [,b,c] |";italian7tab
8;;18;In Domino Confido;A. Mornable;;OT;;2;"[cdf,c2] | [cdf,c/] ,,,,a ,,,,c ,,,,e | \
[cdda/] ,a/4 ,c ,d a c d | [cdf,c1] e | \
[ffh,a/] ,,f ,,h ,,i |";italian7tab
9;;20;Domini est Terra;A. Mornable;;OT;;2;"[aabc2] | [aabc/4] ,,a ,,b ,,d ,a ,,d ,,b ,,a | \
[aabc1] [,daac] | [aabc/] ,,,a [dabc] ,,,e | [,dff1] [cdda] |";italian7tab
10;;22;Benedic Anima Mea Dominvm;;;OT;;2;"[cdda2] | [cdda/] [,b,c] ,,a ,,b | \
[acd,a1] [,daac] | [,cdca/4] ,,c ,,d ,a ,c ,d a c | \
[da,c,a1] [ca] | [da,c,a1] [ca,ac] |";italian7tab
11;;24;Bassedance. Qvand Ie Congnev;;;OT;;2;"[acd,a1] | [,cd,a/] ,,,,c [a,d,e] ,,a | \
[aabc1] [,a,,,a/] ,d | [,cdca/] ,d/4 ,c ,a ,,d ,,b ,,a | \
[aab,,a/] ,,,,,c [,,b,,d] ,,,,a |";italian7tab
12;;25;Bassedance. La Mestresse;;;OT;;2;"[,dddf1] | [abd,a/4] ,a ,b ,d [ab,,a] ,b ,d a | \
[bdda/] a ,d ,c | [,dda1] [b,da/] a/4 b |";italian7tab
13;;26;Pauane. La Millanese;;;OT;;2;"[ddf,,d2] | [ddf,,d1] [ddf,,d] | [ddf,,d/] ,,d ,,f ,,g | \
[ddf,,d/] ,,,,a ,,,,c ,,,,e | [cdda/] ,,b ,,a ,,,c | \
[cdda1] [cdda] |";italian7tab
14;;28;Pauane. La Favorita;;;OT;;2;"[fd,ef2] | [ddf,,d1] [cdda] | [acd,a1] [a,dcd] | \
[,dfec1] [,cdca] | [,d,ef/] ,,b [,,de1] | \
[,a,c,a/4] ,,d ,,c ,,a ,,d ,,c ,,a ,,c |";italian7tab
15;;30;Gaillardes. El Peschadore;;;OT;;3;"[aa,c1] ,,,,,a [aa,c] | [ac,a1] ,,,c/ ,a ,c ,d | \
[a,d,e1] [,da,c] [,dc,c] | [acd,a/] ,a ,c ,d [acd,a1] |";italian7tab
16;;31;Gaillardes. El Mvlinaro;;;OT;;3;"[,ddef1] [abd,a/] [cb] | [ddf,,d/] ,,d ,,f ,,g [ddf,,d1] | \
[abb,d/] ,,,a ,,,c ,,,e [ddf,,d1] | [cdda/4] a c d";italian7tab
