PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;2;Pauana detta la bella Andronica dell'eccell. Pe.Pa. Borrono;;;OT;ConcR1616;C;"[db,cd4] | [db,cd2] [db,cd] | \
[da,a,d4] | [fb,d,b3] d1 | [db,c2] [db,cd] | \
[da,a,d2] [da,a,d] | [a,,,d1] ,b/ ,d a c d c | \
[abb,d1] ,,d/ ,a ,b ,d";italian7tab
2;;5;Saltarello primo;;;OT;ConcR2629;3;"[bd,cd6] | [db,cd4] [db,cd2] | \
[da,,,d2] ,,,a ,,,,,d | \
[fb,,,b2] ,,,d1 b d f | \
[db,c2] ,,,,d [db,cd] | \
[db,,,d2] ,,,a1 b a ,d |";italian7tab
3;;7;Saltarello secondo;;;OT;ConcR2630;3;"[deeb2] | z1 [deeb1] [bde,b2] [deeb] | \
[,ebbd4] [,bdd,b2] | \
z1 [,bdd,b1] [,bba,d2] [,aba,d] | \
[,bbcd4] [deeb2] | \
,,,b1 d [bde,b2] ,,,,b1 d | \
[,eb,d2] ,,,b1 ,d ,b2 |";italian7tab
4;;8;Saltarel terzo;;;OT;ConcR2631;3;"[abb,d6] | [abb,d3] ,d1 a2 | \
[abb,d2] [bbdd] ,,,,,d | \
[abb,d1] ,a ,b ,d a b | \
[abb,d2] ,,,c [bbb,d] | \
[bbd,,b2] ,,,d1 d [bbd,,b2] |";italian7tab
5;;10;Pauana detta la Lacrimosa;;;OT;ConcR2632;C;"[,cdca4] | [,cdca2] [,cdca] | \
[,acc,a3] ,,a1 | [,acc,a1] ,,d ,a ,c | \
[,dff,d3] [,dff,d1] | [,cdca2] [,,d,,c] | \
,,,,,a1 [aac] ,,,c ,,,,,a | [aa,c,a4] | [,cdca4] |";italian7tab
6;;12;Saltarello primo;;;OT;ConcR2633;3;"[,cdca6] | [,cdca4] [,cdca2] | \
[,ac,,a4] ,,,c2 | [,ac,,a2] ,,,c1 ,,d ,a ,c | \
[,db,,d2] ,,,a [,db,,d] | [,cd,a1] a ,d ,c ,a ,,d |";italian7tab
7;;14;Saltarello secondo detto la Laurina;;;OT;ConcR2634;3;"[,,dca4] [,,dca2] | [,,cc,a1] ,,a ,,c ,,d ,a ,c | \
,,,a2 ,d ,,d | [,d,a2] ,,d ,c1 ,a | [,c,,a2] ,,d ,,,c | \
[,c,,a2] [,aa,c] ,c |";italian7tab
8;;16;Saltarel terzo detto il Penono;;;OT;ConcR2635;3;"[,cdca2] [,cdca] [,d,,c]| \
[ac,,a2] ,,d ,,,,a | [cd,a2] ,,d1 a ,d ,c | \
[,ac,,a2] ,,,c1 ,,d [,,cc,a2] | \
[,cdca2] [,cdca] [,d,,c] | [ac,,a2] ,,d1 ,d [,cd,a2] |";italian7tab
9;;18;Pauana nouissima detta la Lucretia;;;OT;ConcR2636;C;"z2 [,dda2] | [bdda3] [bdda1] | [da,a,d1] a b d | \
[fb,d2] ,,,,,b | [fb,d,b2] [dfa,d] | \
[,bdda2] [abd,a] | [,db,cd2] b | [a,,,,d2] ,d | \
,,,,a1 [,cd] ,,,c ,,,,a |";italian7tab
10;;20;Saltarello primo;;;OT;ConcR2637;3;"[,dda6] | [bdda4] [bdda2] | [da,,,d2] ,,,a1 a b d | \
[fb,,,b2] ,,,d ,,,,d | [fb,,,b2] ,,,d [df,,d] | \
[bd,a2] ,,d [ab,,d] | [,dd,,d2] ,,,a1 b a ,d |";italian7tab
