PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;3r;Felice fu quel di felice il punto;B.T;;OT;;C;"[,d,a1] b ,,,a a/ ,d | ,,,,a/ ,a ,c ,d [,c,,a1] ,,d | \
,,,,d1 a [,d,a] ,,d | ,,,,c1 ,,c [,,d,a] ,,,c |";italiantab
2;;3v;Per dolor me bagno il viso;;;OT;;C;"[,a,c2] [,b,,a1] ,a/ ,,d | [,a,c3/2] ,b/ [,a,c1] a | \
,,,c/ ,d ,c ,a [,c,c] ,d1 ,c/ | [,d,a1] ,b/ ,a [,,da1] ,d |";italiantab
3;;4v;Il bon nochier sempre parla de venti;;;OT;;C;"[,,d,a/] ,a ,b ,d [,b,,a1] [,,d,a/] ,a | \
[,b,,a/] ,d a b [,d,a1] ,b/ ,a | [,,da1] ,a/ ,b [,d,a1] [,ab] |";italiantab
4;;5r;Io tho donato il core;IO.BA.ZE.;;OT;;C;"z1 [,,b,,d] [,,,cd] [,,a,c] | [,,b,,d1] [,,,ca] [,,b,,d] [,,b,,d] | \
,,,,,d1 ,d [,d,a2] | ,,,a1 [,a,c/] ,c [,d,a1] [,d,a] | \
,,,,,d1 ,d [,d,a2] |";italiantab
5;;5v;Se mai per maraveglia alzando il viso;;;OT;;C;",,,,,a/ ,,a ,,c ,,d ,,,,,a ,,a ,,c ,,d | \
,,,,,a/ ,a ,c ,d [aa1] [aa] | ,,d/ a [a,d1] ,,a/ a ,,d a |";italiantab
6;;6v;Sio portuerit me teco mori;M.C.;;OT;;C;"[,a,,,d2] [,a,,,d1] [,a,,,d] | ,a1 ,,b [,,de3/2] ,,b/ | \
[,,a,c2] [,,bc/] ,,,c ,a ,b | \
[,,da1] ,a/ ,,,,e ,,,,c1 [,,dc/] ,,b |";italiantab
7;;7v;Ochi mei lassi mentre chio vi giro;B.T;;OT;;C;",,,a1 ,d ,,,c ,c | [,d,a1] ,,,a/ ,b [,a,,,d] ,,d [,,b,,d] ,,,d | \
[,,,ca1] ,,d ,,,,c ,,c | [,,d,a2] [,,d,a] | [,bd1] ,b ,,d ,b |";italiantab
8;;9r;Per fuggir damor le punte;M.C.;ff.10r - 11r vacat;OT;;C;"[a,,c1] [,c,,a] [,d,a] ,,,,c/ ,c | [,a,c1] ,,b [,ca2] | \
[,a,,c1] ,d ,,,,c/ ,c ,a ,,d | [,,bc2] [,,da1] [,b,,a] | \
[,a,c/] ,,,a ,,,,e ,,,,c [,b,,a2] |";italiantab
9;;11v;Deh chi me sa dir novella;D.MI.C. & V.;;OT;;C;"[,,d,a2] ,,,,a1 ,a | [,b,,a3/2] ,a/ [,,da1] ,d | \
,,,,a1 ,c [bd,a] a/ ,d | H[ac,,a] | \
[,cd/] ,,b ,,,d ,,,c [b,,a1] ,,,d |";italiantab
10;;12v;Dopoi longe fatiche e lunghi affanni;;;OT;;C;",,,c1 ,a/ ,,,a ,,,,e1 ,,e | [,a,,c1] [,c,,a] [,d,a3/2] ,c/ | \
[,a,c1] [,a,,c] ,,,,e ,,e | H[,a,,c] | [,a,,c2] [,ca1] [a,,c] | \
,,,,c1 ,e [a,,c] ,a/ ,,,a |";italiantab
