PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1r;Milanesa;;;OT;;C;"a1 ,d | [,bd,a2] ,,,,a1 b a ,d ,b ,a | \
[,bd,a1] ,a ,b ,d a ,b ,a ,,d |";italian7tab
2;;1r;Volta;;;OT;;3;",,d1 ,a | [abd,a3] ,d1 ,b ,a | [abd,a1] d c a ,d ,b | \
[,aba,d3] ,,d1 ,,b ,,a |";italian7tab
3a;;1v;Pass' e mezzo;;;OT;;C;",,d1 ,a | [,cdca1] ,,d a c a [,cd] [,da] [,ac] | \
[,cd1] ,,,,a ,,,c ,,,e ,,,c ,,,,a [,d,,c] [a,,,e] |";italian7tab
3b;;2r;2° parte;;;OT;;C;"a1 ,d | [,cdca1] ,,d/ ,a ,c ,d a c a1 [,cd] [,da] [,ac] | \
[,cdca1] ,,a/ ,,c ,,d ,a ,c ,d";italian7tab
4a;;2v;Gagliarda di S.no;;;OT;;3;",,d1 ,a | [,acd,a3] ,d1 ,c ,a | \
,,d2 [,aba,d] [,cdca] | [,dda,,a3] ,c1 ,d a | \
c2 [aac,,a] ,,,c1 ,d |";italian7tab
4b;;3r;2° parte;;;OT;;3;"a1 ,d | [,cdca3] ,,d/ ,a ,c ,d a c | \
a1 ,c ,,d a f d | [cdda3] ,a/ ,c ,d a c d |";italian7tab
5;;3r;Gagliarda;;;OT;;3;"[abb,d2] [abb] f | [dabc3] d1 [cdda2] | \
[a,,,d2] [,d,,c] [,b,,a] | [,aba,d2] ,,,c1 d [c,,a2] | \
[a,,,d2] [,dbac1] ,b ,a ,,d |";italian7tab
6a;;3v;Amor senza tormento;;Canzonette et Napolitane;OT;ConcR3606;C;"[bd1] [abd/] [abd] [abd1] [abd] | \
[bdda2][abd] | [,dff1] [,dff/] [,dff] [ab,,d1] [ab,,d] | \
[,bdd3/2] [,bdd/] [,dda1] [,dda] | [,a,c1] ,,c [,cdca2] :||:";italian7tab
6b;;4r;(ritornello);;Canzonette et Napolitane;OT;;3;",,,c1 ,d ,c2 | ,a2 [,daac] [abb,d] | [bddaa2] [aabc] [,bdd] | \
[bdda2] [aadc] ,,c | [,cdca2] ,,,,a1 ,d ,c ,a |";italian7tab
7;;4v;Mirate che mi fa;;Canzonette et Napolitane;OT;;C;"z1 [,dff1] [,dff2] | [,dff1] [,dff2] [,dff1] | \
[ab,,d2] [da,c] | [cd,a1] [cd,a] [a,,,d] [a,,,d] | \
[,df2] [acd1] [,dff2] [ddb1] [a,d] ,c | [cd,a2] :||:";italian7tab
