PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;6r;Exercitium;;;OT;;C;",a/ ,c ,d a c a ,d ,c | ,a/ ,,d ,,b ,,a ,,,c ,,a ,,b ,,d | \
[,aba,d1] [acd,a] [aaa,c] ,e | H[aac,,a] ||";germantab
2;F moll;6r;La Cara Cossa;;;OT;ConcR202;3;"[acd,a1] [acd] [acd,a] | [acd,a/] ,a ,c ,d [acd,a1] | \
[,dda/] ,c ,d ,a ,b ,d | [abb,d1] [ab] [abb,d] | \
[bbdd1] [bbd] [bbdd] |";germantab
3a;;6v;Passo e mezo;;Antico;OT;;C;"[abd,a/] ,a ,b ,d a ,d ,b ,a | [abd,a1] b/ a ,d ,b ,a ,,d | \
[,aba,d/] ,,a ,,b ,,d";germantab
3b;;7r;Saltarello suo;;;OT;;3;"[abd,a/] ,a ,b ,d a ,d | [abd,a/] d c a ,d ,b | \
[,aba,d/] ,,a ,,b ,,d ,a ,,d | [,aba,d1] [,aba] [,aba,d] |";germantab
4a;;7v;Passo e mezo;;Antico;OT;;C;"[aab,,a/] ,,a ,,b ,,d ,a ,,d ,,b ,,a | [aab,,a/] ,,a ,,b ,,d ,a ,c ,d a | \
[cdda1] ,a/ ,c";germantab
4b;;8r;Saltarello suo;;;OT;;3;"[aa,,a/] ,,a ,,b ,,d ,a ,,d | [aab,,a/] ,,d ,a ,c ,d a | \
[cdda1] ,a/ ,c ,d a | [cdda1] [cdd] [cdda] |";germantab
5a;;8v;Studenten tantz;;;OT;ConcR951;C;"[aa,c1] |: [aabc/] ,,a ,,b ,,d ,a ,c ,d a | \
[caa,c2] [caa1] ,,,,c | [dabc1] [cdda] [,abc] a | \
[caa,c2] [caa1] ,,,,c |";germantab
5b;;9r;Nach dantz;;;OT;ConcR3488;3;"[aa,c1] |: [aabc1] a/ c d a | [caa,c2] [caa,c1] | \
[dabc1] [cdda] [aabc] | [caa,c2] [caa,c1] | [aabc1] a/ c d a |";germantab
6a;;9v;Passo e mezo Communo;;;OT;;C;"[cdda1] a ,d/ a c d | [cdda1] d [,dda] c | [dab,,d1] c/ a ,d ,b ,a ,,d | \
[,aba,d/] ,,a ,,b ,,d";germantab
6b;;10r;Saltarello sua;;;OT;;3;"[cdda3/2] [cdd/] ,,,a1 |  [cdda1] d [cdda] | [dab,,d1] c/ a ,d ,b | \
[,aba,d/] ,,a ,,b ,,d ,a ,c |";germantab
7a;;10v;Salva puella;;;OT;ConcR2028;C;",,,c1 |: [,,dca1] ,,c ,,d ,a | [,cdca2] [,cdc1] ,,,,a | \
[,ac,,a1] a [aaa,c] ,e | [aac,,a2] [aac1] ,,,,,a |";germantab
7b;;11r;Nach dantz;;;OT;;3;",,,c1 |: [,,dca1] ,,a/ ,,c ,,d ,a | [,cdca1] ,d/ ,c ,a ,,d | \
[,ac,,a1] a [,ea,c] | [aac,,a2] [aac,,a1] | \
[,,dca1] ,,a/ ,,c ,,d ,a |";germantab
8a;;11v;Passe e mezo;;Antico;OT;;C;"[bdda2] [bdda1] a | [,dda1] a/ b d b a ,d | [abb,d/] ,a ,b ,d a ,d ,b ,a | \
[abb,d2] [abb1] ,,,,d |";germantab
8b;;12r;Saltarello;;;OT;;3;"[bdda3/2] [bdd/] ,,,a1 | [bdda1] d/ b a ,d | [abb,d/] ,a ,b ,d a ,d | \
[abb,d1] [abb] [abb,d] |";germantab
9a;;12v;Passo e mezo;;Moderno;OT;;C;"[acd,a/] ,a ,c ,d a ,d ,c ,a | [acd,a/] ,a ,c ,d a c d a | \
[cdda1] ,a/ ,c";germantab
9b;;13r;Saltarello sua;;;OT;;3;"[acd,a1] ,,,c/ ,d ,c ,a | [acd,a/] ,d a c d a | \
[cdda/] a ,d a c d |";germantab
10a;;13v;Hof tantz;;Schwarzknab;OT;ConcR2031;C;"c/ a c e |: [fcd,a2] [fcd1] ,,,,a | f1 e [fcd,a2] | \
[cdda1] [aabc] [aaa,c] ,e | [aa,c,a2] c/ a ,d ,c |";germantab
10b;;14v;Nach dantz;;;OT;ConcR3224;3;"c/ a c e |: [fcd,a2] [fcd,a1] | [caa,c2] [caa,c1] | \
[aa,c,a1] a/ ,d ,c ,a | [,cdca1] ,,d/ ,a ,c ,d |";germantab
11a;;15r;Was woll wir aff den abendt thun;;;OT;ConcR980;C;"[,dda1] | [,dda1] ,c/ ,d [acd,a1] ,d/ a | [cdda1] a/ ,d [acd,a1] d | \
[cdda1] [,da,c] ,,,,a [acd] | [,dda2] [,dd1] [,dda] |";germantab
