PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1a;;4v;Salue puella;;;OT;ConcR2028;C;"[,dda2] [,dd1] ,,,a | [cdda1] a/ c d c a ,d | \
[acd,a1] [fdaa] [,a,c] e | [fcd,a2] [fcd1] ,,,,a ||";germantab
_1b;;4v;Nachtantz;;;OT;;3;"[,dda1] ,a/ ,c ,d a | [cdda1] d/ c a ,d | [acd,a1] [fdaa] [ea,c] | \
[fcd,a1] [fcd] ,,,,a ||";germantab
2a;;5r;Salue puella Tenor;;;OT;ConcR2028;C;"[,d,a1] ,,a/ ,,c ,,d ,a ,c ,d | [acd,a3/2] [acd/] ,,,,a1 [acd] | \
[cdda1] [aabc] [aaa,c] ,,,b | \
[aac,,a3/2] [aac/] ,,,,,a1 [aac,,a] :|";germantab
_2b;;5r;Proportio;;;OT;;3;"[,,d,a/] ,,c ,,d ,a [,,d,a1] | [acd,a3/2] [acd/] ,,,,a1 | \
[cdda1] [aabc] [,ea,c] | [aac,,a3/2] [aac/] ,,,,,a1 :||: \
[cdda1] a/ ,d ,c ,a |";germantab
3a;;5v;Salue puella Basso;;;OT;ConcR2028;C;"[,aba,d/] ,,a ,,b ,,d ,a ,,d ,,b ,,a | [,aba,d3/2] [,aba/] ,,,,,d1 [aba,d] | \
[acd,a1] [,daac] [acd,a] ,a/ ,c | \
[,dda3/2] [,dd/] ,,,a1 [,dda] :|";germantab
_3b;;5v;Proportio oder nachdantz;;;OT;;3;"[,aba,d/] ,,a ,,b ,,d ,a ,,d | [,aba,d3/2] [,aba/] ,,,,,d1 | \
[acd,a1] [,da,c] [acd,a] | [,dda3/2] ,,,a/ [,dd1] :||: \
[abb,d/] ,a ,b ,d a ,d |";germantab
4a;;6r;Passo e mezo;;Antico;OT;;C;"[abd,a1] [abd/] ,,,,a [abd,a] ,,,,c ,,,,d ,,,a | \
[,aba,d1] [,aba/] ,,,,,d [,aba,d1] [,aba,d] | \
[abd,a1] [abd,a/] ,,,,a [abd,a] ,,,,c ,,,,d ,,,a |";germantab
_4b;;6r;Proportio;;;OT;;3;"[abd,a3/2] [abd/] ,,,,a1 | [abd,a1] ,a/ ,,d ,,b ,,a | \
[,aba,d3/2] [,aba,d/] ,,,,,d1 | [,aba,d3/2] ,,,,,d/ [,aba,d1] | \
[abd,a3/2] [abd/] ,,,,a1 |";germantab
5;;6v;Ein gutter Deutscher dantz;;;OT;;C;"[aabc1] |: [,aabc1] ,,,,c [aabc] ,,,c | [cdda1] a/ c d f [cdda1] | \
[aabc1] [acd,a] [aaa,c] [,ea,c] | [aac,,a1] ,,,c [aac] [dabc] |";germantab
6a;;6v;Ein gutte Dantz;;;OT;;C;"[aac,,a2] [aac,,a1] ,,,c | [cdda1] a/ c d c a ,d | \
[acd,a1] [,da,c] [acd,a] ,a/ ,c | [,dda2] [,dd1] ,,,a :|";germantab
_6b;;7r;Nachdantz;;;OT;;3;"[,dda2] [aac,,a1] ,,,c | [cdda1] a/ ,d [acd,a1] ,a/ ,c | \
[,dda2] [,dd1] ,,,a :||: [,aba,d1] ,c/ ,d [,aba,d1] ,c/ ,d |";germantab
7;;7r;Gassenhauwer / Es taget vor dem Walde;;;OT;;3;"[,,d,a1] |: [aac,,a3/2] [aac/] ,,,,,a1 | [aac,,a1] a/ ,d a c | \
[dab,,d1] d/ c a ,d | [abd,a1] ,,d/ ,a ,b ,d |";germantab
8;;7v;Gassenhauer;;;OT;ConcR1596;C;"[acd,a3/2] ,,,c/ [,dda1] | [acd,a3/2] [acd/] [,dda1] | \
[acd,a1] [,aba,d] [,,de,c] | [aac,,a3/2] [aac/] ,,,,,a1 | \
[acd,a1] ,,d/ ,a ,c ,d |";germantab
9a;;8r;Studententantz;;;OT;ConcR951;C;"[aabc/] ,,a ,,b ,,d ,a ,c ,d a | [caa,c2] [caa1] ,,,,c | \
[d,bc1] [cdda] [aabc] ,,,c | [caa,c2] [caa1] ,,,,c :|";germantab
_9b;;8r;Nachdantz;;;OT;ConcR3488;3;"[aabc/] ,,a ,,b ,,d [aabc1] | [caa,c1] [caa] ,,,,c | \
[dabc1] [cdda] [aabc] | [caa,c1] [caa] ,,,,c :||: \
[dab,,d/] ,,a ,,b ,,d [dab,,d1] |";germantab
10;;8v;Galliarda Tantz Tenor;;;OT;;3;"[acd,a/] ,a ,c ,d a ,d | [acd,a/] ,a ,c ,d [acd,a1] | \
[,dda/] ,b ,d ,a ,b ,d | [ab,,d/] ,a ,b ,d [ab,,d1] |";germantab
11;;8v;Preambulum darin die gantz applicantz godt;;;OT;;none;"[,bbac1] ,,,,a3/2 [,aaa/] ,c [,daac] a [,,a,ed] a [abbcd1] d \
[abbcd] d [cdda] [abbcd] [,daac] [,abac] [,bdca/] ,,,,d \
[dabad1] [,,da] :|";germantab
12a;;9r;Der meidlein vom blofelden tantz;;;OT;ConcR2899;C;"[acd,a2] [acd1] ,,,,a | [cdda1] a/ c d c a ,d | \
[acd,a1] [,dbac] ,,,,a [acd,a] | [,dda2] [,dd1] ,,,a :|";germantab
_12b;;9r;Nachdantz;;;OT;ConcR2900;3;"[acd,a3/2] [acd/] ,,,,a1 | [cdda1] d/ c a ,d | \
[,cdca1] [,dbac] [,cdca] | [,dda2] [,dda1] :||: \
[,aba,d1] ,c ,d |";germantab
13;;9v;Vitam quae faciunt beatiorem;;;OT;;C;"[aa,c,a2] [aabc] | [,daac2] [aabc1] [cdda] | [dab,,d2] [dab,,d1] [cdda] | \
[aabc2] H[,dbac] | z2 [,daac] | [aabc/] ,c ,d a [cdda] a c d |";germantab
14a;;9v;Küngische tantz;;;OT;ConcR2029;C;"[,daa1] |: [acd,a/] ,a ,c ,d [acd,a1] [,dda] | \
[abb,d/] ,a ,b ,d a c d a | [cdda1] [,da,c] ,,,,a [acd] |";germantab
_14b;;10r;Nachdantz;;;OT;;3;"[,daa1] |: [,cdca1] ,a/ ,c [,daa1] | [abb,d/] ,d a c d a | \
[cdda1] [,da,c] [acd,a] | [,dda2] [,dda1] ||";germantab
15a;;10v;Ach mägdlin fahr mit mir uber Rhein Tantz;;;OT;ConcR2037;C;"[fcd,a2] [fcd1] ,,,,a | [dabc1] c a/ c d a | [cdda1] [acd,a] [aaa,c] ,e | \
[aac,,a2] [aac1] ,,,,,a :||: [aa,c1] d [c,aa] ,d |";germantab
_15b;;10v;Nachdantz;;;OT;;3;"[fcd,a2] [fcd,a1] | [dabc1] a/ c d a | [cdda1] [acd,a] [,ea,c] | \
[aac,,a2] [aac,,a1] :||: [aa,c1] c [dabc] | [cdda1] d/ c a ,d |";germantab
16;;11r;Dancket dem Herren;;;OT;Conc_379 - ConcM51;C;"[,,dca2] [,bdca] | [,aba,d1] ,,d/ ,a [,bd,a1] [,da,c] | \
[abb,d/] ,a ,b ,d [abb,d1] [,dba,d] | \
,,,a/ ,,a [,bdca1] H[,acc] |";germantab
17;;11r;Fuss beiss mich nicht;;crossed out, see f.12r;OT;ConcR1558;;;germantab
18;;11v;Helena tantz;;;OT;ConcR951;C;"[aa,c/] ,,a ,,b ,,d ,a ,c ,d a | [caa,c2] [caa1] ,,,,c | \
[dab,,d1] [cd,a] [,,bc] a | [caa,c2] [caa1] ,,,,c ||";germantab
19a;;12r;Fuss beiss mich nit ig wil dir ein kreuzer schencken;;;OT;ConcR1558;C;"a1 |: [acd,a3/2] ,a/ [,,d,a1] a | [acd,a3/2] ,a/ [,,d,a1] a | \
[cdda1] [abb,d] [,daac] [acd,a] | \
[,acc,a3/2] [,acc/] ,,,,,a1 a :|";germantab
_19b;;12r;Proportz;;;OT;;3;"a1 |: [acd,a1] ,a/ ,c [,,d,a1] a | [acd,a1] ,a/ ,c [,,d,a1] a | \
[cdda1] [abb,d] [,daac] [acd,a] | [aac,,a2] [aac,,a1] a :|";germantab
