PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1;10 / O du Göttin dieser Erden;George Christoph von Gregersdorff;pagenr assumed, with page loss - only end of piece 9;OT;ConcR1375;C;"[,,eca/] ,a ,,e ,a [,b,,a] ,a ,,e ,a | \
[,b,,a3/2] ,,,,,e/ ,,,,,b ,e [aacc,a1] | \
[ea,c1] [ea,c] [beea] [ab,,,e] | \
[,eba,e3/2] a/ [,b,,e2] |"
2;;2;11 / Coranda Die dunckle nacht;;;OT;;3;"[aabc2] [aabc] [abbc] | \
[aabc1] ,e a c [ea,c2] | \
[ea,c1] f [ceea2] [a,,,c1] c | \
[,ea,c1] a ,e ,c [,aa,c2] |"
3;;3;13 / (end);;Mall Simmes?;OT;ConcR52;;
4;;3;14 / Jtzund kombt die Zeit;George Christoph von Gregersdorff;page missing - only end of piece 13;OT;ConcR1376;C;"[ceea1] {a} [ceea] {a} | \
[ace,a1] {10} [,eaa] {a} | \
[,c,,a1] [,e,,c] [a,,,c] [c,,a] | \
[ace,a1] {10} [,eea] {a} :||:"
5;;4;15 / Courante Lavignon;;;OT;Conc_273;3;",a1 | [,aba,e2] [,,e{a}1] | \
[,,b,,a1] [,,a,c3/2] ,,,c/4 ,,a | \
,,,e1 ,,,,e [,aa,c] | [,b,,a3/2] ,a/ ,b1 | \
[,a,,,e1] ,,,,,c [a,,,,a] | \
[,aa,c1] ,a [aacc,a] |"
6;;5;16 / Venus du Pest der;;;OT;;3;"[ace,a1] ,c [,abc,a] | ,,e1 ,,,,,c [,a,,,a] | \
[,ce,a1] [,a,,c] ,c/ ,a | \
[aacc,a1] ,,,c [aac] | [,ce,a1] [,e,,,c] [aacc,a] | \
[ceea{a}1] ,,,a a/ c |"
7;;6;17 / Couranta;;;OT;;C;"[,ce,a1] ,c [,a,,,a] [,,e,,c] | \
[aac,,a3] [a,,,,a1] | [,ce,a1] ,c [,a,,,c] [,,e,,c] | \
[aac,,a3] [aa,,,a1] | [cee{a}2] [a,,c] | \
[f,,,a2] [,,e{10}1] ,a | [,ce,a1] ,c [,aa,,a] [,ac] |"
8;;7;20 / Ich weis Ein Magdigen in;;page missing - only end of piece 19;OT;;C;"[ceea] [aceca] | [,aa,c1] [aceca] [ceea1] [eab,,d] | \
f2 [ceea1] e [aceca] | [ceea1] [aceca] [,ea,c1] [,ceca] ,,e | \
,e/ a [ceea3] [aacc,a1] ,a ,c |"
9;;8;21 / Sehr grosse klag mein;;p. 9 illustration;OT;;C;"[,aa,c2] [ceea3] | [,ca,b2] [,ea,c1] ,c ,e | \
[aceca2] [,ca,,c] [,a,bc] [,,,a,c] | \
[,,,a,c2] [,ea,c] ,c | [ace,a2] [,ea,c]"
10;;10;22 / Wohl dem der seine Tag ohne;;;OT;ConcR1377;C;",,e3/2 ,a/ [,ce,a1] [,ce,a] [,ce,a] | \
[,ceca1] [,ea,c] a/ ,e ,c ,a [,ceca2] | \
[,acc,a3/2] ,c/ [,,eca1] {10} | \
[,ac,,a1] [,ac,,a] [,ac,,a] [,acc,a] |"
