PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;1v;[Courante];;;OT;Conc_276;3;"a1 | [a,d3/2] b/ [d,,c1] | [b,,a3/2] a/ [,d,,c1] | [ab,,d2] {,a}1 | \
[ab3/2] ,d/ ,b1 | ,d1 ,,,,,d a | [,b,,a1] ,,,,,c ,d |"
2;;2v;[Praeludium];;;OT;;C;"[,dda1] {a}/ a [cdda] ,,,,d ,,,,c ,c | ,a/ ,,,,a ,,,,,d ,,d ,,b ,,,,,c ,,,,,a ,,a | \
[,,,ca/] ,d ,c ,,,,,d"
3;;3r;Est ce Mars;;;OT;ConcR19;C;"[,,da{a}1] [,,da] [,,da,c] [,a,,,d/] ,c | [,da,c1] {a}/ ,,,b [,,d,,c1] ,,,a | \
[,dba,d1] ,,,,,c [aab,,a] [,,d,e] | [cdda1] {a} [cdd2] :||:"
4;;3v;Courante de Gautier sans chanterelle;;;OT;;3;",,d/ ,a | [,b,,a1] ,,b ,,,d | ,,,c1 ,b [,a,a] | [,bbcd1] {,a} ,,,,d | \
[,bbc1] ,,,,d ,,,,c | ,,,,a1 ,,d [,,,c,d] |"
5;;4r;Courante;;cf. f. 18r;OT;;3;",b1 | [,bd3/2] ,d/ ,b1 | [,a,a1] ,,d [,,cc] | ,,d1 ,,,,a ,,,c | \
,b1 ,,,,c ,,,,d | ,d1 ,,,,,d ,,,a | [,db2] ,,,c/ ,,,a |"
6;;4v;sans titre;;"incomplete [Jan Pieterszoon Sweelinck]; ff. 5r-6r empty";OT;ConcR407;3;",,d1 | [,,dc{,,,a}] ,,,,a ,,d | [,a,,,a1] [,cd] ,a | [,,d{,,,a}1] ,,,,a ,,,c | \
,,d2 [aa,,,e1] | [acd{,,,a}3/2] c/ a1 | \
[,daa{a}3/2] a/ [,c,,a] ,d |"
7;;6v;Courante de Gautier;;;OT;ConcR1113;3;",d1 | [,dbac1] ,,,,a ,,,,,d | [,,d{a}1] ,,,e ,,f/ ,,d | \
,,b1 ,,,,,a [,,,cc] | [aab1] [cdd{a}] {,a} | [ddf{,,,a}3/2] f/ h1 | \
{,a}1 ,f f/ ,i |"
8;;7r;Courante de Gautier;;;OT;;3;",d1 | [,dba,d1] ,a ,,b | ,d1 ,,,,c ,,,a | [abb,d1] {,a}/ c [dd,,c1] | \
[f,,,a1] ,,i [fh] | [hi1] {,,,a} ,,,,,d | [,ab2] ,d1 |"
9;;7v;La precedente avec le Redoubli;;;OT;;3;",d1 | [,dba,d1] ,a ,,b | ,d1 ,,,,c ,,,a | [abb,d1] {,a}/ c [dd,,c1] | \
[f{a}1] ,,i [fh] | [hi1] {,,,a} ,,,,,d | [,ab2] ,d1 |"
10a;;8v;L'Adieu de Gautier;;;OT;Conc_4357;3;",d1 | [,def,d3/2] ,e/ ,d1 | [,dd,,c1] [,,da] ,b/ ,d | \
[,def,d2] ,,,f1 | [,def2] b1 | [bde{,,a}1] ,,,d [bde] | \
{,a}1 [,ed] ,,b |"
_10b;;8v;[Redouble];;;OT;Conc_4358;3;",d1 | [,def,d/] ,,,,f ,,,f ,e ,d ,,,,,d | ,,,,,c/ ,d ,,d ,b ,d ,b | \
,,,,,d/ ,,e ,,,f ,,g ,d ,,,d |"
11;;9v;L'Angelique de Gautier Bass;;ff. 10v-13v empty;OT;;3;",d1 | [,dba,d1] {,,,a} [,dba] | [a,,,d1] [c,,a] a/ c | \
d1 ,,,,,d ,,,a | [dba3/2] f/ [c{a}1] | \
[aab,,a/] ,,,,,c ,,,,,d ,,,,,a [,d,,c1] |"
12;;14r;P[r]aeludium;;;OT;;C;"[abd,a3/2] ,,c/ ,,d1 ,a | [abd,a3/2] ,,,,,e/ ,,,,a1 ,,,,c | \
[abb,d3/2] ,,,,c/ ,,,,d1 ,,,a | [aacc3/2] ,,,a/ ,,,c1 ,,,e | \
[aabc1] ,,,,,a ,,,d a/ ,,,d |"
13;;14v;Courante G.;;;OT;ConcR536;3;",,d/ ,a | [,bdca3/2] ,d/ a1 | [aff,,d3/2] ,d/ [,b,,a1] | \
,a1 ,,,,,a/ ,,,c ,,a ,,c | [,,dca1] {,,,a} ,a/ ,b | \
[,d,,,d1] ,,f ,f/ ,d |"
14;;15v;Bonfato Ballardj;;;OT;Conc_1670;3;"{,,,a}1 | [,bdc2] {,,,a}1 | [,dda1] {a}/ ,b ,a ,,d | ,,c1 ,,,,,a ,,,,c | \
[aac2] d1 | [dff,d1] {,a}1 f/ d | [f,,,a1] [cf,,c] ,e |"
15;;16v;Courante d'Avignon;;;OT;Conc_273;3;"a1 | [abd,a1] {,,,a}/ ,d [,b{,a}1] | [,d{a}/] ,b [,a,,,a3/2] ,,d/4 ,a | \
,,d1 {,,,a} b | [bdd{a}1] a/ b d b |"
16;;17v;[Volte];;;OT;;3;"a1 | [abd,a2] f1 | e1 ,,,,,a a/ ,d | [abd1] ,,,,a ,,,c | \
[abd2] f1 | d1 ,,,,d ,f | ,d1 ,,,,,d ,b/ ,d |"
17;;18r;[Volte];;Perrichon - cf. f. 4r;OT;;3;",b1 | [,bd3/2] ,d/ ,b1 | [,a,a3/2] ,,d/ [,,cc1] | [,,d,a1] ,,,c ,a | \
[,bdca1] ,a/ ,b ,,d ,a | ,,c1 ,,,,,a ,,,c |"
18;;18v;Volte;;;OT;;3;",,d/ ,a [,b,,a1] [,a,,,a] | [,,d,,b3/2] ,a/ [,bb,,a1] | \
[,dd{a}3/2] a/ b d | [a,,,d1] {,a} a/ b | \
[d,,c1] ,,,,d [b,,a/] a |"
19;;18v;Courante;;;OT;ConcR406;3;"[aac1] | [abd1] c a | [d,,c1] [ca,b2] | [aabc1] {a}/ ,d ,b ,a | \
[,b,,a1] ,a/ ,b [,d,,c1] | [a,,,d1] ,,d [c,,a] |"
20;;19r;Courante;;;OT;;3;",,d1 | [,,dc{,,,a}3/2] ,a/ ,b1 | ,,d3/2 a/ c e | f1 ,,,,a ,,,,c | \
,,,,d1 f ,,,a | [d,,c1] ,,,e [a,,f] | [c,d1] a [,ef] |"
21;;19v;Chançon Italienne;;;OT;Conc_5135;C;",,d/ ,a [,b,,a] [,d,,c] [ab,,d1] {,a}/ a | \
b/ ,,,a ,d b [ab,d1] {,a}/ a | \
,d/ ,,,,,d ,,b a [,b,,a1] ,,d/ a |"
22;;20r;Courrante;;;OT;;3;"a1 | [ab,,d2] {,a}1 [,d,,c] [,b,,a] [,d,,c] | \
X[a,,,d2] {,a}1 ',b ,,a a | \
[,d,,,d1] ,,b [,b,,a] ,d X[,a,,,a3/] ,,d/ |"
23;;20v;Courrante;;f. 21r empty;OT;;3;"[,b,,a3/2] ,a/ ,,d1 X[,,c,,a2] [,b,,a1] | \
[,d,,c2] a1 ,,,,d [,d,,,d] [,b,,a] | \
X[,ac,,a2] a1 X[a,,,d3/2] ,d/ ,b1 | \
b1 ,,,a a ,,,,d [,d,,,d3/2] a/4 ,d |"
24;;21v;Courrante;;;OT;;3;",,d1 | [,,d{,,,a}3/2] ,a/ ,b1 ,,,,a [,d,,c] [a,,,d] | \
'[,b,,a3/2] ,d/ ,b1 '[,a,,,a] ,,d a | \
[ab,,d1] {,a} b Xa ,d ,,,,,d |"
25;;22r;A.f:fabri;;;OT;;C;"a1 ,d [,b,,a] ,,d ,b [,a,,,a] [bd] [,ac] ,,d ,,,,c {,,,a} | \
,a1 ,b/ [,d{,,a}] ,,b ,b ,d [a{a}1] ,d/ ,b [,a,,,d2]"
26;;22v;L'Avignon;;;OT;Conc_273;3;"[a,,,a1] | X[a,,,d3/2] a/ [,d,,,d1] | ,b X[,a,,,a3/2] ,,d/ | \
,,,,a1 {,,,a} ,,d | 'a/ [b,,a] a b d b | \
'[a,,,d1] ',,,,c [f,,,a] | '[e,,,,a1] ,f [f,,,a] |"
27;;23v;[Chanson];;;OT;;C;"[,,d,a/] ,a ,b [,d,,c] X[a,,,d1] {,a} | \
'[b,,a1] a/ ,d [ab,d1] {,a}/ a | ,b/ ,d a b [d,,c1] [a,,,d] |"
28;;24r;Stabat Mater:;;;OT;;3;"[,b,,d1] {,a} X[a,,,d] | [,,dca1] {,,,a} [a,cc,a] | \
X[a,,,,a3/2] [b,,a/] X[a,,,d1] | [,d,,,d1] ,,,a [,db] |:| \
'[a,,,d1] [b,,a] [d,,,c] | '[,b,,a1] ,a/ ,,d X[,a,,,d1] |"
29;;24v;Passamezo;;moderno;OT;;C;",d1 a | [cdda1] {a}/ ,c ,d a c d | [f,,e1] [c,,a] [d,,c] [a,,,a] | \
[cdda1] {a}/ ,c ,d a c d |"
30;;25r;Galliarde;;;OT;;3;",d/ a | [cdda1] {a}/ d X[c,,a1] | [a,,,d1] [,d,,c] X[,b,,a] | \
[,ab,,d1] ,,,a/ ,,a ,,b ,,d | \
[,ab,,d/] ,,,a [ab] ,,,,,c ,,,,,a ,c |"
