PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;Regiment des guardes suisses du Roy;;;;;;;
1;G dur;1r;sans titre;;Sarabande, Marion pleure;2a;Conc_1050;3/4;"[,,aa1] [,,aa] {a} | \
'[,,aa2] ,,,,,a1 | \
[,,bc1] [,,bc] {a} | \
'[,,aa2] {,,,a}1 | \
'[,,,ca1] [,,,ca] {,,,a} | \
'[,,,ca2] {,,,a}1 | \
{,,a} {,a} {a} | \
[,,,ca{,,,a}2] {a} ||"
2;G dur;1v;autre Sarabande;Jean Heart;Sarabande, Madame Françoise;2a;Conc_284;3/4;"[,aaa2] | \
[,aaa,c3/2] ,c/ ,a1 | \
[,,ba,d3/2] ,a/ [,,aa{a}1] | \
'[,,,ca{,,,a}3/2] ,,,,e/ ,,,a1 || \
{a}1 '[,,aa2] | \
'[,,,c{,a}3/2] (,,,a/ ,,,c1) | \
{,,a} {,a} {a} | \
'[,,,ca{,,,a}3/2] ,,,,e/ ,,,a1 ||"
3;G dur;2r;Courante;;;2d;;3/4;"b1 | \
[baa{a}3/2] d/ f1 | \
[f,,a1] '[d,,,a3/2] ,f/4 d | \
,f1 {a}/ d b a | \
,c1 {,a}/ ,c a b | \
[d{,a}1] ,a '[b{a}] |"
4;D Dur;2v;Courante;;;2a;;3/4;",a1 | \
[,adca{,,,a}3] | \
'[,,c,,a1] ,a [,cc] | \
'[a,,,a] ,a [d{,a}] | \
'b1 '[a,,,a2] | \
[,cc,,a1] {a} {,a} | \
(3a/ c d) [d,a{,,a}3/2] c/ | \
d1 ,,,,,a ,,,c | \
[dcc2] ||"
5;D Dur;3r;Sarabande;;;2a;Conc_1664;3/4;"[aadca1] {,,,a} [aad] | \
'[,c,,,a3/2] a/ ,a1 | \
'[,,aa{a}3/2] ,,c/ ,a1 | \
'[,c,,,a3/2] ,a/4 ,,c ,a1 || \
d1 [d{,a}] d | \
'[b{,,a}2] [a{,,,a}1] |"
6;D Dur;3r;Redouble;;;2a;;3/4;"d1 [d{,a}] d | \
[b{,,a}/] a b d [a{,,,a}] b | \
d/ a [b{a}] d b a | \
'[,c,,,a3/2] ,a/4 ,,c ,a1 ||"
7;D Dur;3v;Courante;;;2a;;3/4;",a1 | \
[,adca1] ,c/ ,,,a [aa,,e1] | \
[aa,,a1] [aa,,,c] [,c,c,e] | \
[aadca3/2] b/ a ,c | \
,a1 '[a,,,,c3/2] b/ | \
[daa1] ,c [,c,,,e] |"
8;D Dur;4r;Sarabande;Jean Heart;;2a;;3/4;"d1 [da{,a}] f | \
[bca{,,a}3/2] d/ [a{,,,a}1] | \
a1 [aaa,,c] {a} | \
'[,c,,,a3/2] ,,d/4 ,c ,,d1 | \
[baaa1] {a} [baa] | \
'[aa,,a3/2] b/ [d{,a}1] |"
9;D Dur;4v;Sarabande;;crossed out;A-d-f#-a-d'-f'#;;3/4;"[,aaaa1] [,aaa3/2] ,,a/ | \
[,,cb{a}1] [,,cb] ,,e | \
[,aa,ea1] [,,e,ca3/2] ,a/ | \
[,aaaa1] [,aaa{,,,a}2] || \
[a,,,a/] a [aaaa3/2] ,c/ | \
[,c,,,a1] [,ced] a | \
[,a,,,c1] [,aca3/2] ,c/ |"
