Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;C dur;48v;Aria;;;Mandora;;C;"[,b,,d{10}1] ,,a [,b,,a{12}] [,d,,c{11}] | \
[a,,,d{10}1] (b/ a) [,d,,c{11}1] ,,a | [d,,c{8}1] ,a [,b,,a] [,d,d{7}] | \
'[,a,,,a{6}3/2] ,b/ [,ba,d{10}2] :||:";french5tab
2;C dur;48v;Minuet;;;Mandora;;3/4;"[ab,,d1] V[b,,a] [db,c] | [,bcd1] [,bac] [,bcd] | \
[b,,a1] [b,a] [ab,,d] | ([,da,,a/] ,b) ,d a ,d1 | \
[ab,,d1] V[b,,a] [db,c] |";french5tab
3;C dur;49r;Minuet;;;Mandora;;3/4;"[ab,,d1] (,b/ a) V[b,,a1] | [,d,,c1] ,,a a | [,d,,a1] ,,c/ ,b V[,d,d1] | \
[,aa,,a/] (,b ,a) (,,c ,,a1) | [ab,,d1] ,b/ a V[b,,a1] |";french5tab
4;C dur;49v;Minuet;;;Mandora;;3/4;"[,b,,d1] ,b ,,a | [,ba,d1] (,b/ ,d) a1 | [,b,,a1] [,d,d] '[,a,,,a] | \
([,b,,d/] ,a) (,b ,d) ,b1 | [,ba,d1] ,b ,,a |";french5tab
5;G dur;49v;Minue;;;Mandora;;3/4;",,a1 '[,,ca3/2] (,,a/4 ,,c) | [,aa1] ,,a [,,ca] | [,aa,,a2] [,da,c1] | \
[,aa,,a1] (,,a/ ,,c) (,a ,b) | [,da,c1] d ,d |";french5tab
6;D dur;50r;Minuet;;;Mandora;;3/4;"[,d,a1] ,,c ,d | '[a,,,a2] [c,,a1] | [da,,,a1] '[a,,,a] f | \
([c,,a/] a) (c d) (c a) | [,d,a1] ,,c ,d | '[a,,,a2] [c,,a1] |";french5tab
7;a moll;50r;Aria;;;Mandora;Conc_4666;C;"[abc,a3/4] ,d/4 ',b/ ,a [,bc,a1] [,bc] | \
[,da,,a3/4] a/4 b/ d [abc,a1] [abc] | \
[abc,a3/4] ,d/4 ',b/ ,a '[,b,,a3/4] ,a/4 ,b/ ,,c |";french5tab
8;C dur;50v;d[er] grimmige todt;;;Mandora;;3/4;"[,b,,d1] a b | [d,,c2] d1 | '[b,,a3/2] a/ [,d,,,a1] | \
[ab,,d3] | [,b,,a1] [,d,,c] [a,,,d] | '[b,,a2] [a,,,d] '[,d,,,a3/2] ,b/ | \
[,ba,d3] :||:";french5tab
9;D dur;50v;Gavotta;;;Mandora;Conc_1284;C;"[,d,a1] ,,c ,d [a,,,e] | V[b,,a1] '[a,,,,a/] ,d '[,c,,a1] ,,c | \
V[b,,a1] [a,,,d] [,d,,b] [a,,,,a] | \
'[,c,,a3/2] ,d/ V,d1 ,,,a :||:";french5tab
10;C dur;51r;[sans titre];;;Mandora;;3/4;",,a1 | V[,b,,d2] [d,,c1] | '[a,,,d3/2] ,d/ ,b1 | \
[,b,,d1] (,b/ ,d) a1 | [,da,,a2] (a/ b) | V[d,,c3/2] b/ [a,,,d1] | \
a1 '[,d,,,a3/2] ,b/ | [,ba,d2] :||:";french5tab
11;a moll;51r;Aria;;;Mandora;Conc_4666;C;"[abc,a3/4] ,d/4 ',b/ ,a [,bc,a1] [,bc] | \
[,da,,a3/4] a/4 b/ d [aba,d1] [ab] | \
[ab,,a/] ,d ',c ,a '[,b,,a] ,a ,c ,,c |";french5tab
12;C dur;51v;Rondeau;Losy;;Mandora;Conc_1220;3/4;",,,,d1 | ,,,c1 ,,a ,b | '[,a,,,a1] ,,a [,b,,a] | \
[,d,,c1] d/ ,b ,a ,d | [a,,,d1] ,b [,d,,c] | \
[,b,,a1] ,,,c [,d,d] |";french5tab
13;D dur;52r;Gavotte;;;Mandora;;C;"[,dca1] f/ d '[b,,a1] [a,,,d] | [,dd,b/] (,,c ,,a) a '[,c,,a] ,a (,,c ,,a) | \
,,,d/ ,d ,,,c ,b ,,,a ,,d ,,,,d ,,c |";french5tab
14;D dur;52v;Double;;;Mandora;;C;",,,a/ f ,,,c d ,,,d b [a,,,,a] ,d | \
,,,,a/ ,c ,,,,b ,d ,,,,a ,c a ,,a | \
,,,d/ ,d ,,,c a ,,,a b 'a ,d |";french5tab
15;C dur;53r;Marche du Dauphin;;;Mandora;;C;"[,ba,d1] d [db,,d] 'a/ ,d | [,b,,a1] [,d,,c] [ab,,d] ,b | \
[,ba,d1] d [db,,d] 'a/ ,d | [,b,,a1] [,d,,,a] [ab,,d2] :||:";french5tab
16;D dur;53v;Rondeau;;;Mandora;;3/4;"[,d,a1] | [,c,,a1] ,,a [,d,d] | [,c,c1] [,d,d] [a,,,e] | \
V[b,,a1] ([d,,,,a/] b) a ,d | '[,c,,a1] ,,c [,d,a] | \
'[,c,,a1] ,,a [,d,d] |";french5tab
17;D dur;54r;Gavotte [sic!];;;Mandora;;3/4;"[c,,a3/2] a/ [,d,,c1] | [a,,,,a1] '[,c,,a2] | ([,d,a/] ,c) ,d a ,d a | \
'[c,,a3/2] a/ [,d,,c1] | [a,,,,a1] '[,c,,a2] | V[,d,a3] :||:";french5tab
18;C dur;54r;[sans titre];;;Mandora;;3/4;"[,ba,d1] [ab] [,ba] | [,da,,a1] a/ ,a [,bc,a1] | \
[,,cd1] [,aad] [,bac] | [bb,a1] [da,,,a3/4] b/4 [ab,,d1] :||: \
[aba,d1] [ba,a] [d,,c] | [,bc,a1] [,d,,c] [aaa,,a] |";french5tab
