PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;Concordances taken from Pietro Prosser's thesis (1996);;;;;;;
1;C dur;1r;Aria I. uber den 122. Psalm;;;Mandora;;2/4;",,a/ | ,b/ {,,a}/4 {,a} {a}/ [,b{,,a}/4] a | \
(,d/4 ,a) ,,a/ {d} b | ([a{,,a}/4] d) (,a ,b) ,d b ,,c ,a |";french5tab
2;C dur;1v;Aria II. Ein Trost Lied;;;Mandora;;2/4;",,a/ | [,b{,,a}/] [,b{,,a}] [,b{a}] [,b{,,a}] | \
(,d/4 ,b) (,c ,d) ,,a/ ,d | [a{,,a}/] ,d/4 a [b{,a}/] [a{,,a}] | \
,d3/8 ,a/8 ,,a/ {d} ,,a |";french5tab
3;c moll;2r;Aria III. Ein Klag Lied;;;Mandora;;3/4;"[,b{,,a}/] ,,,b ,,a ,b ,e d | [b,,,c/] ,e/4 ,d) ,b/ ,a/4 ,,c ,,a/ ,,,d | \
[,b{,,a}/] ,,,b ,,a ,b ,e d |";french5tab
4;D dur;2v;Aria IV. Das einzig Vertraun auf Gott;;Unfinished;Mandora;;3/4;"[,d{,a}/] a c1 ,d | [,c,,a1] a ,,c | [,d{,a}/] a c1 ,d | \
[f,,,a1] [,,c,a2] | [,d{,a}/] a c1 ,d | [dcc,a3] |";french5tab
;;;Ex D dur;;;;;;;
5;D dur;3r;Aria N. 1;;;Mandora;;2/4;"[,d{,a}/] ,,c ([c{,a}/4] a) ([,d,,a] ,c) | \
[,d{,a}/] {,a}/4 {a} {c}/ [,,c{,a}] | \
[,a{d}/] [,,c{c}] [d{,,a}] [c{,a}] | \
[a,,,a/] ,d (,c ,d) [ac,,a1] |";french5tab
6;D dur;3r;N.2 Men.;;;Mandora;;3/4;"{,a}/ ,d {,a} ,d {a} ,d | {c}/ ,d {c} ,d {d} ,d | \
,,,,a/ (d c a) [,d,,a] ,c | [,d,a1] ,,c {,a} |";french5tab
7;D dur;3r;N.3 Arioso;;;Mandora;;3/4;"{,a}/4 ,,h ,h f [f,,,a1] [,d{a}] | [,h{,a}/] ,f ,,h1 [,,g,a] | \
{,a}/4 ,,h ,h f [f,,,a1] [,i{a}] | \
([,h{,a}/] ,f) ([,,h,a] ,,g) [,,h{,a}1] |";french5tab
8;D dur;3v;N4. Entree;;;Mandora;;C;",,c/ | [,d{,a}1] c/ d f1 [a,,,a/] ,c | [,d{,a}1] {a} [f,,e] [f,,a] | \
,,,f/ h ,,,e f ,,,c d ,,,a c |";french5tab
9;D dur;3v;N5. Cique;;;Mandora;;6/8;",,c/ | [,d{,a}/] ,,c ,d [,d{,a}] ,,c ,d | \
[,d{,a}/] (c/4 a) (,d ,c) [,d{,a}1] [,,c{c}/] | \
[,a{d}/] ,,a ,a [,,a{a}] (d/4 c a) ,d |";french5tab
10;D dur;4r;N.6 Allabreve;;;Mandora;;C;",,c1 | [,d{,a}1] ,d [,d{,a}] ,d | \
[,d{,a}1] (,c/ ,a) ,,c ,a (,c ,d) | \
[ac,,a1] [ac] [ac,,a] [ac] | \
'[ac,,a1] ,,,,c ,,,,e ([a,,,a/] c) |";french5tab
11;D dur;4r;N7. Cique;;;Mandora;;6/8;",,c/ | [,d{,a}/] ,,c ,d [,d{,a}] ,,c ,d | \
[a,,,a/] ,,c a [a,,,a] ,,c a | \
([c{,a}/] d) c ([c{,a}] a) ,d |";french5tab
12;D dur;4v;N.8 Gavotte;;;Mandora;;2/4;"[,d{,a}/] ,,c ,,c ,d | [a{,,a}/] ,,c ,,c a | \
[c{,a}/] ,d ,d c/4 ,d | [a,,,a/4] (,d ,c ,a) [,,c,a1] |";french5tab
13;D dur;4v;N.9 Men.;;;Mandora;;3/4;"[,d{,a}1] {c} [a,a/] c | ([,d,,a/] ,c) ,a ,,c [,d{,a}1] | \
,,,,a1 [d,,c] [c,,a] | '[a,,,a2] ,,c1 | \
,,,,a/ a ,,,,e a ,,,a c |";french5tab
14;D dur;4v;N.10 Men.;;;Mandora;;3/4;"{,a}/ ,d ,,c ,d {,a} ,d | {,,a}/ a ,c a ,,c a | \
{,a}/ c ([d,a] c) a ,d |";french5tab
;;;Ex C.;;;;;;;
