PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;C dur;2v;1. Chaconne;;;Angelique;Conc_4034;3;"%%tabunderscoreis8
[,,a{,,a}1] '[,,a,,a{_a}3/2] ,a/ | [,,,a,a3/2] ,,a/ [,,,,a{a}1] | \
'a3/2 {_a}/ {a}1 | '[,a,a,a3/2] a/ ,,a1 :||: \
d1 '[d{,,a}] f/ a | [b{,a}3/2] d/ ,a {_a} |"
2;C dur;3v;2. Courante;;;Angelique;;3;"%%tabunderscoreis8
[,,a{,,a}1] ,a [a,a/] b | '[,a,a,a3/2] ,,a/4 ,a ,,a1 | \
,,,,a/ ,,a ,,,,,a ,,a ,a {_a} | {_a}/ ,,a a b Xd1 |"
3;C dur;4r;3. Passage;;;Angelique;;3;"%%tabunderscoreis8
[dca{,,a}3/2] [dca/] [dca1] | [fda{,,a}3/2] [fda/] [fda1] | \
X[dca{,,a}3/2] d/ [dca1] | X[baa{,,a}3/2] [baa/] [baa1] | \
[ba{,,,a}1] [ba] [ba] | '[ba{,,,a}3/2] (3a/4 b d) 'b/ a |"
4;C dur;4v;4. [Courante, fragment];;Missing pages?;Angelique;;3;"%%tabunderscoreis8
d/ | [dca{,,a}3/2] f/ 'd3/4 b/4 | [a,a1] [b,,,a] [d,,,,a] | \
[f{a}1] ,,a/ f [d,a{_a}1] | [b,,a{,a}1] '[a,a{,,a}3/2] ,a/4 a | \
,a1 {,,,,,a}/ ,c ',a ,,a/4 ,a |"
5;C dur;5r;[6.] Menuet;;;Angelique;;3;"%%tabunderscoreis8
[dca{,,a}1] [dc2] | [f{a}1] 'd [a{,,a}] | [b{,a}1] '[,a{,,,a}2] | \
([,,,b{,,,,a}/] ,,,a) ,,,b ,a a b | [dc{_a}1] [dc2] | \
[f{a}1] 'd [a{,,a}1] |"
6;C dur;5v;7. Gavotte;;;Angelique;Conc_5271;C;"%%tabunderscoreis8
[,,,,,a{_a}1] ,,a | [,,,,a{a}1] ,a '[,,,a,a3/2] ,,a/ | \
[,,abd{,,a}1] [,,abd] '[,,,a{,,,,,a}3/2] [,,a{,,,,a}/] | \
[,aca{,,,a}1] ,a/ a '[a,a{,,a}3/2] ,a/ | [,aca{,,,,,a}2] :||:"
7;C dur;6r;8. Sarab[ande];;;Angelique;;3;"%%tabunderscoreis8
d/ | ,c/ d ',a d ,,a d | ,,,a/4 ,c f/ 'd ,d ,,a a | \
,,,,a/ ,,a b [,,,,(c] [a,a,d)] a |"
8;C dur;6v;9. Guigue;;;Angelique;Conc_5272;3;"%%tabunderscoreis8
d1 | [dca{,,a}3/2] f/ 'd3/2 (d/ | [f{a}1]) f/ '[d{_a}1] [b{,a}/] | \
[a{,,a}1] ,a/ '[,,a,a1] [,,,a,a/] | [,,,,a{a}1] ,a/ [,a,,a{b}1] ,,a/ | \
'[,,,a{a}1] d/ '[b,a,a1] ,,,,c/ |"
9;C dur;7v;10. Menuet;;;Angelique;;3;"%%tabunderscoreis8
[a,a{,,a}1] [a{,a}/] b [d,a{_a}1] | [ba{a}1] d [a,a] | \
[,a,a,a1] {,,,,a} [,a,a] | [a,a{,,a}1] (a/ c) [da{,,,a}1] | \
{,,a}1 d '[,c,a{,a}] |"
10;C dur;8r;11. Chaconne;;;Angelique;;3;"%%tabunderscoreis8
[a,a1] [ba] [dc] | '[d,,a3/2] (d/ f1) | '[b,,,a1] ,,,a '[b,a/] a | \
[,a,a,a3/2] ,,a/4 ,a ,,a1 :||: [,,,a,a1] [,,a,a] [,a,a] | \
[a,a1] [,a{a}] [a{_a}] |"
11;a moll;10v;12. Sarabande;;;Angelique;;3;"%%tabunderscoreis8
[,,,,a{_a}{,,,,,a}1] ',,,a [,,aaa3/4] ,a/4 | \
'[,,,a{_a}3/2] ,,,,a/4 ,,,a ,,,,a1 | \
[a{,,a}3/4] a/4 [a,a,,a1] (b/ a) | [,a,a{,,,,,a}3/2] ,,a/4 ,a ,,a1 | \
[a{,,a}3/4] a/4 X[a,a,,a3/2] b/ |"
12;C dur;11v;13. [Gavotte];;;Angelique;;C;"%%tabunderscoreis8
[,,a{,,a}1] ,,a | [da{,,,a}1] d/ b '[a,a{,,a}3/2] ,a/ | \
[,,a,,a{_a}/] ,a a b [da{,,,a}1] [dc{,,a}] | \
'[da{,a}3/2] (,e/ ,f1) {,,,,,a} | [df,a2] :||:"
13;C dur;12r;14. Menuet;;;Angelique;;3;"%%tabunderscoreis8
[a,a,,a1] (b/ a) (,,c ,,a) |  [d{_a}1] f 'd | [b{,a}1] (3d/ b a) ,a1 | \
[a,a{,,a}1] ,a/ a b1 | [a,a,,a1] (b/ a) (,,c ,,a) |"
14;a moll;12v;15. Men[uet];;;Angelique;;3;"%%tabunderscoreis8
'[,,a{,,,,a}1] ,,,,a '([,a{,,,a}] | [,c{,,a}1)]) ,,,,a a | \
X[f{a}1] a f | '[d{_a}3/2] b/ a1 | '[,,a{,,,,a}1] ,,,,a '[,a{,,,a}] | \
X[,c{,,a}1] ,,,,a a |"
15;C dur;13v;16. [Sarabande];;;Angelique;Conc_5274;3;"%%tabunderscoreis8
d1 | [dca{,,a}1] [aca] f/ d | '[b{,a}3/2] (3d/4 b a) a3/4 ,,c/4 | \
',,a1 ,,a [,,c{a}] | '[,,,a,a1] [,,,a{a}] [,,a{_a}] | \
',,,,,a1 ,,a [,a{,a}] |"
16;C dur;14v;17. [Courante];;;Angelique;Conc_5275;3;"%%tabunderscoreis8
,,a1 | [,,a{,,a}1] ,,,,,a [,,a{a}] | [,,a{_a}3/4] ,a/4 '[,a{,a}3/2] ,,a/4 ,a | \
a1 {,,a} ,,,,,a3/4 ,,a/4 | a1 ',,a ,,,a/4 ,,a ,a/ |"
17;C dur;15v;18. [Sarabande];;;Angelique;;3;"%%tabunderscoreis8
[,,abd{,,a}1] ',,a3/2 ,a/ | '[,,,a{,,,,,a}3/2] ,,a/ ,a1 | \
a1 [,,,,a{4}3/2] b/ | '[,a{,,,,,a}3/2] ,,a/ [,,abd{6}1] | \
'[aca{,,a}3/2] a/ b1 | '[,a{,,,a}3/2] ,,,b/ ',,,a3/4 ,,,,a/4 |"
18;C dur;16v;19. Men[uet];;;Angelique;;3;"%%tabunderscoreis8
[,,a,,a{_a}1] [dca2] | '[a,a{,,a}2] [b{,a}1] | [d{_a}1] (f/ d) ,d a | \
'[,a,a{,,,,,a}2] [,,abd{6}1] | [,,a,,a{_a}1] [dca2] | \
'[a,a{,,a}2] [b{,a}1] | [d{_a}1] (f/ d) ,d a |"
19;C dur;17v;20. Rigaudon;;;Angelique;;C;"%%tabunderscoreis8
[a,a{,,a}1] '[a{,,,a}/] ,a '[a,a{,,a}1] ,,a/ ,a | \
[a,a,a1] 'c [d,,a,a] {,,,,,a} | [d,a{_a}1] '[b{a}3/4] a/4 [,a,,,a3/4] ,,,a/4 ,c/ ,a | \
'[,,a,a3/2] ,,,a/ [,,,a,a1] {,,,,,a} |"
20;C dur;18v;21. Prelude;;;Angelique;;none;"%%tabunderscoreis8
,,a/ {,,a} ,,a {_a} ,,a ,,,,,a ,,a ,,,a ,a ,,a \
a ,a b ,c d ',a ,,a ,,,a ,a d ,,,,a ,,a b"
