"PieceNr";"Key";"PageNr";"Name";"Composer";"Comment";"Tuning";"Concordances";"TimeInz";"Tab"
1;"B dur";1;"Prelude adagio";;;;"Conc_699";"C";"[aaba{d}/] ,,,,,d ,,,,a/4 a [f,,,f] a V[c,b{,,a}/] {,,,a} \
{,,a}/4 c ['a{4}] ,b | [ab{,,,a}/] {4} {,,,a}/4 a [f{d}] ,a \
[,bd,,d/] ,,,,,b [,bd,,d/4] ,b"
2;"B dur";2;"Courante";;;;"Conc_700";"3/4";"a/ (f e) | ([f{d}/] e) (f e) ([f{4}] e) | ([f{,,,a}/] e) f \
,d (f d) | ([,f{,,a}/] ,d) ,f d ([,d{,,,a}] ,f) | "
3;"B dur";3;"Rondon";;;;"Conc_701";"C";"a1 | [aa{d}1] (,b/ ,a) {,,a} ,,,c ,,d ,,b | [,,'a{,a}3/2] \
,,,c/4 ,,a [,,,'a1] (,,,a/4 ,,,c) ,,a/ | V[,,b{,,,a}1] ,,,a/ \
,,b V[,,d,,a1] ,,,a/ ,,d | "
4;"B dur";4;"Men:";;;;"Conc_702";"3/4";"[aa{d}1] (,b/ ,a) ([,,d{,,a}] ,,b) | ([,,a{,a}/] ,,b) (,,d \
,,a) ,,,a1 | ([f{,,,a}/] a) ,a a (f a) | (3[c{,,a}/] d c) \
(3[a{,,,a}] c a [,b{4}1] | "
5;"g moll";4;"Trio";;;;"Conc_703";"3/4";"[,ab{a}1] c ,,b | V[,,d,,a2] {a}1 | [,,d,e1] e (,,a/4 ,,b \
,,d/) | [,,'b{a}2] [,,a{,a}1] | [,,,c{,,a}1] ,,d/ ,a \
V[,b{4}1] | [,,,'b{,,,a}1] ,,a ,a | "
6;"B dur";5;"Sarab.";;;;"Conc_704";"3/4";"V[fdf{d}/]> ,a | V[,bd{d}3/2] ,,d/8 (,a ,b) [ab,,,a/] \
[,'a/8] (,,d ,,b ,,a) | V[,,bc{a}3/2] (,,,a/8 ,,,c) (,,a ,,b \
,,d) (,a ,b) [aab{,,,a}/]> a | "
7;"B dur";6;"Guige";;;;"Conc_705";"6/8";"a/ | [aa{d}/]> ,b ,a/ [,,dc{,,a}/]> ,a ,,b/ | [,,'a{,a}3/2] \
V[,,b{a}3/2] | [,,d,,a/]> ,a ,b/ ([,a{d}/] ,b) a | \
[,,'d{,a}3/2] ,,,a1 a/ | ([f{,,,a}/] a) ,a (d a) ,a | "
8;"F dur";7;"Allemande";;;;"Conc_1321";"C";"a/ | [aVda{,a}/]> ,,d ,a ,c V[,d] ,,a V[,,b] ,,d ,,,a \
,,,,,d ,,,,a [,,,,'c] V[,,,,d] ,,,,,a V[,,,,,b] ,,,,,d | \
{,a}/4 e 'c a {,,a} c"
9;"F dur";8;"Sarab.";"S.L.Weiss";;;"Conc_3311";"3/4";"[hhi{,a}/]> h | [ffi{,a}3/2] (,f/8 ,h) f/4 ([hf{,,a}] f) \
(,h/8 ,f) a/4 ,,h | [a,h{,,,a}1]> ,,,,,b [aVdd,,a/]> a | \
,,,,,b/> ,d c/ ,,d/8 (,a ,c ,d) c"
10;"G dur";9;"Allem.";"Weichenberger?";;;"Conc_706";"C";",a/ | [,acc{a}1] {,a}/4 ,a V[,c] ,a [,,'d{,,a}1] {,,,a}/4 ,,c \
V[,,d] ,,c | [,,'a{4}1] ,,,,,c/4 ,,,c ,,a ,,,c [,,,'b,a/] \
V[,,,c{a}] [,,a,a{,a}/4] ,,c V[,,d{,,,a}] ,a | "
