PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
;;;;;Auf die Barocklaute in d-Moll-Stimmung übertragen von Michael Treder und bei Tree Edition veröffentlicht;Translated to baroque d-moll Tuning by Michael Treder and published by Tree Edition;;;;
1;d moll;1r;Allemande;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;"e/4 c | ['aaaa/] {11} [,'a{10}/4] \
,,e ,a ,c [,aad{11}/] a {11}/4 a c e | \
[ccd{10}/] ,,d/4 ,a [,,b{11}] ,a ([,,d{10}] ,,b)";french4tab
2;d moll;1r;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;"[,aaa1] ,,a (,c/ ,d) [,aaa{11}1] | \
Ve1 {9}/ e ,,b e ,a1 | \
V[c{10}1] ,,c {7}/ ,,e (e c) | \
'[aa{11}1] (,c/ ,a) [,ce{7}2] :||:";french4tab
3;d moll;1v;Courant Du Faut;Dufaut;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_3869;3;"e/ | [eaaa{11}3/2] c/ e ,c | \
V,d/ ,a V[fa{8}3/2] f/ | \
e1 {11} ,,,a/ e | \
[eaaa3/2] c/ e ,c | \
V,d/ ,a {10} ,,,f ,,d ,,b |";french4tab
4;d moll;1v;Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_508;C;"[eda{11}1] ([cc{10}/] e) [aa{9}1] ([,c{8}/] ,a) | \
[,,e{7}1] [,a{6}] V[,ce{7}] ,,a | \
[eda{11}1] ([c{10}/] e) [aa{9}1] ([,c{8}/] ,a) | \
[,,e{7}1] [,a{6}] V[,ce{7}2] :||:";french4tab
5;d moll;2r;Sarabande;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[,,aa{11}3/2] ,,a/ [,aaa1] | \
[,ce{7}3/2] ,c/ (a c) | \
'[aaaa3/2] ,c/ [,a{8}1] | \
[,,ec{7}3/2] ,,c/ ',,a ,,,f | \
[,aa{9}3/2] ,a/ [,,df{10}1] | \
'[,,bd{11}3/2] ,,b/ [,,ac{12}1] |";french4tab
6;d moll;2r;Double;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"{11}/ ,,a ,a ,,a ,,,a ,a | \
[,,e{7}/] ,c ,,a ,c (a c) | \
{11}/ (c a) (,c ,a) ,c | \
[,,e{7}/] ,c ,,a ,,,f ',,,d ,,,c |";french4tab
7;d moll;2v;Bouree Gautier;Gaultier;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4289;C;"Xe1 | [,aaa1] [,ce{7}] V[,daa] '[,c{8}/] ,a | \
[,,e{7}1] ,,a/ {8} {9}1 [,af] | \
[,ce{10}1] [,df{11}] [c,e{7}] 'a/ ,c | \
[aVdaa1] ',a {11}/ ,a ,c a |";french4tab
8;d moll;2v;Minuet C.Loschi;Losy;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_3790;3;"[eVda{11}1] (,d/ ,c) ,a1 | \
[f{8}1] ,a f | [ec{7}1] [ccc] [ece] | \
'[aa,a1] ,d/ ,c ,a1 | V[e{11}1] ,d/ ,c [,aaa1] | \
[f{8}1] ,a f |";french4tab
9;d moll;3r;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_1209;C;"[,aad{11}1] [ece{7}] | \
'[aa,a1] {5} '[cc{6}3/2] ,d/4 (c | \
[e{7}1]) [,a{6}] ([,c{8}/] ,a) '[,,e{7}1] | \
[,aaa1] {11} [,aaa] [ece{7}] | \
'[aa,a1] {5} '[cc{6}3/2] ,d/4 c |";french4tab
10;d moll;3v;Courante Comt. Loschi;Losy;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"e/ c | '[aaa{11}1] ,a k3/4 k/4 | \
'[i{7}1] V,h [,,c{10}/] ,a | \
[,ce{7}1] X,,a e/ c | \
'[aa{11}1] [,aaa] [fa{8}3/4] f/4 | \
V[f{12}1] V,c [ed{9}3/4] e/4 |";french4tab
11;d moll;3v;Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4289;C;"Ve1 | [,aa{11}1] [,ce{7}] [aaf{11}] ([,c{8}/] ,a) | \
[,,e{7}1] ,,a [,,ac/] {8} [,aa{9}1] | \
[,ce{10}1] [aa{11}] [cce{10}/] e '[a{7}] ,c | \
[aaaa1] [,aa] [,aae{11}3/2] ,a/ ,c a |";french4tab
12;d moll;4r;Minuette;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"([e(d{11}/] [cc] [aa)]) (,c [,a{8}] ,c) | \
'[,,e{7}1] [,,ac] [,a{9}/] {8} | \
V[,ce{7}3/2] ,c/ ([a(a] [cc)]) | \
'[aaaa3/2] (,c/4 ,a ,,e) [,aVf1] |";french4tab
13;d moll;4v;Guige Mr Olberer;Olberer;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;",,a1 | [,aVfa2] ,a1 | V[,ce{7}2] [,ca1] | \
([ec1] c) e | '[aaaa2] a1 | ([,ca{5}1] ,d) ,c | \
[,a,f{6}1] (,c ,a) | '[,,ec{7}2] ,,,c1 | \
,,a2 [,,ef1] |";french4tab
14;d moll;4v;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4158;C;"[,aaa1] ,,a [,aa{11}] [,ce{7}] | \
[aa{11}1] '[,c{8}/] ,a '[,,e{7}1] ,,a | \
[aa,a1] [,ca{5}] [,ab{6}] ([,c{8}/] ,a) | \
'[,,e{7}3/2] ,,e/ V[,,f{11}2] :||:";french4tab
15;d moll;5r;Sarabanda du Faut;Dufaut;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[,,aa1] [,aaa{11}3/2] ,,a/ | \
V[,,ba{8}1] X[,,,f{12}] ,,d/ ',,b | \
[,,ad{9}1] V,,,d2 | \
[aaaa1] [cce3/2] c/ | \
[cce{7}3/2] e/ [aa,a] {5} | \
[aab{6}3/2] c/ [ece{7}1] | [,ce2] :||:";french4tab
16;d moll;5r;Aria Hoisler;Häusler;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_2749;C;"[eaa{11}1] [e{10}] [eaa{9}] '[c{8}/] a | \
{7}/ ,c {6} ,a {7} e ,,e1 | \
,,,a/ a ,,,c ,,c ,,,d ,a ,c ,d |";french4tab
17;d moll;5v;Sarabanda du Faut;Dufaut;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[,aae{11}1] [,aae/] [,aae] [,aae{11}1] | \
[,,df{10}3/2] ,,d/ [,,ad{9}1] | \
[,,bd{8}1] '[,,bc{12}3/2] ,,a/ | \
[,,ad{9}3/2] ,,a/ [,,,f{12}1] | \
[,,dc{5}3/2] ,,a/ [,,ba{8}1] |";french4tab
18;d moll;5v;Bouree;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_3870;C;"e1 | '[aaa{11}3/2] ,c/ ,a1 V[f{8}] | \
[c{12}1] {5} [ccd] [e{9}] | \
[,a{6}1] ,c/ ,d '[,cb{8}3/2] ,a/ | \
[,,e{7}1] ,,,c ,,a e | \
'[aaa{11}3/2] ,c/ ,a1 V[f{8}] |";french4tab
19;d moll;6r;Minuette;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_1383;3;"[aa,a1] [,ca{5}] [,aa{6}] | \
[,,e{7}1] {8} [e{9}] | \
[c,e{10}1] [a,a{11}] [,ce{7}] | \
[ad,a1] [a(d/] [,c)] [,aaa{11}1] | \
[,cb{8}/] ,d c ,d ,c ,a |";french4tab
20;d moll;6v;Aria à Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;",a1 | [,a,a1] [,a{5}] [,a{6}] [,a{7}] | \
[,a{8}1] '[,,e{7}/] ,a [,aaa1] {11}/ ,a | \
{10}/ ,a (,,d ',,b) {9} ,,a (,,,f ,,,d) |";french4tab
21;d moll;6v;Bouree;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;"e1 | V,d1 ,,a [,aaa] [,ce{7}] | \
[aVd,a1] [,c{8}/] ,a '[,,e{7}1] ,,a | \
[,aaa1] '[,ce{7}] [aa,a] [ca{6}] | \
[ece1] {7} [ece] [fa{8}] | \
[fc{12}1] [ed{9}] [ea{6}] 'c/ ,d |";french4tab
22;d moll;7r;Minuett F.G.;Ginter;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[eaa{11}1] 'a/ ,c [,aaa1] | \
[fa{8}1] '[c,d{10}2] | \
[e{9}/] c e f [ed1] | \
[eaa{11}1] 'a/ ,c [,aaa1] | \
[fa{8}1] '[c,d{10}2] | \
[eda{9}1] ,,,d2 :||:";french4tab
23;d moll;7r;Gavotte Gauttier;Gaultier;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4103;C;"V[,daa1] ',c/ ,a [,ce{7}1] e | \
[,a{6}1] [c{10}] [,,d{7}] [,d{11}] | \
[,,b{8}1] [,,d{10}/] ,,b [,,ad{9}1] V[,da{11}] | \
'[,cb{8}3/2] ,a/ '[,,e{7}1] [,,ac] :||:";french4tab
24;d moll;7v;Guige;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_1723;12/8;",a/ | ,,f/ ,a ,,e ,,f ,a ,,a ,,f ,a ,c ,d a c | \
,d/ e ,c ,d e ,a ,c c ,a ,,e e ,c |";french4tab
25;d moll;8r;Gavotto;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4158;C;"[,aaa1] [,,ec{7}] [,aaa{11}] [,ce{7}] | \
V[,d,a1] '[,c{8}/] ,a [,,e{7}1] [,,ac] | \
V[,,f{6}] [,,ef{10}] [,aa{9}] ([,c{8}/] ,a) | \
'[,,e{7}3/2] ,,e/ [,afa{11}2] :||: \
[,,dd{9}1] [,,dc{10}] [,aa{9}] [,,ec{7}] |";french4tab
26;d moll;8r;Minuet;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[eda{11}1] (e/ c) [ed1] | \
[cce{10}1] (c/ a) [cce1] | \
[aa{9}1] (c/ a [,c{8}] ,a) | \
[,ce{7}1] ,,e/ ,a V[,ce1] | \
[ed{11}1] (e/ c) [ed1] |";french4tab
27;d moll;8v;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_2749;C;"[e{11}1] [e{10}] [e{9}] [c{8}/] a | \
[,c{7}/] a [,c{6}] ,a [,c{7}] e [,ce1] | \
{11}/ a {10} ,c {9} ,a ,c ,d |";french4tab
28;d moll;8v;Bouree;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;"V[,daa1] | [,ca{5}1] ,,a/ ,d '[,aa{6}1] ,,,f/ ,a | \
[,,d{7}1] {10}/ (,,,f [,,a{9}] ,,d ,a [,,d{10}]) | \
'[,,c{11}1] {12}/ ,,a '[,,aa{6}3/2] ,,,f/ | \
[,,ac{7}2] [,,,cb1] :||:";french4tab
29;d moll;9r;Minuet;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[,da{11}1] (,d/ ,c) ,a1 | \
[,,e{7}1] [,,,(c] [,aad)] | \
V[,ce{7}1] ,,a [ac,a] | \
([,c{7}/] ,a) (,c ,d) [,ce1] | \
[,daa1] (,d/ ,c) ,a1 |";french4tab
30;d moll;9r;Ciacona simplex;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_2714;3;"[aaaa1] ',c3/2 a/ | \
[,a{6}1] [,abd3/2] ,c/ | \
[,a{8}1] '[,,e{7}3/2] ,a/ | \
[,a,a1] {11}2 :||: \
[ece{7}1] [ece3/2] c/ | \
[a,,a1] [,a{6}3/2] c/ | \
[a{8}1] '[,c{7}3/2] ,a/ | \
[,a,a1] {11}2 :||:";french4tab
31;d moll;9v;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_4104;C;"[,aa{11}1] [,c{7}/] ,c V[,daa1] [,ca{5}] | \
[,ab{6}/] {7} {8} (,c/4 ,a) [,,ec{7}/] {6} {7} {8} | \
[ada{9}/] c 'a ,c [,ab{6}] [,,d{7}] '[,,b{8}] [,,a{9}] |";french4tab
32;d moll;9v;Courant;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_140;3;"k3/4 k/4 | [kaaa1] {11}3/2 h/ | \
'[h{7}1] X,,i [f{8}/] ,c | \
{9}/ e X,,,d ,a ,c a | \
[ca{10}1] ,,e e/ c | \
[ac{11}1] ,,,a2 |";french4tab
33;d moll;10r;Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_509;C;",,,d/ ,,,c | ,,,a1 [k{6}] [i{7}] ,h/ {8} | \
[k{9}1] [i{10}] [k{11}] ,,,d/ ,,,c | \
,,,a1 ,d/ ,a [fc{8}1] [ed{7}/] ,c | \
[,a{6}/] e '[cc] ,a [ece{7}1] :||:";french4tab
34;d moll;10v;Sarabande;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[ed,a1] ,,a [,ab{8}] | \
'[,a{7}3/2] ,,e/ [,aVfa1] | \
{5}/ ,c {7} ,,d {6} ,d | \
[,cb{12}3/2] ,d/ [ada{9}1] || \
{9}/ ,,a ,,,d ,,c {7} ,,e |";french4tab
35;d moll;10v;Bouree;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_2196;C;"e/ f | [ed,a1] [,ce{7}] [ad,a] c/ e | \
'[c{8}/] a ,c ,a [,,d{7}1] a/ c | \
'[aa,a3/2] ,c/ [,a{6}1] [,c{8}/] ,a |";french4tab
36;d moll;10v;Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;",,a | ,a2 [,ce{7}1] | [aVd,a2] [,c{5}1] | \
[,a{6}1] {7} [,cb{8}] | [,,ec{7}2] ,,a1 | \
,a2 [,ce{7}1] | [aVdaa2] [,c{5}1] | \
[,a{6}1] e '[cc] | [ece{7}2] ||";french4tab
37;d moll;11r;Aria;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;C;"[,aae1] [,aae{11}] ,,d | \
'[,,ca{8}3/2] ,,a/ ,,,f1 | \
{7}/ ,,c ',,a3/2 ,,,f/ | \
{11}/ ,,,e ,,,a2 | [,aea1] '[,a{11}3/2] ,,e/ | \
[,ca{7}3/2] ,a/ ,,e ,,c |";french4tab
38;d moll;11r;Sarabande;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';;3;"[,,ad{11}1] ',,,d3/2 ,,,f/ | \
[,,ad{11}1] [,,aa2] | \
[,ab{6}1] [,ab{8}3/2] ,c/ | \
[,,e{7}1] [,,ec2] | \
[,,d{7}1] [,a{8}3/2] ',c/ | \
[ada{9}1] [ada2] | \
c/ a '[,c{12}3/2] ,d/ | \
[aVd{9}3] ||";french4tab
39;d moll;11v;Gavotte;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_92;C;"[,a{11}/] ,c a c V[e,,a1] [,ce{7}] | \
'[a,,a3/2] ,c/4 a [,ce{7}2] | \
[,,a{9}/] ,,c ,,d ,,a [,a,a1] [,,d{7}] | \
'[,,c{10}3/2] ,,a/4 ,,c ,,a1 {7} ||";french4tab
40;d moll;11v;Bouree;;;(C-D-E-F-G-A-B-c-)d-a-d'-f';Conc_506;C;"k3/4 i/4 | [k{11}1] [,h,a] [cccc] [,ce{7}] | \
'[aaaa3/2] ,c/4 a ,a1 k3/4 i/4 | \
[k{11}1] [a,,a] [,c{5}] [,a{6}] | \
[ece{7}1] [ece] e a3/4 ,,d/4 |";french4tab
