PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;With 2 booklets in Staff;;;;;;;
1;D dur;1;1. La Prise de Gaetta Allemande de St-Luc;Laurent de Saint-Luc;;;Conc_2079;C;",,,b/ | \
[,,,ba{,,,a}2] [,,,'b3/2] (,,,,c/4 ,,,,a) | \
[,,a,c{4}1] ,,,,,c [,,a,,e] ,,,,,a | \
[,ae,,c1] (,a/ ,c/4 ,e) [,'cc{a}3/2] ,a/ | \
[,,'e,,a3/2] ,a/ [,c{a}1] [,,a{,a}] | "
2;D dur;2;2. Courante Du Mesme;Laurent de Saint-Luc;;;Conc_4093;3/2;",,,b/ | \
[,,,ba{,,,a}3/2] (,,,c/ ,,,b) ,,,,c ,,,b ,,,,a ,,a3/2 ,a/ | \
[,,'e,,a3/2] (,,c/ ,,a) ,,,c [,a,b] ,,,,c ([,a,,a] ,c ,e) c | "
3;D dur;3;3. Sarabande Du Mesme;Laurent de Saint-Luc;;;Conc_4094;3;"[ee{,,,a}1] (g/ e) (,f ,e) | \
[,f{,,a}/] {,,,a} ([e{4}] c) (,e ,c) | \
[,e{,,,a}1] (,f/ ,e) ([,c{a}] ,a) | \
[,,'e,,a3/2] ,,c/ ,,a1 | "
4;D dur;3;4. Autre Sarabande Du Mesme;Laurent de Saint-Luc;;;Conc_4095;3;"[,,,ba{,,,a}1] [,,,'c3/2] ,,,,e/4 ,,,c | \
[,,a,c{4}3/2] ,,a/ ,a [,,a{,a}] | \
[,,cc{a}1] [cc{,,a}/] ,e [,'c] ,a | \
[,,'ee,a3/2] {a}/ {,a} {,,a} | \
[ee{,,,a}1] ,e/ e g ,e | "
5;D dur;4;5. Gigue a la manière Angloise Du Mesme;Laurent de Saint-Luc;;;Conc_2080;3;",a1 | \
[,,ab{,,,a}2] ,,a1 | \
([,,c{a}3/2] ,,a/) ,,,c1 | \
[,,ab{,,,a}2] ,,a1 | \
([,,c{a}3/2] ,,a/) ,,,c1 | \
[,,ab{,,,a}2] [,a{,a}] | \
[,,'e{,,a}2] [,a{,,,a}1] | \
[,c,,,a3/2] ,a/ [,c{a}1] | "
6;D dur;4;6. Rigodon Pour les Trompettes Du Mesme;Laurent de Saint-Luc;;;Conc_3613;C;",,a1 | \
,a1 [,,'e,,a] [,a,,a] [,c,,,a] | \
[,'e,,a1] (,c/ ,e) ,a1 e | \
[,e,,a1] g e [,f,,,a] | \
[,'e{,,,a}1] (,c/ ,e) ,a1 ,,a | \
,a1 [,,'e,,a] [,a,,a] [,c,,,a] | "
7;D dur;5;7. Menuet Du Mesme;Laurent de Saint-Luc;;;Conc_4096;3;"[,a{,,,a}/] ,,e ,a1 ,,a | \
[,e,,a/] ,c ,e1 ,a | \
[e{,,,a}/] ,f e1 [,c,,,a] | \
[,'e,,a1] (,c/ ,e) ,a1 | \
[,a{,,,a}/] ,,e ,a1 [,,a,a] | "
8;D dur;6;8. Passepied Du Mesme;Laurent de Saint-Luc;;;Conc_4097;3;",,a1 | \
[,a{,,,a}1] [,a{,a}] [,c,,,a] | \
[,'e,,a1] ,a [e{,a}] | \
([g{a}/] e) (,f ,e) ,,h ,a | \
[,c,,,a1] ,,a [,,'e] | \
[,a{,,,a}1] [,a{,a}] [,c,,,a] | "
9;D dur;6;9. Caprice En passacaille Du Mesme;Laurent de Saint-Luc;;;Conc_2081;3;"[,'e3/2] ,f/ | \
[ec{4}3/2] e/ [ec,,,e1] | \
[ea,,,c1] 'c/ ,,,,,e ,,,,a3/4 ,e/4 | \
[,'c,,,a3/2] ,a/4 ,,e !segno!,a1 | \
[,,ab{,,,a}1] [,,'a'b3/2] [,,ab/] | \
[,,,cc{4}1] [,,,'c'c3/2] [,,,cc/] | "
10;A dur;10;10. La Viennoise. Allemande de St-Luc;Laurent de Saint-Luc;;;;C;",,a/ | \
[,,aVe,a1] [,,,'d/] ,,,,e ,,,,c1 [,c,,,e] | \
[,e,,a1] ,,,,c3/4 ,c/4 [,'a,,e1] ,,,d3/4 ,c/4 | \
[,,ee,a1] {a} [,aa{,a}] [,,ed{,,a}] | \
[,,'c,e{,,,a}1] [,,a,c{4}/] {,,,a} {,,a} ,,,,,c ,,a3/4 ,,,d/4 | "
11;A dur;11;11. Courante Du Mesme;Laurent de Saint-Luc;;;;3;",,e1 | \
[,,ee,a3/2] ,,e/ [,,'c] ,,a | \
[,ccd{a}3/2] {a}/ {,a} {,,a} | \
[,aa{,a}3/2] {,a}/ {,,a} {,,,a} | \
[,acd{,,a}1] [,,,'d] [,,ee,a] | \
{,,,a}3/4 ,,c/4 [,,'cd{,,a}3/2] ,,a/ | "
12;A dur;12;12. Sarabande Du Mesme;Laurent de Saint-Luc;;;;3;"[,,aVe,a1] [,,'cd{,,a}3/2] ,,c/ | \
[,,ee,a1] ,,,,,a/ ,,e ,,,,,c ,a | \
[,ca,,e1] [,e,,a1] [d,,,,c3/4] [e,,,,a/4] | \
['d{,,a}3/2] (,,,,e/ ,,,,c ,,,,a) | \
[ec,,,e1] [,'c1] ,,,,,a3/4 ,c/4 | "
13;A dur;12;13. Gigue Du Mesme;Laurent de Saint-Luc;;;;6/8;"[e,,,,a1] ,,,,,c/ [e,,,,e3/4] ,,,,,c/4 ,,,,,a/ | \
['dc{,,a}1] {,,,a}/ {4}3/4 e/4 ,c/ | \
[,e{,,,a}3/4] d/4 e/ [,,c{,,a}1] 'd/ | \
[e,,,,a1] ,,,,,e/ ,,,,,a1 [,e,,a/] | \
[,c,,,e1] [,,e,,a/] [,a,d,c1] [,c{a}/] | "
14;A dur;13;14. Menuet Du Mesme;Laurent de Saint-Luc;;;;3;"[,,ee,a1] [,,a,,e] [,,,'dc] | \
[,,aVe,a2] [,,cd{,,a}1] | \
[,,ee,a1] ,a/ ,,e ([,,c{,,,a}] ,,a) | \
([,,c{,,a}/] ,,a) (,,c ,,e) ,,c1 | \
[,,ee,a1] [,,a,,e] [,,,'dc] | "
15;D dur;14;15. La Reduction de Naple Allemande de St-Luc;Laurent de Saint-Luc;;;Conc_2082;C;",a/ | \
[,aaba{,,,a}3] ,/4 (,,a/4 ,,c ,,e) | \
,a1 ,,a3/4 ,,c/4 [,,'a,c{4}3/2] ,,,c/ | \
[,,,'b{,,,a}/] ,,,,c ,,,,a {,,a} {,a} ,,,c ,,a ,,,,a | "
