PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;D dur;1;Allamande;;;;;C;",,a/4 | [,,aba{,,,a}1] ,/4 ,,,b ,,,c ,,c {4} ,,,,c ,,a ,c \
,,,,c ,,,e ,,,c/ | {,,,a}/4 ,,,b ,,,,a (,,a ,,c) ,,e ,a/ \
{,,a}/4 ,,,c ,,a ,a ,,e ,c ,a ,c | "
2;D dur;2;Curande;;;;;C;"e/ ,,h/> ,f | ,e1 {,,,a}/> ,e {,,a}/> ,f | {,a}/> e ,,f/> (,e \
,f/>) e | V[g{a}1] [cc1]> c | ,,,,,a/> ,,e ,c/> c ,e/> ,c | "
3;g moll;3;Ritornele;;;;;C;"[,abc{a}/]> ,,d ,,b/> ,,a ,,,c/> ,a | ,,,,,d/> ,b {,a}1 \
[aba] | [,ada{d}1]> ,,d ,a/> ,,b | [,,da{,a}1] ,,,,d ,a | \
[,,bc{a}1]> ,,b {,a}/> ,,a | "
4;g moll;4;sans titre;;;;;C;",,,,f/ ,a ,f e | {a}/ f [e{,a}] ,,f {,,a} ,f [,d{,,,a}] ,,,f | \
{4}/ ,b ,,a a [,a{d}] ,,,c ,b ,a | "
5;g moll;4;Sarabande;;;;;3;"V[,,,ca{a}1] ,,,,,a/> ,,,c [,,,c,b1] | ,,,,,d/ ,,,c ,,,,,b \
(,,,,,d/4 ,,,,,b) ,,,,,a/ ,,,c | {a}/ ,,,c [,,ac{,,,a}1] \
,,,b/ ,,d | [,,bc{a}1]> ,,a ,,,c1 | "
6;g moll;5;sans titre [double];;;;;3;"{a}/ ,,,c ,,,,,a ,,,c ,,,,,b ,,,c | ,,,,,d/ ,,,c ,,,,,b \
(,,,,,d/4 ,,,,,b) ,,,,,a/ ,,,c | {a}/ ,,,c {,,,a} ,,a ,,,b \
,,d | {a}/ ,,d ,,b ,,a ,,,c ,,b | "
7;Bb dur;6;Marsche;;;;;C;",,,a/ | V[,,ba{d}/] ,,,a ,a ,b [adVd,,a1] {,,,a}/ [a,b] | \
[ca{,,a}/] ,b/4 ,a ,,d/ [e{,a}] V[fa{a}1] ,,,,,a/ h | \
,,,,i/4 ,a a h k h i k"
8;Bb dur;6;Curande;;;;;3;",h/ V[,i] h | ,,,,i/ k ,a a (f a) | ,,,f/ ,a a f ,a a | \
([c{,,a}/] a) (,b ,a) (,,d ,,b) | "
9;Bb dur;7;sans titre;;;;;3;"[aab{d}1] f [e{,a}] | V[f{a}1] ([f{,,,a}/] a) {,,a} c | \
{,a}/ a ,,d ,a V[,b] a | [,ada{d}1]> ,,d [,,da{,a}1] | \
{d}/ ,,d ,a ,b ,,,,,a a | "
10;Bb dur;8;Gigue;;;;;6/8;",/8 (,,,a/8 ,,,c ,,a) | V[,,ba{d}1] ,,d/4 (,a/8 ,,d) ,a1 e/4 \
(,f/8 e) | ,,,f/> (f a/) ,a/> a ,,b/ | {,,a}/> c ,,b/ \
[,,a{,a}/]> a ,b/ | "
11;Bb dur;9;Marsche;;;;;C;"[aab{d}1]> ,b ,a1 V[,b] | [aa{d}1] ,,b/> ,a [,,da{,a}1] \
[,,da/]> ,,d | [,,da,a1] [a,,,b] V[,b,c,d] [a,a{,a}] | \
[,ada{d}1]> ,,d [,,da{,a}1] {,,a} | [aad{,,,a}1] a/> ,b \
[,a{d}1] V[,b] | "
12;Bb dur;9;sans titre;;;;;3;"[aab{d}1]> ,b (,a/4 ,b) a/ | [,,da,a1] [,,da/]> ,a ,b1 | \
[,ada{d}1]> ,,d (,,b/4 ,,d) ,a/ | [,,da{,a}1] [,,da/]> ,a \
V[,b{,,a}1] | [aad{,,,a}1] ,,,,,a/> ,b [,a{d}1] | "
13;Bb dur;10;sans titre;;;;;3;"[aab{d}1]> c [aa/]> (a | [fa,f1]) [aa] [,ab] | V[,b,,,d1] \
[a,,,,a/]> ,b [,a{d}/]> ,b | [,,da{,a}1] [,,da/]> ,a ,b1 | \
[,ada{d}1] [,aba/]> ,b a1 | "
14;Bb dur;10;sans titre;;;;;C;"[,,,aa{d}1] [,,,aa/]> ,,,a [,,,aa1] ,,,a | V[,,ba{d}1] ,,,,a \
,,,a/> ,,d ,,b/> ,,a | V[,,ba{d}1] ,,,,a ,,,a [,,(ba] | \
[,,d)a{,a}1] [,,da/]> ,,d [,,da/]> ,a V[,b/]> a | "
15;Bb dur;11;sans titre;;;;;3;"([aa{d}/4] c a/) (,b/4 ,d ,b/) (,a/4 ,b ,a/) | [,,da,a1] \
a2 | {d}1 [,ada1]> ,,d | [,,da{,a}1] ,,,,d2 :||: [fd{,,,a}1] \
,d [,f{,,a}] | {,,,a}/ ,,d (,a ,b) a ,a | "
16;Bb dur;11;Menue;;;;;3;"([,,ba{d}/] ,,a) (,,b ,,d) (,a ,b) | [aad{,,,a}1] ([c{,,a}/] \
a) (,b ,a) | [,,da{,a}/] (,a ,b) a ,a ,,d | [,ada{d}1] \
,,d/ ,a ,,b1 | "
17;Bb dur;12;sans titre;;;;;2;",,,a/ | ([,,ba{d}/4] ,,d) ,a/ [,,da,a/4] (,a ,b/) | \
[,a,a{d}1] [a{,,,a}/] [c{,,a}] | [,,da{,a}/] a ,,b ,a | \
[,,da{,a}/] ,,,a ,,,a ,,,,a | (V[,,ba{d}/4] ,,d) ,a/ \
[,,da,a/4] (,a ,b/) | "
18;G dur;12;Allamande;;;;;C;",,,c/4 | V[,,,ca{a}/]> ,,a ,,c ,,d ,a ,c [,,d,,a/] {a}/4 ,,c \
[,,a{,a}/] {,,,a}/4 ,a | [,,c{a}/] c [,ed,,a] [c,,,,c] e \
,,,,e/4 (,c ,e) c | "
19;G dur;14;Curande;;;;;3;",a/ ,,d/> ,a | [,,c{a}1] ,c [,aa{,a}] | [,,dc{,,a}1]> (,,d \
[,,ca{,,,a}1]) | [,,a{4}1]> ,,a [,,,c,c1] | [,,a,,d1] ,,,,a \
,,,b | V[,,,ca{a}1]> ,,a ,,c1 | [,,a{,a}1] ,a [,,e{,,a}] | "
20;G dur;14;Sarabande;;;;;3;"{a}1 [ga/] (h k/>) k | {,a}1 [ea/] (g h/>) h | {a}1 [gff1]> \
g | {,,,a}1 [ee'f1]> ,a | ,,,,,d/> ,c ,,a1 ,/4 (,,,,,d/4 \
,,,,,c ,,,,,a) | "
21;G dur;15;Gavotte;;;;;C;"[,acc{a}1] [,aa{,a}/]> ,,d [,,cc{a}1] [,cdc{4}] | \
[,adb{,,,a}1] ,,,b/> ,,d ([,,cc{,,a}1] [,,dc/]>) ,,c | \
[,,a,c{,a}1] ,,,,a/> ,a [,,cc{a}1] ,c/> ,a | [,,ec,a1] \
[,aa,e] V[,ca,,e] [ea,,a] | "
22;G dur;16;sans titre;;;;;3;"V[kk{a}1] k/> h ,k1 | [,h{,a}1] V[,k] {,,a}/> c | \
V[ee{,,,a}1] ,,,,a ,,,,,d | [ca,,,(c/] [,,,,,d)] (,,,,,c \
,,,,,a) {a}1 | [e{,a}1] ,a/> e [g{a}1] | "
23;G dur;16;Gigue;;;;;6/8;",e/4 (c/8 ,e) | c1 {a}/ g/> e ,f/ | {,a}/> e ,,f/ {,,a}/> c \
,,d/ | {,,,a}/> ,e ,,c/ {4}/> ,c ,,a/ | "
24;C dur;17;Gigue;;;;;3;"c1 | [,cd{4}1]> a (c1 | [a{,,,a}1]>) ,c ,a1 | [ccd{,,a}3] | \
[e{,a}2] ,,d1 | [,,c{a}2] c1 | [,cd,,a1]> ,c a1 | [a,,c,c2] \
{a}1 | ,,,,,d1> ,c ,,,c1 | "
25;C dur;18;sans titre;;;;;C;",,,c/ | V[,,dc{a}/] ,,c/4 ,,a (,,,c ,,,e) (,,,c ,,,a) (,,,,c \
,,,,d) (,,,,c ,,,,a) ,,,,,d/ ,,,c | [,,ac{,a}/] (,,,,d/4 \
,,,,c) ,,,,a/ [,,c{a}] ,,,,,a/4 ,,d ,,c ,,d ,,,,,c ,a ,,,c/ | "
26;C dur;20;Curande;;;;;3;"c/ ,d/> c | [,c,,,d1] {4}/ ,c {,,,a} a | [ccd{,,a}1]> a ,c \
,a | [,,d,,a1] ([,aaa{,,,a}/] ,c ,d/>) ,d | [,dcc{a}1]> \
,d ,c/> ,a | "
27;C dur;21;Boure;;;;;C;"h/> g | V[h{4}1] [c,d{,,a}] V[e,d{,a}] [c{a}/]> a | [,c,,,a1] \
a [,a,c,c] c | ,,,,,a/> ,,d ,a/> ,c V[,d1] ,,,,,a | {a}/> ,,c \
,,d/> ,a V[,c1] {a}/> ,c | "
28;C dur;22;Gigue;;;;;3/8;",,,c/ | {4}/> ,,d ,,,c/ | {,,,a}/> ,,d ,,c/ | {,,a}/> ,,d \
,,,c/ | {,a}/> ,,a a/ | {a}/> a ,,c/ | ,,,,,d/> ,a ,c/ | \
[,a{a}1] ,,,c/ | [,ac1] :| "
29;F dur;22;Sarabande;;;;;3;"V[e,d{,a}1] [e,d/]> [c,b] [a,a1] | V[hh{,a}1] [hh/]> f ,h1 | \
[ka,,i1] [ka/]> k [h,,,,a/] k | [hfh{a}1] [ffh/]> f \
[,h{,a}1] | [,f{,,a}1] h ,,,h | "
30;F dur;23;sans titre;;;;;3;"[,daa{,a}1] ,c/> ,a ,,d/> ,,b | [,,aa{,a}/]> ,,,c ,,a/> ,,b \
,,d/> ,,a | [,aba{d}1] [,ab/]> ,,d ,a/> ,b | [,,da1] {,a} a | "
31;d moll;24;Allamande Fantasi;;;;;C;",,,k/4 ,,h | (,,i/4 ,,h) ,,,k/ ,,i ,h k ,,i ,h ,,,k | \
[,,hi/] ,,,,h ,h (,,h [,,ik1]) ,,,h/ ,h | [,hff/] f/4 ,h ,f/"
32;d moll;25;Cur;;;;;3;"(,,a/4 ,,c ,,e) | ,a/> ,,a ,,,c/> ,,a ,,,a/> ,,,,c | \
,,,a/> ,,a ,,,,c/> ,,,c ,,,,,e/> ,,a | [,,,aa1] {,,,a} \
,,,,,a | [,,,aa1]> ,a ,,d/> ,,b | "
33;d moll;26;Fatasia (adagio);;;;;3;"[,,aVe{,,,a}1] [,,ae] (,,a | [,,be1]) {,,,a} {,,a} | \
[,,bc{4}1] ([,,bc/] ,,a) ([,,bc] ,,d) | {,a}1 [,,aa{a}d] ,a | \
[,a,c{,,a}1] [,,ec] [,cec] | [aVda{,,,a}1] [a,,,a/]> \
([c,,,c] [e,,,d1]) | "
34;d moll;27;Gigue;;;;;6/8;",,a/ | ,a1 ,c/ a1 (c/ | [ea1]) [ec/] [eVd1] ,,a/ | ,,c1 \
[cc/] [c,e1] ,,a/ | [aaVf1] (,,d/ ,,b1) ,,a/ | [,ab1] c/ \
,,,c1 [aa/] | "
35;F dur;28;sans titre;;;;;3;"[edd{,a}1] [edd/]> [ffd] [edd1] | [c,b1] {4} ([,c,c] | \
[,daa{,,,a}1]) ([,da/] ,c) V[,da1] | [ccd{,,a}1] [ccd/]> e \
Vf1 | {,a}1 [edd3/2] (,f/4 e) | ,f1 {4} [ccd] | "
36;F dur;28;Gavotte;;;;;C;"[,,de{,a}1] [,,de/]> ,,,f [,,,(e1] [,,ff)] | [,,d,f{,,a}1] \
{,,,a}/> (,,,f [,,,e{4}1]) ,,,,,d/> ,,a | [,,,c,b1] [,,,a,a] \
[,,ba{a}] ,,,,c/> ,,d | [,,aa{,a}1]> ,,a [,,,c{4}1] \
(,,,,,d/ ,,,,,b) | "
37;F dur;29;Menue;;;;;3;"[,,,aVd{,a}1] {a} [,,,,(c] | [,,,ad)a1] [,,,a(d/] [,,,,c)] \
[,,,aVd1] | [,,,ada1] [,,,adb] [,,,cdc] | [,,,,cd1] {4} \
,,,,,b | ,,,,,a/> ,,,a {a}1 ,,,,c | [,,,aVd{,a}1] ,,,a/ \
,,a [,,,c{,,a}] ,,d | "
38;D dur;30;Allamande;;;;;C;"e/4 | [eef{,,,a}/]> (g e) ,f ,e ,,h [,eh{,,,a}/] ,,f/4 (,e \
,f) (e g/) | [ccd{,,a}/]> c [,efe{,a}] c [,cc{a}] ,a \
[,,e,,a/] [,e,,a] [,,c{a}] V[,c,,,e] | "
39;D dur;31;Curande;;;;;3;"e/ | [eef{,,,a}1]> g (e/4 g e/) | ,f/ e ,e e ,,h ,f | \
,e1 {,,,a} ,,,,e | [,efe1]> ,d V[,f/]> e | V[g{a}1] {,a} \
{,,a}/> i | "
40;D dur;32;sans titre;;;;;3;"[eef{,,,a}1] [ee/]> ,f ,e1 | g1 [ccd{,,a}2] | ([,aa{,a}/] \
,c ,e1) ,e | ,,c1 {,,a} [,cc] | [,,e,,a2] [,aa,,c1] | \
V[,ca,,e1] e/> c ,e/> (,c | [,ea,a1]) {,,,a}/> c ,e/> c | "
41;D dur;32;Marsche;;;;;2;"[,,,baa{,,,a}1] [,,aba] [,aab/]> ,a ,,e/> (,a | [,cee{4}1]) \
[,cee] [,cee1]> (c | [ee{,,,a}1]) [c{,,a}] [,e{,a}] \
[,cc{a}/]> ,a | [,,e,,a1] [,aa,,c] V[,ca,,e] ,,a | \
V[,,c{,,,a}1] V[,,e] {,,a} ,,,d | "
42;G dur;33;Prelude;;;;;-;"{a} ,,,,a ,,,c ,,a (,,c ,,d) ,a (,,c ,,d) ,a (,c ,a) (,,d \
,,c ,,a) ,,,c {,a} ,,,,a ,,a ,a"
43;G dur;34;Allamande;;;;;C;",a/4 | [,acc{a}/]> ,c ,a ,,d ,,c ,,a [,,,'c/] ,,,,a ,,,,,c \
{a} | [,,a{,a}/] ,,,,a/4 ,a [,,,c{,,a}/] [,,'d,,a] \
[,,,b{,,,a}] [,,c{a}] [,,,,'c{4}] ,,,,,d/4 ,,a | "
