PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;A dur;1;Prelude en Rondeau;St.Luc;;;;3;"(,,,e/ ,,,d) ,,,e1 | \
,,,,c1 (,,,e/ ,,,d) ,,,e1 | \
,,,,c1 (,,,e/ ,,,d) ,,,e1 | \
[,,cdc1] (,,,,c/ ,,,,a ,,,,c1) | \
,,,,,a1 (,,e/ ,,c) ,,e1 | \
[,ae,,a2] [,,ee,e1] | "
2;A dur;2;Allemande de St-Luc;St.Luc;;;Conc_2200;C;",,a/ | \
[,,aVe,a3] ,c1 | \
',,e3/2 ,,c/ ',,a3/2 ,,,d/ | \
[,,aVe1] ,,,,c ,,,e ,,,,c | \
[,,a,,'e3/2] ,,,,,c/ [,a,,,'a3/2] {a}/ | \
[,,ee,a3/2] ,c/ ',a3/2 ,,e/ | "
3;A dur;3;Courante du mesme;St.Luc;;;Conc_2201;3;",,,,c/ ,,,,e ,,,d | \
[,,aVe,a3/2] ,,,d/ ,,,e ,,c | \
[,,ee,a1] [,,ee/] [,,cd] [,,ee] [,ac] | \
[,ce1] [,'a,,a3/2] ,,e/ | \
[,,'c,c3/2] ,,,,e/ (,,,,c ,,,,a) | "
4;A dur;3;Sarabande du mesme;St.Luc;;;Conc_2202;3;"[,,aVe,a1] [,,'cd{,,a}3/2] ,,c/ | \
([,,c,,a/] ,,e) ',,a2 | \
[,ca,,e1] [,,,'d,c1] [,,a,,e/] ,,,,a | \
[,,'a,,c{,,a}3/2] ,,,d/ [,,aVe,a1] | \
[,,adc{,,a}1] [,,ee,a] [,ae,,c] | \
[,ca,,e1] {4}/ ,,,,c (,,,e ,,,d) | "
5;A dur;4;Gigue du mesme;St.Luc;;;Conc_2203;3/8;",c/ | \
',,e3/4 ,,c/4 ,,a/ | \
,c1 e/ | \
'd1 ,c/ | \
[e,e3/4] ,,c/4 ,,a/ | \
[ee1] ,a/ | \
,c3/4 e/4 ['d,,,c/] | \
V[e,,,,a1] ,e/ | \
',c3/4 ,a/4 ,,e/ | "
6;A dur;5;Gavotte du mesme;St.Luc;;;Conc_1335;C;"[,,ee,a1] {,,a}3/4 ,,c/4 | \
[,,ee,a1] ,,,,,c/ ,a [,ca,,e1] [,'a,,a3/4] ,,e/4 | \
[,,'c{,,a}1] (,,,,c/ ,,,,a) [,,a,,e1] [,a,d,c] | \
[,,ee,a1] ([,,c{a}/] ,,e) [,,'a{,a}1] ,,,d/ ,,a | "
7;A dur;5;Menuet du mesme;St.Luc;;;Conc_2204;3;"[,,aVe,a1] ,c [,,c{,,a}] | \
[,,'e,,a1] (,,c/ ,,e) ,,a1 | \
{4}/ ,c (,e ,c) [,a{,,,a}] ,,e | \
[,,'c{,,a}1] (,,,,c/ ,,,,e) (,,,,c ,,,,a) | \
[,,a,ce1] [,,,'d,c] [,,a,,a] | "
8;A dur;6;Air en Rondeau de St-Luc;St.Luc;;;Conc_2205;3;",,e/ ,a | \
,c1 ,,,,,a1 [,,a,,e/] [,,c,a] | \
[,,,'dc1] (,,,,c/ ,,,,a) [,,a,ce1] | \
[,a,d,c1] [,,c,,a/] ,c [,'a{,,,a}] ,,e | \
[,,'cd{,,a}1] ,,,,c1 ,,e/ ,a | "
9;A dur;7;Menuet du Tambour de Pasque du mesme;St.Luc;;;;3;"[i,,,,a1] ,,,,,a ['g{,,a}] | \
[i,,,,a1] ,,,,,a {,,a} | \
[i,,,,a1] ,,,,,a ['g{,,a}] | \
[i,,,,a1] ,,,,,a {,,a} | \
[i,,,,a1] ['g{a}] [,h{,a}] | \
[,'g{,,a}1] {,,,a} [,h{4}] | \
[g{,,,a}1] ['g{,,a}3/2] ,h/ | "
10;A dur;8;La Prise du Comte de Tallard;St.Luc;;;;3;",c1 ,c | \
',,e1 (,,a/ ,,c ,,e) ,a | \
,c1 [,,,'dc] ,,,,c | \
[,,a,,e1] [,,'e,,a/] [,a,,,c] [,c,,,e] [,e,,a] | \
[,,cdc1] [,,e,,e] [,,aVe{,a}] | \
{,,,a}3/4 ,,c/4 [,,'cd{,,a}3/2] ,,a/ | "
11;A dur;9;L'Entrée du Comte de Tallard a Nuremberg;St.Luc;;;;3;",,,,c1 | \
[,,aVe,a2] [,,c{,,a}1] | \
[,,'e,,a1] (,,c/ ,,a) [,c,,,e1] | \
[,e,,a/] ,,,,e [d,,,,c1] [e,,,,a] | \
['dc{,,a}2] [,e,,a1] | \
[,'c,,,e2] [,a,,,c1] | \
[,,'e,,a2] [,,c{a}1] | "
12;A dur;9;Gavotte du mesme;St.Luc;;;;C;"[,cee1] ,,,d/ ,,c | \
[,,ee1] [,,,'dc] [,,a,e1] ,,,,a3/4 ,,c/4 | \
[,,,'dc1] (,,,,c/ ,,,,a) [,,a,ce1] (,,,,,c/ ,,,,,a) | \
[,,c,c{a}1] {,,a}3/4 ,,e/4 [,,'e,,a1] ,,,,,a3/4 ,,f/4 | "
13;A dur;10;Gavotte du mesme;St.Luc;;;;C;"[e,,,,a1] ['d{,,a}] | \
[e,,,,a1] 'd/ ,e ,c ,a ,,e ,a | \
[,cee1] ',,,d/ ,,,,e ,,,,c ,,,,a ,,,,,e ,,,,a | \
,,,,c/ ,,,d V[,,e,a] ,,c [,,'c{,,a}3/2] ,,,e/4 ,,c | "
14;A dur;10;Gavotte du mesme;St.Luc;;;;C;"e1 ,,,,,a3/4 ,c/4 | \
[,e,,a1] [,,'e,,a1] ,,,,,c/ ,a {a} ,c | \
[,,'e,,a1] ,,,,,c/ ,a ,,,,,e ,c ,,,,,a ,,e | \
[,e,a1] (,e/ ,c) (,e ,c) [,a{,,,a}] ,,e | "
15;A dur;11;Menuet du mesme;St.Luc;;;;3;"[,,e,,a/] ,a ,c1 ,,a | \
[,,,'d{,,a}/] ,,a ,,c1 ,,,,c | \
[,,a{4}/] ,,c [,,e{,,,a}] ,a ([,,e{,,a}] ,,c) | \
[,,a,,a/] [,,,d] ,,a ,,c ,,e ,a | \
[,,e,,a/] ,a ,c1 ,,a | "
16;A dur;11;Air en Echo du mesme;St.Luc;;;;C;"[,,ee,a1] [,,cd{,,a}] [,,ee,a] | \
[,,'cd{,,a}1] [,,ee,a] [,,cd{,,a}] [,,ee,a] | \
[,,'cd{,,a}1] [,,ee,a] [,,cd{,,a}] [,,ee,a] | \
[,aa{,a}1] [,,ee{,,,a}] [,,'cd{,,a}3/2] ,,a/ | \
[,,aVe,a1] [,ce,,a] [,acd{,,a}] [,,ee,a] | "
17;A dur;12;Chaconne du mesme;St.Luc;;;;3;",,e1 ,,,,,a | \
{a}/4 ,,,e ,,c/ ,,,,c1 ,,e | \
{,a}/4 ,,,d ,,a/ ,,,,a1 ,,c | \
[,,a,,e{,,a}1] ',,,,,c3/2 ,,,d/ | \
[,,aVe,a1] :: [ec,,,e/] ,,,,a ['d,,,c1] | \
[e,,,e3/2] e/ [,c,,,e1] | "
18;f# moll;17;Tombeau des Mre francois Ginter, Allemande de St-Luc;St.Luc;;;Conc_4144;C;",e/ | \
[,eeee{,a}3/2] ,,e/ ,,,g1 ,,f | \
[,,c,d{,a}3/2] ,,e/ ',,a1 {4}3/4 ,,,d/4 | \
[,,aVe{,a}3/2] ,,c/ ,,e1 {,,a}3/4 ,,e/4 | \
[,ee{,,,a}1] ,,e/ ,e ,,c e 'd ,e | "
19;f# moll;18;Courante du mesme;St.Luc;;;Conc_4145;3;",,a/ | \
[,,aVe{,a}3/2] ,,c/ ,,e1 | \
[,,e{,,a}1] [,,'c,e{,,,a}3/2] ,,e/ | \
[,,edde{4}3/2] ,,c/ ',,a ,,,d | \
[,,aVe{,a}3/2] [,,c{a}/] [,,e,,a1] | \
[,,,d,c1] [,,,'d,e3/2] [,,,,e{,a}/] | \
[,,,,e{,a}3/2] ,,a/ ,,c ,,e | "
20;f# moll;18;Sarabande du mesme;St.Luc;;;Conc_4146;3;"[,eeee{,a}1] [ddedd3/2] ,,,g/ | \
[,,,'e{,a}3/2] ,,,,g/ ,,,,e1 | \
[,,fe{,a}1] [,,'ed{,,a}3/2] ,,e/ | \
[,ee{,,,a}1] ',,c3/2 ,e/ | \
[,'de{4}1] ,,,,,e ,,,,,c | \
[,ee,,a1] [,'cc{a}3/2] ,c/ | \
[,ca{,a}1] ',a [,,ee] | "
21;f# moll;19;Gigue du mesme;St.Luc;;;Conc_4147;6/8;"[,,aVe{,a}3/4] [,,,,d{a}/4] [,,,,ea/] [,,,,ec3/4] ,,,d/4 \
[,,,,'de/] | \
[,,,,e{,a}1] ,,,,,e/ ,,,,e1 [,,,d,e/] | \
[,,a{,a}3/4] ,,c/4 [,,e{,,a}/] [,,e,e{,,,a}1] ',,c/ | \
[,,edde{4}1] ,,,,,e/ [,,edd1] [,,,d,e/] | "
22;f# moll;20;Gavotte du mesme;St.Luc;;;Conc_4148;C;"{,a}/ ,,,e ,,,d ,,,,e | \
,a1 {,,a}/ ,,e [,ee{,,,a}1] ,,c/ ,e | \
[,'de{4}1] (,,,,,e/ ,,,,,c) [,ee1] [,cc{a}] | \
[,'aa{,a}1] {,,a}/ ,,e {,,,a} ,,,,e ,,e3/4 ,,c/4 | "
23;f# moll;20;Menuet du mesme;St.Luc;;;Conc_4149;3;"[,,,ee{,a}1] [,,,'dd{4}2] | \
[,,,ee{,a}1] [,,,ee/] [,,cd] [,,ee1] | \
[,,cd1] [,,,ee{,a}] [,,,dd{4}] | \
[,,,ee{,a}1] [,,,ee/] [,,cd] [,,ee1] | \
[,,cd1] [,,,ee{,a}] [,,,dd{4}] | \
[,,,ee{,a}1] [,,,ee/] [,,cd] [,,ee1] | "
24;D dur;21;Allemande de St-Luc;St.Luc;;;;C;"e/ | \
[ec{,,,a}1] {,,a}1 {,a}/ e [g{,,,a}] ,e | \
[,f{,,a}1] {,,,a}1 {4}/ ,f e ,,h | \
[,'e{,,,a}/] ,,h ,a {,,a} [e{,a}] (,e ,c ,a) | "
