PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;A dur;1;Aria / Accord;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;C;"[,,aaaa/] ,,a ,,c ,a [,,ca{a}] (c 'a ) ,b | \
[,a,a,a1] [fa{4}/] {,,,a} ['ea{,,a}] ,f ,d {,,,a} | "
2;A dur;2;Bourée;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;C;",,,a1 | [,,aa,a1] ,,c/ ,,e [,,ca{a}1] 'a/ (,b | \
[,'aa1]) ,,,,,a [,aaa/] (a [c{a}]) e | \
[fa{,a}1] [e{,,a}] [,f{,,,a}/] a ,b ,a | "
3;A dur;3;Gavotte;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;C;",,,a1 | [,,aa,a1] ,,,a ,,a [,,ca{a}] | \
[,,e,,a1] ,,,a ,,e [,b,,,c] | [a,a{4}1] [c{,,,a}] \
[,,c{,,a}] a/ (,b | [,a,,,a/]) ,,c ,a (,b ,a1) ,,,a | "
4;A dur;4;Courante;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;3;"f1 | [fde,,a1]> (f 'e) ,f | ,d/ ,b ,a ,,c [a{a}] (,b | \
,a1) ,,,,,a/ ,a [,,c{a}] ,a | "
5;A dur;5;Saraban:;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;3;"[aaa,,a/] [aa] [,bc1]> [,bc] | [abc{a}/] [abc] [,'aa,,,a1]> \
{a} | [fa{,a}/] [e{,,a}] [,fa{,,,a}1] h/ f | \
['ed{,,a}/] [ed] ['ed,a] ,,,c"
6;A dur;6;Menuet;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;3;"[aaa,,a1] [cb/] [aa] [,bc] [,aa] | [,bc,,a1] [a,c{a}/] ,b \
[,a,,,a1] | [,,aa{4}1] [,,c{,,,a}] [,,,'e{,,a}] | \
[,,a,,a/] ,,,e ,,a ,,,h ,a ,,f | "
7;A dur;7;Allamanda;;;Cis, D, E, F#, Gis, A, cis, e, a, cis', e';;C;",,a/ | [,,aaaa1] {,,a}/4 ,,c a ,b [a,,,a/4] f e ,f \
a/4 ,,f ,a ,,,h | ,,a/4 ,,,,h ,,,,f ,,,a"
8;???;8;Allamand / Accord;;;Cis, D, E, F#, G, A, d, f#, a, d', f';;C;",a/ | [,aaa{,,,a}1] [,,e,f{,,a}] [,aa,a{,a}] ,/4 ,a/4 ,c ,e | \
[cec{,,a}/]> c ,,c/4 ,,e (e c) [,e{,,,a}/4] ,,a ,,c ,,e"
9;???;10;Gig;;;Cis, D, E, F#, G, A, d, f#, a, d', f';;6/8;",,a/4 ,,c ,,e | [,aaa{,,,a}/]> ,,e ,,c/ ,,a/> ,,c ,,,b/ | \
,,,a/> ,,a ,,,,c/ ,,,a/> ,,a ,,,,a/ | "
10;???;11;Menuet;;;Cis, D, E, F#, G, A, d, f#, a, d', f';;3;"[,,aaa{,,,a}1] ,,c/ ,,e ,a1 | [,,a{4}1]> ,,,b [,,,a{,,,a}1] | \
[,,c{a}/] ,,d ,,c ,,a (,,,b ,,,a) | ,,,,c1 ,,,,,a {a} | "
11;???;12;Eccho;;;Cis, D, E, F#, G, A, d, f#, a, d', f';;3;"e/ ,f | [,eaa{,,,a}1] (,e ,f) [ea{,a}1] | \
[ga{a}1] ,,,,,a/ ,c (e c) | [,e,,a1] ,a :||: \
[e,,,e1] | ,,,,c/ c ,,e1 [,e,,a] | "
