PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;In the first Booke;;;;;;
1;;B1v;Author of light;;;OT;;C;"[,abc,a3] ,,,,,c1 | [,ab,,d2] [,a,c,e] | \
[,cdca2] [,ca,b] | [,da,c2] [,ab,,d] | [,abcd2] ,,d | \
[,aa,c3] ,,,,a1 | [,ab,,d1] ,c [,dd,,c2] | \
[,db,,a2] [dc,c] | [cdda2] [cdda] |"
2;;B2v;The man of life upright;;;OT;;C;"z2 [ac,,a2] [ac,,e3] [,dda1] | [,acc2] [,aa,c] [,acc4] | \
z2 [,cd,e2] [,,def] [,aa,c] | [,aae2] ,,e [,aa,c4] | \
z2 [,acc2] [,cd3] ,,c1 |"
3;;B2v;Where are all thy beauties now?;;;OT;;C;"[aabc2] [df,c] | [ddff1] [abd] [aabc] [aabc] | \
[cdda1] [ddb,c] [ddda] c | [ddff,d4] | \
[cdda2] [,da,c1] [,abc2] [,ab,,a1] | \
[,aabc2] [cd] | [ccee1] [aab] [cfe] ,,e |"
4;;C1v;Out of my soules depth;;;OT;;C;"[aacc,a4] [acd,a2] [ccee,c] | [caa,c2] [aabc,a] [,ca,c4] | \
[aabc4] [cdda1] ,,,,d [dd,,c2] | [db,,a2] c [ddff,d4] | \
[cdda4] [ddff,d3] [ab,,d1] | [ab,,a1] ,,d [a,c] ,,c [acd,a4] |"
5;;C1v;View me Lord a worke of thine;;;OT;;C;"[,abc4] [aabc2] [ca,b] | [da,c2] [aabc,a] [caabc4] | \
[ddff,d4] c/ a [,dff3] [dd,,c1] | [df,,d2] [cdda1] ,b [ddff,d4] | \
[cdda{a}2] [aabc,a1] ,d [,ce,,c2] ,,f |"
6;;C2v;Bravely deckt come forth bright day;;;OT;;C;"[,cd,a3] [,cd,a1] [,cd,a2] [,aa,c] | [,,dce1] ,,,a [,,cc2] [,,dca] z2 | \
z2 [ac,,a2] [cd,a3] [cd{a}1] | [aa,,,a2] [,dd,,c1] ,,,,,e [,cd,a2] [,aa,c] | \
[,ac,,a4] [,ac,,a2] [,acc] |"
7;;C2v;To Musicke bent is my retyred minde;;;OT;;C;"z2 [ab,,a2] [ab,,d] [,bb1] ,,,,c | [,bd,a3] [,bd,a1] [,dda2] [,bd,a] | \
[,aa,c4] | [,acc4] | z2 [aa,c2] [,bdd] [dda] | \
[,acc2] [da1] [c,,a] [ab,,d2] ,,,,c1 ,,,,a |"
8;;D1v;Tune thy Musicke to thy hart;;;OT;;C;"[ab,,a2] [ab1] ,,,,c [ab,,d2] [ab,,d] | [bd,a2] [bd,a] [,acc4] | \
[,cd,a2] [,cd,a] [,dda3] [,dda1] | [,dff2] [ab,c] [,bdd] [,bd] | \
[,dgf2] ,,f [ab,,d4] ||"
9;;D1v;Most sweet and pleasing;;;OT;;C;"z2 [aa,,,a2] [ab,,a3] [aa,,,a1] | \
[,ea,c2] [a,b,,a] [,abc] ,b1 [,dda] | \
[ab,,d2] [ab,,a] [,ef,c4] | \
z2 [ab,,a1] c [d,f,,d] ,,,,a [dd,,c] ,,,,e |"
10;;D2v;Wise men patience never want;;;OT;;C;"[ac,,a2] [aa,,,a] [ac,,a] [,cd] | [,,df2] [,,dca] [,,cc,a4] | \
[,daa2] [,,cc] [,,dca] [,cd,a] | [,aa,c2] [,aa,c] [,acc4] || \
[aa,c4] [acd2] [a,c1] ,d |"
11;;D2v;Never weather-beaten saile;;;OT;;C;"[,acc2] [,aabc] | [a,d,e1] [c,,b] [aacc3/2] [,cd,a/] | \
[,aabc/] ,, [,,cce] ,,d [,aacc1] ,,,b | [,acc,a4] :||: \
[,acc1] [,aab] [,,,ce/] ,,a ,,c ,,e |"
