PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;5;Prelude;François Campion;;guitar;Conc_5280;C;"!strumdown![cc3/2] c/4 a ,c 'd ,,d/ X,,c ,,a | \
,,,e/ ,,c ,a ,c [,,df] ,,a ,d ,,a | \
,,,d/ ,,c ,c ,,,d ,,,b ,,a ,a ,c |";french5tab
2;;5;Prelude;François Campion;;guitar;Conc_5281;C;"!strumdown![cc3/2] ,c/ ,,,e ,a ,,a ,d | ,,c/ ,c ,,,,a c ,,,,c b !strumdown![bcc1] | \
f/ ,,,a h ,a ,e ,a ,f |";french5tab
3;;6;Allemande / Tendrement;François Campion;;guitar;Conc_5282;C;"!strumup![cc/] | !strumdown![cc1] ,c/ ,d X[,a,e1] ([,,da/] ,,c) | \
[,,df1] [,,cd/] [,,df] X[,,aXb1] ,,,,,d | \
[,cca1] '[,d,,c/] ,c X[,a,d] ,a [,aab] [,cea] |";french5tab
4;;6;Courante;François Campion;;guitar;Conc_5283;3;"!strumup![cc/] | !strumdown![cc3/2] e/ 'f1 (e/ c) X[aac3/2] ,d/ | \
!strumdown![,cd/] (,,d ,,c ,,a) X[,a,e3/2] ,d/ \
([,c,a/] ,a) (,,d ,,c) |";french5tab
5;;7;Menuet;François Campion;;guitar;Conc_5284;3;"!strumdown![cc1] ,c '[c,a] | X[aac3/2] ,d/ [,c,,a1] | \
[f,a1] [e,,d] [c,,b] | [e,,a/] c e f e1 | \
!strumdown![cc1] ,c '[c,a] | X[aac3/2] ,d/ [,c,,a1] |";french5tab
6;;8;Gigue La Somptueuse;François Campion;;guitar;Conc_5285;3;"!strumdown![cc2] ,c1 | ([,c,e/] ,a) ([,da] ,c ,a) ,,,,a | \
([,,da/] ,,c) [,,af1] [,ca/] ,,,d | \
[c,,(b/] [,,,d)] (,,,b ,,,a) [e,,,c] |";french5tab
7;;9;Gavotte;François Campion;;guitar;Conc_5286;C;"!strumdown![cc1] [,c,e] | '[,da1] X[,ac] '[,c,,a] X[,a,,c/] ,,d | \
X[,,ca1] [,,af] '[,c,d] ,c/ [,d,b] | [a,,a1] [,c,,a] [c,,b] [e,,,c] | \
!strumdown!X[bcc2] ||";french5tab
8;;9;Sarabande la liebar;François Campion;;guitar;Conc_5287;3;"[f,a1] e c | V[e,,e1] ,c [,c,d] | [c,,b1] [e,,a] '[fa] | \
!strumdown!X[bcc3] | !strumdown![cddb1] X[a,,a1] [,d,,c] | \
X[,c,,a1] [a,,,a] '[f,a] | !strumdown![effd1] ,,,a/ e 'f1 |";french5tab
9;;10;Rondeau;François Campion;;guitar;Conc_5288;3;",c1 | !strumdown![cc1] ([,c,e/] ,d) (,a ,c) | [,,df1] ,,a [,c,d] | \
!strumdown![cddb1] ([f,,,a/] e) (c a) | [,dc1] ,a [a,,d] |";french5tab
10;;10;Sarabande;François Campion;;guitar;Conc_5289;3;"!strumdown![cc1] e f | !strumdown!X[bcc3/2] [,d,,c/] [,c,,a1] | \
[,ac1] [,c,e] [,,ca] | [,,df3/2] ,,c/ ,,a1 | [,ca1] ,d [a,,d] | \
!strumdown![cddb3/2] [c,,a/] [e,,,c1] | \
[f,,,a1] X[,acd3/2] ,d/ | !strumdown![,,dda3] ||";french5tab
11;;11;Allemande;François Campion;;guitar;Conc_5290;C;"!strumup![cddb/] | !strumdown![cddb1] (d/ c) X[a,,,a1] (,d/ ,c) | \
'[,d,,c3/2] ,d/ [a,,,e1] ([c,,,a/4] a) (c d) | \
X[c,,b1] d/ c X[a,,a1] c/ a |";french5tab
12;;12;Courante la Mauleurier;François Campion;;guitar;Conc_5291;3/2;"!strumup![cddb/] | !strumdown![cddb3] c1 a ,d | [a,,a2] ,,d [,d,,c] | \
[,db2] X[,d,,a3] ,c1 | !strumdown![,dd'b3] ,c1 ,d a | \
!strumdown![cddb2] [,d,,c] [,ac] |";french5tab
13;;12;Menuet Rondeau;François Campion;;guitar;Conc_5292;3;"!strumdown![cddb2] (c/ a) ,d1 | [a,,a1] ,,d [,d,,c] | [,ab1] ,c [,d,d] | \
X[,c,,a3/2] (,a/ ,c) ,,d | !strumdown![cddb1] (c/ a) ,d1 | \
[a,,a1] ,,d [,d,,c] |";french5tab
14;;12a;Gigue obmise en la suitte de la page 12me;François Campion;;guitar;Conc_5293;3;",d/ | [,ddb2] ,,d1 | [,ab3/2] ,c/ ,d1 | X[,c,,a3/2] ,a/ ,,d1 | \
[,db2] a1 | [c,a3/2] d/ c1 | X[a,b3/2] ,d/ [,c,,a1] | \
!strumdown![,ddb2] !strumup![cddb1] |";french5tab
15;;12a;Gavotte;François Campion;;guitar;Conc_5294;C;"!strumdown![cddb1] ,d | [f,,a1] a/ c [d,,,c1] X[c,,b] | \
([c,,,a/] a) (,d ,c) [a,,,a] c d a | \
!strumdown![cddb/] a (,d ,c) X[,a,d1] (,c/ ,d) |";french5tab
16;;13;Chacone;François Campion;;guitar;Conc_5295;3;"!strumdown![cddb1] !strumup![cddb] !strumup![cddb] | \
!strumdown![,cdd1] !strumup![,cdd] !strumup![,cdd] | \
!strumdown![cd,b1] !strumup![cd,b] !strumup![cd,b] | \
!strumdown![,,bdc1] !strumup![,,bdc] !strumup![,cdd] || \
!strumdown![,ddb1] c/ c d c |";french5tab
17;;14;Prelude;François Campion;;guitar;Conc_5296;C;"!strumdown![,cdd1] ,,,,c/ ,d ,,c ,d ,,,,a ,c | \
,,,c/ ,,a ,a ,,d ,,,d ,,c ,a ,c | \
,,a/ ,d ,,c a ,,,,a ,c c ,,,,a |";french5tab
18;;14;Allemande / vivement;François Campion;;guitar;Conc_5297;C;"!strumup![,cdd/] | !strumdown![,cdd1] [,c,,a1] [,d,,c] [a,c] | \
X[,c,,a1] [a,,,a] [c,,,a] [e,c] | [f,a1] ([e,,c/] c) [e,,d1] [a,,b] | \
[f,,a1] [a,,,a] !strumdown![cddb] (d/ c) |";french5tab
19;;15;Courante La petitte doucet;François Campion;;guitar;Conc_5298;3/2;"!strumup![,cd/] | !strumdown![,cd3] c1 a ,c | '[,d,,c2] [,ac] [a,,d] | \
X[,c,,a2] ,,d1 ,c X,a ,,d | \
!strumdown!X[,,cd3] ,,,f1 X,,,d ,,,b |";french5tab
20;;15;Menuet;François Campion;;guitar;Conc_5299;3;"!strumdown![,cd1] (c/ a) ([,da] ,c) | X[,ac2] [,c,,a1] | \
[,d,,c1] [,ac] [a,,d] | ([,c,,a/] ,d) (,c ,a) ,,d1 | \
!strumdown![,cd1] (c/ a) ([,da] ,c) |";french5tab
21;;16;Chacone;François Campion;;guitar;Conc_5300;3;"!strumdown![,cd1] ,,d ,c | !strumdown![,,cdc1] ,,c ,a | \
!strumdown![,d,b1] ,,a ,,,,a | !strumdown![,,cdc1] ,d a || \
!strumdown![,cd1] ,c a | !strumdown![,,cdc1] ,a a |";french5tab
22;;17;Sarabande;François Campion;;guitar;Conc_5301;3;"!strumdown![,cd1] ,d a | [,ac1] ,c [,d,d] | X[,c,,a1] ,,,,a [a,c] | \
[f,a1] [e,,d] [c,,b] | [a,,a1] [,d,,c] [,c,,a] | \
X[,acd1] [,aab] X[,cea] |";french5tab
23;;17;Gigue;François Campion;;guitar;Conc_5302;6/8;"a/ ([f,,,a] e) f | ([a,,a/] c) ,c ([,dc] ,a) a | \
[,c,,a/] ,,d a ([c,,b] e) [f,a] |";french5tab
24;;18;Gavotte;François Campion;;guitar;Conc_5303;C;"!strumdown![,cdd1] f | [,d,,c1] ([,c,,a/] ,d) [,ac1] ,,,d/ a | \
([,d,,a/] ,c) ,,d1 !strumdown![,cd] c/ [e,c] | \
[f,a1] ([e,,,a/] c) X[ca3/2] a/ |";french5tab
25;;18;Gigue;François Campion;;guitar;Conc_5304;3;"!strumdown![,cd3/2] ,d/ ,c1 | [,ac2] [,,df1] | [a,,d3/2] c/ a1 | \
[,da3/2] a/ [,dc1] | [,cd3/2] ,,f/ ,,d1 | [a,c3/2] [c,d/] [a,c1] | \
[f,a3/2] ,c/ ,d1 |";french5tab
26;;19;Prelude;François Campion;;guitar;Conc_5305;C;"!strumup![,,cdc/] | !strumdown![,,cdc3/2] c/ ,,,c ,a ,,,,a ,a | \
,,,d/ ,,c ,a a ,,,,a ,c ,,c ,a | \
,,a/ ,e ,,,d a ,,,c c ,a h |";french5tab
27;;19;Allemande / Tendrement;François Campion;;guitar;Conc_5306;C;"!strumup![,,cdc/] | !strumdown![,,cdc2] [,ac/] [,c,,a] [,ac] [,,df] | \
X[,,cd/] ,a ,c [,e,c] !strumdown![acca] e X[c,,,a] a | \
X[,ef/] ,,h ,,f ,,,,a ,,c ,a a ,e |";french5tab
28;;19;Prelude;François Campion;;guitar;Conc_5307;C;"!strumdown![,aabc3/2] ,d/ X,c ,a ,,,,b ,c | ,,a/ ,d ,,,,c ,,a ',,b a ,,c ,a | \
,,,,a/ c ,,e ,c ,,,,c ,d d ,,,,c |";french5tab
29;;20;Simphonie / lente;François Campion;;guitar;Conc_5308;3/2;"!strumdown![c,,bc2] [a,e1] c [,,ca] a | [,d,,c2] ,,,,a1 ,,,,c [c,a] ,,,,a | \
[,ab2] ,,a1 ,,b [a,,d] ([,db/] ,e) | \
X[,,ef2] ,,,d1 ,,,f [,,ea] [,c,d] |";french5tab
