PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;Example1;Celeste Giglio;;;OT;Conc_4438;3;",,d1 | [,d,a1] ,,,,,,a/ a | [b,,a/] ,d d b | \
[abd,a1] ,,d/ a | ,b/ a [,d,,a] ,b | \
[,aba,d/] ,b [,dba] ,,,,,b | [a,ba,a1] [a,,,e] |";italian7tab
2;;Example2;Canario;;;OT;Conc_4438;3;"[,d,a/4] a | [c,,a1] d/4 c | [a,,,d1] [,d,,c/4] [,b,,a] | \
[,a,,,d3/4] [,b,,a/4] [,d,,c/] | [a,,,d3/4] [c,,a/4] [d,,c/] | \
[c,,a1] [a,,,d/4] [,d,,c] | [,c,,a3/4] ,d/4 a1 |";italian7tab
3;;95;Nuoua Regina;;;OT;;3;"z1 [cdda/] | [cdda1] [f,,e/] | [da,c1] [cd,a/] | \
[acd,a1] c/4 a | [,daa,,a1] [fd,a/] [da,c3/4] ,c/4 [cda/] | \
[a,b1] [,dd/4] ,c | [,daa1] ,d/ | [,daa,,a1] :||:";italian7tab
4;;100;Alta Regina;;;OT;ConcR674;3;"[acd,a3/2] ,a/ ,c1 | [acd,a1] [cdda2] | [abb,d2] [abb,d1] | \
[abe,d3/2] a/ c1 | [dbb,d3/2] f/ d1 | [cdda3/2] a/ ,d1 | \
[acd,a2] [acd1] |";italian7tab
5;;108;Amorosina Grimana;;;OT;;C;"[aabc/] d c a | [,ea,c/] ,c ,e a | [c,,,c/] ,e a c | \
[aabc1] a | [aabc/] d c a | [cdda1] c |";italian7tab
6;;116;Laura Suaue;;;OT;ConcR1224;3;"[cdd,,,a1] ,,,a/ a [cdda] [acdca] | \
[,da,c1] [,aa/] ,c [,da,c] [,,d,,c] | \
[,ab,,d3/2] [,ab/4] ,,,,,c [aabc,a/] [acdca] | \
[cdd,,,a/] [cdd/4] ,,,a [cdd,,,a/] :||:";italian7tab
7;;117;Gagliarda;;;OT;;3;"[cdd,,,a1] | [cdd,,,a1] ,,,a/ d c1 [cdda] [cdda] [acdca] | \
[,da,c1] ,a/ ,c ,d a [,da,c1] [,da] [,,d,,c] | \
[,ab,,d/] [,ab] ,,d ,a [,c,,c1]";italian7tab
8;;119;Saltarello;;;OT;;3;"[cdda3/4] [d,,c/] [c,,a/] | [acd,a/] [,da,c] ,,,,,c | \
[,aba,d3/4] ,c/4 ,d/ | [,dda,c/] [a,ba,a] ,,,e | \
[cdd,,,a3/2] a/4 ,d/ | [,d,,,d/] [ad,,a] ,c |";italian7tab
9;;120;Canario;;;OT;;3;"[acd,a1] ,d/4 ,c | [,daa,,a1] f/ | [faa,,,a1] d/4 c | \
[acd,a1] [,d,,c/] | [acd,a3/2] ,d/4 ,c | [,daa,,a1] [fd/] | \
[fdaa,,a1] d/4 c | [acd,a3/2] [,d,,c/] |";italian7tab
10;;126;Alta Gonzaga;;;OT;;3;",,a/ ,,c ,,e | [,a,,,e/] [,c,,b] [,aa,c1] [,,e,,c] | \
[,aa,c3/2] ,,e/ ,a [,c,,b] | [,d,,c/] [a,,,e] [c,,a1] [a,,,e] | \
[,daa/] ,c ,d [a,b] [c,a] [d,,c] |";italian7tab
