Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
1;;1;Prel.de;;b.fa.b.mi tierce mineur;guitar;;C;"c/ | ,d ,,e ,,,e ,,,,f ,,,,c d ,f ,,,,e | \
,,d/ c X,d ,c ,,e ,d X,,c e | ,,a/ ,a (c Xa)";french5tab
2;;1;Allemande du Roy;;la mesme en Musique fol.83;guitar;;C;"!strumup![cdeec3/4] !strumup![cdeec/4] | \
!strumdown![cdeec1] !strumup![cdeec] !strumdown![cdeec] h3/4 h/4 | \
!strumdown!X[ghg1] ,h !strumdown![hhh3/2] k/ | \
!strumdown![lhhk2] X,,,,c1 ,c3/4 ,c/4 | \
X,,d1 ,,,e '[,,e,c3/2] ,c/ |";french5tab
3;;3;Cour.te;;;guitar;;3;"!strumup![cdeec/] | !strumdown![cdeec3/2] f/ d ,,e | \
X,,c/ c !strumdown!X[aaa3/2] !strumup![ccdee/] | \
!strumdown![ccdee1] X,,,c/ (,,,a/4 ,,,c ,,,e/) ,,,,e | \
,,,a/ ,,,,c !strumdown![cceec3/2] ,,d/ |";french5tab
4;;4;Sarab.de;;;guitar;;3;"!strumdown![cdeec1] !strumup![cdeec] h | \
!strumdown!X[ghg3/2] h/ [kh,i1] | !strumdown![fhh1] !strumup![fhh] h | \
!strumdown!X[cdc3/2] !strumup![,ccc/] !strumdown![,ccc1] | \
!strumdown![d,,c1] !strumup![d,,c] !strumdown![d,,c] | \
!strumdown![dc,c3/2] !strumup![cdeec/] !strumdown![cdeec1] |";french5tab
5;;4;Sarab.de;;;guitar;;3;"!strumdown![cdeec1] ,,,,c/ ,d [,f,,e1] | !strumdown![cdc1] ,,,a/ c !strumdown!X[,c,c1] | \
!strumdown![cdecc1] !strumdown![cdeec3/2] ,,d/ | \
[,ae,c1] ,,,e ,,e | !strumdown![cdeec1] ,,,,c/ ,d [,f,,e1] |";french5tab
6;;5;Passa.lle;;;guitar;;3;"X[,cc1] X,,,e (,d/ ,c) | [,aa1] ,,,c (,c/ ,a) | \
,,d/ ,a !strumdown![cceec3/2] ,,d/ | [,a'e,c1] ,,,e ,,e | \
!strumdown![cdeec/]!strumup!e !strumdown![fccc] ,d \
!strumdown![,ccc] !strumup!c |";french5tab
7;;6;Allemande Cherie de son Altesse le Duc  d'Yorck;;la mesme en Musique fol. 89;guitar;;C;",b1 | !strumdown![bbcd1] ,,,d !strumdown![,fff/] (,,h X,,f) g | \
!strumdown![fgfdd1] ,,,,d [,,,da/] (,,,f X,,,d) ,,,c | \
[,,,ab1] ,,a [,b,c/] (,d X,b) ,,d |";french5tab
8;;7;Prel.de;;;guitar;;C;"d/ | ,e/ ,,f d ,,,,d ,,,f ,,f ,d X,,e | \
,,,,d/ ,d ,e ,,d ,,b ,b d b | ,,a/ ,g g X,f";french5tab
9;;7;Allem.de Sur la mort du duc de Glocester;;;guitar;;C;"!strumup![deffd1] | !strumdown![deffd2] !strumdown!X[ddefd3/2] !strumup![ddefd/] | \
!strumdown![deffd1] ,,,,d !strumup![deffd] !strumdown![deffd/] !strumup![deffd] | \
!strumdown![deffd1] X,,d/ d [ii,g1] X,g/ i | \
X[hla2] [li,k3/2] l/ |";french5tab
10;;8;Sarab.de;;;guitar;;3;"!strumup![deffd3/2] !strumup![deffd/] | \
!strumdown![egfdd1] !strumup![bdc3/2] !strumup![bdc/] | \
!strumdown![gd1] [,,abb3/2] [,,abb/] | \
[,,bbd1] X[,,da3/2] ,,b/ | [,,ab1] !strumdown![dedbb3/2] !strumup![dedbb/] | \
X[,bb1] !strumdown!X[bbc3/2] !strumup![bbc/] |";french5tab
11;;9;Passac.lle;;;guitar;;3;"!strumdown![deffd3/2] !strumup![deffd/] | \
[eef1] X[ddd3/2] d/ | [ii,g1] X,g3/2 h/ | \
[ig,g1] X[hia3/2] ,g/ | [i,i1] || X[ggh3/2] g/ | \
[gef1] X[eef3/2] e/ | [eda1] X[ddd3/2] ,,,e/ |";french5tab
12;;10;le tombeau sur la mort de Madame d'Orleans;;;guitar;;C;",,f/ ,d | !strumdown![deffd1] X,,,,d X[dde3/2] ,g/ | \
!strumdown![deffd1] !strumdown![bdddb] !strumup![bdd3/2] !strumup![dedbb/] | \
!strumdown![dedbb1] '[b,,a1] !strumdown! '[bdc] d/ ,d | \
!strumdown![deffd1] [,dd/] ,e X[,bb1] [,d,e/] ,,c |";french5tab
13;;11;La Sarabande;;la mesme en musique folo.93;guitar;;3;"!strumup![deffd1] | [eef2] X[dde3] [i,,g1] | \
X[h,a2] [,a,a3] [,b,b1] | ,,,d1 ,d [bd,,c3] d1 | \
!strumdown![deffd2] X,,,,d3 [,,a,b1] | \
,,,,d1 ,,b X[,,da3] ,,b1 | [,,da2] X[,,ab3] ,d1 |";french5tab
