PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
1;;a2r;I. Each louely grace my Lady doth possesse;;;staff;;;
2;;a2v;II. Truth trying Time shall cause my Mistresse say;;;OT;;3;"[caa,c4] [aa,c2] | [,da,c3] a1 [cc,e2] | [ca,a2] [aa,,e] [,,ee1] a | \
[,ef,c4] [ca,,c2] | [c,e,,c4] [,a,,,d1] ,c | \
[,da,,,d4] [,abc,a2] |"
3;;b1r;III. Two Louers sat lamenting, hard by a Christall brooke;;;staff;;;
4;;b1v;IIII. T'is true, t'is day, what though it be?;;;staff;;;
5;;b2r;V. Deere, though your minde stand so averse;;;OT;;C;"[,cd,a3] [,a,,,e/] [,,d,,c] | [,ac,,a1] [c,,,,,d] [,a,,,a] a | \
[acd,,a2] [,cd,a/] ,,,,c ,,,,e ,,,a | \
[aa,c1] [,c,e/] ,e [aacc2] |"
6;;b2v;VI. Shall I be with ioyes deceiued?;;;staff;;;
7;;c1r;VII. Downe, downe proud minde;;;staff;;;
8;;c1v;VIII. Beware faire Maides of Musky Courtiers oathes;;;staff;;;
9;;c2v;IX. The Fire to see my woes for anger burneth;;;OT;;C;"[abd,a3] ,b1 [aa,c2] [a,d,d] [,,a,c1] ,,c [a,d,a2] | \
[aa,,,e1] ,d [,bd,a] ,a [,bd,,b2] ,d | [aa,c,a4] [aacc] | \
[a,d,e2] [aa,c] [ac,,a] [aa,,,e] |"
10;;d1v;X. Goe heavy thoughts down to the place of woe;;;staff;;;
11;;d2r;XI. My deerest Mistrisse, let vs liue and loue;;;staff;;;
12;;d2v;XII. Man like a Prophet of ensuing yeeres;;;staff;;;
13;;e1r;XIII. As by a fountaine chast Diana sate;;;staff;;;
14;;e1v;XIIII. Away, away, away, call backe what you haue said;;;staff;;;
15;;e2r;XV. When I was borne, Lucina crosse-legg'd sate;;;OT;;C;"[abb,d4] [db,,d2] [bbd,,b] | [ab,,d2] ,,b [,df,,d] [,bd,a] | \
[bb,,,b2] [,a,,,d1] b [abb,d3] b1 | [dbb,d4] [dd,,c2] [f,d,a] | \
[aa,,,e2] [ab,,a] [bb,,,b2] [a,,,,d1] ,d |"
16;;f1r;XVI. Shall a smile, or guilefull glance;;;staff;;;
17;;f1v;XVII. Wee yet agree, but shall be straight wayes out;;;OT;;C;"[caa,c1] ,,c/ ,,e [ca,,c1] [ea,,,e] [fc,,,c3] [c,,,c1] | \
[ea,,,a3/2] [c,,,,c/] [aa,,,e1] ,,c [cce,,c] ,,f \
[cc,,,e] ,,e [caf,,,a] ,,d [,,c,c] [,,a,a] |"
18;;f2v;XVIII. Fly swift my thoughts, possesse my Mistris;;;staff;;;
;;;Lessons for the Lyra Violl;;;;;;
19;;g1r;A Lesson for two Lyra Violls - I;;;Viol Tuning;;3;",a1 | [,aaa3/2] ,c/ a1 | [,ca1] [,ef2] | [,ca2] ,,,,a1 | \
[,ca1] ,,a/ ,,c ,,e ,a | [,ca3/2] ,a/ ,,e1 | \
[,,cc3/2] ,,a/ ,,c1 |"
20;;g1r;A Lesson for two Lyra Violls - II;;;Viol Tuning;;3;
21;;g1v;If my Complaints;;;Viol Tuning;;3;"[,aaa2] ,d d | [caaa4] a2 | [,daa2] ,,,d1 ,c [,ab2] | \
[,ea3] ,,,f1 ,,,e2 | [,acf2] [,cec1] ,e ,f ,,e |"
22;;g2r;Perlude;;;Viol Tuning;;C;"[,,fa2] [,,fa1] [,,ec/] ,,c | [,,ae/] ,,,a ,,,c ,,,e [,,cf] ,,e ,,f ,c | \
[,eaa/] ,a [,ef] a c ,,a ,,c b |"
23;;g2v;Come liue with me, and be my Loue;;;Viol Tuning;;3;"[,aaa2] ,a ,a | [,daa4] ,d2 | [,fff4] [,df2] | [,ca2] ,,,,a4 | \
[,ddd2] ,d ,d | [,ddd3] a1 c2 | [,ab1] [,cd] a [,ddd] ,,,,,d4 |"
24;;h1r;Perlude;;;Viol Tuning;;C;"[,,aa1] ,a/ ,c ,d ,a c ,,,c | ,,,d/ c ,,,,d a ,,,a ,d ,,,,a ,c | \
,,,,b/ ,a ,,,,,f ,f"
25;;h1v;Walsingham;;;Viol Tuning;ConcR87;3;"[,daa1] a [cddd2] [acd] | [,df1] ,,,a [,aad] ,,,f [,,eca2] | \
[,daa1] a [cddd2] [add1] ,c | [,ddd2] ,,,,,d4 |"
26;;h2r;Coranto;;;Viol Tuning;;3;"[,aaa3/2] c/ e1 | [ca3/2] ,,a/ [aac1] | [,ea1] ,c ,,,f | \
[,aae1] ,,,a ,,,,,a | [ha3/2] e/ [ef1] | [ce1] ,a [ce] |"
27;;h2v;Monsieurs Almaine;;ConcR48;Viol Tuning;;C;"[,aaa2] [,af1] [,ac] | [,ca1] ,,,,a [,ea] ,,,f [,efe3/4] ,f/4 ,h/ ,,f [,fcc3/4] ,,a/4 ,,c/ ,,e | \
[,efa1] ,,,,,a [,efa2] |"
28;;i1r;Coranto;;;Viol Tuning;;3;",,,a3/2 ,a/ ,c1 ,d3/2 a/ c1 | ,,a3/2 c/ e1 f ,,a e | \
,a3/2 c/ ,,d1 ,,c3/2 c/ b1 |"
29;;i1v;The Punckes delight;;;Viol Tuning;;C;"[,ca,c4] ,c2 ,c4 ,c2 | [,caca2] ,,e4 ,,a2 | [,aaa4] ,a2 ,a4 ,a2 | \
[caaa2] ,e | [,ccc4] ,f2 ,f4 ,f2 | [fc2] ,,d |"
30;;i2r;Pauin;;;Viol Tuning;;C;"[aaa2] c | [daa2] [df1] ,d | [db1] ,a [fff2] | \
[hfa2] [,,af1] ,,,d [,,ab] ,,c[,,da] ,,,b | \
[,,dd2] ,,c1 f [hdddd2] [,dd1] ,f |"
31;;i2v;Almaine;;;Viol Tuning;;C;"[,aa1] a3/2 c/ d a | [haa/] ,,c [,ad1] ,d ,,d/ ,a | \
[,cc/] ,e [,fa1] [ca] ,,,e/ [ca] |"
