PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;;;Concordances taken from Pietro Prosser's thesis (1996);;;;;;
;;;Partia 1ma.;;;;;;
1a;B dur;2v;Chicona;;;Mandora;Conc_4789;3/4;"[,b,,d1] [,b,,d] [,b,,d] | [,b,,c1] [,b,,c] [,b,,a] | \
[,b,c1] [,b,c] [,b,d] | ,,,,,a1 X,b3/4 ,a/4 [ab,,d1] ||"
1b;B dur;2v;2.;;;Mandora;Conc_4790;3/4;",,,,d/ ,b ,,,,d ,b ,,,,d ,b | ,,,,c/ ,b ,,,,c ,b ,,,,a ,b | \
,,,c/ ,b ,,,c ,b ,,,d ,b |"
1c;B dur;2v;3.;;;Mandora;Conc_4791;3/4;",,,,d/ ,b ,b ,b ,,,,d ,b | ,,,,c/ ,b ,b ,b ,,,,a ,b | \
,,,c/ ,b ,b ,b ,,,d ,b |"
1d;B dur;3r;4.;;;Mandora;Conc_4792;3/4;",,,d/ ,b ,b ,,a ,,,,d1 | ,,,,c/ ,b ,b ,,a ,,,,a1 | \
,,,c/ ,b ,b ,,a ,,,d1 |"
1e;B dur;3r;5.;;;Mandora;Conc_4793;3/4;",,,,d/ ,b a ,b ,,,,d ,b | ,,,,c/ ,b a ,b ,,,,a ,b | \
,,,c/ ,b a ,b ,,,d ,b |"
1f;B dur;3v;6.;;;Mandora;Conc_4794;3/4;",,,,d/ [ab] ,,,,d [ab] ,,,,d [ab] | ,,,,c/ [ab] ,,,,c [ab] ,,,,a [ab] | \
,,,c/ [ab] ,,,c [ab] ,,,d [ab] |"
1g;B dur;3v;7.;;;Mandora;Conc_4795;3/4;"(3,,,,d/ ,b a) (3,,,,d ,b a) (3,,,,d ,b a) | \
(3,,,,c/ ,b a) (3,,,,c ,b a) (3,,,,a ,b a) |"
1h;B dur;4r;8.;;;Mandora;Conc_4796;3/4;",,,,d/4 ,b a ,b ,,,,d ,b a ,b ,,,,d ,b a ,b | \
,,,,c/4 ,b a ,b ,,,,c ,b a ,b ,,,,a ,b a ,b |"
2;B dur;4v;Menuet;;;Mandora;Conc_4797;3/4;",,,,d/ ,b ,,,,c ,b ,,,,a ,b | ,,,,,a/ ,b ,,,d ,b ,,,c ,b | \
,,,a1 ,b '[,a,,,a] | [,b,,d1] V,b ',b |"
3;B dur;4v;Menuet;;;Mandora;Conc_4798;3/4;"V[,b,,d1] ,,a ,,a | V[,d,,,a1] ,,a ,,a | [ab,,d1] (b/ a) (,d ,b) | \
[,d,,,a1] ',a ',,a | V[,b,,d1] ,,a ,,a |"
4;B dur;5r;Menuet;;;Mandora;;3/4;"[,b,,d1] V,b ,d/ a | V[,d,,,a1] ,,a ,,a | [,,cd1] V[,b,c] '[,a,a] | \
[,b,,d1] V,b ',b | [,b,,d1] V,b ,d/ a | V,d1 ,,a ,,a |"
