PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab
;1. Concerto per il Liuto a 5 stromenti<br>duoi Violini, Viola et Violoncello;;Comp: di B. J. Hagen / d: 20ter Jan: 1759;;;;;16ff.;
1;A dur;2.2r;Allegro moderato;B. J. Hagen;;;;C;"[,,aeca2] [,,ee{a}] | [,,aVe{,a}2] [,cee{4}] | [,,ab{,,,a}2] \
{4}1 [eea{,,,a}] | [,acd{,,a}1] [,,ee,a] {,,a}/ {,,,a} {4} \
{5} | [,,aec{6}2] [,,ee{a}] | [,,aVe{,a}2] [,cee{4}] | \
[,,aba{,,,a}2] {4}1 [,,aba{,,,a}] | "
2;A dur;2.3v;Largo;B. J. Hagen;;;;3/4;"[,,ee{,a}1] [,,ee{,a}] [,eee{,a}] | [eee{4}1] [dde{4}/]> \
,,,,d ,,,,d/> ,,,d | [,,edd{4}1] [,ded{4}] [dde{4}] | \
[dde{,a}1] [eee{,a}/]> ,,,,,a ,,,,,a/> {,a} | [,a,b,c1] \
[,a,d,c] [,a,d,c] | "
3;A dur;2.4v;Allegro;B. J. Hagen;;;;2/4;",3 | ,1 [ece{6}1] | ['dcc{,,a}1]> [,acd{,,a}] | [,ce{6}1] \
[eca{4}] | ['dcc{,,a}1]> [,acd{,,a}] | [,,ee{6}/] {4} {,,a} \
{4} | [,cee{6}1] [,cee,a] | [,ac,c{a}1] [,ac,c{a}] | \
[,acd{,,a}1] [,acd{,,a}] | [,,eeca1] {6} | "
;2. Concerto per il Liuto, Violino Primo, Violino Secundo et Violoncello;; del Sigr: Kohaut;;;;;30ff;
4;A dur;3.1v;Arioso Adagio;K. Kohaut;;;;C;"[,ce,,a/] ,,,,,a [,,ee,a] [,ac,,a] [,ce,,a] ,,,,,a [,,a{4}] \
{4} | [,,ce{,,,a}/] {,,,a} [,,cd{,,a}] {,,a} [,,ee,a] ,,,,,a \
{6} ,,,,c | [,,,,c{4}/] [,,a{4}] {4} [,,ac{4}] [,,ab{,,,a}] \
{,,a} [,,eb{,,,a}] ,,,,b | "
5;A dur;3.2v;Allegretto;K. Kohaut;;;;2/4;"[,ce,,a/] ,,,,,a ,,,,,a ,,,,,a | [baa,,a1] z1 | [baa,,a/] \
,,,,,a ,,,,,a ,,,,,a | [,ce,,a1] z1 | [,cee,a/] ,,,,,a ,,,,,a \
,,,,,a | [,ac{,,a}/] {,,a} {,,a} {,,a} | [,,ee,a/] ,,,,,a \
,,,,,a ,,,,,a | "
6;A dur;3.3v;Presto;K. Kohaut;;;;12/8;",,,,,a/ (,c ,a) (,,e ,,c ,,a) {,,,a} ,,a ,e {4} ,,a ,c | \
{,,,a}/ (,e ,c [,a{,,a}]) (,,e ,,c) ([,,a,,a/] ,,c) ,,e \
[,,c{,,a}3/2] | "
;4. Sonata [Pastorella] a 3. Liuto, Violino et Violoncello;;di B. J. Hagen;;;;;41ff.;
7;A dur;4.1v;Allegro;B. J. Hagen;;;;2/4;",1 ,/ ,,h/ | (3[,h,,,a/4] ,,h ,,h) (3i ,,h ,,h) (3,h ,,h ,,h) \
(3,,,i ,,h ,,h) | (3[,h{6}/4] ,,h ,,h) (3m ,,h ,,h) (3,h ,,h \
,,h) (3,,,i ,,h ,,h) | "
8;A dur;4.2v;Allegro;B. J. Hagen;;;;2/4;",,,,c/ | ,,,,h/ ,,,,,a {6} ,,,e | ,,,i/ ,,,,,a {6} ,,e | \
,,h ,,,,,a {6} ,c | ,h/ ,,,,,a {6} [ihh] | [i{,,,a}/] 'g/4 \
,h [,'g{,,a}] ,,k"
9;A dur;4.3v;Amoroso;B. J. Hagen;;;;3/4;"[,h{6}/] ,,h [i,,,,a] ,h ,,h ,,,i | [,ahi/] {,,a} {,a} {a} \
[,,,i,a] {6} | (3,,,,,a/ ,h ,,h) (3[i{6}] ,,h ,h) (3,,,i ,,h \
,,,,h) | "
;5. Sonata a Liuto Primo et Secondo.<br>où Violino, Viol di Gamba et Violoncello ;;del Sigr: Lauffensteiner;;;;;49ff.;
10;A dur;5.1v;Grave (1);W. J. Lauffensteiner;(published by TREE Editions);;;C;"V[,ce,,a/] ,,e [,'a,,,a/] (,,e/4 ,,c) V[,,e{6}/] ,,a \
[,,'c{6}/] (,,,e/4 ,,,d) | [,,aVe{6}/] (,,a/8 ,,c ,,e/4) \
[,,'c{,,,a}/] ,,a [,,'a{,,a}/] ,,,d ,/ [,,,d{,,a}/] | "
11;A dur;5.2v;Allegro ma non troppo (1);W. J. Lauffensteiner;;;;2/4;"[,c,,,a/] ,,e ,,a e | ['d{,,a}3/4] ,d/8 d ,c/ [e{4}] | \
([,e{,,,a}/] ,c ,a) (,a/8 ,c ,e/4) | [,'c{4}1] e | [,'a{5}/4] \
,,e ,a/ [,'a{a}/4] ,,e ,a/ | "
